varga	eid	n_lemmas	glossed	candidates
AK-1.3	188	1	1	1.1.1:1;1.1.1.1:1;1.1.1.3:1;1.1.3:1;1.6.4:1;7.2.4.4:1
AK-1.3	189	1	1	1.1.1.1:1;1.1.1.3:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1;3.2.1.2:1
AK-1.3	190	1	1	3.2.1.3:2;1.5.3:1;3.2.5.5:1;3.3.3.2:1;3.5.1.5.1:1
AK-1.3	191	1	1	4.9.1:3;4.9.2:3;8.4.2.3:3;1.1.1.3:2;2.6.2.2:2;2.6.5.1:2
AK-1.3	192	1	1	8.1.1.1:2;1.6.3.1:1;1.6.6:1;2.6.4.1.1:1;3.2.2:1;3.2.5:1
AK-1.3	193	1	0	
AK-1.3	194	1	1	4.2.6.2:2;1.1.3.1:1;1.2.2:1;1.3.1.1:1;1.3.1.3:1;1.6.1.1.3:1
AK-1.3	195	1	1	1.5.3:2;2.1.4:2;1.1.3.3:1;1.2.1.1:1;1.5:1;1.5.1:1
AK-1.3	196	1	1	8.2.1:3;8.2.2.3:3;8.2.2.2:2;8.4.1:2;9.1.2.6:2;1.1.1:1
AK-1.3	197	1	1	2.1.1.1:3;1.5.3:2;2.1.4:2;4.1.2:2;4.1.9.9:2;1.1.3.3:1
AK-1.3	198	1	1	1.6.1.3.1:1;1.6.1.3.2:1;4.1.9.8:1;4.3.5.5:1
AK-1.3	199	1	1	2.5.6.1:1;3.3.5:1;4.3.3:1;5.2.3:1;8.3.6.5:1
AK-1.3	200	1	1	1.2:3;1.1.1.3:2;1.5.5:2;1.7:2;3.2.3.2:2;4.7.1:2
AK-1.3	201	1	1	1.2.1.1:2;1.5.5:2;2.1:2;2.3.1.8.1:2;2.4:2;3.6.2:2
AK-1.3	202	1	0	
AK-1.3	203	1	1	1.1.3.1:1;1.6.1.1.3:1;1.6.3:1;2.6.1:1;2.6.2:1;2.6.4.8:1
AK-1.3	204	1	1	1.3.3:1;1.5:1;1.6.1:1;1.6.1.1.3:1;1.6.1.9:1;1.6.7:1
AK-1.3	205	1	1	1.6.1.2:2;1.6.3:1;1.6.3.1:1;2.6.5.2:1;4.2.7:1;5.3.2:1
AK-1.3	206	1	1	1.1.3.1:3;8.5.2.8:3;1.6.1.1.3:1;6.3.1.7:1
AK-1.3	207	1	1	1.6.1.1.3:1;2.1.4:1;2.1.5:1;2.5.6:1;4.1.2:1;4.1.9.9:1
AK-1.3	208	1	1	1.6.1.1.3:1;6.3.1.7:1
AK-1.3	209	1	1	1.1.3.1:1;1.2.1.5:1;1.3.1.4:1;1.5.5:1;1.6.1.1.3:1;2.1.3:1
AK-1.3	210	1	1	8.5.2.8:3;1.1.3.1:2;1.6.1.1.3:1;5.2.1.2:1;6.3.1.7:1;6.8.6.1:1
AK-1.3	211	2	1	6.5.2:3;8.5.2.8:3;1.1.1.3:2;1.1.3.1:2;3.2.3.2:2;3.3.1.1:2
AK-1.3	212	2	1	1.2.1:2;1.3.1.5:2;2.1.1.1:2;3.1:2;6.5.1.1:2;6.5.2:2
AK-1.3	213	2	1	4.2.1.7:3;7.5.1:3;8.1.3.3:3;8.2.5.1:3;8.3.1.6:3;1.1.1:2
AK-1.3	214	15	1	8.2:5;1.5.3:4;4.3:4;7.2.5.4:4;7.5.9.1:4;8.2.5.1:4
AK-1.3	215	2	1	1.1.3.2:2;6.5.1:2;1.1.3.1:1;1.2.3.3:1;1.3.1.5:1;1.5:1
AK-1.3	216	2	1	1.1.3.2:2;1.2.3.3:2;2.3.1.5:2;1.1.3.6:1;1.3.2.4:1;1.6.4.3:1
AK-1.3	217	4	1	2.3.2.3:7;1.6.4.3:5;2.3.2.4:5;7.2.1.7:5;1.1.3.6:4;2.3.2.2:4
AK-1.3	218	10	1	1.1.1:5;1.1.3.6:4;4.8.3.7:4;8.3.3:4;8.3.3.1.1:4;6.6.5.2:3
AK-1.3	219	2	1	1.1.3.6:2;2.3.2.3:2;7.2.1.7:2;8.1.5.8:2;1.1.3.1:1;1.2.1.2:1
AK-1.3	220	2	0	
AK-1.3	221	2	1	4.2.6.1.2:2;1.1:1;1.1.3.3:1;1.2.2.5:1;1.6.1.1.3:1;1.6.2:1
AK-1.3	222	1	1	1.6.1.1.3:2;2.1.5:2;8.3.3.3.4:2;1.1.1:1;1.1.3:1;1.5.1:1
AK-1.3	223	2	1	1.1.3.3:3;7.2.5.4:3;1.1.3.2:2;7.5.9.1:2;1.2.1.1:1;1.2.2.1:1
AK-1.3	224	2	1	9:5;6.6.2.9:3;8.1.6.1:3;8.2.8:3;8.6:3;1.5.5:2
AK-1.3	225	2	1	4.8.2.3:2;1.1.3.1:1;2.1.1.1:1;2.3.1:1;2.3.1.2:1;2.3.2.3:1
AK-1.3	226	1	1	1.1.3.3:4;1.3.2.2:3;1.1.3:2;1.1.3.2:2;8.3.4.1:2;1.1.3.1:1
AK-1.3	227	1	1	1.1.3.3:3;7.2.2.5.1:2;7.3.1.1:2;1.1.3.1:1;1.1.3.4:1;1.2.1.3:1
AK-1.3	228	1	1	2.1.1.1:3;1.1.3.3:1;1.2.3:1;1.3:1;1.3.1:1;1.3.2.2:1
AK-1.3	229	1	0	
