lemma_slp1	varga	eid	match_type	union_dicts	n_dicts
yudDa	AK-2.8	2480	exact	AP BUR CAE CCS MD MW PWG PWK VCP VEI	10
AyoDana	AK-2.8	2480	exact	CAE CCS MD MW PWG VCP	6
janya	AK-2.8	2480	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
praDana	AK-2.8	2480	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
pravidAraRa	AK-2.8	2480	exact	BUR MW PWG PWK VCP	5
mfDa	AK-2.8	2480	exact	BUR CAE CCS MD MW PWG PWK SKD VCP	9
Askandana	AK-2.8	2480	exact	BUR MW PWG PWK SCH VCP	6
saNKya	AK-2.8	2480	exact	BUR VCP	2
samIka	AK-2.8	2480	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	11
sAmparAyika	AK-2.8	2480	exact	BUR MW VCP	3
samara	AK-2.8	2480	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
anIka	AK-2.8	2480	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
raRa	AK-2.8	2480	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	13
kalaha	AK-2.8	2480	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
vigraha	AK-2.8	2480	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
samprahAra	AK-2.8	2480	exact	MW VCP	2
aBisampAta	AK-2.8	2480	exact	BUR MW VCP	3
kali	AK-2.8	2480	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
saMsPowa	AK-2.8	2480	exact	BUR CAE MW PWG PWK SCH VCP	7
saMyuga	AK-2.8	2480	exact	CAE CCS MD MW PWG PWK SCH VCP	8
aByAmarda	AK-2.8	2480	exact	BUR MW PWG PWK	4
samAGAta	AK-2.8	2480	exact	BUR CAE MW PWG PWK VCP	6
saNgrAma	AK-2.8	2480	exact	BUR SKD VCP	3
aByAgama	AK-2.8	2480	exact	CAE CCS MD MW PWG PWK SCH VCP	8
Ahava	AK-2.8	2480	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP	10
samudAya	AK-2.8	2480	exact	BUR CAE CCS MW PWG PWK	6
saMyat	AK-2.8	2480	exact	AP CAE CCS GRA MD MW PWG PWK SKD VCP	10
samiti	AK-2.8	2480	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
Aji	AK-2.8	2480	exact	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
samit	AK-2.8	2480	exact	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	11
yuD	AK-2.8	2480	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
niyudDa	AK-2.8	2481	exact	BUR CAE CCS MW PWG PWK VCP	7
bAhuyudDa	AK-2.8	2481	exact	CAE CCS MW PWG PWK VCP	6
tumula	AK-2.8	2482	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
raRasaNkula	AK-2.8	2482	exact	VCP	1
kzveqA	AK-2.8	2483	exact	AP MW SKD	3
siMhanAda	AK-2.8	2483	exact	BHS CAE INM MW PWG PWK	6
GawanA	AK-2.8	2484	exact	AP MW SKD VCP	4
GawA	AK-2.8	2484	exact	AP BHS MD MW SCH SKD VCP	7
krandana	AK-2.8	2485	exact	AP MW PWG PWK VCP	5
yoDasaMrAva	AK-2.8	2485	exact	MW	1
bfMhita	AK-2.8	2486	exact	AP CAE CCS MW PWK SCH	6
karigarjita	AK-2.8	2486	exact	BUR MW	2
visPAra	AK-2.8	2487	exact	BUR CAE CCS MD MW PWG PWK	7
pawaha	AK-2.8	2488	exact	BUR CAE CCS MD MW PWG PWK VCP	8
Aqambara	AK-2.8	2488	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
prasaBa	AK-2.8	2489	exact	BHS BUR CAE CCS MW PWK VCP	7
balAtkAra	AK-2.8	2489	exact	CAE CCS MD MW PWG PWK VCP	7
haWa	AK-2.8	2489	exact	BUR CAE CCS MD MW PWG PWK SKD VCP	9
sKalita	AK-2.8	2490	exact	AP CAE MW PWK VCP	5
Cala	AK-2.8	2490	exact	BUR CAE CCS MD MW PWG PWK VCP	8
ajanya	AK-2.8	2491	exact	AP BHS BUR MW PWG PWK SCH VCP	8
utpAta	AK-2.8	2491	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
upasarga	AK-2.8	2491	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
mUrCA	AK-2.8	2492	exact	BUR CAE CCS MD MW PWG PWK	7
kaSmala	AK-2.8	2492	exact	AP BHS BUR CAE CCS MD MW PWG PWK VCP	10
moha	AK-2.8	2492	exact	BHS BUR CAE CCS INM MD MW PWG PWK VCP	10
avamarda	AK-2.8	2493	exact	BUR MW PWG PWK	4
pIqana	AK-2.8	2493	exact	CAE CCS MD MW PWG PWK VCP	7
aByavaskandana	AK-2.8	2494	exact	MW PWG PWK	3
aByAsAdana	AK-2.8	2494	exact	MW PWG PWK VCP	4
vijaya	AK-2.8	2495	exact	BHS CAE CCS GRA INM MD MW PWG PWK SCH VCP	11
jaya	AK-2.8	2495	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
vEraSudDi	AK-2.8	2496	exact	MW PWG PWK SCH VCP	5
pratIkAra	AK-2.8	2496	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
vEraniryAtana	AK-2.8	2496	exact	MD MW PWG PWK VCP	5
pradrAva	AK-2.8	2497	exact	MW PWG PWK VCP	4
uddrAva	AK-2.8	2497	exact	AP BUR MW PWG PWK VCP	6
sandrAva	AK-2.8	2497	exact	BUR VCP	2
sandAva	AK-2.8	2497	exact	BUR VCP	2
vidrava	AK-2.8	2497	exact	CAE CCS MD MW PWG PWK VCP	7
drava	AK-2.8	2497	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP	11
apakrama	AK-2.8	2497	exact	BUR CAE CCS MD MW PWG PWK VCP	8
apayAna	AK-2.8	2497	exact	CAE CCS MW PWG PWK VCP	6
BaNga	AK-2.8	2498	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
parAjaya	AK-2.8	2498	exact	BUR CAE CCS MD MW PWG PWK VCP	8
parAjita	AK-2.8	2499	exact	AP CAE MW PWG VCP	5
parABUta	AK-2.8	2499	exact	AP MW	2
nazwa	AK-2.8	2500	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
tirohita	AK-2.8	2500	exact	AP BUR CAE MW PWG PWK VCP	7
pramApaRa	AK-2.8	2501	exact	CAE MW PWG PWK VCP	5
nibarhaRa	AK-2.8	2501	exact	AP CAE CCS MW PWG PWK VCP	7
nikAraRa	AK-2.8	2501	exact	MW PWG PWK VCP	4
viSAraRa	AK-2.8	2501	exact	BUR MW PWG PWK VCP	5
pravAsana	AK-2.8	2501	exact	CAE CCS MW PWG PWK VCP	6
parAsana	AK-2.8	2501	exact	BUR MW PWG PWK VCP	5
nizUdana	AK-2.8	2501	exact	BUR CAE MW PWG PWK	5
nihiMsana	AK-2.8	2501	exact	BUR MW PWG PWK VCP	5
nirvAsana	AK-2.8	2501	exact	CAE CCS MW PWG PWK VCP	6
saMjYapana	AK-2.8	2501	exact	BHS CAE CCS MW PWG PWK	6
nirgranTana	AK-2.8	2501	exact	MW PWG PWK VCP	4
apAsana	AK-2.8	2501	exact	BUR MW PWG PWK VCP	5
nistarhaRa	AK-2.8	2501	exact	BUR MW PWG VCP	4
nihanana	AK-2.8	2501	exact	MW PWG PWK VCP	4
kzaRana	AK-2.8	2501	exact	BUR CAE CCS MD MW PWG PWK VCP	8
parivarjana	AK-2.8	2501	exact	CAE CCS MW PWG PWK VCP	6
nirvApaRa	AK-2.8	2501	exact	CAE CCS MD MW PWG PWK VCP	7
viSasana	AK-2.8	2501	exact	CAE CCS GRA MW PWG PWK VCP	7
mAraRa	AK-2.8	2501	exact	CAE CCS MD MW PWG PWK SCH VCP	8
pratiGAtana	AK-2.8	2501	exact	MW PWG PWK	3
udvAsana	AK-2.8	2501	exact	BUR MW PWG PWK SCH VCP	6
pramaTana	AK-2.8	2501	exact	CAE CCS MW PWG PWK VCP	6
kraTana	AK-2.8	2501	exact	INM MW PWG PWK VCP	5
ujjAsana	AK-2.8	2501	exact	BUR MW PWG PWK VCP	5
AlamBa	AK-2.8	2501	exact	CAE CCS MD MW PWG PWK VCP	7
piYja	AK-2.8	2501	exact	AP BUR MW PWG PWK VCP	6
viSara	AK-2.8	2501	exact	BUR CAE MW PWG PWK SCH VCP VEI	8
GAta	AK-2.8	2501	exact	BUR CAE CCS MD MW PWG PWK VCP	8
unmATa	AK-2.8	2501	exact	AP BUR INM MD MW PWG PWK SCH VCP	9
vaDa	AK-2.8	2501	exact	BUR CAE CCS GRA INM MD MW PWG PWK	9
paYcatA	AK-2.8	2502	exact	AP CAE CCS MW PWG PWK SKD VCP	8
kAlaDarma	AK-2.8	2502	exact	BUR CAE CCS MW PWG PWK	6
dizwAnta	AK-2.8	2502	exact	CAE CCS MW PWG PWK VCP	6
pralaya	AK-2.8	2502	exact	BUR CAE CCS MW PWG PWK VCP	7
atyaya	AK-2.8	2502	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
anta	AK-2.8	2502	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP	12
nASa	AK-2.8	2502	exact	BUR CAE CCS MD MW PWG PWK VCP	8
mftyu	AK-2.8	2502	exact	BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI	11
maraRa	AK-2.8	2502	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
niDana	AK-2.8	2502	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
parAsu	AK-2.8	2503	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
prAptapaYcatva	AK-2.8	2503	exact	AP MW PWK VCP	4
pareta	AK-2.8	2503	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
preta	AK-2.8	2503	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP VEI	11
saMsTita	AK-2.8	2503	exact	AP BHS CAE CCS MW PWG PWK VCP	8
mfta	AK-2.8	2503	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
pramIta	AK-2.8	2503	exact	AP CAE MW VCP	4
citA	AK-2.8	2504	exact	AP BUR MD MW SKD	5
cityA	AK-2.8	2504	exact	AP MW SKD	3
citi	AK-2.8	2504	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
kabanDa	AK-2.8	2505	exact	BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	11
SmaSAna	AK-2.8	2506	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
pitfvana	AK-2.8	2506	exact	CAE CCS MW PWG PWK VCP	6
kuRapa	AK-2.8	2507	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
Sava	AK-2.8	2507	exact	BHS BUR CAE CCS MD MW PWG PWK SKD VCP	10
pragraha	AK-2.8	2508	exact	AP BHS BUR CAE CCS INM MD MW PWG PWK SCH VCP	12
upagraha	AK-2.8	2508	exact	CAE MD MW PWG PWK SCH VCP	7
vandI	AK-2.8	2508	exact	AP MW SKD VCP	4
kArA	AK-2.8	2509	exact	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP	11
banDanAlaya	AK-2.8	2509	exact	MW PWG PWK	3
asu	AK-2.8	2510	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP	11
prARa	AK-2.8	2510	exact	BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI	13
jIva	AK-2.8	2511	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	13
asuDAraRa	AK-2.8	2511	exact	BUR MW PWG PWK VCP	5
Ayus	AK-2.8	2512	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
jIvitakAla	AK-2.8	2512	exact	MW PWG PWK VCP	4
jIvAtu	AK-2.8	2513	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
jIvanOzaDa	AK-2.8	2513	exact	BUR MW PWG VCP	4
Uravya	AK-2.9	2514	exact	BUR MW PWG PWK VCP	5
uraja	AK-2.9	2514	miss		0
arya	AK-2.9	2514	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VEI	11
vESya	AK-2.9	2514	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
BUmispfS	AK-2.9	2514	exact	AP CAE CCS MW PWG PWK VCP	7
viS	AK-2.9	2514	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VEI	11
AjIva	AK-2.9	2515	exact	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	10
jIvikA	AK-2.9	2515	exact	AP BUR CCS MD MW PWG PWK SKD VCP	9
vArtA	AK-2.9	2515	exact	AP	1
vftti	AK-2.9	2515	exact	BUR CAE CCS INM MD MW PWG PWK SCH VCP	10
vartana	AK-2.9	2515	exact	AP CAE CCS MD MW PWG PWK SCH	8
jIvana	AK-2.9	2515	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	12
kfzi	AK-2.9	2516	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
pASupAlya	AK-2.9	2517	exact	BUR MD PWG PWK SCH VCP	6
vARijya	AK-2.9	2518	exact	BUR CAE CCS MD MW PWG PWK	7
sevA	AK-2.9	2519	exact	AP BUR CAE CCS MW PWG PWK SKD VCP	9
Svavftti	AK-2.9	2519	exact	CAE CCS MW PWG PWK SCH VCP	7
anfta	AK-2.9	2520	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP	11
kfzi	AK-2.9	2520	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
uYCaSila	AK-2.9	2521	exact	CAE MW PWK VCP	4
fta	AK-2.9	2521	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP	13
mfta	AK-2.9	2522	exact	AP BUR CAE CCS INM MD MW PWG PWK VCP	10
amfta	AK-2.9	2523	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP	13
satyAnfta	AK-2.9	2524	exact	AP CAE CCS GRA MW PWG PWK	7
vaRigBAva	AK-2.9	2524	exact	MW PWG PWK	3
fRa	AK-2.9	2525	exact	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	13
paryudaYcana	AK-2.9	2525	exact	BUR MW PWG PWK SCH VCP	6
udDAra	AK-2.9	2525	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
arTaprayoga	AK-2.9	2526	exact	MW PWG PWK VCP	4
kusIda	AK-2.9	2526	exact	AP BHS BUR CAE CCS MD MW PWG PWK VCP	10
vfdDijIvikA	AK-2.9	2526	exact	MW PWG PWK SKD VCP	5
yAcitaka	AK-2.9	2527	exact	MW PWG PWK SCH VCP	5
Apamityaka	AK-2.9	2528	exact	AP BUR MW PWG PWK SCH VCP	7
uttamarRa	AK-2.9	2529	exact	CAE CCS MD MW PWG PWK VCP	7
aDamarRa	AK-2.9	2530	exact	CAE CCS MW PWG PWK SKD VCP	7
kusIdika	AK-2.9	2531	exact	MW PWG PWK	3
vArDUzika	AK-2.9	2531	miss		0
vfdDyAjIva	AK-2.9	2531	exact	MW PWG PWK VCP	4
vArDuzi	AK-2.9	2531	miss		0
kzetrAjIva	AK-2.9	2532	exact	MW PWG PWK VCP	4
karzaka	AK-2.9	2532	exact	AP BUR CAE CCS MW PWG PWK VCP	8
kfzaka	AK-2.9	2532	exact	AP BUR CAE CCS MD MW PWG PWK VCP	9
kfzIvala	AK-2.9	2532	exact	CAE CCS GRA MD MW PWG PWK VCP	8
vrEheya	AK-2.9	2533	exact	AP MW PWG PWK VCP	5
SAleya	AK-2.9	2534	exact	BUR CAE CCS MD MW PWG PWK SCH VCP	9
yavya	AK-2.9	2535	exact	AP BUR CAE CCS GRA INM MW PWG PWK SCH VCP VEI	12
yavakya	AK-2.9	2536	exact	AP MW PWG PWK VCP	5
zazwikya	AK-2.9	2537	exact	MW PWG PWK VCP	4
tilya	AK-2.9	2538	exact	AP BUR MW PWG PWK VCP	6
tElIna	AK-2.9	2538	exact	MW PWG PWK VCP	4
mAzya	AK-2.9	2539	exact	AP MW PWG PWK	4
mAzIRa	AK-2.9	2539	exact	AP MD MW PWG PWK SCH VCP	7
umya	AK-2.9	2540	exact	BUR MW PWG PWK VCP	5
OmIna	AK-2.9	2540	exact	MW PWG PWK VCP	4
aRavya	AK-2.9	2541	exact	MW PWG PWK VCP	4
aRavIna	AK-2.9	2541	miss		0
BaNgya	AK-2.9	2542	exact	BUR MW PWG PWK SCH VCP	6
BANgIna	AK-2.9	2542	exact	BUR MW PWG PWK VCP	5
mOdgIna	AK-2.9	2543	exact	AP BUR MW PWG PWK VCP	6
kOdravIRa	AK-2.9	2544	exact	BUR MW PWG PWK VCP	5
cARakIRa	AK-2.9	2545	miss		0
gODumIRa	AK-2.9	2546	miss		0
kAlAyIRa	AK-2.9	2547	miss		0
kOdumIRa	AK-2.9	2548	miss		0
prEyaNgavIRa	AK-2.9	2549	miss		0
SAkaSAkawa	AK-2.9	2550	exact	BUR MW PWG PWK VCP	5
SAkaSAkina	AK-2.9	2550	exact	MW PWG	2
bIjAkfta	AK-2.9	2551	exact	AP MW	2
uptakfzwa	AK-2.9	2551	exact	BUR MW PWK VCP	4
sItya	AK-2.9	2552	exact	AP BUR MW PWG PWK VCP	6
kfzwa	AK-2.9	2552	exact	AP CAE CCS MW PWK VCP	6
halyavat	AK-2.9	2552	miss		0
triguRAkfta	AK-2.9	2553	exact	MW PWG VCP	3
tftIyAkfta	AK-2.9	2553	exact	AP VCP	2
trihalya	AK-2.9	2553	exact	AP MW PWG PWK VCP	5
trisItya	AK-2.9	2553	exact	AP MW PWG PWK VCP	5
dviguRAkfta	AK-2.9	2554	miss		0
dvitIyAkfta	AK-2.9	2554	exact	AP VCP	2
dvihalya	AK-2.9	2554	exact	AP BUR MW PWG PWK VCP	6
dvisItya	AK-2.9	2554	exact	AP BUR MW PWG PWK VCP	6
SambAkfta	AK-2.9	2554	exact	BUR MW VCP	3
drORikA	AK-2.9	2555	exact	PWG	1
AQakika	AK-2.9	2556	exact	AP MW PWG PWK	4
kOqavika	AK-2.9	2557	exact	BUR MW PWG PWK VCP	5
prAsTika	AK-2.9	2558	exact	AP BUR MD MW PWG PWK VCP	7
KArIka	AK-2.9	2559	exact	AP MW PWG PWK VCP	5
vapra	AK-2.9	2560	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
kedAra	AK-2.9	2560	exact	BUR CAE CCS INM MD MW PWG PWK VCP	9
kzetra	AK-2.9	2560	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
kEdAraka	AK-2.9	2561	exact	MW PWG PWK SCH	4
kEdArya	AK-2.9	2561	exact	MW PWK	2
kzEtra	AK-2.9	2561	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP	10
kEdArika	AK-2.9	2561	exact	MD MW PWK SCH	4
lozwa	AK-2.9	2562	exact	BUR CAE CCS MD MW PWG PWK SKD VCP	9
lezwu	AK-2.9	2562	exact	BUR CAE CCS MD MW PWG PWK VCP	8
kowiSa	AK-2.9	2563	exact	BUR INM MW PWG PWK VCP	6
lozwaBedana	AK-2.9	2563	exact	MW PWG PWK VCP	4
prAjana	AK-2.9	2564	exact	BUR MW PWG PWK VCP	5
todana	AK-2.9	2564	exact	CAE CCS MW PWG PWK VCP	6
totra	AK-2.9	2564	exact	BUR	1
Kanitra	AK-2.9	2565	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
avadAraRa	AK-2.9	2565	exact	MW PWG PWK VCP	4
dAtra	AK-2.9	2566	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
lavitra	AK-2.9	2566	exact	MW PWG PWK VCP	4
AbanDa	AK-2.9	2567	exact	CAE CCS MD MW PWG PWK SCH VCP	8
yotra	AK-2.9	2567	exact	BUR CAE CCS MW PWG PWK VCP	7
yoktra	AK-2.9	2567	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
Pala	AK-2.9	2568	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	13
nirISa	AK-2.9	2568	exact	BUR MW PWG SCH	4
kuwaka	AK-2.9	2568	exact	BHS MW PWG PWK VCP	5
PAla	AK-2.9	2568	exact	BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	11
kfzika	AK-2.9	2568	exact	MW PWG PWK VCP	4
lANgala	AK-2.9	2569	exact	BHS BUR CAE CCS GRA MD MW PWG PWK VCP VEI	11
hala	AK-2.9	2569	exact	BUR CAE CCS MD MW PWG PWK SCH SKD VCP	10
godAraRa	AK-2.9	2569	exact	BUR MW PWG PWK VCP	5
sIra	AK-2.9	2569	exact	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI	12
SamyA	AK-2.9	2570	exact	AP BUR CAE CCS GRA MD MW PWG SKD VCP VEI	11
yugakIlaka	AK-2.9	2570	exact	MW PWG PWK VCP	4
IzA	AK-2.9	2571	exact	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	12
lANgaladaRqa	AK-2.9	2571	exact	MW VCP	2
sItA	AK-2.9	2572	exact	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	14
lANgalapadDati	AK-2.9	2572	exact	MW PWG PWK VCP	4
meDi	AK-2.9	2573	exact	AP BUR CAE MW PWG PWK VCP	7
KaledAru	AK-2.9	2573	miss		0
ASu	AK-2.9	2574	exact	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI	13
vrIhi	AK-2.9	2574	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
pAwala	AK-2.9	2574	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
SitaSUka	AK-2.9	2575	exact	SCH VCP	2
yava	AK-2.9	2575	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
tokma	AK-2.9	2576	exact	BUR CAE CCS MD MW PWG PWK VCP	8
kalAya	AK-2.9	2577	exact	BUR MW PWG PWK VCP	5
satInaka	AK-2.9	2577	exact	MW PWG PWK	3
hareRu	AK-2.9	2577	exact	BUR CAE CCS MD MW PWG PWK VCP	8
KaRqika	AK-2.9	2577	exact	BUR MW PWG PWK SCH VCP	6
koradUza	AK-2.9	2578	exact	BUR MW PWG PWK VCP	5
kodrava	AK-2.9	2578	exact	BUR MD MW PWG PWK VCP	6
maNgalyaka	AK-2.9	2579	exact	MW PWG PWK VCP	4
masUra	AK-2.9	2579	exact	CAE CCS MD MW PWG PWK VCP VEI	8
makuzWaka	AK-2.9	2580	exact	PWK	1
mayuzWaka	AK-2.9	2580	miss		0
vanamudga	AK-2.9	2580	exact	MW PWG PWK VCP	4
sarzapa	AK-2.9	2581	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
tantuBa	AK-2.9	2581	exact	MW PWG PWK VCP	4
kadambaka	AK-2.9	2581	exact	CAE MW PWG PWK VCP	5
sidDArTa	AK-2.9	2582	exact	AP BHS CAE CCS INM MD MW PWG PWK VCP	10
goDUma	AK-2.9	2583	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
sumana	AK-2.9	2583	exact	AP BHS BUR INM MW PWG PWK VCP	8
yAvaka	AK-2.9	2584	exact	CAE CCS MW PWG PWK	5
kulmAza	AK-2.9	2584	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
caRaka	AK-2.9	2585	exact	BUR CAE CCS MW PWG PWK VCP	7
harimanTaka	AK-2.9	2585	exact	MW PWG PWK VCP	4
tilapeja	AK-2.9	2586	exact	MW PWG PWK VCP	4
tilapiYja	AK-2.9	2586	exact	MW PWG PWK VCP	4
kzava	AK-2.9	2587	exact	BUR CAE CCS MD MW PWG PWK VCP	8
kzuDABijanana	AK-2.9	2587	exact	MW PWG PWK VCP	4
rAjikA	AK-2.9	2587	exact	AP MW SCH SKD	4
kfzRikA	AK-2.9	2587	exact	AP MD MW PWG SCH SKD VCP	7
AsurI	AK-2.9	2587	exact	AP MW SKD	3
kaNgu	AK-2.9	2588	exact	AP BUR MW PWG PWK VCP	6
priyaNgu	AK-2.9	2588	exact	AP CAE CCS MD MW PWG PWK VCP VEI	9
atasI	AK-2.9	2589	exact	AP MW SKD	3
umA	AK-2.9	2589	exact	AP BUR CAE CCS INM MD MW PWG SCH SKD VCP	11
kzumA	AK-2.9	2589	exact	AP BUR MW PWG PWK SKD VCP	7
mAtulAnI	AK-2.9	2590	exact	AP CAE CCS MD MW PWG PWK SKD	8
BaNgA	AK-2.9	2590	exact	AP MW SKD	3
aRu	AK-2.9	2591	exact	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI	15
kiMSAru	AK-2.9	2592	exact	BUR MW PWG PWK VCP	5
sasyaSUka	AK-2.9	2592	exact	PWG PWK	2
kaRiSa	AK-2.9	2593	exact	BUR MD MW PWG PWK SCH VCP	7
sasyamaYjarI	AK-2.9	2593	exact	AP MW PWG PWK	4
DAnya	AK-2.9	2594	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
vrIhi	AK-2.9	2594	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
stambakari	AK-2.9	2594	exact	AP MW PWG PWK VCP	5
stamba	AK-2.9	2595	exact	BUR CAE CCS MD MW PWG PWK SCH VCP VEI	10
gucCa	AK-2.9	2595	exact	CAE CCS MD MW PWG PWK VCP	7
nAqI	AK-2.9	2596	exact	AP CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI	12
nAla	AK-2.9	2596	exact	AP BHS BUR CAE CCS MD MW PWG PWK SCH VCP	11
palAla	AK-2.9	2597	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
kaqaNgara	AK-2.9	2598	exact	BHS BUR MW PWK VCP	5
busa	AK-2.9	2598	exact	BUR CAE CCS GRA MD MW PWG PWK SKD VCP	10
DAnyatvac	AK-2.9	2599	exact	AP MW PWG PWK SCH VCP	6
tuza	AK-2.9	2599	exact	BUR CAE CCS MD MW PWG PWK SCH SKD VCP VEI	11
SUka	AK-2.9	2600	exact	BHS BUR CAE CCS MD MW PWG PWK VCP	9
SamI	AK-2.9	2601	exact	AP CAE CCS GRA MD MW PWG PWK SKD VCP VEI	11
SimbA	AK-2.9	2601	exact	AP MW SKD VCP	4
fdDa	AK-2.9	2602	exact	AP BUR CAE CCS INM MW PWG PWK SCH VCP	10
Avasita	AK-2.9	2602	exact	AP MW PWG PWK VCP	5
pUta	AK-2.9	2603	exact	AP BHS BUR CCS MW PWG PWK VCP	8
bahulIkfta	AK-2.9	2603	exact	AP BHS CAE MW SCH VCP	6
SamIDAnya	AK-2.9	2604	exact	CAE CCS MW PWG PWK VCP	6
SUkaDAnya	AK-2.9	2605	exact	MW PWG PWK VCP	4
SAli	AK-2.9	2606	exact	BUR CAE CCS MD MW PWG PWK VCP	8
tfRaDAnya	AK-2.9	2607	exact	MW PWG PWK VCP	4
nIvAra	AK-2.9	2607	exact	BUR CAE CCS MD MW PWG PWK VCP VEI	9
gaveDu	AK-2.9	2608	exact	BUR MW PWG PWK SCH VCP	6
gaveDukA	AK-2.9	2608	exact	AP MW SKD	3
ayogra	AK-2.9	2609	exact	BUR MW PWG PWK VCP	5
musala	AK-2.9	2609	exact	BUR CAE CCS MD MW PWG PWK SCH VEI	9
udUKala	AK-2.9	2610	exact	AP BUR MW PWG PWK VCP	6
ulUKala	AK-2.9	2610	exact	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	10
prasPowana	AK-2.9	2611	exact	BHS MW PWG PWK SCH VCP	6
