lane	kewa_seq	vol	page	heading_idx	kewa_slp1	match_basis	pwg_key1	witness	n_candidates	lemma_route	routes_agree	flags
modern-IE	8341	III	360	0	SuSrUH	sandhi/diacritic-normalized	SuSrU	rule	1			
modern-IE	8342	III	360	0	Suz	exact	Suz	PWG-key1	1			bound-prefix-or-stem
modern-IE	8343	III	360-361	0	SuziH	sandhi/diacritic-normalized	Suzi	rule	1			
modern-IE	8344	III	361	0	SuzkaH	sandhi/diacritic-normalized	Suzka	rule	1	Suzka	1	
modern-IE	8345	III	361-362	0	SuzRaH	sandhi/diacritic-normalized	SuzRa	rule	1	SuzRa	1	
modern-IE	8346	III	362	0	SuzmaH	sandhi/diacritic-normalized	Suzma	rule	1	Suzma	1	
modern-IE	8347	III	362-363	0	Suzyati	finite-form->root	Suz	dcs	1	Suz	same-route	
modern-IE	8348	III	363	0	SU	exact	SU	PWG-key1	1			bound-prefix-or-stem
modern-IE	8348	III	363	1	SU	exact	SU	PWG-key1	1			bound-prefix-or-stem
modern-IE	8349	III	363-364	0	SUkaH	sandhi/diacritic-normalized	SUka	rule	1	SUka	1	
modern-IE	8349	III	363-364	1	SUkam	sandhi/diacritic-normalized	SUka	rule	1	SUka	1	
modern-IE	8350	III	364	0	SUkAraH	sandhi/diacritic-normalized	SUkAra	rule	1			
modern-IE	8351	III	364	0	SUkzmaH	unmatched			0			
modern-IE	8352	III	364	0	SUGanaH	sandhi/diacritic-normalized	SUGana	rule	1			
modern-IE	8353	III	364	0	SUtkAraH	sandhi/diacritic-normalized	SUtkAra	rule	1			
modern-IE	8353	III	364	1	SUtkfta	unmatched			0			bound-prefix-or-stem
modern-IE	8354	III	364-365	0	SUdraH	sandhi/diacritic-normalized	SUdra	rule	1	SUdra	1	
modern-IE	8355	III	365	0	SUnam	sandhi/diacritic-normalized	SUna	rule	1	SUna	1	
modern-IE	8356	III	365	0	SUnaH	sandhi/diacritic-normalized	SUna	rule	1	Svi	0	routes-disagree
modern-IE	8357	III	365	0	SUraRaH	sandhi/diacritic-normalized	SUraRa	rule	1	SUraRa	1	
modern-IE	8358	III	365	0	SUraH	sandhi/diacritic-normalized	SUra	rule	1	SUra|latAtaru	0	routes-disagree
modern-IE	8359	III	366	0	SUrtaH	sandhi/diacritic-normalized	SUrta	rule	1			
modern-IE	8360	III	366	0	SUrpam	sandhi/diacritic-normalized	SUrpa	rule	1	SUrpa	1	
modern-IE	8361	III	366-367	0	SUlaH	sandhi/diacritic-normalized	SUla	rule	1	SUla	1	
modern-IE	8361	III	366-367	1	SUlam	sandhi/diacritic-normalized	SUla	rule	1	SUla	1	
modern-IE	8362	III	367	0	SUlA	inflected-form->stem	SUla	dcs	1	SUla	same-route	
modern-IE	8363	III	367	0	SUSujAnaH	finite-form->root	Suj	dcs	1	Suj	same-route	
modern-IE	8364	III	367	0	SUzaH	sandhi/diacritic-normalized	SUza	rule	1			
modern-IE	8365	III	368	0	SfgAlAH	unmatched			0			
