slp1	hom	sense_id	first_era	bucket_via	marginal	n_cites	n_dateable	att_sense_no	att_block	att_earliest	att_latest	conflict	cause	verdict	adjudicated_era	notes
pAwala		5c			0	1	0	5	1	400	1830	0	ok	agree		
pAwala		5d	late-medieval	hand:class	1	4	1	5	1	400	1830	0	ok	agree	late-medieval	
pAwala		6b	early-medieval	hand:class	1	1	1	6	1	1150	1150	0	ok	agree	early-medieval	
pItaka		1	epic-sutra	dcs+dharmamitra+hand:class	0	14	9	1	1	-400	550	0	ok	agree	epic-sutra	
pItaka		2a			0	1	0	2	1	400	1830	0	ok	agree		
pItaka		2b	late-medieval	hand:class	1	3	1	2	1	400	1830	0	ok	agree	late-medieval	
pItaka		2c	late-medieval	hand:class	1	2	1	2	1	400	1830	0	ok	agree	late-medieval	
pItaka		3a	classical	dharmamitra	1	1	1	3	1	450	1830	0	ok	agree	classical	
pItaka		3e	late-medieval	hand:class	1	1	1	3	1	450	1830	0	ok	agree	late-medieval	
pItaka		3g			0	1	0	3	1	450	1830	0	ok	agree		
pItaka		3i	late-medieval	hand:class	1	2	1	3	1	450	1830	0	ok	agree	late-medieval	
pItaka		3k			0	2	0	3	1	450	1830	0	ok	agree		
pItaka		3l	late-medieval	hand:class	1	2	1	3	1	450	1830	0	ok	agree	late-medieval	
pOruza		1a	vedic	dcs	0	10	8	1	1	-800	1400	0	ok	agree	vedic	
pOruza		1b	epic-sutra	dcs+dharmamitra+hand:class	0	12	12	1	1	-800	1400	0	ok	agree	epic-sutra	
pOruza		1c	epic-sutra	hand:class	0	6	5	1	1	-800	1400	0	ok	agree	epic-sutra	
pOruza		2	epic-sutra	dcs	1	1	1	2	1	150	150	0	ok	agree	epic-sutra	
pOruza		3	epic-sutra	hand:class	1	1	1	3	1	None	None	0	ok	agree	epic-sutra	
pOruza		4a	epic-sutra	dcs+dharmamitra+hand:class	0	46	35	4	1	-400	1200	0	ok	agree	epic-sutra	
pOruza		4b	classical	dharmamitra	0	4	3	4	1	-400	1200	0	ok	agree	classical	
pOruza		4c	epic-sutra	hand:class	0	3	3	4	1	-400	1200	0	ok	agree	epic-sutra	
pOruza		4d	early-medieval	hand:class	0	3	2	4	1	-400	1200	0	ok	agree	early-medieval	
pOruza		4e			0	2	0	4	1	-400	1200	0	ok	agree		
pOruza		4f	early-medieval	hand:class	1	1	1	4	1	-400	1200	0	ok	agree	early-medieval	
pUraRa		1	vedic	dcs	0	24	19	1	1	-400	1250	0	ok	agree	vedic	
pUraRa		2a			0	1	0	2	1	-1125	1830	0	ok	agree		
pUraRa		2b	late-medieval	hand:class	1	3	1	2	1	-1125	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 2d bucket 'vedic' explains the window; bucket 'late-medieval' stands for this sub-sense
pUraRa		2c	late-medieval	hand:class	1	2	1	2	1	-1125	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 2d bucket 'vedic' explains the window; bucket 'late-medieval' stands for this sub-sense
pUraRa		2d	vedic	dcs	0	8	3	2	1	-1125	1830	0	ok	agree	vedic	
pUraRa		3a	classical	dharmamitra	1	2	1	3	1	450	1200	0	ok	agree	classical	
pUraRa		3b	early-medieval	hand:class	1	2	1	3	1	450	1200	0	ok	agree	early-medieval	
pUraRa		4a	vedic	dcs	0	42	23	4	1	-800	1830	0	ok	agree	vedic	
pUraRa		4b	late-medieval	hand:class	1	2	1	4	1	-800	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 4a bucket 'vedic' explains the window; bucket 'late-medieval' stands for this sub-sense
pUraRa		4c	late-medieval	hand:class	1	2	1	4	1	-800	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 4a bucket 'vedic' explains the window; bucket 'late-medieval' stands for this sub-sense
pUraRa		4d	early-medieval	hand:class	1	2	1	4	1	-800	1830	0	ok	agree	early-medieval	
pUraRa		4e	late-medieval	hand:class	1	2	1	4	1	-800	1830	1	key_misalignment_sub_sense_rollup	join-artifact	late-medieval	attestation row is the MAJOR-sense aggregate; earliest sibling 4a bucket 'vedic' explains the window; bucket 'late-medieval' stands for this sub-sense
pUraRa		4f	epic-sutra	hand:class	1	1	1	4	1	-800	1830	0	ok	agree	epic-sutra	
pUrva		1a	vedic	dcs+hand:class	0	46	40	1	1	-1125	1830	0	ok	agree	vedic	
pUrva		1b	vedic	dcs	0	199	177	1	1	-1125	1830	0	ok	agree	vedic	
pUrva		1c	epic-sutra	dcs	0	7	7	1	1	-1125	1830	0	ok	agree	epic-sutra	
pUrva		1d	epic-sutra	dcs+dharmamitra+hand:class	0	33	32	1	1	-1125	1830	0	ok	agree	epic-sutra	
pUrva		1e	epic-sutra	dcs+dharmamitra+hand:class	0	35	27	1	1	-1125	1830	0	ok	agree	epic-sutra	
pUrva		1f	classical	dharmamitra	0	3	2	1	1	-1125	1830	0	ok	agree	classical	
pUrva		2	early-medieval	dcs	1	1	1	2	1	950	950	0	ok	agree	early-medieval	
pUrva		3a			0	1	0	3	1	550	550	0	ok	agree		
pUrva		3b	classical	dharmamitra	0	4	2	3	1	550	550	0	ok	agree	classical	
pUrva		4a	early-medieval	hand:class	1	2	1	4	1	-400	1150	0	ok	agree	early-medieval	
pUrva		4b	early-medieval	hand:class	0	4	2	4	1	-400	1150	0	ok	agree	early-medieval	
pUrva		4c	epic-sutra	hand:class	1	2	1	4	1	-400	1150	0	ok	agree	epic-sutra	
paYcama		1a	vedic	dcs+hand:class	0	18	17	1	1	-940	1250	0	ok	agree	vedic	
paYcama		1b	vedic	hand:class	0	4	4	1	1	-940	1250	0	ok	agree	vedic	
paYcama		1d	early-medieval	hand:class	1	1	1	1	1	-940	1250	0	ok	agree	early-medieval	
paYcama		2a	epic-sutra	dharmamitra	0	16	8	2	1	-400	1400	0	ok	agree	epic-sutra	
paYcama		2b	early-medieval	dcs+hand:class	0	4	3	2	1	-400	1400	0	ok	agree	early-medieval	
paYcama		2c			0	2	0	2	1	-400	1400	0	ok	agree		
paYcama		2d	epic-sutra	hand:class	0	7	7	2	1	-400	1400	0	ok	agree	epic-sutra	
paYcama		2e			0	1	0	2	1	-400	1400	0	ok	agree		
paYcama		3a	epic-sutra	dharmamitra+hand:class	0	6	6	3	1	-400	1830	0	ok	agree	epic-sutra	
paYcama		3b	epic-sutra	hand:class	0	13	11	3	1	-400	1830	0	ok	agree	epic-sutra	
paYcama		3c	late-medieval	hand:class	1	2	1	3	1	-400	1830	0	ok	agree	late-medieval	
paYcama		3d	early-medieval	hand:class	1	2	1	3	1	-400	1830	0	ok	agree	early-medieval	
paYcama		3e	epic-sutra	dharmamitra	0	2	2	3	1	-400	1830	0	ok	agree	epic-sutra	
paYcama		4	late-medieval	hand:class	1	2	1	4	1	1830	1830	0	ok	agree	late-medieval	
pad	1	10	epic-sutra	dcs	0	4	2	10	1	None	None	0	ok	agree	epic-sutra	
pad	1	11	epic-sutra	dcs+dharmamitra+hand:class	0	6	5	11	1	70	300	0	ok	agree	epic-sutra	
pad	1	12	vedic	dcs	0	13	13	12	1	-1125	420	0	ok	agree	vedic	
pad	1	2	vedic	dcs+hand:class	0	341	292	2	2	70	70	1	key_misalignment_hom_collapse	join-artifact	epic-sutra	Pair 1 matched entry-block 1; block 2 window (70..70) rank-agrees with bucket 'vedic'
pad	1	3	vedic	dcs	0	211	160	3	2	-940	-800	1	key_misalignment_hom_collapse	join-artifact	vedic	Pair 1 matched entry-block 1; block 2 window (-940..-800) rank-agrees with bucket 'vedic'
pad	1	4	vedic	dcs+hand:class	0	109	84	4	1	-1000	1250	0	ok	agree	vedic	
pad	1	5	vedic	dcs+hand:class	0	126	93	5	3	-400	1050	1	key_misalignment_hom_collapse	join-artifact	epic-sutra	Pair 1 matched entry-block 1; block 3 window (-400..1050) rank-agrees with bucket 'vedic'
pad	1	6	vedic	dcs	0	217	162	6	1	-940	1150	0	ok	agree	vedic	
pad	1	7	vedic	dcs	0	226	186	7	1	450	450	1	evidence_base_citation_resolution	flag-only	vedic	no 'vedic' work among the attestation's dated set — the dating layer's 'vedic' citation was left unresolved by the year table (n_unresolved_citations=1) or vice versa; both claims survive
pad	1	8	vedic	dcs	0	47	38	8	1	None	None	0	ok	agree	vedic	
pad	1	9	epic-sutra	dcs+dharmamitra+hand:class	0	26	23	9	1	80	80	0	ok	agree	epic-sutra	
