source_key	class	mintable	resolved_same_source	no_locus_same_source	top_shapes	expansion	example_miss	example_hit	example_hit_href
GṚHYASAṂGR	source	3	0	0	plain=3	GṚHYASAM̃GRAHAPARIŚIṢTA, 2 Prapāṭhaka von 106 und 103 Versen; vgl. ROTH, Zur L. u. G. d. W	<ls>GṚHYASAṂGR. 2,67.</ls>		
KAṆ	source	3	0	0	plain=3	? [Cologne Addition]	<ls>KAṆ. 3,1,1.</ls>		
Kauś	source	3	0	0	plain=3		<ls>Kauś. 47,53; 49,6.</ls>		
Mat	source	3	0	2	plain=3		<ls>Mat. med. 77</ls>		
N	format	3	204	0	plain=3	NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathie (GILD. Bibl. 49). Die BOPP'sche Ausgabe (GILD. B	<ls>N. (BOPP) 11,8.</ls>	<ls>N. 3,2.</ls>	https://sanskrit-lexicon-scans.github.io/bchrest1/app1?3,2
PRATĀPAR	source	3	0	0	plain=3	VIDYĀNĀTHA'S PRATĀPARUDRĪYAM ALAM̃KĀRAŚĀSTRAM. Lith. zu Pūnā, Śāka 1771.	<ls>PRATĀPAR. 84,b,6.</ls>		
Prabandh	source	3	0	0	plain=3		<ls>Prabandh. 281,9.</ls>		
Praty	source	3	0	0	plain=3		<ls>Praty. Hṛd. 29,2.</ls>		
PĀRŚVANĀTHAK	source	3	0	0	plain=3	? [Cologne Addition]	<ls>PĀRŚVANĀTHAK. 4,1</ls>		
SAṂSK	source	3	0	0	plain=3	? [Cologne Addition]	<ls>SAṂSK. K. 95,a,2</ls>		
Sam	source	3	0	0	roman=3		<ls>Sam. I,23</ls>		
SĀMAV	source	3	0	0	range_fgg=2;plain=1		<ls>SĀMAV. BR. 3,8,1</ls>		
SĀMAVIDH	source	3	0	0	plain=3	? [Cologne Addition]	<ls>SĀMAVIDH. BR. 2,3,2.</ls>		
