# Catalan dictionary headwords NOT found in any CDSL dictionary
# (accent- and compound-insensitive k1 match against all 43 CDSL dicts in csl-orig/v02)
# total uncovered headwords: 4680  (unique normalized keys: 4670)


## suspect-char  (126)
˜  pra-√kāṅkṣ                           	  prakANkz
kusama-druma-                           	kusamadruma
kusumbhra-vat-                          	kusumBravat
kutsita-gati-                           	kutsitagati
kuvalaya-pīḍa-                          	kuvalayapIqa
kuṭila-naya-                            	kuwilanaya
kṣīra-manthana-                         	kzIramanTana
kṣīra-nidi-                             	kzIranidi
kṣaṇa-guṇa-                             	kzaRaguRa
kṣaṇa-pratiyogī-                        	kzaRapratiyogI
kṣamā-tā-                               	kzamAtA
kṣamā-tva-                              	kzamAtva
kṣáuma-1                                	kzauma
kṣetriya-vat                            	kzetriyavat
kṣsama-tā-                              	kzsamatA
kṣudhā -śānti-                          	kzuDA SAnti
kṣudādikṛta-duḥkha-                     	kzudAdikftaduHKa
kṣud-nivṛtti-                           	kzudnivftti
kṣutpipāsā-nivṛtti-                     	kzutpipAsAnivftti
lāṅgūla-calana-                         	lANgUlacalana
līlāvadhūta-padma-                      	lIlAvaDUtapadma
līna-dhīra-                             	lInaDIra
līna-vṛtti-                             	lInavftti
laukika-vākya-                          	lOkikavAkya
laukika-vigraha-                        	lOkikavigraha
laghu-bhratṛ-                           	laGuBratf
laghu-paṭanaka-                         	laGupawanaka
labdha-dhī-                             	labDaDI
labdha-kṣaṇa-                           	labDakzaRa
labdha-praveśa-                         	labDapraveSa
lajjā-sūnya-                            	lajjAsUnya
lajjā-tura-                             	lajjAtura
lakṣaṇa-doṣa-                           	lakzaRadoza
lakṣmaṇa-vīra-                          	lakzmaRavIra
lakṣyālakṣya-gati-                      	lakzyAlakzyagati
lakṣya-cyuta-                           	lakzyacyuta
lakṣyamāṇa-guṇa-                        	lakzyamARaguRa
lakṣya-mātrāvartana-                    	lakzyamAtrAvartana
lakṣyatāvacchedaka-samaniyatatva-       	lakzyatAvacCedakasamaniyatatva
lalita-dohadāpekṣin-                    	lalitadohadApekzin
lalita-kāmin-                           	lalitakAmin
lalita-spṛha-                           	lalitaspfha
latā-grḥa-                              	latAgrHa
la-tva-                                 	latva
lavaṅga-puṣpa-                          	lavaNgapuzpa
lekha-hasta-                            	leKahasta
lekhaka-doṣa-                           	leKakadoza
lekha-kara-                             	leKakara
leśa-tas                                	leSatas
lepa-vidūraga-                          	lepavidUraga
liṅga-liṅgipūrvaka-                     	liNgaliNgipUrvaka
liṅga-vācaka-                           	liNgavAcaka
liṅga-vyatyaya-                         	liNgavyatyaya
loka-śreṣṭa-                            	lokaSrezwa
loka-duḥka-                             	lokaduHka
loka-kṣaya-                             	lokakzaya
lopa-balīyastva-                        	lopabalIyastva
lopa-vidhi-                             	lopaviDi
luk-vikaraṇa-                           	lukvikaraRa
māṃsa-lipta-                            	mAMsalipta
māṇuṣya-1                               	mARuzya
māṇuṣya-2                               	mARuzya
māna-dhanāgrayāyin-                     	mAnaDanAgrayAyin
mānasa-suc-                             	mAnasasuc
mārga-śīrṣā-                            	mArgaSIrzA
mārga-vaśāyata-                         	mArgavaSAyata
mātaṅga-mātaṅga-                        	mAtaNgamAtaNga
mātaṅga-pati-                           	mAtaNgapati
mātaṅga-rāja-                           	mAtaNgarAja
mātaṅga-tva-                            	mAtaNgatva
mātṛ-loka-                              	mAtfloka
mātṛ-svaseya-                           	mAtfsvaseya
māyā-kḷipta-                            	mAyAkxipta
māyā-madirā-                            	mAyAmadirA
māyā-vādin-                             	mAyAvAdin
maithuna-priya-                         	mETunapriya
maitrī-karunāmuditopekṣā-               	mEtrIkarunAmuditopekzA
mauktikā-hara-                          	mOktikAhara
mūla-vastu-                             	mUlavastu
mūrchā-prāṇāyāma-                       	mUrCAprARAyAma
mūrti-vaicitrya-                        	mUrtivEcitrya
madhu-bilā-                             	maDubilA
madhura-saṃbhāṣa-                       	maDurasaMBAza
madhu-saṃmiśra-                         	maDusaMmiSra
madhu-sattama-                          	maDusattama
madhu-vākya-                            	maDuvAkya
madhv-ada-                              	maDvada
madhya-vikāsa-                          	maDyavikAsa
maṅki-gītā-                             	maNkigItA
maṇi-mukuṭa-                            	maRimukuwa
mathana-parvata-                        	maTanaparvata
mañjari-dharin-                         	maYjariDarin
madana-saṃdesa-                         	madanasaMdesa
madira-locana-                          	madiralocana
magadha-deśā-                           	magaDadeSA
mahā-bhiśaṇaka-                         	mahABiSaRaka
mahā-bindu-                             	mahAbindu
mahā-jñāna-                             	mahAjYAna
mahā-kṛccha-                            	mahAkfcCa
mahā-mālin-                             	mahAmAlin
mahā-nīlaya-                            	mahAnIlaya
mahānubhava-tā-                         	mahAnuBavatA
mahānubhava-tva-                        	mahAnuBavatva
mahā-nyagrodha-                         	mahAnyagroDa
mahā-pāṭa-                              	mahApAwa
mahā-paśyantī-                          	mahApaSyantI
mahā-sṛṣṭi-                             	mahAsfzwi
mahā-vyāpti-                            	mahAvyApti
mahad-ādi-                              	mahadAdi
maheśvara-purāṇa-                       	maheSvarapurARa
mala-bhāṇḍavat                          	malaBARqavat
mala-mayakośa-                          	malamayakoSa
mala-pūrṇa-                             	malapUrRa
malla-deśa-                             	malladeSa
manaḥ-śīlā-                             	manaHSIlA
manaḥ-śodhana-                          	manaHSoDana
manaḥ-pragrahavat-                      	manaHpragrahavat
manasi-ja taru-                         	manasija taru
manas-tala-                             	manastala
mano-kṛta-                              	manokfta
mano-vāñcā-                             	manovAYcA
mano-vāñcita-                           	manovAYcita
mantṛ-tā-                               	mantftA
mantra-hina-                            	mantrahina
mantra-kalā-                            	mantrakalA
mantra-vīrya-                           	mantravIrya
mantri-pramukha-                        	mantripramuKa
manuṣya-kāma-                           	manuzyakAma
manyu-parīta-                           	manyuparIta
marma-jñāña-                            	marmajYAYa
mat-sadṛśya-                            	matsadfSya
mat-sakaśe                              	matsakaSe
matsya-ghāṭa-                           	matsyaGAwa
medha-jā-                               	meDajA
megha-visphurjita-                      	meGavisPurjita
methi-bhūta-                            	meTiBUta
medura-svara-                           	medurasvara
meya-tva-                               	meyatva
mṛd-bhaṇḍa-                             	mfdBaRqa
mṛdita-kaṣāya-                          	mfditakazAya
mṛd-mātra-                              	mfdmAtra
mṛdu-bhāśin-                            	mfduBASin
mṛdv-aṇgī-                              	mfdvaRgI
mṛdv-aṇga-                              	mfdvaRga
mṛga-grahana-                           	mfgagrahana
mṛt-bhūta-                              	mftBUta
mṛta-dharaka-                           	mftaDaraka
mṛt-kārya-                              	mftkArya
mṛtyu-mukha-                            	mftyumuKa
mṛtyu-prokta-                           	mftyuprokta
mṛṣā-mātra-                             	mfzAmAtra
mṛṣā-vācana-                            	mfzAvAcana
mithyādhyāsa-nivṛtti-                   	miTyADyAsanivftti
mithyā-jñānojjṛmbhita-                  	miTyAjYAnojjfmBita
mithyā-vapu-                            	miTyAvapu
mita-vyāyin-                            	mitavyAyin
miṣa-tas                                	mizatas
miṣṭa-karṭr-                            	mizwakarwr
mleccha-nivāha-                         	mlecCanivAha
modaka-priya-                           	modakapriya
mohita-kalpanā-                         	mohitakalpanA
mokṣaika-sakti-                         	mokzEkasakti
mokṣa-prāpti-                           	mokzaprApti
muśka-deśa-                             	muSkadeSa
mugdha-vādhu-                           	mugDavADu
mugdha-vilokitopadeśa-                  	mugDavilokitopadeSa
mukta-deha-                             	muktadeha
mukti-pada-                             	muktipada
mukti-yuvati-                           	muktiyuvati
mumukṣa-tā-                             	mumukzatA
mumukṣa-tva-                            	mumukzatva
muralī-dhāra-                           	muralIDAra
muṣtā-muṣti                             	muztAmuzti
nāka-pṛṣṭa-                             	nAkapfzwa
nāvya-naiyāyika-                        	nAvyanEyAyika
nāvya-nyāya-                            	nAvyanyAya
naika-dṛṣ-                              	nEkadfz
nīvāra-bali-                            	nIvArabali
nau-sādhana-                            	nOsADana
nabho-dhāraṇā-                          	naBoDAraRA
nadī-rāja-                              	nadIrAja
nagna-śravana-                          	nagnaSravana
nagojī-bhaṭṭa-                          	nagojIBawwa
naktaṃ-bhogin-                          	naktaMBogin
nalinī-ṣaṇḍa-                           	nalinIzaRqa
nara-janma-                             	narajanma
náu-1                                   	nau
nava-kalevara-                          	navakalevara
naṣṭa-kriyā-                            	nazwakriyA
nṛ śaṃsa-tā-                            	nf SaMsatA
nṛ-nīti-                                	nfnIti
nṛ-varga-                               	nfvarga
niḥśeṣa-mokṣa-                          	niHSezamokza
niḥśeṣa-vilaya-                         	niHSezavilaya
nididhyāsana-śīla-                      	nidiDyAsanaSIla
nigaḍa-gaḍana-                          	nigaqagaqana
nija-cakṣus-                            	nijacakzus
nimeṣāntara-mātreṇa                     	nimezAntaramAtreRa
nimna-bhaga-                            	nimnaBaga
nimna-nabhi-                            	nimnanaBi
nipna-vat-                              	nipnavat
nirākāra-jñāna-                         	nirAkArajYAna
nirālambana-vāda-                       	nirAlambanavAda
nirāsa-karaṇīya-                        	nirAsakaraRIya
nirantarābhyāsa-vaśa-                   	nirantarAByAsavaSa
nirantarānandarasa-svarūpa-             	nirantarAnandarasasvarUpa
nirantara-payodhara-                    	nirantarapayoDara
nirbandha-prṣṭha-                       	nirbanDaprzWa
nirgama-darśana-                        	nirgamadarSana
nirmāṇa-citta-                          	nirmARacitta
nirmūlya-2                              	nirmUlya
nirmagna-mānasa-                        	nirmagnamAnasa
nirmukta-bāhyārthadhī-                  	nirmuktabAhyArTaDI
nirmukta-bandhana-                      	nirmuktabanDana
nirmukta-pāpa-                          	nirmuktapApa
nirodha-kṣaṇa-                          	niroDakzaRa
nirodha-pariṇāma-                       	niroDapariRAma
nirodha-saṃskāra-                       	niroDasaMskAra
nirvāṇa-sukha-                          	nirvARasuKa
nirvighna-parisamāpti-                  	nirviGnaparisamApti
nirvighna-samāpti-                      	nirviGnasamApti
nirvicāra-vaiśāradya-                   	nirvicAravESAradya
nirvikalpaka-jñāna-                     	nirvikalpakajYAna
nirvikalpaka-tva-                       	nirvikalpakatva
nisarga-durbodha-                       	nisargadurboDa
nistaraṅga-jalarāśiniścala-             	nistaraNgajalarASiniScala
nitamba-biṃba-                          	nitambabiMba
nityādvayākhaṇḍacid-ekarūpa-            	nityAdvayAKaRqacidekarUpa
nitya-śucisukhātma-                     	nityaSucisuKAtma
nitya-dravya-                           	nityadravya
nitya-nirantaram                        	nityanirantaram
nityasdravya-vṛtti-                     	nityasdravyavftti
nitya-sukhānubhūti-                     	nityasuKAnuBUti
nitya-tas                               	nityatas
nitya-viniścala-                        	nityaviniScala
nityopalabdhi-svarūpa-                  	nityopalabDisvarUpa
nivāsa-bhuvana-                         	nivAsaBuvana
nivṛtta-prasava-                        	nivfttaprasava
nivṛtta-sevāka-                         	nivfttasevAka
niyata-manasa-                          	niyatamanasa
niṣphala-tā-                            	nizPalatA
niṣṭhīvana-śarava-                      	nizWIvanaSarava
niṣedha-mukha-                          	nizeDamuKa
niṣiddha-kartṛ-                         	nizidDakartf
niṣkāraṇa-bandhu-                       	nizkAraRabanDu
niṣkala-nirvikalpa-                     	nizkalanirvikalpa
niṣkṛta-lakṣaṇa-                        	nizkftalakzaRa
niṣkṛṣṭa-lakṣaṇa-                       	nizkfzwalakzaRa
niṣpandī-kṛta-                          	nizpandIkfta
niṣpanda-tā-                            	nizpandatA
nyāyasūtra-bhāṣya-                      	nyAyasUtraBAzya
nyāya-sabhā-                            	nyAyasaBA
nyūnī-kṛta-                             	nyUnIkfta
oṣṭha-loma-                             	ozWaloma
oṣadhi-nātha-                           	ozaDinATa
pāṇḍitya-dyotin-                        	pARqityadyotin
pāṇḍu-śikata-                           	pARquSikata
pāṇḍu-patra-                            	pARqupatra
pāda-bhaga-                             	pAdaBaga
pāda-paṅkaja-                           	pAdapaNkaja
pāda-praṇama-                           	pAdapraRama
pāna-maṇḍala-                           	pAnamaRqala
pāpa-samācara-                          	pApasamAcara
pārśṇi-bhāga-                           	pArSRiBAga
pārśṇi-ghāta-                           	pArSRiGAta
pārśṇi-grāha-                           	pArSRigrAha
pārśṇi-graha-                           	pArSRigraha
pārśṇi-grahaṇa-                         	pArSRigrahaRa
pārśṇi-prahāra-                         	pArSRiprahAra
pārśṇi-sārathi-                         	pArSRisAraTi
pārśṇi-vāh-                             	pArSRivAh
pārśṇi-vāha-                            	pArSRivAha
pāra-vivarjita-                         	pAravivarjita
pāribhāṣika-dvaṃdvatā-                  	pAriBAzikadvaMdvatA
pārokṣya-kathābhidhāyin-                	pArokzyakaTABiDAyin
pātrī-bhūta-                            	pAtrIBUta
pāṭala-kusuma-                          	pAwalakusuma
pāṣāṇa-śīla-                            	pAzARaSIla
pīta-śonita-                            	pItaSonita
paura-kānyā-                            	pOrakAnyA
pūrṇa-kalaśa-                           	pUrRakalaSa
pūya-pūrṇa-                             	pUyapUrRa
paṅkaja-ja-                             	paNkajaja
paṇke-ja-                               	paRkeja
paṇke-ruh-                              	paRkeruh
paṇke-ruha-                             	paRkeruha
paśu-paśa-                              	paSupaSa
pathika-pati-                           	paTikapati
pañcāvayava-vākya-                      	paYcAvayavavAkya
pañca-chūḍā-                            	paYcaCUqA
pañca-dhāraṇā-                          	paYcaDAraRA
pañca-śabdādyātmakatva-                 	paYcaSabdAdyAtmakatva
pañca-śadbheda-                         	paYcaSadBeda
pañca-śat-                              	paYcaSat
pañca-aptata-                           	paYcaaptata
pañca-deva-                             	paYcadeva
pañca-pañcāsa-                          	paYcapaYcAsa
pañca-prāṇormi-                         	paYcaprARormi
pañca-sūna-                             	paYcasUna
pañca-sadbhāga-                         	paYcasadBAga
pañca-srota-                            	paYcasrota
pañca-srotombu-                         	paYcasrotombu
pañca-tām                               	paYcatAm
pañca-viṣaya-                           	paYcavizaya
pañca-yoni-                             	paYcayoni
padārtha-dhī-                           	padArTaDI
padma-kalpa-                            	padmakalpa
padma-vyākoṣa-                          	padmavyAkoza
pakṣa-dharmatā-                         	pakzaDarmatA
palāyana-kriyā-                         	palAyanakriyA
palitaṃ-bhavuka-                        	palitaMBavuka
pannaga-nāṣana-                         	pannaganAzana
parāhaṃtā-vimarśa-                      	parAhaMtAvimarSa
parāmarśa-janya-                        	parAmarSajanya
parāvasatha-śayin-                      	parAvasaTaSayin
para citta-jñāna-                       	para cittajYAna
paraḥ-krṣṇa-                            	paraHkrzRa
paraṃ-parāgata-                         	paraMparAgata
paraṃ-parāprapta-                       	paraMparAprapta
paraṃ-parāyata-                         	paraMparAyata
paraguṇa-grahin-                        	paraguRagrahin
para-janma-                             	parajanma
paramāṇu-bhūta-                         	paramARuBUta
paramāṇu-rūpa-                          	paramARurUpa
paramāṇu-tva-                           	paramARutva
paramārtha-bhūta-                       	paramArTaBUta
paramārtha-darśin-                      	paramArTadarSin
paramārtha-lābha-                       	paramArTalABa
para-nāda-                              	paranAda
para-paratvāparatva-                    	paraparatvAparatva
para-saṃvit                             	parasaMvit
para-svādayin-                          	parasvAdayin
para-svātantrya-                        	parasvAtantrya
paravāda-vivarjita-                     	paravAdavivarjita
paravaśa-tā-                            	paravaSatA
para-vaśyā-                             	paravaSyA
pariṇāmī-bhāva-                         	pariRAmIBAva
pariṇata-karma-                         	pariRatakarma
pariśuṣka-talu-                         	pariSuzkatalu
parimāṇa-janya-                         	parimARajanya
parināma-darśin-                        	parinAmadarSin
parināma-duḥkha-                        	parinAmaduHKa
parināma-mukha-                         	parinAmamuKa
parināma-ramaṇīya-                      	parinAmaramaRIya
parināma-vāda-                          	parinAmavAda
parināma-vat-                           	parinAmavat
paropakari-tva-                         	paropakaritva
parvata-guhā-                           	parvataguhA
pascāc-cara-                            	pascAccara
pascād-bhāga-                           	pascAdBAga
pascād-ahas                             	pascAdahas
pataṅga-vat                             	pataNgavat
pataṅga-vṛtti-                          	pataNgavftti
pati-bhāva-                             	patiBAva
patni-śālā-                             	patniSAlA
patni-śāla-                             	patniSAla
patni-saṃnahana-                        	patnisaMnahana
patni-tva-                              	patnitva
pattra-preṣaṇa-                         	pattraprezaRa
paṭu-dhī-                               	pawuDI
paṭu-buddhi-                            	pawubudDi
payo-payoṣṇī-                           	payopayozRI
pṛthivī-mātrā-                          	pfTivImAtrA
pṛthivī-ruh-                            	pfTivIruh
piṅgalaka-galiman-                      	piNgalakagaliman
piṅgalaka-galin-                        	piNgalakagalin
piṅgalaka-galita-                       	piNgalakagalita
piṇḍa-nirvṛtti-                         	piRqanirvftti
piśāca-aṃcāra-                          	piSAcaaMcAra
piṣṭa-peśa-                             	pizwapeSa
piṣṭa-peśaṇa-                           	pizwapeSaRa
poṣya-suta-                             	pozyasuta
prāṇa-chhid-                            	prARaChid
prāṇa-bandhana-                         	prARabanDana
prāṇa-dyuta-                            	prARadyuta
prāṇa-labha-                            	prARalaBa
prāṇa-priyā-                            	prARapriyA
prāṇa-vāyu-                             	prARavAyu
prāṇa-vallabha-                         	prARavallaBa
prācīna-śala-                           	prAcInaSala
prācīna-vāsanāvega-                     	prAcInavAsanAvega
prādeśa-saṃmita-                        	prAdeSasaMmita
prāhṇa-tamām                            	prAhRatamAm
prāhṇa-tarām                            	prAhRatarAm
prājāpaty-tva-                          	prAjApatytva
prākṛta-dhvani-                         	prAkftaDvani
prāk-ṣrotas-                            	prAkzrotas
prāleya-kāra-                           	prAleyakAra
prārabdha-kalpanā-                      	prArabDakalpanA
prārabdhakarma-parikalpitavāsanā-       	prArabDakarmaparikalpitavAsanA
prātibha-śrāvaṇavedanādarśāsvādavārta-  	prAtiBaSrAvaRavedanAdarSAsvAdavArta
prīty-aprītiviṣadātmaka-                	prItyaprItivizadAtmaka
prauḍha-brāhmaṇa-                       	prOQabrAhmaRa
prabhāva-vatī-                          	praBAvavatI
prabhu-vimita-                          	praBuvimita
pradhāna-jaya-                          	praDAnajaya
pradhāna-kṣetrajñapati-                 	praDAnakzetrajYapati
pradhāna-puruṣāntara-                   	praDAnapuruzAntara
pradhāna-vinivṛtti-                     	praDAnavinivftti
praśānta-vāhitā-                        	praSAntavAhitA
praśaṃsā-kāma-                          	praSaMsAkAma
praśamita-karaṇa-                       	praSamitakaraRa
praśithila-saṃyoga-                     	praSiTilasaMyoga
praśna-tas tddh                         	praSnatas tdD
prathama-dina-                          	praTamadina
prathama-parīgṛhīta-                    	praTamaparIgfhIta
prathama-vikāra-                        	praTamavikAra
prathita-bala-                          	praTitabala
prathita-yukti-                         	praTitayukti
prabala-śrutivirodha-                   	prabalaSrutiviroDa
prabala-tama-                           	prabalatama
prabuddha-tattva-                       	prabudDatattva
pracchardana-vidhāraṇa-                 	pracCardanaviDAraRa
pracaya-yoni-                           	pracayayoni
prácyuta-kelikanduka-                   	pracyutakelikanduka
pradīpa-kalpa-                          	pradIpakalpa
pradīpa-vat                             	pradIpavat
prajāpati-vrata-                        	prajApativrata
prajā-rājya-                            	prajArAjya
prajñā-saṃskāra-                        	prajYAsaMskAra
prajñā-viveka-                          	prajYAviveka
prajalpa-mātra-                         	prajalpamAtra
prakāśa-śīla-                           	prakASaSIla
prakāśa-kriyāsthitiśīla-                	prakASakriyAsTitiSIla
prakāśa-pravṛttiniyamārtha-             	prakASapravfttiniyamArTa
prakāśa-varaṇakṣaya-                    	prakASavaraRakzaya
prakaraṇa-cintā-                        	prakaraRacintA
prakaraṇa-praptipādya-                  	prakaraRapraptipAdya
prakṛti-kṛta-                           	prakftikfta
prakṛti-sarūpa-                         	prakftisarUpa
prakṛti-sraiṣṭhya-                      	prakftisrEzWya
prakṛti-svara-                          	prakftisvara
prakriyā-deha-                          	prakriyAdeha
pralīna-sarvendriyabuddhivṛtti-         	pralInasarvendriyabudDivftti
pramāṇa-duṣṭa-                          	pramARaduzwa
pramāṇa-gamya-                          	pramARagamya
pramāṇa-patra-                          	pramARapatra
pramāṇa-vacana-                         	pramARavacana
pramā-janya-                            	pramAjanya
pramūḍha-sañjña-                        	pramUQasaYjYa
pramadā-jita-                           	pramadAjita
prameya-siddhi-                         	prameyasidDi
pranaṣṭa-prāṇa-                         	pranazwaprARa
prapañca-rasika-                        	prapaYcarasika
prasāda-paraṅmukha-                     	prasAdaparaNmuKa
prasanna-citta-                         	prasannacitta
prastāva-bhājin-                        	prastAvaBAjin
prastuti-kāma-                          	prastutikAma
prasupta-tanuvicchinnodāra-             	prasuptatanuvicCinnodAra
pratīpa-gamin-                          	pratIpagamin
pratītya-samutpada-                     	pratItyasamutpada
pratibhāsa-deha-                        	pratiBAsadeha
pratiśākhā-naḍī-                        	pratiSAKAnaqI
pratibandha-śūnya-                      	pratibanDaSUnya
pratibimba-bimbita-                     	pratibimbabimbita
pratibimba-gātra-                       	pratibimbagAtra
pratibimba-laulya-                      	pratibimbalOlya
pratibodha-mātra-                       	pratiboDamAtra
pratihāra-bhājin-                       	pratihAraBAjin
pratimā-śaśaṅka-                        	pratimASaSaNka
pratipakṣa-bhāvana-                     	pratipakzaBAvana
pratipatti-vandhya-                     	pratipattivanDya
pratiprasava-heya-                      	pratiprasavaheya
pratipuruṣa-vimokṣārtha-                	pratipuruzavimokzArTa
pratisaṃvedi-tva-                       	pratisaMveditva
pratiṣṭhā-saṃstāva-                     	pratizWAsaMstAva
pratyāsatti-nyāya-                      	pratyAsattinyAya
pratyāsatti-vacana-                     	pratyAsattivacana
pratyūha-varjita-                       	pratyUhavarjita
pratyaṅga-dakṣinā-                      	pratyaNgadakzinA
pratyag-ātmāsadātman-                   	pratyagAtmAsadAtman
pratyag-avasthita-                      	pratyagavasTita
pratyag-bodhānandarūpa-                 	pratyagboDAnandarUpa
pratyag-brahma-                         	pratyagbrahma
pratyag-rūpatayā                        	pratyagrUpatayA
pratyak-caitanya-                       	pratyakcEtanya
pratyak-cetanādhigama-                  	pratyakcetanADigama
pratyak-sadānandaghana-                 	pratyaksadAnandaGana
pratyarthī-bhūta-                       	pratyarTIBUta
pratyastam-gamana-                      	pratyastamgamana
pratyayāntara-śūnya-                    	pratyayAntaraSUnya
pratyayāntara-vimiśrita-                	pratyayAntaravimiSrita
pratyayaikatāna-tā-                     	pratyayEkatAnatA
pratyaya-vidhi-                         	pratyayaviDi
pravahana-bhaṅga-                       	pravahanaBaNga
pravṛtta-yajña-                         	pravfttayajYa
pravṛtti-bheda-                         	pravfttiBeda
pravṛtti-kalanā-                        	pravfttikalanA
pravṛttyāloka-nyāsa-                    	pravfttyAlokanyAsa
prayata-ta-                             	prayatata
prayatna-vaiyarthya-                    	prayatnavEyarTya
prayojana-vatī-                         	prayojanavatI
prekṣaka-vat                            	prekzakavat
premā-bandhana-                         	premAbanDana
prema-darśana-                          	premadarSana
pretya-saṃbhava-                        	pretyasaMBava
priya-vakṭr-                            	priyavakwr
prollāsa-bhūmi-                         	prollAsaBUmi
prota-ghaṇa-                            	protaGaRa
puṃ-pravṛtti-                           	puMpravftti
puṇya-pratirūpaka-                      	puRyapratirUpaka
punā-rājābhiṣekha-                      	punArAjABizeKa
punaś -candrā-                          	punaS candrA
punar-ūpoḍhā-                           	punarUpoQA
puraṃ-dvār-                             	puraMdvAr
puraṃ-dvāra-                            	puraMdvAra
pura-prakalpana-                        	puraprakalpana
purastān -mukha-                        	purastAn muKa
puruṣārtha-śūnya-                       	puruzArTaSUnya
puruṣārtha-hetuka-                      	puruzArTahetuka
puruṣārtha-jñāna-                       	puruzArTajYAna
puruṣa-khyāti-                          	puruzaKyAti
puruṣa-bahutva-                         	puruzabahutva
puruṣa-viśeṣa-                          	puruzaviSeza
puruṣa-vimokṣanimitta                   	puruzavimokzanimitta
put-nāman-                              	putnAman
puṣkara-netra-                          	puzkaranetra
puṣpa-gaṇḍīkā-                          	puzpagaRqIkA
puṣpa-sekhara-                          	puzpaseKara
puṣpa-vát1-                             	puzpavat1
rāśy-stha-                              	rASysTa
rāga-khaṇḍava-                          	rAgaKaRqava
rāgoru-pāśa-                            	rAgorupASa
rāja-kṛyā-                              	rAjakfyA
rāja-vīthi-                             	rAjavITi
rātrī-cara-                             	rAtrIcara
rātrī-divaṃ-                            	rAtrIdivaM
rātrī-jāgaraṇa-                         	rAtrIjAgaraRa
rātrī-nātha-                            	rAtrInATa
rātrī-vihārin-                          	rAtrIvihArin
raghu-svamin-                           	raGusvamin
raṇa-raṇakā-                            	raRaraRakA
rathyā-caya-                            	raTyAcaya
raí-2                                   	rai
rajaḥ-svabhāva-                         	rajaHsvaBAva
rajanī-bhujaṅga-                        	rajanIBujaNga
rajju-tattvāvadhāraṇā-                  	rajjutattvAvaDAraRA
rajo-pluta-                             	rajopluta
rasa-taraṅginī-                         	rasataraNginI
ravi-sūta-                              	ravisUta
riktha-graha-                           	rikTagraha
ruci-mat-                               	rucimat
ruddhāpaṅga-prasara-                    	rudDApaNgaprasara
rudra-pramātṛ-                          	rudrapramAtf
sādhāraṇī-karaṇa-                       	sADAraRIkaraRa
sādhana-pāda-                           	sADanapAda
sādharmya-dṛṣṭānta-                     	sADarmyadfzwAnta
sādhu-yukti-                            	sADuyukti
sādhya-sāmānya-                         	sADyasAmAnya
sādhya-vyāpya-                          	sADyavyApya
sāṃkhya-yogādhigamya-                   	sAMKyayogADigamya
sāṃprata-kāla-                          	sAMpratakAla
sāṇga-rāga-                             	sARgarAga
sāścarya-katuka-                        	sAScaryakatuka
sādṛśya-jñāna-                          	sAdfSyajYAna
sādṛśya-pratiyogitva-                   	sAdfSyapratiyogitva
sāṛiṣṭha-tva-                           	sAfizWatva
sākṣya-dharma-                          	sAkzyaDarma
sālambana-vāda-                         	sAlambanavAda
sāmānya-dhātṛ-                          	sAmAnyaDAtf
sāmānya-dharma-                         	sAmAnyaDarma
sāmānya-guṇa-                           	sAmAnyaguRa
sāmānya-karaṇavṛtti-                    	sAmAnyakaraRavftti
sāmānya-mātra-                          	sAmAnyamAtra
sāmānya-spanda-                         	sAmAnyaspanda
sāmānya-viśeṣa-                         	sAmAnyaviSeza
sāmarthya-tas                           	sAmarTyatas
sāmarthya-yogāt-                        	sAmarTyayogAt
sāndra-megha-                           	sAndrameGa
sāraṇga-locanā-                         	sAraRgalocanA
sāttvika-priya-                         	sAttvikapriya
skhalad-akṣara-                         	sKaladakzara
saurājya-baddhotsāva-                   	sOrAjyabadDotsAva
saurājya-ramya-                         	sOrAjyaramya
sphaṭika-bhiṭṭi-                        	sPawikaBiwwi
sphitī-kṛta-                            	sPitIkfta
sphurad-adharoṣṭa-                      	sPuradaDarozwa
sphurad-oṣṭa-                           	sPuradozwa
sphutī-bhāva-                           	sPutIBAva
sphutī-karaṇa-                          	sPutIkaraRa
sthāṇu-vrata-                           	sTARuvrata
sthāna-sthāneṣu                         	sTAnasTAnezu
sthāny-upanimantrana-                   	sTAnyupanimantrana
sthūlādi-bhāva-                         	sTUlAdiBAva
sthūla-bhuj-                            	sTUlaBuj
sthūla-dhyāna-                          	sTUlaDyAna
sthūla-śarīrāpekṣayā                    	sTUlaSarIrApekzayA
sthūla-prapañcāpekṣayā                  	sTUlaprapaYcApekzayA
sthūla-prapañcotpatti-                  	sTUlaprapaYcotpatti
sthaṇḍila-samveśana-                    	sTaRqilasamveSana
sthirānurāga-tā-                        	sTirAnurAgatA
sthiti-śīla-                            	sTitiSIla
sthiti-nibandhin-                       	sTitinibanDin
sthity-utpattipralaya-                  	sTityutpattipralaya
sūda-śāśtra-                            	sUdaSAStra
sūkara-yoni-                            	sUkarayoni
sūkṣma-dhyāna-                          	sUkzmaDyAna
sūkṣma-śarīrābhimāna-                   	sUkzmaSarIrABimAna
sūkṣma-saṃjñita-                        	sUkzmasaMjYita
sūrya-marīci-                           	sUryamarIci
sūrya-pūta-                             	sUryapUta
sūrya-saṃkāśa-                          	sUryasaMkASa
sūrya-sahasra-                          	sUryasahasra
sūta-vyāsanin-                          	sUtavyAsanin
sūtika-bhavana-                         	sUtikaBavana
sūtika-gṛha-                            	sUtikagfha
sūtika-ṣaṣṭhī-                          	sUtikazazWI
