L	key1	devanagari	translit	sense	pc	anchor
68447	upAdya	उपाद्य	upādya		5-1197	pc
68448	upADAyyapUrvaya	उपाधाय्यपूर्वय	upādhāyyapūrvaya		5-1197	pc
68449	upADi	उपाधि	upādhi	1	5-1197	pc
68450	upADi	उपाधि	upādhi	2	5-1197	pc
68451	upADivivfti	उपाधिविवृति	upādhivivṛti		5-1198	pc
68452	upADyAya	उपाध्याय	upādhyāya		5-1198	pc
68454	upAnayana	उपानयन	upānayana		5-1198	pc
68455	upAnah	उपानह्	upānah		5-1198	pc
68456	upAnaha	उपानह	upānaha		5-1198	pc
68457	upAnta	उपान्त	upānta	1	5-1198	pc
68458	upAntya	उपान्त्य	upāntya		5-1198	pc
68459	upAya	उपाय	upāya		5-1198	pc
68460	upAyana	उपायन	upāyana		5-1198	pc
68461	upAyaSrIBadra	उपायश्रीभद्र	upāyaśrībhadra		5-1198	pc
68462	upAyAkzepa	उपायाक्षेप	upāyākṣepa		5-1198	pc
68463	upAyin	उपायिन्	upāyin	,	5-1198	pc
68464	upArjya	उपार्ज्य	upārjya		5-1198	pc
68465	upAlaBya	उपालभ्य	upālabhya		5-1198	pc
68466	upAlamBa	उपालम्भ	upālambha		5-1198	pc
68467	upAlAlya	उपालाल्य	upālālya		5-1198	pc
68468	upAvartana	उपावर्तन	upāvartana		5-1198	pc
68469	upASraya	उपाश्रय	upāśraya		5-1198	pc
68470	upAsaka	उपासक	upāsaka		5-1198	pc
68471	upAsaNga	उपासङ्ग	upāsaṅga		5-1198	pc
68472	upAsana	उपासन	upāsana		5-1199	pc
68473	upAsanAKaRqa	उपासनाखण्ड	upāsanākhaṇḍa		5-1199	pc
68474	upAsanAcandrAmfta	उपासनाचन्द्रामृत	upāsanācandrāmṛta		5-1199	pc
68475	upAsanIya	उपासनीय	upāsanīya		5-1199	pc
68476	upAsA	उपासा	upāsā		5-1199	pc
68477	upAsitavya	उपासितव्य	upāsitavya		5-1199	pc
68479	upAsti	उपास्ति	upāsti		5-1199	pc
68480	upAstra	उपास्त्र	upāstra		5-1199	pc
68481	upAsya	उपास्य	upāsya		5-1199	pc
68482	upekza	उपेक्ष	upekṣa	,	5-1199	pc
68482	upekza	उपेक्षा	upekṣā	,	5-1199	pc
68483	upekzaka	उपेक्षक	upekṣaka		5-1199	pc
68485	upekzitavya	उपेक्षितव्य	upekṣitavya		5-1199	pc
68486	upekzya	उपेक्ष्य	upekṣya		5-1199	pc
68488	upendra	उपेन्द्र	upendra		5-1199	pc
68489	upendraSakti	उपेन्द्रशक्ति	upendraśakti		5-1199	pc
68490	upeya	उपेय	upeya		5-1199	pc
68492	upodita	उपोदित	upodita		5-1199	pc
68493	upoditi	उपोदिति	upoditi		5-1199	pc
68494	upodGAta	उपोद्घात	upodghāta		5-1199	pc
68495	upodGAtapAda	उपोद्घातपाद	upodghātapāda		5-1199	pc
68496	upodbalana	उपोद्बलन	upodbalana		5-1199	pc
68498	upozaRa	उपोषण	upoṣaṇa		5-1200	pc
68499	ubj	उब्ज्	ubj		5-1200	pc
68500	uB	उभ्	ubh		5-1200	pc
68501	uBa	उभ	ubha	,	5-1200	pc
68502	uBaya	उभय	ubhaya		5-1200	pc
68503	uBayacArin	उभयचारिन्	ubhayacārin		5-1200	pc
68504	uBayacCannA	उभयच्छन्ना	ubhayacchannā		5-1200	pc
68505	uBayatas	उभयतस्	ubhayatas	,	5-1200	pc
68507	uBayatoBAza	उभयतोभाष	ubhayatobhāṣa		5-1200	pc
68508	uBayatomuKa	उभयतोमुख	ubhayatomukha		5-1200	pc
68509	uBayaTA	उभयथा	ubhayathā		5-1200	pc
68510	uBayapadin	उभयपदिन्	ubhayapadin		5-1200	pc
68512	uBayavaMSya	उभयवंश्य	ubhayavaṃśya		5-1200	pc
68513	uBayavipulA	उभयविपुला	ubhayavipulā		5-1200	pc
68514	uBayavyaYjana	उभयव्यञ्जन	ubhayavyañjana		5-1200	pc
68515	uBayasaptamI	उभयसप्तमी	ubhayasaptamī		5-1200	pc
68516	uBayastoBa	उभयस्तोभ	ubhayastobha		5-1200	pc
68517	uBayasnAtaka	उभयस्नातक	ubhayasnātaka		5-1200	pc
68518	uBayAda	उभयाद	ubhayāda		5-1200	pc
68521	uBayAyin	उभयायिन्	ubhayāyin		5-1200	pc
68522	uBayAlaMkAra	उभयालंकार	ubhayālaṃkāra		5-1201	pc
68524	uBayAvftti	उभयावृत्ति	ubhayāvṛtti		5-1201	pc
68525	umA	उमा	umā		5-1201	pc
68526	umAcaturTI	उमाचतुर्थी	umācaturthī		5-1201	pc
68528	umAnATa	उमानाथ	umānātha		5-1201	pc
68529	umApati	उमापति	umāpati		5-1201	pc
68530	umApatidatta	उमापतिदत्त	umāpatidatta		5-1201	pc
68531	umApatiDara	उमापतिधर	umāpatidhara		5-1201	pc
68532	umAmaheSvaravrata	उमामहेश्वरव्रत	umāmaheśvaravrata		5-1201	pc
68534	umeSa	उमेश	umeśa		5-1201	pc
68535	umbeka	उम्बेक	umbeka		5-1201	pc
68536	umB	उम्भ्	umbh		5-1201	pc
68537	umlocA	उम्लोचा	umlocā		5-1201	pc
68538	ura	उर	ura	,	5-1201	pc
68539	uraHkzaya	उरःक्षय	uraḥkṣaya		5-1201	pc
68541	uraga	उरग	uraga		5-1201	pc
68542	uraMga	उरंग	uraṃga		5-1201	pc
68543	uraRa	उरण	uraṇa		5-1201	pc
68544	uraRaka	उरणक	uraṇaka		5-1201	pc
68545	urarI	उररी	urarī	,	5-1201	pc
68546	urarIkaraRa	उररीकरण	urarīkaraṇa		5-1201	pc
68547	urasya	उरस्य	urasya		5-1201	pc
68548	uraHstamBa	उरःस्तम्भ	uraḥstambha		5-1202	pc
68549	urI	उरी	urī		5-1202	pc
68549	urI	उरी	urī		5-1202	pc
68552	uru	उरु	uru		5-1202	pc
68553	urukrama	उरुक्रम	urukrama		5-1202	pc
68554	urukzaya	उरुक्षय	urukṣaya		5-1202	pc
68555	urugAya	उरुगाय	urugāya		5-1202	pc
68556	urucakri	उरुचक्रि	urucakri		5-1202	pc
68557	uruYjirA	उरुञ्जिरा	uruñjirā		5-1202	pc
68558	uruDA	उरुधा	urudhā		5-1202	pc
68559	uruDizRya	उरुधिष्ण्य	urudhiṣṇya		5-1202	pc
68560	uruvalka	उरुवल्क	uruvalka		5-1202	pc
68561	uruvAsa	उरुवास	uruvāsa		5-1202	pc
68562	uruvyaYc	उरुव्यञ्च्	uruvyañc		5-1202	pc
68564	urograha	उरोग्रह	urograha		5-1202	pc
68565	urobfhatI	उरोबृहती	urobṛhatī		5-1202	pc
68567	urva	उर्व	urva		5-1202	pc
68568	urvarA	उर्वरा	urvarā		5-1202	pc
68569	urvarita	उर्वरित	urvarita		5-1202	pc
68570	urvaSI	उर्वशी	urvaśī		5-1202	pc
68571	urvaSInAmamAlA	उर्वशीनाममाला	urvaśīnāmamālā		5-1202	pc
68572	urvAru	उर्वारु	urvāru		5-1202	pc
68573	urvIpati	उर्वीपति	urvīpati		5-1202	pc
68574	urvISa	उर्वीश	urvīśa		5-1202	pc
68575	urvISvara	उर्वीश्वर	urvīśvara		5-1202	pc
68576	ula	उल	ula		5-1202	pc
68577	ulapa	उलप	ulapa		5-1202	pc
68578	ulaparAjI	उलपराजी	ulaparājī		5-1202	pc
68580	ulUka	उलूक	ulūka		5-1202	pc
68581	ulUkacewI	उलूकचेटी	ulūkaceṭī		5-1203	pc
68582	ulUkapAka	उलूकपाक	ulūkapāka		5-1203	pc
68583	ulUKala	उलूखल	ulūkhala		5-1203	pc
68584	ulUKalaka	उलूखलक	ulūkhalaka		5-1203	pc
68585	ulUKalika	उलूखलिक	ulūkhalika		5-1203	pc
68586	ulUwa	उलूट	ulūṭa		5-1203	pc
68587	ulUli	उलूलि	ulūli		5-1203	pc
68588	ulka	उल्क	ulka		5-1203	pc
68588	ulka	उल्का	ulkā		5-1203	pc
68590	ulkAnavamI	उल्कानवमी	ulkānavamī		5-1203	pc
68591	ulba	उल्ब	ulba	,	5-1203	pc
68592	ulbaRa	उल्बण	ulbaṇa		5-1203	pc
68594	ulmuka	उल्मुक	ulmuka		5-1203	pc
68595	ullakasana	उल्लकसन	ullakasana		5-1203	pc
68596	ullaNGana	उल्लङ्घन	ullaṅghana		5-1203	pc
68597	ullaNGya	उल्लङ्घ्य	ullaṅghya		5-1203	pc
68598	ullambin	उल्लम्बिन्	ullambin		5-1203	pc
68599	ullAGatA	उल्लाघता	ullāghatā		5-1203	pc
68601	ullApa	उल्लाप	ullāpa		5-1204	pc
68602	ullApana	उल्लापन	ullāpana		5-1204	pc
68603	ullApika	उल्लापिक	ullāpika	,	5-1204	pc
68604	ullApin	उल्लापिन्	ullāpin		5-1204	pc
68605	ullAla	उल्लाल	ullāla		5-1204	pc
68606	ullAsa	उल्लास	ullāsa		5-1204	pc
68607	ulluYcana	उल्लुञ्चन	ulluñcana	,	5-1204	pc
68608	ulleKa	उल्लेख	ullekha		5-1204	pc
68609	ulleKana	उल्लेखन	ullekhana		5-1204	pc
68610	ulleKin	उल्लेखिन्	ullekhin		5-1204	pc
68611	ulleKya	उल्लेख्य	ullekhya		5-1204	pc
68613	ullola	उल्लोल	ullola		5-1204	pc
68614	uSatI	उशती	uśatī		5-1204	pc
68615	uSanas	उशनस्	uśanas	,	5-1204	pc
68616	uSika	उशिक	uśika		5-1205	pc
68617	uSij	उशिज्	uśij		5-1205	pc
68618	uSInara	उशीनर	uśīnara	,	5-1205	pc
68619	uSIra	उशीर	uśīra		5-1205	pc
68621	uSenya	उशेन्य	uśenya		5-1205	pc
68622	uz	उष्	uṣ	1	5-1205	pc
68623	uzaNgu	उषङ्गु	uṣaṅgu		5-1205	pc
68624	uzatI	उषती	uṣatī	,	5-1205	pc
68625	uzadgu	उषद्गु	uṣadgu	,	5-1205	pc
68626	uzarbuDa	उषर्बुध	uṣarbudha		5-1205	pc
68627	uzas	उषस्	uṣas		5-1205	pc
68628	uzA	उषा	uṣā	2	5-1205	pc
68629	uzA	उषा	uṣā	3	5-1205	pc
68630	uzAkara	उषाकर	uṣākara		5-1205	pc
68631	uzeSa	उषेश	uṣeśa		5-1205	pc
68632	uzwra	उष्ट्र	uṣṭra		5-1205	pc
68633	uzwrajihva	उष्ट्रजिह्व	uṣṭrajihva		5-1205	pc
68634	uzwranizadana	उष्ट्रनिषदन	uṣṭraniṣadana		5-1205	pc
68635	uzwraBakzikA	उष्ट्रभक्षिका	uṣṭrabhakṣikā		5-1205	pc
68636	uzwrAkza	उष्ट्राक्ष	uṣṭrākṣa		5-1205	pc
68637	uzwrikA	उष्ट्रिका	uṣṭrikā		5-1205	pc
68638	uzRa	उष्ण	uṣṇa		5-1206	pc
68639	uzRakiraRa	उष्णकिरण	uṣṇakiraṇa		5-1206	pc
68640	uzRagu	उष्णगु	uṣṇagu		5-1206	pc
68641	uzRaGna	उष्णघ्न	uṣṇaghna		5-1206	pc
68642	uzRatA	उष्णता	uṣṇatā	,	5-1206	pc
68643	uzRatIrTa	उष्णतीर्थ	uṣṇatīrtha		5-1206	pc
68646	uzRaruci	उष्णरुचि	uṣṇaruci		5-1206	pc
68647	uzRAMSu	उष्णांशु	uṣṇāṃśu		5-1206	pc
68648	uzRi	उष्णि	uṣṇi		5-1206	pc
68649	uzRiman	उष्णिमन्	uṣṇiman		5-1206	pc
68650	uzRih	उष्णिह्	uṣṇih		5-1206	pc
68651	uzRihA	उष्णिहा	uṣṇihā		5-1206	pc
68652	uzRIgaNga	उष्णीगङ्ग	uṣṇīgaṅga		5-1206	pc
68653	uzRInABa	उष्णीनाभ	uṣṇīnābha		5-1206	pc
68654	uzRIza	उष्णीष	uṣṇīṣa		5-1206	pc
68655	uzRIzArpaRA	उष्णीषार्पणा	uṣṇīṣārpaṇā		5-1206	pc
68657	uzmatA	उष्मता	uṣmatā		5-1206	pc
68658	uzman	उष्मन्	uṣman		5-1206	pc
68660	uzyala	उष्यल	uṣyala		5-1206	pc
68661	usra	उस्र	usra	1	5-1206	pc
68662	usra	उस्र	usra	2	5-1206	pc
68663	uhuvAyivAsizWa	उहुवायिवासिष्ठ	uhuvāyivāsiṣṭha		5-1206	pc
68664	UKara	ऊखर	ūkhara		5-1206	pc
68665	UQi	ऊढि	ūḍhi		5-1206	pc
68666	URi	ऊणि	ūṇi		5-1206	pc
68667	Uti	ऊति	ūti	1	5-1207	pc
68668	Uti	ऊति	ūti	3	5-1207	pc
68669	UtIka	ऊतीक	ūtīka		5-1207	pc
68670	UDan	ऊधन्	ūdhan	,	5-1207	pc
68671	UDanya	ऊधन्य	ūdhanya		5-1207	pc
68672	Una	ऊन	ūna	,	5-1207	pc
68673	UnakowiliNga	ऊनकोटिलिङ्ग	ūnakoṭiliṅga		5-1207	pc
68675	UnarAtra	ऊनरात्र	ūnarātra		5-1207	pc
68678	Uma	ऊम	ūma		5-1207	pc
68679	UrI	ऊरी	ūrī	,	5-1207	pc
68680	Uru	ऊरु	ūru		5-1207	pc
68681	UrugrAha	ऊरुग्राह	ūrugrāha		5-1207	pc
68682	Urujanman	ऊरुजन्मन्	ūrujanman		5-1207	pc
68683	UrustamBa	ऊरुस्तम्भ	ūrustambha		5-1207	pc
68684	Urj	ऊर्ज्	ūrj		5-1207	pc
68685	Urja	ऊर्ज	ūrja		5-1207	pc
68689	Urjavya	ऊर्जव्य	ūrjavya		5-1207	pc
68690	Urjaskara	ऊर्जस्कर	ūrjaskara		5-1208	pc
68692	UrRa	ऊर्ण	ūrṇa		5-1208	pc
68693	UrRanABa	ऊर्णनाभ	ūrṇanābha		5-1208	pc
68694	UrRanABi	ऊर्णनाभि	ūrṇanābhi		5-1208	pc
68695	UrRavABi	ऊर्णवाभि	ūrṇavābhi		5-1208	pc
68696	UrRAyu	ऊर्णायु	ūrṇāyu		5-1208	pc
68698	UrRAstukA	ऊर्णास्तुका	ūrṇāstukā		5-1208	pc
68699	UrRu	ऊर्णु	ūrṇu		5-1208	pc
68700	UrRodara	ऊर्णोदर	ūrṇodara		5-1208	pc
68701	UrDva	ऊर्ध्व	ūrdhva	,	5-1208	pc
68702	UrDvakarRa	ऊर्ध्वकर्ण	ūrdhvakarṇa		5-1208	pc
68703	UrDvakfSana	ऊर्ध्वकृशन	ūrdhvakṛśana		5-1208	pc
68704	UrDvakeSa	ऊर्ध्वकेश	ūrdhvakeśa		5-1208	pc
68705	UrDvaga	ऊर्ध्वग	ūrdhvaga		5-1208	pc
68706	UrDvagati	ऊर्ध्वगति	ūrdhvagati	1	5-1208	pc
68707	UrDvagamana	ऊर्ध्वगमन	ūrdhvagamana		5-1208	pc
68708	UrDvaja	ऊर्ध्वज	ūrdhvaja		5-1208	pc
68709	UrDvataraRa	ऊर्ध्वतरण	ūrdhvataraṇa		5-1208	pc
68710	UrDvatAla	ऊर्ध्वताल	ūrdhvatāla		5-1208	pc
68711	UrDvadfS	ऊर्ध्वदृश्	ūrdhvadṛś		5-1208	pc
68712	UrDvanaBas	ऊर्ध्वनभस्	ūrdhvanabhas		5-1208	pc
68714	UrDvaMdama	ऊर्ध्वंदम	ūrdhvaṃdama		5-1208	pc
68715	UrDvapAtanayantra	ऊर्ध्वपातनयन्त्र	ūrdhvapātanayantra		5-1209	pc
68716	UrDvapuRqra	ऊर्ध्वपुण्ड्र	ūrdhvapuṇḍra		5-1209	pc
68717	UrDvabAhu	ऊर्ध्वबाहु	ūrdhvabāhu		5-1209	pc
68718	UrDvabfhatI	ऊर्ध्वबृहती	ūrdhvabṛhatī		5-1209	pc
68719	UrDvamaRqalin	ऊर्ध्वमण्डलिन्	ūrdhvamaṇḍalin		5-1209	pc
68720	UrDvamanTin	ऊर्ध्वमन्थिन्	ūrdhvamanthin		5-1209	pc
68721	UrDvaretastIrTa	ऊर्ध्वरेतस्तीर्थ	ūrdhvaretastīrtha		5-1209	pc
68722	UrDvaroman	ऊर्ध्वरोमन्	ūrdhvaroman		5-1209	pc
68723	UrDvaveRIDarA	ऊर्ध्ववेणीधरा	ūrdhvaveṇīdharā		5-1209	pc
68724	UrDvasadman	ऊर्ध्वसद्मन्	ūrdhvasadman		5-1209	pc
68725	UrDvasrotas	ऊर्ध्वस्रोतस्	ūrdhvasrotas	,	5-1209	pc
68726	UrDvasvapna	ऊर्ध्वस्वप्न	ūrdhvasvapna		5-1209	pc
68727	UrDvANga	ऊर्ध्वाङ्ग	ūrdhvāṅga		5-1209	pc
68728	UrDvAmnAya	ऊर्ध्वाम्नाय	ūrdhvāmnāya		5-1209	pc
68729	UrDvASin	ऊर्ध्वाशिन्	ūrdhvāśin		5-1209	pc
68730	UrDveqa	ऊर्ध्वेड	ūrdhveḍa		5-1209	pc
68731	Urmi	ऊर्मि	ūrmi		5-1209	pc
68732	UrmikA	ऊर्मिका	ūrmikā		5-1209	pc
68733	Urmin	ऊर्मिन्	ūrmin		5-1209	pc
68734	UrmimAlA	ऊर्मिमाला	ūrmimālā		5-1209	pc
68735	UrmilA	ऊर्मिला	ūrmilā		5-1209	pc
68736	Urva	ऊर्व	ūrva	3	5-1209	pc
68737	UvaDya	ऊवध्य	ūvadhya		5-1209	pc
68738	Uza	ऊष	ūṣa		5-1210	pc
68738	Uza	ऊषा	ūṣā		5-1210	pc
68739	UzaRa	ऊषण	ūṣaṇa	,	5-1210	pc
68741	Uzman	ऊष्मन्	ūṣman		5-1210	pc
68742	Uh	ऊह्	ūh	1	5-1210	pc
68743	Uh	ऊह्	ūh	2	5-1210	pc
68744	Uha	ऊह	ūha	1	5-1210	pc
68745	Uha	ऊह	ūha	2	5-1210	pc
68746	UhacCalA	ऊहच्छला	ūhacchalā		5-1211	pc
68747	UhanIya	ऊहनीय	ūhanīya		5-1211	pc
68749	Uhya	ऊह्य	ūhya		5-1212	pc
68750	UhyacCalA	ऊह्यच्छला	ūhyacchalā		5-1212	pc
68751	fktantra	ऋक्तन्त्र	ṛktantra		5-1212	pc
68752	fkvan	ऋक्वन्	ṛkvan		5-1212	pc
68753	fkza	ऋक्ष	ṛkṣa	1	5-1212	pc
68754	fkza	ऋक्ष	ṛkṣa	2	5-1212	pc
68755	fkzapati	ऋक्षपति	ṛkṣapati		5-1212	pc
68756	fkzara	ऋक्षर	ṛkṣara		5-1212	pc
68758	fkzaviqambin	ऋक्षविडम्बिन्	ṛkṣaviḍambin		5-1212	pc
68759	fgarTasAra	ऋगर्थसार	ṛgarthasāra		5-1212	pc
68760	fgBAzya	ऋग्भाष्य	ṛgbhāṣya		5-1212	pc
68761	fgmiya	ऋग्मिय	ṛgmiya		5-1212	pc
68762	fgmya	ऋग्म्य	ṛgmya		5-1212	pc
68763	fgveda	ऋग्वेद	ṛgveda	,	5-1212	pc
68765	fc	ऋच्	ṛc		5-1212	pc
68766	fcIka	ऋचीक	ṛcīka		5-1212	pc
68767	fjipya	ऋजिप्य	ṛjipya		5-1212	pc
68768	fjiSvan	ऋजिश्वन्	ṛjiśvan		5-1212	pc
68769	fjIka	ऋजीक	ṛjīka		5-1212	pc
68770	fjIpin	ऋजीपिन्	ṛjīpin		5-1212	pc
68771	fjIza	ऋजीष	ṛjīṣa	1	5-1212	pc
68772	fjIza	ऋजीष	ṛjīṣa	2	5-1212	pc
68773	fju	ऋजु	ṛju		5-1212	pc
68774	fjuDA	ऋजुधा	ṛjudhā		5-1212	pc
68775	fjupAlikA	ऋजुपालिका	ṛjupālikā		5-1212	pc
68777	fjvAhva	ऋज्वाह्व	ṛjvāhva		5-1212	pc
68778	fRa	ऋण	ṛṇa		5-1212	pc
68779	fRaMcaya	ऋणंचय	ṛṇaṃcaya		5-1212	pc
68780	fRatA	ऋणता	ṛṇatā		5-1212	pc
68783	fRamocanatIrTa	ऋणमोचनतीर्थ	ṛṇamocanatīrtha		5-1212	pc
68784	fRayAt	ऋणयात्	ṛṇayāt		5-1212	pc
68788	fRin	ऋणिन्	ṛṇin		5-1212	pc
68789	fta	ऋत	ṛta		5-1212	pc
68790	ftajit	ऋतजित्	ṛtajit		5-1212	pc
68791	ftaMjaya	ऋतंजय	ṛtaṃjaya		5-1212	pc
68792	ftaDI	ऋतधी	ṛtadhī		5-1212	pc
68793	ftaniDana	ऋतनिधन	ṛtanidhana		5-1212	pc
68794	ftapeya	ऋतपेय	ṛtapeya		5-1213	pc
68795	ftaprajAta	ऋतप्रजात	ṛtaprajāta	,	5-1213	pc
68796	ftaBAga	ऋतभाग	ṛtabhāga		5-1213	pc
68797	ftaMBara	ऋतंभर	ṛtaṃbhara		5-1213	pc
68799	ftavrata	ऋतव्रत	ṛtavrata		5-1213	pc
68800	ftasena	ऋतसेन	ṛtasena		5-1213	pc
68801	ftu	ऋतु	ṛtu		5-1213	pc
68802	ftukAla	ऋतुकाल	ṛtukāla		5-1213	pc
68803	ftujuz	ऋतुजुष्	ṛtujuṣ		5-1213	pc
68804	ftuDAman	ऋतुधामन्	ṛtudhāman		5-1213	pc
68806	ftuyAjin	ऋतुयाजिन्	ṛtuyājin		5-1213	pc
68807	fturAja	ऋतुराज	ṛturāja		5-1213	pc
68808	ftuzAman	ऋतुषामन्	ṛtuṣāman		5-1213	pc
68809	ftusamaya	ऋतुसमय	ṛtusamaya		5-1213	pc
68811	ftebarhizka	ऋतेबर्हिष्क	ṛtebarhiṣka		5-1213	pc
68812	ftviya	ऋत्विय	ṛtviya	2	5-1213	pc
68814	fdDi	ऋद्धि	ṛddhi		5-1213	pc
68815	fDak	ऋधक्	ṛdhak		5-1213	pc
68817	fBukza	ऋभुक्ष	ṛbhukṣa		5-1213	pc
68818	fBuzWira	ऋभुष्ठिर	ṛbhuṣṭhira		5-1213	pc
68821	fzadgu	ऋषद्गु	ṛṣadgu	,	5-1214	pc
68822	fzaBa	ऋषभ	ṛṣabha		5-1214	pc
68823	fzaBaka	ऋषभक	ṛṣabhaka		5-1214	pc
68824	fzaBatA	ऋषभता	ṛṣabhatā		5-1214	pc
68825	fzaBadeva	ऋषभदेव	ṛṣabhadeva		5-1214	pc
68827	fzaBAnana	ऋषभानन	ṛṣabhānana		5-1214	pc
68828	fzi	ऋषि	ṛṣi		5-1214	pc
68829	fzikulyA	ऋषिकुल्या	ṛṣikulyā		5-1214	pc
68830	fzicAndrAyaRa	ऋषिचान्द्रायण	ṛṣicāndrāyaṇa		5-1214	pc
68831	fzicCandas	ऋषिच्छन्दस्	ṛṣicchandas		5-1214	pc
68832	fzitIrTa	ऋषितीर्थ	ṛṣitīrtha		5-1214	pc
68833	fzipaYcamI	ऋषिपञ्चमी	ṛṣipañcamī		5-1214	pc
68834	fziSfNga	ऋषिशृङ्ग	ṛṣiśṛṅga		5-1214	pc
68835	fzistoma	ऋषिस्तोम	ṛṣistoma		5-1214	pc
68836	fzya	ऋष्य	ṛṣya		5-1214	pc
68837	fzyaka	ऋष्यक	ṛṣyaka		5-1214	pc
68841	eka	एक	eka		5-1214	pc
68842	ekaka	एकक	ekaka	,	5-1215	pc
68843	ekakAla	एककाल	ekakāla		5-1215	pc
68844	ekakAlin	एककालिन्	ekakālin		5-1215	pc
68845	ekacandrA	एकचन्द्रा	ekacandrā		5-1215	pc
68846	ekacara	एकचर	ekacara		5-1215	pc
68847	ekacArin	एकचारिन्	ekacārin		5-1215	pc
68848	ekacitta	एकचित्त	ekacitta	2	5-1215	pc
68849	ekacinmaya	एकचिन्मय	ekacinmaya		5-1215	pc
68850	ekacCattra	एकच्छत्त्र	ekacchattra		5-1215	pc
68851	ekacCannA	एकच्छन्ना	ekacchannā		5-1215	pc
68852	ekaja	एकज	ekaja		5-1215	pc
68853	ekajawa	एकजट	ekajaṭa		5-1215	pc
68854	ekata	एकत	ekata		5-1215	pc
68855	ekatas	एकतस्	ekatas		5-1215	pc
68856	ekatAna	एकतान	ekatāna		5-1215	pc
68858	ekatAla	एकताल	ekatāla		5-1215	pc
68860	ekatra	एकत्र	ekatra		5-1216	pc
68861	ekatrika	एकत्रिक	ekatrika		5-1216	pc
68863	ekadaRqin	एकदण्डिन्	ekadaṇḍin		5-1216	pc
68864	ekadanta	एकदन्त	ekadanta		5-1216	pc
68865	ekadfS	एकदृश्	ekadṛś		5-1216	pc
68866	ekadeSa	एकदेश	ekadeśa	1	5-1216	pc
68867	ekadeSavivartin	एकदेशविवर्तिन्	ekadeśavivartin		5-1216	pc
68868	ekadeSin	एकदेशिन्	ekadeśin		5-1216	pc
68869	ekadyU	एकद्यू	ekadyū		5-1216	pc
68870	ekaDenu	एकधेनु	ekadhenu		5-1216	pc
68871	ekanakzatra	एकनक्षत्र	ekanakṣatra		5-1216	pc
68872	ekanawa	एकनट	ekanaṭa		5-1216	pc
68873	ekanATa	एकनाथ	ekanātha		5-1216	pc
68874	ekanetra	एकनेत्र	ekanetra		5-1216	pc
68875	ekapatnI	एकपत्नी	ekapatnī		5-1216	pc
68877	ekapada	एकपद	ekapada	1	5-1216	pc
68878	ekapada	एकपद	ekapada	2	5-1216	pc
68879	ekaparRikA	एकपर्णिका	ekaparṇikā		5-1217	pc
68880	ekapAtin	एकपातिन्	ekapātin		5-1217	pc
68881	ekapAda	एकपाद	ekapāda	1	5-1217	pc
68882	ekapAda	एकपाद	ekapāda	2	5-1217	pc
68883	ekaputraka	एकपुत्रक	ekaputraka		5-1217	pc
68884	ekapuruza	एकपुरुष	ekapuruṣa	1	5-1217	pc
68885	ekapradAna	एकप्रदान	ekapradāna		5-1217	pc
68886	ekaprARayoga	एकप्राणयोग	ekaprāṇayoga		5-1217	pc
68887	ekaBAvin	एकभाविन्	ekabhāvin		5-1217	pc
68888	ekamaya	एकमय	ekamaya	,	5-1217	pc
68889	ekamAtra	एकमात्र	ekamātra		5-1217	pc
68890	ekayazwi	एकयष्टि	ekayaṣṭi		5-1217	pc
68891	ekayAvan	एकयावन्	ekayāvan		5-1217	pc
68892	ekarAj	एकराज्	ekarāj		5-1217	pc
68893	ekarudra	एकरुद्र	ekarudra		5-1217	pc
68894	ekarUpa	एकरूप	ekarūpa	2	5-1217	pc
68895	ekarzi	एकर्षि	ekarṣi		5-1217	pc
68896	ekala	एकल	ekala		5-1217	pc
68897	ekalavyA	एकलव्या	ekalavyā		5-1217	pc
68898	ekaliNga	एकलिङ्ग	ekaliṅga		5-1217	pc
68899	ekavaktra	एकवक्त्र	ekavaktra		5-1217	pc
68900	ekavarRa	एकवर्ण	ekavarṇa	1	5-1217	pc
68901	ekavarRa	एकवर्ण	ekavarṇa	2	5-1217	pc
68902	ekavarRaka	एकवर्णक	ekavarṇaka		5-1217	pc
68905	ekaviMSaka	एकविंशक	ekaviṃśaka		5-1217	pc
68906	ekaviMSati	एकविंशति	ekaviṃśati		5-1218	pc
68907	ekaviDa	एकविध	ekavidha		5-1218	pc
68908	ekavIra	एकवीर	ekavīra		5-1218	pc
68909	ekavIrakalpa	एकवीरकल्प	ekavīrakalpa		5-1218	pc
68911	ekavfza	एकवृष	ekavṛṣa		5-1218	pc
68913	ekavrata	एकव्रत	ekavrata		5-1218	pc
68914	ekaSAyin	एकशायिन्	ekaśāyin		5-1218	pc
68917	ekaSilA	एकशिला	ekaśilā		5-1218	pc
68918	ekaSeza	एकशेष	ekaśeṣa	,	5-1218	pc
68919	ekaSruti	एकश्रुति	ekaśruti		5-1218	pc
68920	ekasaptatika	एकसप्ततिक	ekasaptatika		5-1218	pc
68921	ekahAyana	एकहायन	ekahāyana		5-1218	pc
68924	ekAkin	एकाकिन्	ekākin		5-1218	pc
68925	ekAkza	एकाक्ष	ekākṣa		5-1218	pc
68926	ekAkzara	एकाक्षर	ekākṣara	1	5-1218	pc
68927	ekAkzara	एकाक्षर	ekākṣara	2	5-1218	pc
68928	ekAkzarIBAva	एकाक्षरीभाव	ekākṣarībhāva		5-1218	pc
68930	ekAgnikARqa	एकाग्निकाण्ड	ekāgnikāṇḍa		5-1218	pc
