cyrillic	slp1	iast_witness	validation	onomasticon	witness_count	seeds
Матангашрама	mataNgASrama	Mataṅgāśrama	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Матанги	mataNga	Mataṅga	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Матсья	matsya	Matsya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мегханада	meGanAda	Meghanāda	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мена	menA	Menā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Менака	menakA	Menakā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Меру	meru	Meru	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мрига	mfgA	Mṛgā	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Мишракеши	miSrakeSI	Miśrakeśī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Митхи	miTi	Mithi	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Митхила	miTilA	Mithilā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мохини	mohinI	Mohinī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Мршаманда	mrgamandA	Mrgamandā	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Набхага	nABAga	Nābhāga	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нагадатта	nAgadattA	Nāgadattā	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нараяна	nArAyaRa	Nārāyaṇa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нарада	nArada	Nārada	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нила	nIla	Nīla	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нахуша	nahuza	Nahuṣa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нала	nala	Nala	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Налини	nalinI	Nalinī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Намучи	namuci	Namuci	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Нандана	nandana	Nandana	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нандиграма	nandigrAma	Nandigrāma	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нандин	nandin	Nandin	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Нандивардхана	nandivarDana	Nandivardhana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Нарака	naraka	Naraka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Наравахана	naravAhana	Naravāhana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ната	natA	Natā	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Ними	nimi	Nimi	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пака	pAka	Pāka	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пакашасана	pAkaSAsana	Pākaśāsana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Парвати	pArvatI	Pārvatī	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Павака	pAvaka	Pāvaka	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Павани	pAvanI	Pāvanī	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пушан	pUzan	Pūṣan	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пашупати	paSupati	Paśupati	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Панчала	paYcAla	Pañcāla	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Панчапсарас	paYcApsaras	Pañcāpsaras	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Панчавати	paYcavawI	Pañcavaṭī	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Пампа	pampA	Pampā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Парашурама	paraSurAma	Paraśurāma	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Парджанья	parjanya	Parjanya	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Притхиви	pfTivI	Pṛthivī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Притху	pfTu	Pṛthu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Прашушрука	praSuSruka	Praśuśruka	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Прашушрува	praSuSruva	Praśuśruva	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Прачетас	pracetas	Pracetas	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Праджапати	prajApati	Prajāpati	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Праламба	pralamba	Pralamba	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Праматхин	pramaTin	Pramathin	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Прасенаджит	prasenajit	Prasenajit	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Прасравана	prasravaRa	Prasravaṇa	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Пратиндхака	pratInDaka	Pratīndhaka	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Правриддха	pravfdDa	Pravṛddha	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Праяга	prayAga	Prayāga	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пундарика	puRqarIkA	Puṇḍarīkā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пулаха	pulaha	Pulaha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Пуластья	pulastya	Pulastya	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пулома	pulomA	Pulomā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пуруравас	purUravas	Purūravas	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Пурандара	puraMdara	Puraṃdara	lexicon		2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пуруша	puruza	Puruṣa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Всевышний Дух	puruzottama	Puruṣottama	onomasticon	inm,pui	3	SamudraManthanam/Index/lib/x86_64-win64/Data/bhagavadgita-erman.html|SamudraManthanam/web/corpus_builder/jsonl/bhagavadgita-erman.jsonl
Пурушоттама	puruzottama	Puruṣottama	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пушкара	puzkarARi	Puṣkarāṇi	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пушпака	puzpaka	Puṣpaka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Рагхава	rAGava	Rāghava	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Раху	rAhu	Rāhu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Раджагриха	rAjagfha	Rājagṛha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рама	rAma	Rāma	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рама Джамадагнья	rAma jAmadagnya	Rāma Jāmadagnya	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Равана	rAvaRa	Rāvaṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Раштравардхана	rAzwravarDana	Rāṣṭravardhana	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рагху	raGu	Raghu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рамбха	ramBA	Rambhā	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рати	rati	Rati	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Вишвамитры	reRu vESvAmitra	Reṇu Vaiśvāmitra	iast-witness-only		1	SanskritLexicography-h3985-73254/RussianTranslation/pwg_ru/rv_renou_citation_index.jsonl
Ренука	reRukA	Reṇukā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Пратишакхье	rk prAtiSAKya	Rk Prātiśākhya	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/add/To_add/dsg_index.html
Рохини	rohiRI	Rohiṇī	onomasticon	inm,pui	3	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Ромапада	romApAda	Romāpāda	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Рудра	rudra	Rudra	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Санкашья	sAMkASyA	Sāṃkāśyā	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Савитри	sAvitrI	Sāvitrī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сита	sItA	Sītā	onomasticon	inm,pui	3	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Саураштра	sOrAzwra	Saurāṣṭra	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Саувира	sOvIra	Sauvīra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Стхану	sTARu	Sthāṇu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Стхулакша	sTUlAkza	Sthūlākṣa	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Стхулаширас	sTUlaSiras	Sthūlaśiras	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Сурья	sUrya	Sūrya	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Саншрая	saMSraya	Saṃśraya	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Сагара	sagara	Sagara	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сахадева	sahadeva	Sahadeva	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сампати	sampAti	Sampāti	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Самудра	samudra	Samudra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Санаткумара	sanatkumAra	Sanatkumāra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Шарабханга	saraBaNga	Sarabhaṅga	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Сарасвати	sarasvatI	Sarasvatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сараю	sarayU	Sarayū	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сатьяван	satyavAn	Satyavān	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сатьявати	satyavatI	Satyavatī	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Савитар	savitf	Savitṛ	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Сринджая	sfYjaya	Sṛñjaya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Синхика	siNhikA	Siṅhikā	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сиддхартха	sidDArTa	Siddhārtha	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Синдху	sinDu	Sindhu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сканда	skanda	Skanda	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сома	somA	Somā	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сома	soma	Soma	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сомада	somadA	Somadā	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сомадатта	somadatta	Somadatta	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Субхадра	suBadra	Subhadra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Судханван	suDanvan	Sudhanvan	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Судхрити	suDfti	Sudhṛti	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Субаху	subAhu	Subāhu	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сучакшу	sucakzu	Sucakṣu	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сучандра	sucandra	Sucandra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Судама	sudAmA	Sudāmā	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Судаман	sudAman	Sudāman	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Судамана	sudAmana	Sudāmana	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сударшана	sudarSana	Sudarśana	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сугрива	sugrIva	Sugrīva	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сукету	suketu	Suketu	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сумантра	sumantra	Sumantra	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сумати	sumatI	Sumatī	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сумати	sumati	Sumati	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сумитра	sumitrA	Sumitrā	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Супарна	suparRa	Suparṇa	onomasticon	inm,pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Супрабха	supraBA	Suprabhā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сура	surA	Surā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сураштра	surAzwra	Surāṣṭra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сурабхи	suraBI	Surabhī	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Сураса	surasA	Surasā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Сусандхи	susanDi	Susandhi	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сутикшна	sutIkzRa	Sutīkṣṇa	lexicon		2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Суврата	suvrata	Suvrata	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Суяджня	suyajYa	Suyajña	onomasticon	pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сушена	suzeRa	Suṣeṇa	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сварнароман	svarRaroman	Svarṇaroman	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сваямбху	svayamBu	Svayambhu	lexicon		2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Сьяндика	syandikA	Syandikā	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Тамра	tAmrA	Tāmrā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Тара	tArA	Tārā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Тара	tAra	Tāra	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Тарака	tArakA	Tārakā	onomasticon	pui	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Таркшья	tArkzya	Tārkṣya	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Такшака	takzaka	Takṣaka	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt
Тамаса	tamasA	Tamasā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Тимидхваджа	timiDvaja	Timidhvaja	lexicon		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Тришанку	triSaNku	Triśaṅku	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Триширас	triSiras	Triśiras	onomasticon	inm	2	SamudraManthanam/Index/lib/x86_64-win64/Data/Рамаяна 3. Словарь.txt|SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Триджата	trijawA	Trijaṭā	onomasticon	inm	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Триджата Гаргья	trijawa gArgya	Trijaṭa Gārgya	iast-witness-only		1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Трипатхага	tripaTagA	Tripathagā	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
Трипура	tripura	Tripura	onomasticon	inm,pui	1	SamudraManthanam/Index/lib/x86_64-win64/Data/Словарь Гринцера из Рамаяны 1-2.txt
