slp1	n_dicts	dicts
Eqa	9	AP CAE CCS GRA MD MW PWG PWK VCP
Era	4	MW PWG PWK VCP
Eza	3	MW PWG PWK
GUr	5	AP BUR MW PWG PWK
GaG	3	BUR MW PWK
GaH	2	AP SKD
GaR	5	AP BUR MW PWG PWK
Gam	1	AP
Gar	7	AP CCS GRA MW PWG PWK SCH
Gas	9	AP BUR CAE CCS GRA MD MW PWG PWK
Gaw	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Ged	3	CAE CCS MD
GfN	4	MW PWG PWK VCP
GfR	3	AP BUR MW
Gfz	5	AP BUR CAE MD MW
GiR	1	PWK
GnI	4	MD MW PWG PWK
Gna	9	AP BUR CAE CCS GRA MD MW PWG PWK
Gnu	1	MW
Gol	1	MW
GrA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
GuH	2	AP SKD
GuR	5	AP BUR MW PWG PWK
Gum	4	MW PWG PWK VCP
Guq	4	AP MW PWG PWK
Gur	6	AP BUR MW PWG PWK SCH
Guw	7	AP BUR MD MW PWG PWK SCH
Guz	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
IDe	1	BUR
IKa	2	SKD VCP
INK	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
INg	1	PWG
ISA	5	AP MW PWG SKD VCP
ISa	11	AP BUR CAE CCS INM MD MW PWG PWK SKD VCP
IYj	2	AP MW
Iga	1	VCP
IhA	8	AP CAE CCS MD MW PWG SKD VCP
Iha	6	CAE MW PWG PWK SKD VCP
Ija	2	SKD VCP
Ikz	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
IlA	1	VCP
IlI	6	MW PWG PWK SCH SKD VCP
Ili	5	BUR MW PWG PWK VCP
Int	5	AP BUR MW PWG PWK
Ips	5	CAE CCS MW PWG PWK
IqA	7	AP MW PWG PWK SCH SKD VCP
Iqa	2	SKD VCP
Ira	9	CAE CCS MD MW PWG PWK SCH SKD VCP
Irz	1	SCH
Ita	1	SKD
Iti	9	AP BUR CAE CCS MD MW PWG PWK VCP
Iya	2	AP VCP
IzA	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
Iza	6	BUR MW PWG PWK SKD VCP
Ize	1	AP
Izi	1	BHS
JAM	1	MW
JIH	1	AP
JOH	1	AP
JUH	1	AP
JUz	5	AP BUR MW PWG PWK
JaH	2	AP SKD
JaN	1	MW
JaR	5	CAE CCS MD MW PWK
Jam	5	AP BUR MW PWG PWK
Jar	6	CAE CCS MD PWG PWK SCH
Jaw	9	AP BUR CAE CCS MD MW PWG PWK SCH
Jaz	5	AP BUR MW PWG PWK
JeH	1	AP
JiH	1	AP
JoH	1	AP
JuH	1	AP
Jyu	7	AP BUR MW PWG PWK SKD VCP
KAd	9	AP BUR CAE CCS GRA MD MW PWG PWK
KAt	5	AP CAE MW PWG PWK
KAw	4	AP MW PWG PWK
KaH	2	AP SKD
KaM	1	SKD
Kac	8	AP BUR CAE CCS MD MW PWG PWK
Kad	9	AP BUR CAE CCS GRA MD MW PWG PWK
Kaj	5	AP BUR MW PWG PWK
Kal	6	AP BUR MD MW PWG PWK
Kam	4	AP MW PWG PWK
Kan	9	AP BUR CAE CCS GRA MD MW PWG PWK
Kaq	6	AP BUR MD MW PWG PWK
Kar	1	MD
Kav	5	AP BUR MW PWG PWK
Kaw	5	AP BUR MW PWG PWK
Kaz	5	AP BUR MW PWG PWK
Kel	9	AP BUR CAE CCS MD MW PWG PWK SCH
Keq	4	BUR MW PWG PWK
Kev	5	AP BUR MW PWG PWK
Kew	6	AP BUR MW PWG PWK SCH
Kid	9	AP BUR CAE CCS GRA MD MW PWG PWK
Kiw	5	AP BUR MW PWG PWK
Kol	5	AP BUR MW PWG PWK
Koq	5	AP BUR MW PWG PWK
Kor	5	AP BUR MW PWG PWK
Kow	5	AP BUR MW PWG PWK
Kud	7	CAE CCS GRA MD MW PWG PWK
Kuj	5	AP BUR MW PWG PWK
Kum	3	MW PWG PWK
Kun	2	MW PWK
Kuq	5	AP BUR MW PWG PWK
Kur	6	AP BHS BUR MW PWG PWK
KyA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
NaH	2	AP SKD
OGa	7	CAE CCS MD MW PWG PWK VCP
Ola	2	MW PWK
OmA	1	VCP
Oma	7	AP CAE CCS MD MW PWG PWK
OqI	1	PWK
Oqa	4	AP PWG PWK VCP
OrA	3	MW PWG PWK
Ozi	1	BUR
PAH	1	SKD
PAw	3	AP BUR MW
PUt	7	AP MD MW PWG PWK SKD VCP
PaH	1	SKD
PaM	1	SKD
PaR	8	AP BUR CCS GRA MD MW PWG PWK
Pal	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Par	5	GRA MD MW PWG PWK
Pat	3	MW PWG PWK
Paw	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
Pel	5	AP BUR MW PWG PWK
Pet	2	MW PWG
Pew	2	MW PWG
PiH	2	AP SKD
PuH	2	AP SKD
Put	9	AP BUR CAE MD MW PWG PWK SKD VCP
Puw	1	PWG
QOk	9	AP BUR CAE CCS MD MW PWG PWK SCH
QaH	2	AP SKD
RaH	2	AP SKD
Ram	1	AP
Ric	1	PWK
Rit	1	MD
Rya	5	MD MW PWG PWK VCP
SAK	5	AP BUR MW PWG PWK
SAl	7	AP BUR MD MW PWG PWK SCH
SAn	4	AP MW PWG PWK
SAq	5	AP BUR MW PWG PWK
SAr	2	AP MW
SAs	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
SIB	5	AP BUR MW PWG PWK
SIH	1	SKD
SIk	8	AP BUR CAE CCS MD MW PWG PWK
SIl	5	AP BUR MW PWG PWK
SIq	1	CCS
SIt	4	AP MD MW PWK
SOq	5	AP BUR MW PWG PWK
SOw	5	AP BUR MW PWG PWK
SUl	6	AP BUR MD MW PWG PWK
SUr	8	AP BUR GRA MD MW PWG PWK SCH
SUt	1	PWK
SUz	5	AP BUR MW PWG PWK
SaH	2	AP SKD
SaM	2	MW SKD
SaR	5	AP BUR MW PWG PWK
SaS	9	AP BUR CAE CCS GRA MD MW PWG PWK
SaW	4	AP BUR MW PWG
Sac	6	AP BUR GRA MW PWG PWK
Sad	9	AP BUR CAE CCS GRA MD MW PWG PWK
Sak	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Sal	9	AP BUR CAE CCS MD MW PWG PWK SCH
Sam	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Sap	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD
Sar	4	CCS GRA PWG PWK
Sas	9	AP BUR CAE CCS GRA MD MW PWG PWK
Sat	8	CAE CCS GRA MD MW PWG PWK SCH
Sav	6	AP BUR MD MW PWG PWK
Saw	6	AP BUR MW PWG PWK SCH
Saz	5	AP BUR MW PWG PWK
Sco	1	AP
Sek	1	AP
Sel	5	AP BUR MW PWG PWK
Sev	2	AP MW
Sez	1	PWK
SfD	4	AP BUR MD MW
SiH	1	AP
Sic	7	AP BUR CAE CCS MW PWG PWK
Sik	1	SKD
Sil	5	AP BUR MW PWG PWK
Sim	6	CAE CCS MD MW PWG PWK
Sir	6	CAE GRA MD MW PWG PWK
Sis	4	GRA MD PWG PWK
Sit	3	MD MW SCH
Siw	6	AP BUR MW PWG PWK SCH
Siz	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
Sla	1	AP
Sli	3	MW PWG PWK
Slu	2	MD MW
Sma	1	SKD
Sme	1	MW
SnA	2	AP MW
Snu	2	AP MW
SoR	6	AP BUR MD MW PWG PWK
Som	3	MW PWG PWK
Sos	4	BUR MW PWG PWK
SrA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
SrE	5	AP BUR MW SKD VCP
SrI	15	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP VEI
SrU	3	MW PWG PWK
Sra	1	SCH
Sri	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
Sru	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
Sry	1	MW
SuB	9	AP BUR CAE CCS GRA MD MW PWG PWK
SuD	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
SuR	1	BUR
SuW	5	AP BUR MW PWG PWK
Suc	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
Suj	6	CAE CCS GRA MW PWG PWK
Suk	6	AP BUR MW PWG PWK SKD
Sun	5	AP BUR MW PWG PWK
Sup	2	AP MW
Sur	2	AP BUR
Suz	9	AP BUR CAE CCS GRA MD MW PWG PWK
SvA	9	CAE CCS GRA MD MW PWG PWK SCH SKD
SvF	1	BUR
Sva	3	MW PWG PWK
Svi	9	AP BUR CCS MD MW PWG PWK SKD VCP
Svo	1	MW
SyA	7	CAE CCS GRA MD PWG PWK SCH
SyE	5	AP BUR MW SKD VCP
TUt	2	MW PWK
TaH	2	AP SKD
TaM	1	SKD
Tam	1	AP
Taq	1	BUR
TuD	1	BUR
Tuq	4	AP MW PWG PWK
UKa	1	MW
UNK	3	GRA PWG PWK
UQA	3	AP MW SKD
UQa	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP
UQi	7	CAE CCS MD MW PWG PWK VCP
URi	3	MW PWG PWK
UYA	1	BHS
Uce	1	BUR
Ude	1	BUR
UhA	3	AP MW VCP
Uha	10	AP CAE CCS MD MW PWG PWK SCH SKD VCP
Uhe	1	BUR
UlI	4	CAE MW PWK SCH
Ula	1	VEI
Uma	9	AP CAE CCS GRA MD MW PWG PWK VCP
UnI	2	PWK SCH
Una	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
UpA	1	MW
UrI	8	AP BUR MW PWG PWK SCH SKD VCP
Ura	2	PWK SCH
Urd	5	AP BUR MW PWG PWK
Urj	9	AP BUR CAE CCS GRA MD MW PWG PWK
Uru	9	BUR CAE CCS GRA MD MW PWG PWK VCP
Urv	2	MW PWK
UtI	1	PWG
Uta	8	AP BUR CCS MD MW PWG PWK VCP
Uti	10	BHS BUR CAE CCS GRA MD MW PWG PWK VCP
Uve	1	BUR
Uya	2	SKD VCP
UzA	5	AP MW PWG SKD VCP
UzI	2	AP MD
Uza	10	BUR CAE CCS MD MW PWG PWK SKD VCP VEI
WaH	2	AP SKD
YaH	2	AP SKD
YiH	1	SKD
aBI	6	AP MD MW PWG PWK VCP
aBU	1	MW
aBa	1	SKD
aBi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
aBr	5	AP BUR MW PWG PWK
aCA	1	GRA
aCa	1	GRA
aDA	5	AP CAE MW PD PWK
aDI	3	AP MW PD
aDa	12	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK VCP
aDi	13	AP BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
aDo	1	PD
aDu	1	PD
aGA	4	AP MW PD VEI
aGa	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
aGo	1	PD
aGu	1	PD
aJi	1	PD
aKa	1	PD
aKi	1	PD
aKu	1	PD
aMS	5	AP BUR GRA MW PD
aMh	8	AP BUR CAE GRA MW PD PWG PWK
aMs	4	AP BUR MW PD
aNG	6	AP BUR MW PD PWG PWK
aNI	1	PD
aNK	4	AP GRA MW PD
aNa	1	PD
aNg	10	AP BUR CAE CCS GRA MD MW PD PWG PWK
aNi	1	PD
aNk	6	AP BUR MW PD PWG PWK
aQa	1	PD
aRI	6	AP MW PD PWG PWK SCH
aRU	3	MW PWK SCH
aRW	7	AP BUR MW PD PWG PWK SCH
aRa	3	PD SKD VCP
aRi	6	BUR MW PD PWG PWK VCP
aRu	16	AP BHS BUR CAE CCS GRA INM MD MW PD PWG PWK SCH SKD VCP VEI
aSA	2	PWK SCH
aSa	2	SKD VCP
aSi	1	PWK
aSv	2	PWG PWK
aTA	5	AP CAE MW PD PWK
aTa	14	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SCH SKD VCP
aTo	8	AP MD MW PD PWG PWK SKD VCP
aTu	1	PD
aWI	1	PD
aWa	3	PD SKD VCP
aWi	1	PD
aYC	1	BUR
aYI	1	PD
aYc	8	AP BUR MD MW PD PWG PWK SCH
aYj	11	AP BUR CAE CCS GRA MD MW PD PWG PWK SCH
aba	2	SKD VCP
abj	2	PWG PWK
aca	2	SKD VCP
adA	1	PD
adU	6	AP GRA MW PD PWG PWK
ada	7	AP MW PD PWG PWK SKD VCP
adi	1	PD
adq	1	PD
adu	1	PD
agA	4	AP MW PWG PWK
aga	11	AP BUR CAE CCS MD MW PD PWG PWK SKD VCP
agi	1	PD
ago	6	GRA MW PD PWG PWK SCH
agu	8	AP CAE GRA MW PD PWG PWK VCP
ahI	7	AP CAE GRA MW PWG PWK SCH
aha	13	AP BHS BUR CAE CCS GRA INM MD MW PWG PWK SKD VCP
ahe	7	AP BUR MW PWG PWK SKD VCP
ahi	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
aho	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
ahu	6	AP BHS MW PWG PWK VCP
ajA	7	AP BUR MD MW PD PWK SKD
ajU	4	MW PD PWK SCH
aja	15	AP BUR CAE CCS GRA INM MD MW PD PWG PWK SCH SKD VCP VEI
aji	4	AP PD PWG VCP
akA	1	PD
aka	12	AP BUR CAE CCS MD MW PD PWG PWK SCH SKD VCP
aki	1	PD
aku	1	PD
akz	9	AP BUR CCS GRA MD MW PD PWG PWK
alI	1	SKD
ala	7	BUR MW PWG PWK SCH SKD VCP
ale	4	AP BUR MW SKD
ali	8	BUR CAE CCS MD MW PWG PWK VCP
alu	5	BUR MW PWG PWK VCP
amA	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
amB	5	AP BUR MW PWG PWK
amI	8	BUR CCS GRA MD PWG PWK SCH SKD
ama	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
amb	5	AP BUR MW PWG PWK
ami	1	MD
amu	7	CAE CCS GRA MD MW PWG PWK
anA	9	AP CAE CCS GRA MD MW PD PWG PWK
anD	4	AP BUR MW PD
anI	2	MW PD
anO	1	PD
anU	1	PD
ana	11	BHS CAE CCS GRA MD MW PD PWG PWK SKD VCP
anc	1	PD
and	5	AP MW PD PWG PWK
anf	2	PD SCH
anh	1	PD
ani	2	MW PD
anj	1	PD
ano	7	AP MW PD PWG PWK SKD VCP
ans	1	PD
ant	4	AP MW PD PWG
anu	15	AP BHS BUR CAE CCS GRA INM MD MW PD PWG PWK SKD VCP VEI
apI	5	AP MW PWG PWK VEI
apa	12	AP BUR CAE CCS GRA MD MW PD PWG PWK SKD VCP
ape	2	AP MW
api	13	AP BHS BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
apu	1	PWG
aqU	1	PD
aqa	5	PD PWG PWK SKD VCP
aqi	1	PD
aqq	6	AP BUR MW PD PWG PWK
arA	3	MW PWG PWK
arC	6	CCS GRA MD PWG PWK SCH
arD	6	CCS GRA MD PWG PWK SCH
arG	8	AP BUR CAE CCS MD MW PWG PWK
arP	1	PWG
arR	2	PWG PWK
arS	2	GRA PWG
arT	5	AP BUR MW PWG PWK
arU	2	PWK SCH
ara	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI
arb	5	AP BUR MW PWG PWK
arc	8	AP BUR CCS GRA MD MW PWG PWK
ard	8	AP BUR CCS GRA MD MW PWG PWK
are	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
arh	9	AP BUR CAE CCS GRA MD MW PWG PWK
ari	11	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP
arj	9	AP BUR CCS GRA MD MW PWG PWK SCH
ark	5	AP BUR MW PWG PWK
art	3	GRA PWG PWK
aru	4	CAE MW PWG PWK
arv	5	AP BUR MW PWG PWK
arz	5	CCS GRA MD PWG PWK
asI	4	AP MW PWG PWK
asO	8	BUR CAE CCS MD MW PWK SCH VCP
asU	7	AP CAE GRA MW PWG PWK VCP
asa	6	MW PWG PWK SCH SKD VCP
asi	12	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI
asu	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
atI	3	AP MW PD
ata	4	PD SCH SKD VCP
atf	1	PD
ati	13	AP BHS BUR CAE CCS GRA MD MW PD PWG PWK SKD VCP
atu	1	PD
avI	7	AP MW PWG PWK SCH SKD VCP
ava	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
ave	3	AP BUR MW
avi	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI
awA	8	AP BUR MW PD PWG PWK SKD VCP
awa	4	AP PD PWG VCP
awi	1	PD
awu	1	PD
aww	6	AP BUR MW PD PWG PWK
ayA	8	AP CAE CCS GRA MD MW PWG PWK
aya	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
aye	11	AP BUR CAE CCS MD MW PWG PWK SCH SKD VCP
ayi	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
ayo	1	MW
aza	3	GRA SKD VCP
bAD	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
bAa	2	MW PWK
bAh	3	BUR GRA MW
bAl	5	CAE CCS MW PWG PWK
bAq	5	AP BUR MW PWG PWK
bIB	3	MW PWG PWK
baD	7	AP BUR GRA MD MW PWG PWK
baH	2	AP SKD
baR	2	BUR MW
baW	2	BUR MW
bad	5	AP BUR MW PWG PWK
bah	4	MD MW PWG PWK
bal	7	AP BUR MD MW PWG PWK SCH
ban	1	BUR
baq	1	GRA
baw	7	BUR CAE CCS MD MW PWG PWK
beS	3	MW PWG PWK
beh	2	AP MW
bfh	8	AP BUR CAE GRA MD MW PWG PWK
biH	1	AP
biS	3	MW PWG PWK
bid	4	AP MW PWG PWK
bil	5	AP BUR MW PWG PWK
biq	3	MW PWG PWK
bis	5	AP BUR MW PWG PWK
biw	5	AP BUR MW PWG PWK
blI	2	MW PWK
brU	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
buD	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
bud	5	AP BUR MW PWG PWK
buk	4	AP MW PWG PWK
bul	6	AP BUR MD MW PWG PWK
buq	5	AP BUR MW PWG PWK
bus	5	AP BUR MW PWG PWK
buw	5	AP BUR MW PWG PWK
buz	1	BUR
cAy	9	AP BUR CAE CCS GRA MD MW PWG PWK
cCA	1	AP
cIB	5	AP BUR MW PWG PWK
cIb	3	BUR MW PWK
cIk	5	AP BUR MW PWG PWK
cIt	1	MW
cIv	5	AP BUR MW PWG PWK
cIy	4	BUR MW PWG PWK
cUR	5	AP BUR MW PWG PWK
cUr	8	AP BUR CAE CCS MD MW PWG PWK
cUz	9	AP BUR CAE CCS MD MW PWG PWK SCH
caG	3	MW PWG PWK
caH	2	AP SKD
caQ	1	SCH
caR	6	AP BUR MW PWG PWK VCP
cad	5	AP BUR MW PWG PWK
cah	5	AP BUR MW PWG PWK
cak	8	AP BUR CAE CCS MD MW PWG PWK
cal	10	AP BHS BUR CAE CCS GRA MD MW PWG PWK
cam	9	AP BUR CAE CCS GRA MD MW PWG PWK
can	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
cap	6	AP BUR MD MW PWG PWK
caq	1	BUR
car	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
cat	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
caw	9	AP BUR CAE CCS MD MW PWG PWK SCH
cay	5	AP BUR MW PWG PWK
caz	5	AP BUR MW PWG PWK
ced	8	AP CAE CCS GRA MD MW PWG PWK
cel	5	AP BUR MW PWG PWK
cet	6	BUR MW PWG PWK SKD VCP
cfp	2	BUR MW
cft	7	AP BUR CAE GRA MD MW SKD
ciY	2	CCS MD
cic	1	MW
cid	8	CAE CCS GRA MD MW PWG PWK VCP
cil	5	AP BUR MW PWG PWK
cin	1	MW
cit	10	AP BUR CAE CCS GRA MD MW PWG PWK SKD
ciw	5	AP BUR MW PWG PWK
cuR	5	AP BUR MW PWG PWK
cub	1	BUR
cud	9	AP BUR CAE CCS GRA MD MW PWG PWK
cuk	2	PWG PWK
cul	6	AP BUR MW PWG PWK SCH
cup	9	AP BUR CAE CCS GRA MD MW PWG PWK
cuq	5	AP BUR MW PWG PWK
cur	8	AP BUR CAE CCS MD MW PWG PWK
cut	6	AP BUR MW PWG PWK SCH
cuw	9	AP BUR CAE CCS MD MW PWG PWK SCH
cya	1	BHS
cyu	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
dAS	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
dAn	5	AP BUR MW PWG PWK
dAs	9	AP BUR CAE CCS GRA MD MW PWG PWK
dAt	1	BUR
dAy	3	MW PWG PWK
dIH	1	AP
dIp	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
dIv	7	CAE CCS GRA MW PWG PWK VEI
dOH	1	MW
dOS	1	MW
dOr	1	MW
dOz	1	MW
dUr	4	MW PWG PWK VCP
dUz	1	BUR
daB	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
daD	6	AP BUR MD MW PWG PWK
daG	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
daH	2	AP SKD
daM	1	SKD
daS	7	BHS BUR CCS GRA MD PWG PWK
dad	7	AP BUR CAE GRA MW PWG PWK
dah	9	AP BUR CAE CCS GRA MD MW PWG PWK
dal	8	AP BUR CAE CCS MD MW PWG PWK
dam	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
dan	5	CAE GRA MW PWG PWK
dar	5	CCS GRA PWG PWK SCH
das	9	AP BUR CAE CCS GRA MD MW PWG PWK
dat	7	AP BUR GRA MD MW SKD VCP
dav	1	BUR
day	9	AP BUR CAE CCS GRA MD MW PWG PWK
dev	5	AP BUR MW PWG PWK
dfB	6	AP BUR CAE GRA MD MW
dfN	1	MW
dfP	3	AP BUR MW
dfS	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
dfa	2	MW PWK
dfg	1	MW
dfh	8	AP BUR CAE GRA MD MW PWG PWK
dfk	2	MW SKD
dfn	4	MW PWG SKD VCP
dfp	7	AP BUR CAE CCS GRA MD MW
diN	1	MW
diS	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP VEI
dig	1	MW
dih	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
dik	3	BUR MW SKD
din	1	PWK
dio	1	GRA
dip	3	MW PWG PWK
dir	4	GRA MW PWG PWK
diu	1	PWK
div	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
doH	2	MW SKD
dor	1	MW
dos	10	AP BUR CAE CCS GRA MD MW PWG PWK VCP
drA	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
drE	4	AP BUR MW SKD
drU	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
dra	3	MW PWG PWK
dru	12	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP VEI
duD	7	AP CAE CCS GRA MW PWG PWK
duG	2	GRA PWK
duH	2	MW SKD
duS	1	MW
dua	1	GRA
duh	9	AP BUR CAE CCS GRA MD MW PWG PWK
dul	8	AP BUR CAE CCS MD MW PWG PWK
dur	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
dus	9	AP BUR CAE GRA MD MW PWG PWK VCP
dut	2	MW SCH
duz	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
dvA	6	CAE CCS MD MW PWG PWK
dvE	4	MW PWG PWK VCP
dva	8	BUR CAE CCS GRA MD MW PWG PWK
dve	1	BHS
dvf	4	AP BUR MW SKD
dvi	11	AP BHS BUR CAE CCS GRA MD MW PWG PWK VCP
dvy	1	MW
dyA	2	PWG PWK
dyE	4	AP MW SKD VCP
dyO	1	MW
dyU	7	CAE CCS MD MW PWG PWK VCP
dya	3	MW PWG PWK
dyo	8	AP BUR GRA MD MW PWG PWK VCP
dyu	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
eDA	4	AP MW PWG VCP
eDa	10	BUR CAE CCS GRA MD MW PWG PWK SKD VCP
eDi	4	BUR CCS MD PWK
eRI	5	AP BHS MD MW VEI
eRa	8	BUR CAE CCS MD MW PWG PWK VCP
eRi	1	BHS
eWa	2	SKD VCP
eha	8	AP BHS CAE CCS MW PWG PWK VCP
ehi	6	BUR MD MW PWG PWK VCP
eja	2	SKD VCP
eji	5	AP MW PWG PWK VCP
ekA	4	AP MW SKD VCP
ekI	3	CCS MW PWK
eka	12	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH VCP
ekz	1	MW
elA	11	AP BHS BUR CAE CCS MD MW PWG PWK SKD VCP
elI	1	SCH
ela	4	BHS MW PWG PWK
elu	4	BHS MW PWG PWK
ema	8	AP CAE CCS MD MW PWG PWK VCP
emi	1	BUR
enA	8	AP CAE CCS GRA MD MW PWG PWK
enD	1	MW
enI	6	AP GRA MD MW PWG PWK
ena	8	BUR CAE CCS GRA MD MW PWG PWK
eno	1	MW
env	1	MW
eqI	2	INM MW
eqa	10	AP BUR CAE CCS MD MW PWG PWK SCH VCP
erA	1	MW
eru	5	AP MW PWG PWK VCP
etA	2	AP MW
eta	11	AP BUR CAE CCS GRA MD MW PWG PWK VCP VEI
ete	1	BUR
etf	4	AP CAE GRA MW
eti	6	BHS CAE GRA MW PWG PWK
etu	4	BUR GRA PWG PWK
evA	2	CAE PWK
eva	12	AP BHS BUR CAE CCS GRA MD MW PWG PWK SKD VCP
ezA	5	AP BUR MW SKD VCP
eza	10	AP BUR CAE CCS GRA MD MW PWG PWK SKD
fBu	11	AP BUR CAE CCS GRA INM MD MW PWG PWK VCP
fDa	2	SKD VCP
fGA	2	MW VCP
fGa	1	PWK
fPa	2	SKD VCP
fRI	2	PWK SKD
fRa	13	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP VEI
fSa	5	MW PWG PWK SKD VCP
fYj	4	AP BUR GRA MW
fcC	2	AP CCS
fca	5	MD MW PWG PWK SKD
fdU	1	MW
fdu	1	GRA
fjU	2	MW PWK
fja	2	SKD VCP
fju	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
fkz	2	AP BUR
fmP	2	AP MW
fnP	1	AP
ftA	1	INM
ftI	1	MW
fta	13	AP BUR CAE CCS GRA INM MD MW PWG PWK SCH SKD VCP
fte	12	AP BUR CAE CCS GRA MD MW PWG PWK SCH SKD VCP
fti	9	BUR CAE CCS GRA MW PWG PWK SCH VCP
ftu	11	BUR CAE CCS GRA INM MD MW PWG PWK VCP VEI
fzI	2	PWG VCP
fza	2	SKD VCP
fzi	12	BHS BUR CAE CCS GRA MD MW PWG PWK SCH VCP VEI
fzu	9	AP CAE CCS GRA MD MW PWG PWK VCP
gAD	6	AP BUR MW PWG PWK SCH
gAM	1	MW
gAh	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
gAm	1	BUR
gAs	1	BUR
gDa	3	MW PWG PWK
gDi	5	BUR MW PWG PWK VCP
gIH	2	MW SKD
gIr	1	MW
gIs	1	MW
gIz	1	MW
gOH	1	SKD
gUH	2	AP SKD
gUh	3	MD PWG PWK
gUr	6	AP BUR MW PWG PWK SCH
gaB	2	GRA MD
gaC	2	PWG PWK
gaD	7	AP CCS GRA MD MW PWG PWK
gaH	2	AP SKD
gaM	1	SKD
gaR	3	AP BUR MW
gad	9	AP BUR CAE CCS MD MW PWG PWK SCH
gah	5	AP BUR GRA MW PWG
gaj	5	AP BUR MW PWG PWK
gal	9	AP BUR CAE CCS MD MW PWG PWK SCH
gam	10	AP BUR CAE CCS GRA MD MW PWG PWK SCH
gaq	5	AP BUR MW PWG PWK
gar	5	CCS GRA PWG PWK SCH
gat	3	MW PWG PWK
gav	1	MW
gep	5	AP BUR MW PWG PWK
gev	5	AP BUR MW PWG PWK
gez	5	AP BUR MW PWG PWK
