slp1	iast	pos	period_spread
banDu	bandhu	m	1
BaYj	bhañj	v	1
dviguRa	dviguṇa	adj	1
druma	druma	m	1
saMniBa	saṁnibha	adj	1
udyam	udyam	v	1
mAnasa	mānasa	n	1
prayoga	prayoga	m	1
samAgam	samāgam	v	1
kaurava	kaurava	m	1
nava	nava	adj	1
pratigrah	pratigrah	v	1
vivarjay	vivarjay	v	1
pAYcAla	pāñcāla	m	1
praDAna	pradhāna	n	1
pratyaya	pratyaya	m	1
Arya	ārya	adj	1
Acakz	ācakṣ	v	1
martya	martya	m	1
kaunteya	kaunteya	m	1
upadiS	upadiś	v	1
ari	ari	m	1
KyA	khyā	v	1
ramya	ramya	adj	1
rati	rati	f	1
mantrin	mantrin	m	1
Sruti	śruti	f	1
vayas	vayas	n	1
triPalA	triphalā	mf	1
naraka	naraka	mn	1
SfNga	śṛṅga	n	1
suBUti	subhūti	m	1
anala	anala	m	1
Candas	chandas	n	1
CAyA	chāyā	f	1
niyama	niyama	m	1
tfzRA	tṛṣṇā	f	1
Srama	śrama	m	1
svara	svara	m	1
BARqa	bhāṇḍa	n	1
DAnya	dhānya	n	1
parAkrama	parākrama	m	1
pASa	pāśa	m	1
smfti	smṛti	f	1
amara	amara	m	1
Sukla	śukla	adj	1
waNkaRa	ṭaṅkaṇa	mn	1
vaNga	vaṅga	mn	1
akza	akṣa	n	1
yojana	yojana	fn	1
sAhasra	sāhasra	adj	1
adButa	adbhuta	adj	1
puMgava	puṁgava	m	1
zoqaSan	ṣoḍaśan	adj	1
kevala	kevala	adj	1
vyakta	vyakta	adj	1
KaRqa	khaṇḍa	mn	1
kftsna	kṛtsna	adj	1
kzaudra	kṣaudra	n	1
ekaika	ekaika	adj	1
vadana	vadana	n	1
Sayana	śayana	n	1
SoPa	śopha	m	1
sugrIva	sugrīva	m	1
jAray	jāray	v	1
yam	yam	v	1
aS	aś	v	1
dviz	dviṣ	v	1
jantu	jantu	m	1
vaiSya	vaiśya	m	1
kvATa	kvātha	m	1
saBA	sabhā	f	1
vicitra	vicitra	adj	1
mArkaRqeya	mārkaṇḍeya	m	1
nASa	nāśa	m	1
niScaya	niścaya	m	1
Ka	kha	n	1
sainDava	saindhava	mn	1
Agama	āgama	m	1
ananta	ananta	adj	1
vinASa	vināśa	m	1
BA	bhā	v	1
ravi	ravi	m	1
saMKyA	saṁkhyā	f	1
vftta	vṛtta	n	1
haMsa	haṁsa	m	1
ruDira	rudhira	n	1
kfcCra	kṛcchra	mn	1
anuttama	anuttama	adj	1
gamana	gamana	n	1
sarga	sarga	m	1
Ahava	āhava	m	1
Suzka	śuṣka	adj	1
varga	varga	m	1
aYjana	añjana	n	1
anugam	anugam	v	1
rAzwra	rāṣṭra	mn	1
vAjin	vājin	m	1
bAnDava	bāndhava	m	1
parityaj	parityaj	v	1
tf	tṛ	v	1
akzi	akṣi	n	1
durlaBa	durlabha	adj	1
svAdu	svādu	adj	1
parAyaRa	parāyaṇa	n	1
pUray	pūray	v	1
sAtyaki	sātyaki	m	1
nakzatra	nakṣatra	mn	1
ozaDi	oṣadhi	mf	1
nayana	nayana	n	1
ruj	ruj	mf	1
mAnuza	mānuṣa	adj	1
sutA	sutā	f	1
bAhya	bāhya	adj	1
gautama	gautama	m	1
saMkASa	saṁkāśa	m	1
BAra	bhāra	m	1
icCA	icchā	f	1
loBa	lobha	m	1
nATa	nātha	m	1
kuntI	kuntī	f	1
yAna	yāna	n	1
ABaraRa	ābharaṇa	n	1
pakzin	pakṣin	m	1
nAda	nāda	m	1
IdfSa	īdṛśa	adj	1
svasti	svasti	fn	1
dyuti	dyuti	f	1
juz	juṣ	v	1
sarasvatI	sarasvatī	f	1
saumya	saumya	adj	1
saMsAra	saṁsāra	mn	1
maDyama	madhyama	adj	1
mAlA	mālā	f	1
udBava	udbhava	adj	1
samAhita	samāhita	adj	1
dIna	dīna	adj	1
saMsTA	saṁsthā	v	1
coday	coday	v	1
vIryavat	vīryavat	adj	1
caraRa	caraṇa	mn	1
cyu	cyu	v	1
nikzip	nikṣip	v	1
prajYA	prajñā	f	1
raSmi	raśmi	mf	1
kanaka	kanaka	n	1
viSuD	viśudh	v	1
Buvana	bhuvana	n	1
saMDyA	saṁdhyā	f	1
SoBana	śobhana	adj	1
DArtarAzwra	dhārtarāṣṭra	m	1
hvA	hvā	v	1
kavi	kavi	m	1
Gana	ghana	mn	1
vfzwi	vṛṣṭi	f	1
saMyuga	saṁyuga	n	1
su	su	v	1
aDvan	adhvan	m	1
Akfti	ākṛti	f	1
anaGa	anagha	adj	1
banDana	bandhana	n	1
savitf	savitṛ	m	1
Amaya	āmaya	m	1
aiSvarya	aiśvarya	n	1
vAma	vāma	adj	1
vijaya	vijaya	m	1
kIrti	kīrti	f	1
lakzmI	lakṣmī	f	1
mAtrA	mātrā	f	1
DarmarAja	dharmarāja	m	1
sUtra	sūtra	n	1
udAhf	udāhṛ	v	1
sanAtana	sanātana	adj	1
SArdUla	śārdūla	m	1
aBraka	abhraka	mn	1
hastin	hastin	m	1
prapad	prapad	v	1
kumBa	kumbha	m	1
naKa	nakha	mn	1
viSiz	viśiṣ	v	1
Bfgu	bhṛgu	m	1
BUzaRa	bhūṣaṇa	n	1
kfzRA	kṛṣṇā	f	1
dIpana	dīpana	adj	1
buDa	budha	adj	1
nam	nam	v	1
SAsana	śāsana	n	1
devadeva	devadeva	m	1
kauSika	kauśika	m	1
pippalI	pippalī	f	1
rUpin	rūpin	adj	1
purI	purī	f	1
skanDa	skandha	m	1
vAray	vāray	v	1
IkzaRa	īkṣaṇa	n	1
udi	udi	v	1
