hw_slp1	iast	pw_L	pw_pc	corr_n	corr_dicts	mahavy_refs	dcs_band	proposed_action	evidence	gloss
calAkzara	calākṣara	217251	7-341-a	2	acc;sch		0	add-entry	B:carvaRa;B:calitasTAna	
cAkzuzIyanItiSAstra	cākṣuṣīyanītiśāstra	217259	7-341-a	2	acc;sch		0	add-entry	B:cAkzuza	
cAturdvIpaka	cāturdvīpaka	217260	7-341-a	2	bhs;sch	154,1	2	add-entry	B:cAturDAkAraRika	
cApodara	cāpodara	217276	7-341-b	2	bhs;sch	223,133	0	add-entry	B:cApaveda;B:cAmara	
citraraktapawa	citraraktapaṭa	217321	7-341-c	2	acc;sch		0	add-entry	B:citrApUrRamAsa	
colacarita	colacarita	217381	7-342-a	2	acc;sch		0	add-entry	B:colaka;B:colapawwaka	
colapparAjIya	colapparājīya	217383	7-342-a	2	acc;sch		0	add-entry	B:colapawwaka;B:cOtapallava	
CandaHSloka	chandaḥśloka	217409	7-342-b	2	acc;sch		0	add-entry		
CAyApuruzAvaboDana	chāyāpuruṣāvabodhana	217422	7-342-c	2	acc;sch		0	add-entry	B:CAyApaTa;B:Cid	
CurikAlakzaRa	churikālakṣaṇa	217430	7-342-c	2	acc;sch		0	add-entry	B:Cur;B:Cowana	
jagatsUtravAdArTa	jagatsūtravādārtha	217436	7-342-c	2	acc;sch		0	add-entry	B:jagatkAraRakAraRa;B:jagDa	
jawAmaRi	jaṭāmaṇi	217444	7-342-c	2	acc;sch		0	add-entry		
jawAsidDAntacandrikA	jaṭāsiddhāntacandrikā	217447	7-342-c	2	acc;sch		0	add-entry	B:jawAvallI	
jawiSilAmAhAtmya	jaṭiśilāmāhātmya	217449	7-342-c	2	acc;sch		0	add-entry	B:jaWarajvalana	
janmavarzAdiPala	janmavarṣādiphala	217477	7-342-d	2	acc;sch		0	add-entry	B:janmabanDa;B:janya	
jalodanapaYcaka	jalodanapañcaka	217520	7-343-a	2	acc;sch		0	add-entry	B:jalAmatra	
jAtiKaRqana	jātikhaṇḍana	217539	7-343-b	2	acc;sch		0	add-entry	A:jAtavedas;A:jAtyantarIyaka	
jvalanolka	jvalanolka	217647	7-344-b	2	bhs;sch	21,94	0	add-entry	B:jvalana;B:jvalita	
JalaYJalA	jhalañjhalā	217653	7-344-b	8	ap;bur;lrv;sch;shs;vcp;wil;yat		0	add-entry	B:Jara;B:JallIkA	
qItara	ḍītara	217664	7-344-b	4	mw72;pwg;sch;vcp		0	add-entry	B:qimBa;B:Qakka	
tantrapati	tantrapati	217728	7-344-d	2	ieg;sch		0	add-entry	B:tantrAvApa	
tilakocavaka	tilakocavaka	217849	7-345-d	2	bhs;sch	238,29	0	add-entry	B:tilakAvala;B:tilaDenu	
tuRava	tuṇava	217866	7-346-a	2	bhs;sch	218,8	1	add-entry	B:tuj;B:tuRqicela	
DanuzkalApaka	dhanuṣkalāpaka	218426	7-350-b	2	bhs;sch	217,33	0	add-entry	B:DanurmArga	
DavalapurARasamuccaya	dhavalapurāṇasamuccaya	218474	7-350-d	2	pwg;sch		0	add-entry	B:Davalapakza;B:Davalasmfti	
DUNkzRA	dhūṅkṣṇā	218507	7-351-a	2	sch;vei		0	add-entry	B:Durya;B:DUtaguRa	
nayahIna	nayahīna	218581	7-351-d	3	cae;ccs;sch		0	add-entry	B:nayavartman;B:nara	
navalakzaRa	navalakṣaṇa	218604	7-351-d	2	sch;vcp		0	add-entry	B:navavitfRRa	
nAmANkita	nāmāṅkita	218662	7-352-b	2	cae;sch		0	add-entry	B:nAmAkzara;B:nAmAdeSam	
nicCuraRa	nicchuraṇa	218695	7-352-c	2	sch;stc		0	add-entry	B:nicayin	
niScikIrzA	niścikīrṣā	218814	7-353-c	2	bhs;sch	127,15	0	add-entry	B:niScayin;B:niScitArTa	
paligoDa	paligodha	219229	7-357-b	2	bhs;sch	245,122	0	add-entry	B:palASa;B:palita	
pElottika	pailottika	219522	7-359-d	2	bhs;sch	281,242	0	add-entry	B:pEnya;B:pESunika	
boDipakzanirdeSa	bodhipakṣanirdeśa	220050	7-364-b	2	bhs;sch	65,57	0	add-entry	B:boDicittavivaraRa;B:boDisattvacaryA	
BrUkuwika	bhrūkuṭika	220249	7-366-a	2	bhs;sch	126,56	0	add-entry	B:BrUkuMsa;B:BrURa	
mahAhatamanda	mahāhatamanda	220435	7-367-c	2	bhs;sch		0	add-entry	B:mahAsvapna;B:mahAhava	
rasarasAgratA	rasarasāgratā	220770	7-370-d	2	bhs;sch	17,10	0	add-entry	B:rasaBedin	
lavaNga	lavaṅga	220870	7-371-d	12	cae;ccs;md;mw72;pwg;sch;shs;snp;stc;vcp;wil;yat		0	add-entry	B:lalitoka;B:las	
vaptar	vaptar	220947	7-372-c	4	cae;ccs;pwg;sch		0	add-entry	B:vapuzmattA;B:vapra	
vfzikA	vṛṣikā	221304	7-376-b	2	bhs;sch		0	add-entry	B:vfzwi	
akAraRabanDu	akāraṇabandhu	222073	7-384-1a	2	cae;sch		0	add-entry	B:akalpa;A:akuSala	
atibalavant	atibalavant	222100	7-385-a	2	cae;sch		0	add-entry	A:atiprasanna;A:atiboDisattva	
adaMzwrin	adaṃṣṭrin	222110	7-385-a	4	cae;lan;sch;stc		1	add-entry	A:aTarI;B:adattAdAyin	
apratyudDArya	apratyuddhārya	222185	7-385-d	2	bhs;sch	278	0	add-entry	A:aptur	
amfzya	amṛṣya	222213	7-386-a	2	mw72;sch		1	add-entry	B:amiTyA;B:ambikA	
avicintayant	avicintayant	222241	7-386-c	2	sch;stc		0	add-entry	A:avicita;A:aviBakta	
asaMyamitAlakin	asaṃyamitālakin	222245	7-386-c	2	sch;stc		0	add-entry	B:aSama	
asaMvasant	asaṃvasant	222246	7-386-c	3	cae;sch;stc		0	add-entry	A:asijihva	
fcase	ṛcase	222304	7-387-a	5	cae;ccs;pwg;sch;vcp		0	add-entry	A:UrRAyu;A:fjvAgata	
carkfze	carkṛṣe	222380	7-387-d	2	md;sch		0	add-entry		
tatsamakzam	tatsamakṣam	222402	7-388-a	2	cae;sch		0	add-entry	A:tatpraDAna	
taddviguRa	taddviguṇa	222403	7-388-a	2	cae;sch		0	add-entry		
tadbudDi	tadbuddhi	222404	7-388-a	3	cae;md;sch		0	add-entry		
tadvaMSya	tadvaṃśya	222405	7-388-a	2	cae;sch		0	add-entry		
tulyapraBAva	tulyaprabhāva	222412	7-388-a	2	cae;sch		0	add-entry	B:turaga	
