mw_annexure_headword	in_sup7
asTikara	N
asTikumBa	Y
asTisaMGAta	N
asTisaMyoga	N
asTivilayatIrTa	N
asTiyantravat	N
asTyudDaraRa	N
asUcIsaMcAra	N
asUta	Y
asaMBava	Y
asaMKyaSas	Y
asaMdaDAna	N
asaMdarSana	N
asaMgItakam	N
asaMgatapraBa	N
asaMgrAha	Y
asaMgraha	Y
asaMhatavihArin	N
asaMjYika	N
asaMjYikasattva	Y
asaMkIrRa	Y
asaMkxpta	N
asaMlulitakeSatA	N
asaMnipAtin	N
asaMnyupta	Y
asaMsUktagila	N
asaMskArya	Y
asaMvfttaviDeya	N
asaMyatta	Y
asaMyogopaDa	Y
asahat	N
asahfdaya	Y
asahya	Y
asajAti	N
asakta	Y
asamAptapraBa	N
asamBUta	N
asamanvAhAra	Y
asamayavyukta	N
asammozaDarman	N
asamparigraha	N
asampfkta	N
asamprajYAna	N
asamprajYAta	N
asampramARa	N
asampuza	N
asanAma	N
asanidarSana	Y
asarvahoma	N
asasya	N
asatkriyA	Y
asatpratigraha	Y
asecanakadarSana	N
asfRya	Y
asfgBAjana	N
asi	N
asibadDa	N
asijala	Y
asijihva	Y
asimArga	Y
asiplava	N
asisUnA	Y
asitAla	N
asitAnana	N
asita	N
asitagati	N
asitagatidyuti	N
asitaratna	Y
asitaskanDa	Y
asitekzaRa	N
asmAdfSa	Y
asmadrAta	N
asoQa	N
aspandanasTiti	N
aspfzwapuruzAntara	N
asruta	N
astABilAzin	Y
astIka	N
astaMgacCat	N
astagAmin	N
astakaruRa	N
astalagna	N
astamayAcala	N
astamitoditA	N
astanA	Y
astarya	Y
astinAstitva	Y
astrIka	Y
astra	Y
astrajIvana	N
astrakzatimat	N
astraveda	N
astu	N
asuKAya	N
asupratAra	Y
asurArdana	Y
asuraviSa	Y
asuri	N
asuvyaya	N
asvAmivikraya	N
asvArTa	Y
asvagatA	N
asvarya	N
asvaryogya	N
asvasTAna	N
asvatA	N
asyAkfti	N
asyUtanAsika	Y
asyagra	N
atEjasa	Y
atISa	N
atIcAra	Y
atIkASa	N
atIrRa	Y
atIrTa	N
atIvAda	N
atandrI	Y
atarapaRyena	N
atarka	N
atarkitopapanna	N
ataskara	Y
atiBAra	N
atiBAraBUta	N
atiSAta	N
atiSaMsanA	N
atiSaMsana	Y
atiSayavat	N
atiSayopamA	N
atiSrama	Y
atiTIBU	N
atiTIkf	N
atiTyarTa	N
atiboDisattva	Y
aticCanda	N
aticiraya	N
aticitrIya	N
atidaMh	N
atidigDa	N
atidozam	Y
atidvaya	Y
atigArgya	N
atihAra	Y
atihasita	Y
atikfcCra	Y
atikfcCram	N
atikftArTa	N
atikfti	N
atikrAntAtikrAnta	Y
atikramaRa	Y
atimAla	Y
atimAya	Y
atimanoraTakrama	N
atimukti	Y
atinam	N
atipAda	N
atipAraya	N
atipraSfD	N
atiprasaNga	N
atiprasanna	Y
atirAtrayAjin	N
atiroka	N
atisAra	Y
atisarasvatI	Y
atisarga	Y
atisitANgavihaMga	N
atisuhita	Y
atisvinna	Y
atitamAm	N
atitfRRa	N
atitikzamARa	Y
ativIryapraBa	N
ativara	N
ativyasta	N
atiyAtrA	Y
atka	N
atrAsita	N
atrasad	N
atrasyat	N
atrirAtrayAjin	N
atsaruka	N
attrIRi	N
atulyapraBa	N
atvara	N
atyAKaRqalavikrama	N
atyAyus	N
atyUha	N
atyUrDvAkza	N
atyUrjitam	Y
atya	Y
atyakzara	Y
atyantaSas	Y
atyaya	Y
atyayikapiRqapAta	N
atyetavE	Y
atyfzaBa	N
atyurvISa	N
avAMSa	N
avAYc	Y
avAcAla	N
avAcaMyama	Y
avAcya	Y
avAgduzwa	Y
avAgja	N
avAkCruti	N
avAkPala	N
avAksrotas	N
avAlamba	Y
avAptukAma	N
avArtta	Y
avAruRa	N
avESAradya	Y
avEvartika	N
avEvartikatva	N
avEzamya	Y
avIraGna	N
avIraGnasTa	N
avItaka	Y
avaBAsya	N
avaBarjita	N
avaBartsana	Y
avaDAna	Y
avaDAnavat	N
avaDAnavattA	N
avaDika	N
avaGozaRA	Y
avaKAda	Y
avaSAnta	N
avaSarDayitf	N
avaSfD	N
avaSyAyakiraRa	N
avaSya	Y
avaSyaBAgIyaka	Y
avaSyayAtavyatA	Y
avaSyendriya	Y
avaYcanatA	Y
avacAraRa	N
avacCAdana	N
avacIravicIraka	Y
avacaraka	Y
avadAnakalpalatA	N
avadAtavasana	Y
avadola	Y
avadraNga	Y
avagITa	N
avagamana	Y
avagraha	N
avagrahaSaka	N
avahArika	N
avahat	N
avahitapARi	N
avahni	Y
avajAta	N
avajayana	N
avajihva	N
avajvAla	Y
avajvalana	Y
avakASe	N
avakIrRa	N
avakalana	Y
avakara	Y
avakeSin	Y
avakragamitA	N
avalgukArin	N
avalipsa	N
avalita	Y
avalka	N
avalokanaka	Y
avalokita	N
avalopa	Y
avalopana	Y
avamUrDaka	Y
avamocana	Y
avamohana	Y
avanImuKa	N
avana	Y
avaniHsaraRa	N
avantimihira	N
avapUraRa	Y
avapana	N
avapfzWIkfta	N
avapus	Y
avaqa	N
avarArDa	N
avarakaNkA	N
avartin	Y
avarzatarkye	N
avasAdanA	Y
avasAdanAvineya	N
avasAraRA	Y
avasPUrjaTu	N
avasPowana	N
avasTAtavya	N
avasarapAWaka	N
avasarpaRa	N
avasitArTa	Y
avasitakArya	N
avasitamaRqana	N
avasiti	N
avaskandana	Y
avasraMsana	Y
avasuzirA	N
avasvApanikA	Y
avatAqana	Y
avatAra	N
avatAraprekzin	Y
avatarpaRa	N
avatka	N
avatsA	Y
avatsala	Y
avavAdaka	Y
avavisraMsita	N
avazwabDatA	N
aveSasadfSa	N
avekzatA	N
avfntaka	N
avftta	N
avfzaRIkfta	N
avfzaRa	N
avfzwa	Y
aviBakta	Y
aviBavat	N
aviBraMSa	Y
aviDAyin	N
aviDura	Y
aviDya	Y
aviGnamaNgala	N
aviKaRqana	Y
aviKyAtadoza	N
aviSAlaBAva	N
aviSaNkita	Y
aviSrAntaviDyADaravyAkaraRa	N
aviSrabDa	Y
aviSrama	Y
avibarha	Y
avibuDa	Y
avicita	Y
avida	N
avidvizAvat	N
avigaRayya	N
aviheWita	Y
avijAnaka	Y
avikAra	Y
avikURita	Y
avikalpaka	Y
avikfzwa	Y
aviklizwa	Y
avikopita	Y
avikramaRa	N
avikrayya	N
avikuRWa	N
avilambasarasvatI	N
avilambya	N
aviloman	N
avimanas	Y
avimarSa	N
avimarSitavya	Y
avimocana	N
avimuKam	Y
avimuktopanizad	Y
avina	N
avinyasta	Y
aviplava	N
aviprapaYca	Y
avirUQa	Y
aviraladantatA	N
aviralita	Y
avirodDf	N
avisaMvAdita	Y
avisfzwa	Y
aviskanttf	N
avitAna	Y
avitaraRa	Y
avivAha	N
avivarta	Y
avizWu	N
avizamapadatA	N
avizwAva	N
avoQf	N
avokz	N
avokzaRIya	N
avyAGAta	N
avyAbADa	Y
avyAlacezwita	Y
avyaTin	Y
avyakta	N
avyaktaBAzin	N
avyaktamUrti	N
avyaktanirmARa	N
avyatI	N
avyavahAra	Y
avyavahfta	N
avyavasTA	N
avyavasTa	Y
avyavasTita	N
avyaveta	N
avyupta	N
avyuptakeSa	Y
avyuptavaha	Y
awawa	N
awawyA	N
awwapAlaka	N
ayAtrika	Y
ayOgika	Y
ayUTika	Y
ayaHSalAkA	N
ayaTAvftta	Y
ayamAsya	N
ayaskIlA	N
ayaskIla	Y
ayman	N
ayoga	Y
ayogapeSala	N
ayogin	N
ayomaRi	N
ayomiSra	Y
ayoni	Y
ayugacCada	N
ayugasapti	N
ayujAkzara	Y
ayujakAram	N
ayukpAdayamaka	N
ayutaDA	N
ayutaDAra	N
azWI	N
azwANga	Y
azwANgamArgadeSika	N
azwANgapraRipAta	Y
azwANgasamanvAgata	N
azwANgayoga	N
azwANgopeta	N
azwASvasamADi	N
azwAdaSa	N
azwAdaSaprakfti	N
azwAdaSarca	N
azwAdaSavakra	Y
azwAdaSavakrikA	Y
azwApada	N
azwArDa	N
azwAratni	N
azwaBoga	N
azwakASrAdDa	Y
azwakarmapariBrazwa	N
azwakyA	Y
azwamadeSa	N
azwapada	N
azwaratni	Y
azwavArzika	Y
azwika	Y
azwottara	N
bAhuleya	N
bAsteya	N
bAveru	N
bAzpagraTita	N
bAzpahatekzaRa	N
bIjANkuranyAya	N
bIjaDarman	N
bIwaka	N
baBrUmUtra	N
babiru	N
bahUpamA	N
bahiHSOca	N
bahiHprayARa	N
bahirmAlA	N
bahirvESravaRa	N
bahudevatA	N
bahukzIraduh	N
bahupratigrAhya	N
bahusaMsTita	N
bahuvelam	N
bahuviDAkAra	N
bahuvista	N
balABijYa	N
baliSeza	N
balihft	N
balivAhana	N
banDuSoka	N
banDuraH	N
banDuvarman	N
bava	N
bawwa	N
bfhacCiras	N
bilavat	N
bisaguRa	N
bisalAvam	N
boDiparinizpatti	N
brAhmaRAvekza	N
brAhmaRaBakta	N
brAhmaRasamBAza	N
brAhmaRavarRin	N
brAhmaRayoni	N
brUs	N
brahmAsandI	N
brahmaGoza	N
brahmahfdaya	N
brahmottara	Y
bruq	N
budDaBadra	N
cARqikA	N
cAhuyARa	N
cAkrika	N
cAlukyavikramakAla	N
cAmuRqarAja	N
cAndramasAyani	N
cApa	Y
cApanigama	N
cAparava	N
cAruSfNgin	N
cArugAmitA	N
cArugIta	N
cArupayoDara	N
cArya	Y
cEtrakuwI	N
cEtrasaMkrAnti	N
cIrAmbara	N
cIracIvara	N
cIvaravat	N
cOrakilbiza	N
cUrRavfdDi	N
caRava	N
caYcala	Y
caYcu	Y
caYcutA	N
caYcutva	N
cakadra	N
cakitagati	N
cakrANkitapARipAdatalatA	N
cakrANkitapAda	N
cakraDAraRa	N
cakrabanDa	Y
cakracara	N
cakraka	Y
cakrapaTa	Y
cakrapakza	N
cakraratna	N
cakzuHSrotra	N
calatsawa	N
campakaSrezWikaTAnaka	Y
candanaBAnu	N
candanagOra	N
candanaganDa	N
candanavanI	N
candrAgra	Y
candrArkamardana	N
candraBIru	N
candraSakala	N
candravarcasa	N
candravyAkaraRa	N
cara	N
caraRaka	Y
caritrAvaSeza	N
caritrapuzpa	N
carmAmbara	N
caryAcaraRa	N
catuHsuvarRaka	N
catuHzazwyupacAramAnasapUjAstotra	N
catuScatvAriMSadakzara	N
caturTipraBfti	N
caturasraSoBin	N
caturasrayAna	N
caturdaMzwra	N
caturviMSatyakzara	Y
caturvyavasitayamaka	N
catuzputra	N
catvAraka	N
catvarI	N
cayanAnta	N
cayanakArikA	N
cayanapadDati	N
cayanaprayoga	N
cayanasUtra	N
cazakAya	N
cedisaMvat	N
cezwApfTaktvanivartin	N
cikitsAprABfta	N
cikitsanIya	Y
cintAparIta	N
cintAviDeya	N
cintAvivikta	N
cirasaMsTita	N
ciravAsa	N
citAntarAMSatA	N
citi	Y
citrANgulitA	N
citrAhuti	N
citrAkfti	N
citrAyuDa	N
citra	Y
citrahetu	N
citrajavanikA	N
citrakaTa	N
citrakeSatA	N
citrapakzmatA	N
citrasuDAniDi	N
cittADipatya	N
cittaDArAbudDisaMkusumitAByudgata	N
cittaDAraRa	Y
cittapAvan	N
cittavirAga	N
colaBARa	N
corikAvivAha	N
cullapatka	N
cundikA	N
cuwI	N
dASeraka	N
dAhavadAnya	N
dAhavadAnyatA	N
dAkzAyya	N
dAkziReya	Y
dAkziRya	Y
dAlByAyana	N
dAnapawwaka	N
dAnapratiBU	N
dAnasaMvanana	N
dAnavIra	N
dAnaviSoDana	N
dAqimaPala	N
dArByUza	Y
dArQajayanti	N
dAragupti	N
dAruciti	N
dAs	N
dAtfpratIcCaka	N
dAtrAkarRa	Y
dAtreya	Y
dAyavIra	N
dInacintAmaRi	N
dIptAgra	N
dIptaPala	N
dIrGABinizWAnAnta	N
dIrGANgulitA	N
dIrGanirvaMSa	N
dIrRANga	N
dOhfdinI	N
dOnduBI	N
dOnduBi	N
dOrmatya	N
dUrUpa	N
dUrakArya	N
dUredevata	N
daDitTa	N
daMzwrAyuDa	N
daParaKAna	N
daRqAya	N
daRqaSura	N
daRqapASika	Y
daRqapadmAsana	N
daRqaviDi	N
daRqika	N
daRqopAnaha	N
daSAvasTA	N
daSAvayava	N
daSAvipAka	N
daSamIsTa	N
daSanaKa	N
daSanaSiKara	N
daSaputra	N
daSarAtraparyuzita	N
daSasAhasram	N
daSottara	Y
daSra	N
dadA	N
dadda	N
dagDAnna	N
dagDakilbiza	N
dahanakalpa	N
dahanasAraTi	Y
dahanavat	N
dahyu	N
dakziRApada	N
dakziRAprAYc	N
dakziRApratigraha	N
dakziRApravaRa	N
dakziRAvarjam	N
dalanagara	N
damadAna	N
damanAropaRa	N
damayantIpariRaya	N
damopeta	N
dampati	N
dan	N
dantakoSa	N
dantalIna	N
dantapAYcAlikA	Y
darBagrumuzwi	N
darBeRqva	N
darSanakANkzin	N
darSanotsuka	N
daraka	N
dattottara	Y
dayAlasa	N
dayApUrvam	N
dazwamAtra	N
dazwavya	Y
deSaBraMSa	N
deSavirudDa	N
dehabadDa	N
dehalIdIpanyAya	N
dehavimukti	N
devEnasa	N
devI	Y
devagama	N
devajana	N
devapARi	N
devarAya	N
devasaMyukta	N
devatAnigama	N
devatara	N
devayaSasa	Y
devayazwi	N
devendravarman	N
dfSAna	N
dfSIku	Y
dfgAyuDa	N
dfkSravas	N
dfkcCada	N
dfzwAdfzwa	N
dfzwibanDa	N
dfzwiprapAta	N
diSAna	N
digDaPala	N
digvalaya	N
dikpAlastuti	N
dinammanyA	N
divAsTAna	N
divastamBana	N
diviDuvaka	N
divyakAlinI	N
divyonmAda	N
dizwagamana	N
dohada	N
dorvizAda	N
drOpadIpariRayacampU	N
dra	N
dravarAga	N
draviRapati	N
draviRendrAtmaja	N
dravyaSaktimat	N
dravyaguRa	N
dravyasamuccaya	N
drumAbjaketu	N
drumAkza	N
drumacCedaprAyaScitta	N
drumala	N
duHKaBUyizWa	N
duHKapratIkAra	N
duHKeta	N
dunduBisvaranirGoza	N
duranUcAna	N
duranuga	N
duranusamprApya	N
durganDarasa	N
duryoDanAsana	N
duzkuha	N
duzpraDarza	N
duzpratItikara	N
dvArAvatI	N
dvArakAnATa	N
dvezakalpa	N
dviKurin	N
dvigarta	N
dvigotra	N
dvijAtipravara	N
dvimodakikA	N
dviparAjavikrama	N
dviradagAmin	N
dviradamaya	N
dviyajYopavItin	N
dvyavara	N
dyusTa	N
dyuvan	N
eDini	N
eRIka	N
ed	N
ehiBikzukA	Y
ejana	N
ekANgagraha	N
ekAdaSarca	N
ekAdaSavarza	N
ekAdaSavyUha	N
ekAhaDanin	N
ekAhan	N
ekAkzipiNgalin	Y
ekAmracandrikA	N
ekAmranATa	N
ekAmrapurARa	N
ekAmravanamAhAtmya	N
ekAntaduHKa	N
ekAntaritin	N
ekArTadIpaka	N
ekArzeya	Y
ekAtmapakza	Y
ekAtmapakzavAda	N
ekAyanIBAva	Y
ekEkatra	Y
ekEkavat	N
ekIBAvastotra	Y
ekIya	Y
ekaBUyas	N
ekaBoga	N
ekaSUla	Y
ekaSarIrin	Y
ekaSeza	Y
ekaSnuzwi	N
ekacCAyApravizwa	Y
ekadvAra	N
ekaga	N
ekagarBa	Y
ekagranTa	N
ekakarman	Y
ekakriyAviDi	N
ekaloka	Y
ekamUrti	N
ekaniBa	Y
ekapAtin	Y
ekapadam	Y
ekapalADika	N
ekapati	Y
ekapatitva	N
ekasTAnASraya	N
ekasampratyaya	N
ekasaptatiguRa	N
ekatIrTin	N
ekatomuKa	Y
ekavartanin	Y
ekaveda	Y
ekavfkzIya	Y
ekaviMSaticCadi	Y
ekavyUha	Y
elArasAlaka	N
elAvAluka	N
erA	N
eraRqA	N
eraRqapalla	N
eru	N
etAvadAvAsa	N
etAvatiTa	N
etadupanizad	Y
etatpraBfti	Y
etivat	N
evAza	Y
evaMSIla	Y
evaMgotra	Y
evaMkarman	Y
evaMkxpta	Y
evaMvidus	Y
evampariRAma	N
evampratyaya	N
evampravAda	N
ezEzya	N
ezwavE	N
ezwf	N
fSyapad	N
fdDi	N
fdDilakzmI	N
fdDyaBisaMskAra	Y
fgaSIti	N
fgyajus	N
fjugAtratA	N
fjuvyAkaraRa	N
fjuyoDin	N
fjvAgata	Y
fjvAyata	N
fkpada	N
fkzabila	Y
fkzakarRI	Y
fkzavarRa	Y
ftAmfta	N
ftaSrI	Y
ftasaDasTa	N
fteBaNga	Y
ftesPya	N
ftokti	Y
ftudevata	Y
ftugamana	Y
ftukarman	N
ftuketulakzaRa	N
ftumaNgala	N
ftuparyaya	N
ftusamAveSana	Y
ftuvyAvftti	Y
ftvan	Y
ftvigASis	N
fzaBA	N
fzaBEkADika	N
fzaBEkAdaSa	N
fzaBa	Y
fzaBacarma	Y
fzaBadatta	N
fzaBavikrama	N
fzivAwa	Y
gANgeyadeva	N
gAQodvega	N
gAjara	Y
gAnDArivARija	N
gArBiRa	N
gArhya	N
gAtraSayya	Y
gAtracezwa	N
gAtrasaMkocin	N
gAtraviGarzaRa	N
gAyatrImuKa	N
gAyikI	N
gItAgIta	N
gItiSataka	N
gOtamIya	N
gUQagulPatA	N
gUQamantra	Y
gUQasira	N
gUQasiratA	N
gaBasti	N
gaBastivAra	N
gaNgAvilAsa	N
gaNgAzwaka	N
gaNga	N
gaNgama	N
gaNgezwi	N
gaRaBogya	N
gaRakamahAmAtra	Y
gaRanAvartalipi	N
gaRapatinAga	N
gaRapuraRa	N
gaReSa	N
gaRitra	Y
gaRqa	Y
gaRqakAza	N
gaRqapAlI	N
gaRquka	N
gadApARi	N
gadga	N
gadgadarudDa	N
gaganANgaRa	Y
gaganapariDAna	Y
gaganasiMha	N
gahanezWa	Y
gahya	N
gajAlAna	N
gajamAna	N
gajapUrva	Y
gajaprayantf	N
gajaraTapura	N
gajavaDU	N
galUnasa	N
galagranTi	Y
galamowana	N
galaranDra	Y
galda	N
gallapUraRa	N
gamBIraDIra	N
gamBIrakukzitA	N
gamBIranABitA	N
gamBIrapARileKatA	N
gamBIravepas	N
gamanAgamana	N
gamika	Y
ganDahastin	Y
ganDakuwI	N
ganDalipta	N
ganDapraBAsa	N
ganDapuzpaDUpadIpa	N
ganDarvapratyupasTita	N
ganDarvopADyAya	N
ganDivftta	N
ganDoddAma	N
ganDottama	N
garBagata	N
garBamft	Y
garBaprAvaraRa	Y
garBasaMDi	N
garBasaMskAra	Y
gardaBakzIra	N
garhitAnnASana	N
garvi	N
gatapraja	N
gatodaka	N
gavAlamBa	Y
gavAsTi	Y
gavInI	Y
gavyUti	N
gayAkASyapa	N
gayAsadIna	N
geha	Y
gehapArAvata	N
gfdDi	N
gfhItAvaguRWana	N
gfhItaSUla	N
gfhItacApa	N
gfhItanAmaDeya	N
gfhItapATeya	N
gfhItapaScAttApa	N
gfha	Y
gfhaSreRI	N
gfhadvAr	N
gfhaka	Y
gfhakakzyA	N
gfhamayUra	N
gfhanirvAha	Y
gfhapUjA	Y
gfhapativadana	Y
gfhapawala	N
gfhapfzWa	N
gfhaprapadana	N
gfheSUra	N
gfhodaka	N
girijAdevI	N
girilakzmaRa	N
girirAjaGoza	N
girirAjaGozeSvara	N
giristanI	N
glAtu	N
goBaga	N
goRikA	N
goSAlA	N
goSru	N
goapaSa	N
gobIjakAYcana	N
gocara	Y
gocarmamAtra	N
godAnavrata	Y
gokfcCra	N
golikA	N
gopAcala	Y
gopAladAraka	N
gopItilaka	N
gopakzanetratA	N
gopananda	N
gopitf	N
gopucCAgra	N
govARija	N
govAhin	N
goviDA	N
gozWagata	N
gozWodumbara	Y
grAhakatva	Y
grAhamelaka	N
grAmaSakawika	N
grAmadeva	N
grAmaluRWaka	N
grAmamaryAdA	N
grAmasImanta	N
grAmayAjana	N
grAmya	Y
grAsAcCAdana	N
grAsAvarArDya	N
grAsapAtrIkf	N
grIvabadDa	Y
grahAntarukTya	Y
grahaRAntam	N
grahaRaka	Y
granTi	Y
guNguma	Y
guRAtipAta	N
guRa	Y
guRaDfta	N
guRaganDavat	N
guRaguru	N
guRahArya	N
guRakaTA	N
guRavadvapus	N
guRavatpayaska	N
guRavipramukta	N
guRodaya	N
guRojjvala	N
guYjA	N
gucCagulma	N
gudAnila	N
guhyaDArA	N
gumPanikA	Y
gupta	N
guptigupta	N
guptipAlaka	N
guqAkeSatA	N
guruRqa	N
guruSuSrUzin	N
gurucaryA	N
gurudina	N
gurumuKI	N
guruyozit	N
gurvaNganAgama	N
havyA	N
iBa	N
iDman	Y
iDmaprokzaRa	N
iNgitalakzya	N
iNgitamaraRa	Y
iNgudatEla	N
iNk	N
icCAmaraRa	N
icCApita	N
icCAsadfSa	Y
idDa	N
idaMSabda	N
idaMyugIna	Y
idahA	N
idamIya	N
ihArTa	N
ihArTam	N
ihArTin	Y
ihamanas	Y
ihehamAtf	N
iheqa	Y
ijjAdevI	N
ikzuBaYjam	N
ikzuBaYjikA	N
ikzuSalAkA	N
ikzuyazwi	N
ikzvAkucandramas	N
ilAsutA	Y
inDita	N
indIvaradfS	Y
indirAdayita	N
indrARIgOrIpUjA	Y
indrARya	N
indrARyupanizad	N
indrAvasikta	Y
indraBawwAraka	N
indraRata	N
indrabala	N
indragATA	N
indragfha	Y
indrakalpa	N
indrakarman	Y
indramaGaSrI	Y
indraprayARa	Y
indrarAja	Y
indrasaBA	N
indrasaKa	N
indrasarasvatI	N
indrasuparRa	N
indriyASva	N
indriyEzyA	N
indriyaBAvanA	Y
indriyaparimocana	Y
indriyasevana	Y
indriyasparSa	N
indriyavAda	N
indriyavikalatA	N
indu	N
indugOra	Y
indukA	N
indukalAvataMsa	N
indupada	N
iqABaNga	N
iqAnta	N
iqAprASitra	N
iqaprajas	N
iqopahavana	N
iriRalozwa	Y
itAnta	Y
itIti	N
itTA	N
itaHpraBfti	N
itaHpradAna	N
iti	Y
itihAsa	N
itihAsapurARa	N
itihAsasamuccaya	N
itihAsopanizad	N
itiheti	N
itikrameRa	N
itiniScaya	N
itipraBfti	N
itogata	N
itomuKam	N
ityahe	N
iwat	N
iyaDyE	N
izIkAYji	Y
izUguha	Y
izu	N
izumuKa	Y
izunibanDana	Y
izupAta	N
izupad	N
izuparzin	N
izuvarza	N
izuvikzepa	N
izvA	N
izva	N
izvarga	N
izwAtiTitva	N
izwakApurARa	N
izwani	Y
izwasAhasa	N
izwikAlanirRaya	N
izwimaya	Y
izwirUpa	N
izwvInam	Y
jANmAyana	N
jAgaritadeSa	Y
jAgratprapaYca	Y
jAlAbadDANgulipARipAdatalatA	N
jAlaBUzaRa	N
jAlamArga	N
jAlopajIvin	N
jAnakIgItA	N
jAnunikuYcana	N
jAnvantarA	N
jAriRI	N
jArin	N
jAtAnukampa	N
jAtakaBUzaRa	N
jAtakadarpaRa	N
jAtakalakzaRa	N
jAtakamaYjarI	N
jAtakaratna	N
jAtakasaMgraha	N
jAtapUrva	N
jAtarAga	N
jAtarUpa	N
jAtatarza	N
jAtavedas	Y
jAtavidyA	Y
jAtinirRaya	N
jAtisAMkarya	N
jAtitas	N
jAtivicAra	N
jAtyantarIyaka	Y
jAtyutpattikrama	N
jAyAnya	Y
jIvAnanda	N
jIvI	Y
jIva	Y
jIvaDanya	N
jIvaGAtya	N
jIvaSfNga	N
jIvacUrRa	Y
jIvadviBAga	Y
jIvakozaRI	N
jIvanASa	Y
jIvasUvarI	N
jIvin	Y
jIvitAvasAna	N
jIvitagupta	N
jIvitamaraRa	N
jIvitapradAyin	N
jIvitasarvasva	N
jIvitatfzRA	N
jIvitodvahana	N
jYAnakOtUhala	Y
jYAnamArga	N
jYAnaniDi	N
jYAnapaRya	N
jYAnapradIpa	N
jYAnasUryodaya	N
jYApakAvalI	N
jYeyArRava	N
jaNGA	N
jaNGAnalaka	N
jaWarotsava	N
jabDa	N
jagDArDa	N
jagDatfRa	N
jagadABaraRa	N
jagadBaya	N
jagadDitAtman	N
jagadISa	N
jagadrAma	N
jagadyatrA	N
jagamyA	N
jagat	Y
jagatprakASa	N
jahA	Y
jahANgIra	N
jakzA	N
jakzita	N
jalaBOta	N
jalabfMhaRa	N
jalagAhana	N
jalagarBa	N
jalahIna	N
jalamitra	N
jalapAlikA	N
jalapUrRa	Y
jalapavitra	N
jalapfkta	N
jalataraMgiRI	N
jalataskara	N
jalhaRa	N
jalpakalpalatA	N
jalpakalpataru	N
jalpeSvaramAhAtmya	N
jamBArAti	Y
jamBaniSumBana	Y
jambUdvIpeSvara	N
janArRava	N
janIna	N
janaSrI	N
janakAya	Y
janasammarda	N
janayitnu	N
janikA	N
janitra	N
janivid	Y
janmAntakara	N
janmajarAntaka	N
janmamftyu	N
janmaparigraha	Y
janmavAtsalya	N
janyavftti	Y
japApIqa	N
jarAyuDa	N
jarAyuja	Y
jaraWa	N
jarizRu	Y
jarjarapUjA	N
jatukA	N
javas	N
jawAJAwa	N
jawAvarman	N
jayakfzRa	N
jayalakzmaRa	N
jayanAman	N
jayavilAsa	N
jayodAharaRa	N
jayottara	N
jihmakArin	Y
jihvApAvan	N
jitamanyu	N
jrayas	N
juhoticodana	N
juhotiyajatikriyA	N
juzwA	N
jvAlAlakzaRa	N
jvAlAyana	N
jvAla	Y
jvalacCarIra	N
jvalanADipati	N
jyAnivAraRa	N
jyArohaRa	N
jyAyasvat	N
jyAyu	Y
jyezWabrAhmaRa	N
jyezWalakzma	Y
jyezWasAmaka	N
jyotayamAmaka	Y
jyotsnAQya	N
kAKatIra	N
kAMsa	Y
kAMsikA	Y
kARAda	Y
kARa	N
kARelIsuta	N
kARqI	N
kARqa	Y
kARqakAra	Y
kARqanAman	N
kARqavisarga	N
kARqopakaraRa	N
kASivarDana	N
kASmIravARija	N
kASyapa	Y
kAjala	Y
kAkaRI	N
kAkaSaNkin	N
kAkatIya	N
kAkesaparvata	N
kAkuvakrokti	N
kAlIGawwa	N
kAlIcaturdaSI	N
kAlIpUjA	N
kAlIsUkta	N
kAlIstava	N
kAlIstotra	N
kAlaBeda	N
kAlacaryA	N
kAlahasta	N
kAlahorA	N
kAlakAlezu	Y
kAlakzama	N
kAlanATa	N
kAlanirRayadIpikA	N
kAlaparaSuDAra	N
kAlapraRAlikA	Y
kAlaprakASikA	Y
kAlarUpin	N
kAlasaMvara	N
kAlatama	N
kAlavarzin	N
kAlavelAyoga	N
kAlaviprakarza	N
kAlaviroDa	N
kAlayukta	N
kAlayuta	Y
kAlena	N
kAlindImukunda	N
kAliyAri	N
kAlodayin	N
kAlpya	Y
kAmABizvaNga	N
kAmAgAyin	N
kAmAnDasaMjYa	N
kAmArRava	N
kAmArTa	N
kAmada	Y
kAmaduGAkziti	N
kAmakAnana	N
kAmakroDa	N
kAmalubDa	N
kAmapuz	Y
kAmasamutTa	N
kAmavAdin	N
kAmavaktavyahfdaya	N
kAmavarza	Y
kAmaveSin	N
kAmavihArin	N
kAmopaBoga	N
kAmrA	N
kAmukI	N
kAmyaSrAdDa	Y
kAmyezwi	Y
kAna	N
kApAlikatva	N
kApeya	Y
kApila	N
kApileyabABrava	N
kApota	Y
kApotavftti	N
kArADunI	N
kArAdvIpa	Y
kArApaka	Y
kArAvI	N
kArIrAdi	N
kAra	Y
kAraveya	N
kArayantrika	Y
kArin	Y
kArpAsika	Y
kArtavIryacampU	N
kArttikapUrRimA	N
kAruRika	N
kAruRyaDenu	Y
kAruRyalaharIstava	N
kAruRyamaya	Y
kAruvindu	N
kArya	Y
kAryakaraRa	N
kAryapadavI	N
kAsa	Y
kAtarAkzI	N
kAvyAlokalocana	N
kAvyabanDa	Y
kAvyaratna	N
kAvyasaMgraha	N
kAyADava	N
kAyAvatAra	N
kAyagata	N
kAyaklama	N
kAyasTiti	N
kAyavyUha	Y
kAyoQaja	N
kAzWAgata	N
kAzWaSAlika	N
