pwkvn_k1	pwkvn_L	pc	tier	mahavy	in_pw	in_pwg	gloss_snippet
Adikarmika	14074	7-317-d	absent	Y	Y	N	{#Adikarmika#}¦ Adj. {%etwas%} (Böses) {%beginnend%} (ohne es auszuführen) MAHĀVY. 19. 281. DIVYĀVAD. 544,20.
AdikeSavasTalamAhAtmya	2605	2-293-c	absent	N	Y	N	{{Lbody=2605}}
AdikeSavasTalamAhAtmya	14075	7-317-d	absent	N	Y	N	{{Lbody=14075}}
AdikuRqanIya	2605	2-293-c	absent	N	Y	N	{{Lbody=2605}}
AdikuRqanIya	14075	7-317-d	absent	N	Y	N	{#AdikuRqanIya#} und {#AdikeSavasTalamAhAtmya#}¦ 2.
AdimaDyAntaja	8612	6-298-a	absent	N	Y	N	{#AdimaDyAntaja#}¦ Adj. Pl. {%von hoher, mittlerer und niedriger Geburt%} MBH. 2,52,39.
AdimaDyAntaja	14090	7-318-a	absent	N	Y	N	{#AdimaDyAntaja#}¦ 6.
AdityAramBaRa	6784	5-249-a	absent	N	Y	N	{#AdityAramBaRa#}¦ Adj. {%mit dem%} Āditya-Graha {%beginnend%} ĀPAST. ŚR. 13,9,1.
AdityAramBaRa	14085	7-318-a	absent	N	Y	N	{#AdityAramBaRa#}¦ 5.
AdivimAnajIrRodDAra	2611	2-293-c	absent	N	Y	N	{#AdivimAnajIrRodDAra#}¦ m. Titel eines Werkes OPP. Cat. 1.
AdivimAnajIrRodDAra	14092	7-318-a	absent	N	Y	N	{#AdivimAnajIrRodDAra#}¦ 2.
AdvAdaSavarzaBAvin	1536	1-297-a	absent	N	Y	N	{#AdvAdaSavarzaBAvin#}¦ Adj. {%zwölf Jahre während%} Ind. St. 15,410.
AdvAdaSavarzaBAvin	14106	7-318-a	absent	N	Y	N	{#AdvAdaSavarzaBAvin#}¦ 1.
AdyANgaDArin	6787	5-249-a	absent	N	Y	N	{#AdyANgaDArin#}¦ m. {%ein Kenner des ersten%} Aṅga {%der%} Jaina VARDHAMĀNAC. 1,51.
AdyANgaDArin	14104	7-318-a	absent	N	Y	N	{#AdyANgaDArin#}¦ 5.
AdyadvAra	4080	3-255-c	absent	N	Y	N	{#AdyadvAra#}¦ n. {%ein altes, früher erbautes Thor%} VIṢṆUS. 3,53.
AdyadvAra	14101	7-318-a	absent	N	Y	N	{#AdyadvAra#}¦ 3.
AdyakAraRatA	14099	7-318-a	absent	N	Y	N	{#AdyakAraRatA#}¦ f. {%das erste Ursache Sein%} SĀṂKHYAS. 6,37.
Adyakola	6786	5-249-a	absent	N	Y	N	{#Adyakola#}¦ m. = {#AdivarAha#} ŚIŚ. 14,43.
Adyakola	14100	7-318-a	absent	N	Y	N	{#Adyakola#}¦ 5.
AdyantasTAyika	1535	1-297-a	absent	N	Y	N	{#AdyantasTAyika#}¦ Adj. {%von Anfang bis zu Ende dauernd%} Ind. St. 15,392.
AdyantasTAyika	14103	7-318-a	absent	N	Y	N	{#AdyantasTAyika#}¦ 1.
AdyopAdAnatA	14105	7-318-a	absent	N	Y	N	{#AdyopAdAnatA#}¦ f. {%das erste Ursache Sein%} ANIRUDDHA zu SĀṂKHYAS. 6,32.
AgamanagamanA	2578	2-293-b	absent	N	Y	N	{#AgamanagamanA#}¦ f. N. pr. einer Gandharva-Jungfrau KĀRAṆḌ. 5,10.
AgamanagamanA	13912	7-316-d	absent	N	Y	N	{#AgamanagamanA#} u. {#AgamaprAmARya#}¦ 2.
AgamaprAmARya	2579	2-293-b	absent	N	Y	N	{#AgamaprAmARya#} n. und {#AgamasArasaMgraha#} m.¦ Titel zweier Werke OPP. Cat. 1.
AgamaprAmARya	13912	7-316-d	absent	N	Y	N	{{Lbody=13912}}
