pwk_L	pwk_pc	slp1	iast	tier	rank	mw_fuzzy	evidence
213503	7-314-a	asaMvartamAna	asaṃvartamāna	nearform0.80		asamAvartaka	
213504	7-314-a	asaMvala	asaṃvala	nearform0.82		asaMvlaya	
213506	7-314-a	asaMvIta	asaṃvīta	nearform0.88		asaMvfta	
213508	7-314-a	asaMSAruka	asaṃśāruka	nearform0.84		asaMskAra	
213509	7-314-a	asaMSiYjayant	asaṃśiñjayant	NO-MATCH	C		
213510	7-314-a	asaMSudDa	asaṃśuddha	NO-MATCH	C		
213511	7-314-a	asaMSrAnta	asaṃśrānta	nearform0.90		asaMkrAnta	
213513	7-314-b	asaMsargin	asaṃsargin	NO-MATCH	B		B:asaMsakta;B:asaMskAra
213516	7-314-b	asaMskftapraBAvita	asaṃskṛtaprabhāvita	NO-MATCH	A		A:asaMskArya;B:asaMstava
213519	7-314-b	asaMsTiti	asaṃsthiti	stem			
213520	7-314-b	asaMspfzwa	asaṃspṛṣṭa	nearform0.95		asaMsfzwa	
213521	7-314-b	asaMsyUta	asaṃsyūta	nearform0.94		asaMyuta	
213522	7-314-b	asaMhati	asaṃhati	stem			
213523	7-314-b	asaMhatyakArin	asaṃhatyakārin	nearform0.83		asaMhatavihArin	
213524	7-314-b	asaMhAyyam	asaṃhāyyam	nearform0.84		asaMhArya	
213526	7-314-b	asaMhfta	asaṃhṛta	nearform0.88		asaMhata	
213527	7-314-b	asakASe	asakāśe	nearform0.86		avakASe	
213528	7-314-b	asakfdAvartin	asakṛdāvartin	nearform0.80		Asannavartin	
213534	7-314-b	asaMkucita	asaṃkucita	NO-MATCH	A		A:asaMkIrRa;B:asaMkrAnta
213540	7-314-b	asaMNga	asaṃṅga	nearform0.92		asaNga	
213542	7-314-b	asaMgfhItatva	asaṃgṛhītatva	NO-MATCH	A		B:asaMgata;A:asaMgraha
213544	7-314-b	asaMgrAmeRa	asaṃgrāmeṇa	NO-MATCH	A		A:asaMgraha;A:asaMgrAha
213546	7-314-b	asajjant	asajjant	nearform0.88		asajjana	
213547	7-314-b	asajjita	asajjita	nearform0.88		AsaYjita	
213549	7-314-b	asaMcalant	asaṃcalant	NO-MATCH	B		B:asaMcaya
213550	7-314-b	asaMcetayamAna	asaṃcetayamāna	NO-MATCH	C		
213551	7-314-b	asaMjAta	asaṃjāta	nearform0.93		asajAta	
213555	7-314-c	asaMjYin	asaṃjñin	nearform0.82		asaMjYika	
213561	7-314-c	asatpriya	asatpriya	NO-MATCH	A		A:asatpratigraha
213562	7-314-c	asatyavacana	asatyavacana	NO-MATCH	B		B:asatyavAda
213564	7-314-c	asatvaram	asatvaram	nearform0.82		avataram	
213565	7-314-c	asatsaMparka	asatsaṃparka	NO-MATCH	B		B:asadfSa
213567	7-314-c	asadgati	asadgati	nearform0.88		asaMgati	
213569	7-314-c	asaDnIcIna	asadhnīcīna	nearform0.84		asamIcIna	
213572	7-314-c	asant	asant	nearform0.89		asat	
213573	7-314-c	asaMtardana	asaṃtardana	nearform0.82		asaMdarSana	
213574	7-314-c	asaMnayant	asaṃnayant	nearform0.80		astamayana	
213575	7-314-c	asaMnivizwa	asaṃniviṣṭa	nearform0.82		asaMnikfzwa	
213577	7-314-c	asapatnezwakA	asapatneṣṭakā	NO-MATCH	A		A:asaMnyupta;B:asapiRqa
213579	7-314-c	asapUrva	asapūrva	nearform0.80		apUrvya	
213580	7-314-c	asabrahmacArin	asabrahmacārin	NO-MATCH	C		
213581	7-314-c	asaByasmftihetu	asabhyasmṛtihetu	NO-MATCH	B		B:asamatA
213584	7-314-c	asamabalatA	asamabalatā	NO-MATCH	A		A:asamanvAhAra
213585	7-314-c	asamayavimukta	asamayavimukta	nearform0.89		asamayavyukta	
213586	7-314-c	asamara	asamara	nearform0.93		asamagra	
213588	7-314-c	asamavaDAna	asamavadhāna	nearform0.82		asAvaDAnatA	
213591	7-314-d	asamaSIla	asamaśīla	NO-MATCH	B		B:asamaSara;B:asamasama
213593	7-314-d	asamahAvrata	asamahāvrata	NO-MATCH	B		B:asamasama
213594	7-314-d	asamADAna	asamādhāna	nearform0.94		asaMDAna	
213597	7-314-d	asamAvftta	asamāvṛtta	nearform0.80		aBisamAvft	
213598	7-314-d	asamAveSa	asamāveśa	nearform0.82		asvaveSa	
213600	7-314-d	asamiDyamAna	asamidhyamāna	NO-MATCH	B		B:asamASuga;B:asamIkzita
213602	7-314-d	asamudAcAra	asamudācāra	NO-MATCH	B		B:asamIkzita;B:asaMpatti
213604	7-314-d	asaMparigraha	asaṃparigraha	nearform1.00		asamparigraha	
213605	7-314-d	asaMprakIrRa	asaṃprakīrṇa	NO-MATCH	C		
213606	7-314-d	asaMpraKyAna	asaṃprakhyāna	nearform0.83		Asyaprayatna	
213607	7-314-d	asaMprajanya	asaṃprajanya	NO-MATCH	C		
213608	7-314-d	asaMprajYAta	asaṃprajñāta	nearform1.00		asamprajYAta	
213609	7-314-d	asaMprajYAna	asaṃprajñāna	nearform1.00		asamprajYAna	
213611	7-314-d	asaMpramARa	asaṃpramāṇa	nearform1.00		asampramARa	
213613	7-314-d	asaMprayuYjant	asaṃprayuñjant	NO-MATCH	B		B:asaMpramoza
213614	7-314-d	asaMprezita	asaṃpreṣita	nearform0.87		asmatprezita	
213615	7-314-d	asambala	asambala	NO-MATCH	A		A:asaMBava
213617	7-314-d	asaMBavapattra	asaṃbhavapattra	NO-MATCH	A		A:asaMBava;B:asaMBAzya
213619	7-315-a	asaMBindant	asaṃbhindant	nearform0.95		asaMBindat	
213620	7-315-a	asaMBUta	asaṃbhūta	stem			
213621	7-315-a	asaMBfta	asaṃbhṛta	nearform0.88		asaMvfta	
213623	7-315-a	asaMmatAvavAda	asaṃmatāvavāda	NO-MATCH	B		B:asaMBrama;B:asaMmfzwa
213627	7-315-a	asargabanDa	asargabandha	nearform0.86		astrabanDa	
213628	7-315-a	asarvagocara	asarvagocara	NO-MATCH	B		B:asarvajYa
213632	7-315-a	asahacarita	asahacarita	NO-MATCH	B		B:asaha;B:asahana
213634	7-315-a	asahant	asahant	nearform0.92		asahat	
213636	7-315-a	asahasra	asahasra	NO-MATCH	B		B:asahamAna;B:asahAya
213640	7-315-a	asAkameDa	asākamedha	NO-MATCH	A		A:asahya
213641	7-315-a	asADaka	asādhaka	NO-MATCH	B		B:asADana
213643	7-315-a	asADAraRagranTa	asādhāraṇagrantha	NO-MATCH	A		B:asADana;A:asADu
213646	7-315-a	asADyamAnatva	asādhyamānatva	NO-MATCH	B		B:asADya
213647	7-315-a	asAMnAyyaka	asāṃnāyyaka	NO-MATCH	C		
213648	7-315-a	asApatnya	asāpatnya	nearform0.94		asapatna	
213649	7-315-a	asAmavedavidvaMs	asāmavedavidvaṃs	NO-MATCH	B		B:asAmAnya
213651	7-315-a	asAyaka	asāyaka	NO-MATCH	B		B:asAmAnya
213652	7-315-a	asArUpya	asārūpya	nearform0.93		asarUpa	
213653	7-315-a	asArvatrika	asārvatrika	nearform0.86		AstaraRika	
213654	7-315-a	asArvaBOma	asārvabhauma	NO-MATCH	B		B:asAhasika
213656	7-315-a	asikta	asikta	nearform1.00		Asikta	
213664	7-315-b	asitAlakARqA	asitālakāṇḍā	NO-MATCH	B		B:asitAkza;B:asiDara
213666	7-315-b	asiDAra	asidhāra	stem			
213673	7-315-b	asuKada	asukhada	NO-MATCH	A		A:asIma
213674	7-315-b	asuKAy	asukhāy	stem			
213677	7-315-b	asudarSana	asudarśana	nearform0.90		anudarSana	
213679	7-315-b	asuboDa	asubodha	nearform0.86		anuboDa	
213684	7-315-b	asurasaMcodana	asurasaṃcodana	NO-MATCH	A		A:asuraviSa;A:asurArdana
213689	7-315-b	asUy	asūy	stem			
213690	7-315-b	asUyin	asūyin	NO-MATCH	C		
213691	7-315-b	asUryaMpaSya	asūryaṃpaśya	nearform1.00		asUryampaSyA	
213692	7-315-b	asfkapaNkapezam	asṛkapaṅkapeṣam	NO-MATCH	B		B:asfkpAta
213694	7-315-b	asfjant	asṛjant	NO-MATCH	A		B:asfkpAta;A:asfRya
213697	7-315-c	asevana	asevana	nearform1.00		Asevana	
213700	7-315-c	asoQar	asoḍhar	nearform0.91		asoQa	
213706	7-315-c	askandamAna	askandamāna	nearform0.91		asyandamAna	
213707	7-315-c	askanDa	askandha	nearform0.86		askanna	
213709	7-315-c	asKalana	askhalana	NO-MATCH	B		B:asKala
213710	7-315-c	asKalant	askhalant	NO-MATCH	C		
213711	7-315-c	astamitAvavAda	astamitāvavāda	NO-MATCH	B		B:astamBa
213714	7-315-c	astavya	astavya	nearform0.93		Asitavya	
213718	7-315-c	astfRant	astṛṇant	NO-MATCH	A		A:astinAstitva;B:astfta
213720	7-315-c	asteyatA	asteyatā	nearform0.88		asatyatA	
213721	7-315-c	astotriya	astotriya	nearform0.89		aSrotriya	
213722	7-315-c	astoma	astoma	nearform0.91		asoma	
213723	7-315-c	astomaBAj	astomabhāj	NO-MATCH	A		A:astra
213725	7-315-c	astrakzatimant	astrakṣatimant	nearform0.96		astrakzatimat	
213726	7-315-c	astraKadira	astrakhadira	nearform0.95		asraKadira	
213736	7-315-d	asTiBedana	asthibhedana	NO-MATCH	B		B:asTiBeda;B:asTira
213739	7-315-d	asTI	asthī	stem			
213740	7-315-d	asTuzas	asthuṣas	NO-MATCH	B		B:asTUri
213748	7-315-d	asPAwita	asphāṭita	nearform0.88		AsPAlita	
213750	7-315-d	asPuwita	asphuṭita	NO-MATCH	B		B:asPuwa
213751	7-315-d	asPurant	asphurant	NO-MATCH	C		
213752	7-315-d	asPya	asphya	NO-MATCH	B		B:asma
213754	7-315-d	asmaddAtra	asmaddātra	nearform0.84		asmadrAta	
213756	7-315-d	asmaryamARa	asmaryamāṇa	nearform0.82		aDArayamARa	
213759	7-315-d	asmftadruh	asmṛtadruh	nearform0.95		asmftaDru	
213763	7-315-d	asrasta	asrasta	nearform1.00		Asrasta	
213768	7-315-d	asvarga	asvarga	nearform0.93		asvargya	
213773	7-316-a	asvAmya	asvāmya	nearform0.92		asAmya	
213774	7-316-a	asvAmyanumatena	asvāmyanumatena	NO-MATCH	A		A:asvArTa
213777	7-316-a	asvedin	asvedin	nearform0.92		avedin	
213783	7-316-a	ahamarTa	ahamartha	NO-MATCH	A		B:ahantva;A:ahamindra
213785	7-316-a	ahaMpadArTa	ahaṃpadārtha	nearform1.00		ahampadArTa	
213786	7-316-a	ahaMmati	ahaṃmati	nearform1.00		ahammati	
213792	7-316-a	ahastABaraRopeta	ahastābharaṇopeta	NO-MATCH	B		B:ahaScara;B:ahastriyAma
213795	7-316-a	ahApayant	ahāpayant	nearform0.94		ahApayat	
213797	7-316-a	ahAhA	ahāhā	nearform1.00		ahahA	
213801	7-316-a	ahitEzin	ahitaiṣin	NO-MATCH	B		B:ahita;B:ahidanta
213805	7-316-a	ahinirlvayanI	ahinirlvayanī	nearform0.96		ahinilvayanI	
213813	7-316-b	ahirbuDnyasaMhitA	ahirbudhnyasaṃhitā	NO-MATCH	B		B:ahirbuDnyas;B:ahiSuzmasatvan
213815	7-316-b	ahIqamAna	ahīḍamāna	nearform0.89		aheqamAna	
213818	7-316-b	ahInArTam	ahīnārtham	NO-MATCH	B		B:ahIna
213819	7-316-b	ahIramaRI	ahīramaṇī	stem			
213820	7-316-b	ahfzwa	ahṛṣṭa	NO-MATCH	A		A:aheqamAna
213825	7-316-b	aheli	aheli	nearform0.91		ahelin	
213827	7-316-b	ahotavya	ahotavya	NO-MATCH	B		B:aho
213828	7-316-b	aholABakara	aholābhakara	NO-MATCH	B		B:ahnavAyya
213832	7-316-b	ahrItamuKa	ahrītamukha	NO-MATCH	B		B:ahrIka
213834	7-316-b	Akampya	ākampya	nearform1.00		akampya	
213837	7-316-b	AkarRatawa	ākarṇataṭa	NO-MATCH	B		B:Akarin
213838	7-316-b	AkarRI	ākarṇī	stem			
213841	7-316-b	AkarzaPalaka	ākarṣaphalaka	NO-MATCH	B		B:AkarzakArikA;B:Akarzin
213845	7-316-b	AkalpasAra	ākalpasāra	nearform0.84		alpasaras	
213848	7-316-c	AkArAnapakAra	ākārānapakāra	NO-MATCH	B		B:Akaza
213849	7-316-c	AkArABinirhAra	ākārābhinirhāra	NO-MATCH	C		
213850	7-316-c	AkArolleKin	ākārollekhin	NO-MATCH	B		B:AkAlika
213855	7-316-c	AkASaPena	ākāśaphena	NO-MATCH	A		A:AkASaplavA
213856	7-316-c	AkASaBErava	ākāśabhairava	NO-MATCH	A		A:AkASamaRi
213858	7-316-c	AkASarakzitA	ākāśarakṣitā	nearform0.87		AkASaBAzita	
213859	7-316-c	AkASasParaRa	ākāśaspharaṇa	NO-MATCH	C		
213860	7-316-c	AkASADikaraRavAda	ākāśādhikaraṇavāda	NO-MATCH	C		
213861	7-316-c	AkASAsaNgavimuktinirupalepa	ākāśāsaṅgavimuktinirupalepa	NO-MATCH	A		A:AkiMcanyAyatana
213863	7-316-c	AkIwam	ākīṭam	NO-MATCH	A		A:AkiMcanyAyatana;B:AkumAram
213868	7-316-c	Akfzwimant	ākṛṣṭimant	nearform0.95		Akfzwiman	
213871	7-316-c	Akevalika	ākevalika	NO-MATCH	A		A:Ake
213872	7-316-c	AkEwaBavEri	ākaiṭabhavairi	NO-MATCH	A		A:Akowana
213875	7-316-c	Akopavant	ākopavant	nearform0.94		Akopavat	
213876	7-316-c	AkoSa	ākośa	nearform0.91		AkroSa	
213880	7-316-d	Akrandanin	ākrandanin	nearform0.84		agradAnin	
213884	7-316-d	AkrIqaSEla	ākrīḍaśaila	NO-MATCH	B		B:AkrIqagiri;B:Akruzwa
213886	7-316-d	AkroSanavant	ākrośanavant	NO-MATCH	B		B:Akruzwa
213887	7-316-d	AkroSayitar	ākrośayitar	nearform0.86		AkroSayitf	
213888	7-316-d	AkzaRika	ākṣaṇika	nearform0.88		Akarzika	
213892	7-316-d	Akzeptar	ākṣeptar	nearform0.80		akzetra	
213893	7-316-d	Akzyant	ākṣyant	nearform0.92		Akzyat	
213899	7-316-d	AKAta	ākhāta	nearform1.00		aKAta	
213902	7-316-d	AKurAja	ākhurāja	nearform0.86		AKuraTa	
213906	7-316-d	AKyAtaSiromaRi	ākhyātaśiromaṇi	NO-MATCH	B		B:AKyA;B:AKyAtika
213912	7-316-d	AgamanagamanA	āgamanagamanā	nearform0.80		asamAnagrAma	
213914	7-316-d	AgamasArasaMgraha	āgamasārasaṃgraha	NO-MATCH	A		B:AgamaSazkulI;A:Agamya
213921	7-317-a	AgoraRa	āgoraṇa	nearform0.86		AguraRa	
213929	7-317-a	AgrayaRadevatA	āgrayaṇadevatā	NO-MATCH	A		B:AgrayaRa;A:AgrayaRIya
213933	7-317-a	AgrAyaRasUtra	āgrāyaṇasūtra	nearform0.85		AgrayaRapAtra	
213937	7-317-a	AGAtaka	āghātaka	nearform0.86		aGAtuka	
213941	7-317-a	ANgirasakalpa	āṅgirasakalpa	NO-MATCH	A		A:ANgirasa;B:ANgirasapavitra
213947	7-317-a	AcandrArkagraha	ācandrārkagraha	NO-MATCH	B		B:Acandram;B:AcaparAca
213950	7-317-a	AcAmla	ācāmla	nearform0.91		AcAma	
213951	7-317-a	AcArakARqa	ācārakāṇḍa	nearform0.84		aprakARqa	
213952	7-317-a	AcArakAlakUwa	ācārakālakūṭa	NO-MATCH	C		
213953	7-317-a	AcAradarSana	ācāradarśana	NO-MATCH	A		A:AcArya
213957	7-317-a	AcAryacampU	ācāryacampū	NO-MATCH	B		B:AcAryakaraRa;B:AcAryadeva
213959	7-317-a	AcAryaprapatti	ācāryaprapatti	NO-MATCH	A		B:AcAryadeva;A:AcAryamuzwi
213961	7-317-b	AcAryaSikzA	ācāryaśikṣā	nearform0.82		akzaraSikzA	
213962	7-317-b	AcAryARI	ācāryāṇī	nearform0.88		AcAryAnI	
213963	7-317-b	AcAryI	ācāryī	stem			
213967	7-317-b	AcCowanikA	ācchoṭanikā	NO-MATCH	B		B:AcCedanI;B:Acyutadanti
213978	7-317-b	AjYApanIya	ājñāpanīya	NO-MATCH	B		B:AjIvin
213979	7-317-b	AjYAviDAyin	ājñāvidhāyin	NO-MATCH	C		
213980	7-317-b	AjYeya	ājñeya	nearform1.00		ajYeya	
213986	7-317-b	AjyAyaMs	ājyāyaṃs	nearform0.93		ajyAyas	
213990	7-317-b	AYjigavi	āñjigavi	NO-MATCH	A		A:AYjaneyapurARa
213991	7-317-b	AwarUzaka	āṭarūṣaka	nearform0.82		Akarzaka	
213992	7-317-b	Awavakayakza	āṭavakayakṣa	NO-MATCH	A		A:Awika
214002	7-317-c	AQyarAja	āḍhyarāja	nearform0.88		AryarAja	
214003	7-317-c	ARapay	āṇapay	NO-MATCH	C		
214004	7-317-c	ARipratyARInirhArayoga	āṇipratyāṇīnirhārayoga	NO-MATCH	A		A:ARqakoSa
214006	7-317-c	ARqapille	āṇḍapille	NO-MATCH	A		A:ARqakoSa;A:ARqapIta
214008	7-317-c	ARqavant	āṇḍavant	nearform0.82		arRavAnta	
214011	7-317-c	AtaptakArin	ātaptakārin	nearform0.86		anapakArin	
214013	7-317-c	Atas	ātas	stem			
214019	7-317-c	AtiyAtrika	ātiyātrika	nearform0.84		Atyantika	
214025	7-317-c	Attaretas	āttaretas	NO-MATCH	A		A:Atfpti;A:Attasva
214029	7-317-c	AtmajYAnopadeSa	ātmajñānopadeśa	NO-MATCH	B		B:AtmaGoza;B:Atmatantra
214032	7-317-c	AtmatvajAtisidDivAda	ātmatvajātisiddhivāda	NO-MATCH	B		B:AtmatrARaparigraha;B:AtmadevatA
214036	7-317-c	AtmaprakASikAvivaraRa	ātmaprakāśikāvivaraṇa	NO-MATCH	B		B:Atmanivedana;B:AtmapraBa
214038	7-317-c	AtmapriyA	ātmapriyā	nearform0.84		Amizapriya	
214040	7-317-c	AtmaBaya	ātmabhaya	nearform0.88		AtmaBUya	
214045	7-317-d	AtmaMBari	ātmaṃbhari	nearform1.00		AtmamBari	
214048	7-317-d	AtmarUpa	ātmarūpa	NO-MATCH	B		B:Atmayoni
214049	7-317-d	AtmavidyAvilAsa	ātmavidyāvilāsa	NO-MATCH	C		
214050	7-317-d	AtmaSlAGana	ātmaślāghana	nearform0.86		AtmaSlAGin	
214051	7-317-d	AtmaSlAGAkara	ātmaślāghākara	NO-MATCH	B		B:AtmasaMsTa
214053	7-317-d	AtmasaMsTA	ātmasaṃsthā	stem			
214055	7-317-d	Atmasnehamaya	ātmasnehamaya	NO-MATCH	B		B:Atmasama;B:AtmahitAyana
214057	7-317-d	AtmArpaRa	ātmārpaṇa	nearform0.94		AtarpaRa	
214058	7-317-d	AtmArpaRaSruti	ātmārpaṇaśruti	NO-MATCH	C		
214059	7-317-d	AtmAlamBa	ātmālambha	nearform0.94		AtmalABa	
214060	7-317-d	AtmIyajAtya	ātmīyajātya	nearform0.82		antyajAtIya	
214061	7-317-d	AtmIyadeSa	ātmīyadeśa	NO-MATCH	C		
214062	7-317-d	Atmotkarza	ātmotkarṣa	NO-MATCH	A		A:AtmollAsa
214065	7-317-d	AtreyaSikzA	ātreyaśikṣā	nearform0.86		astraSikzA	
214068	7-317-d	AdarSamuKa	ādarśamukha	NO-MATCH	B		B:AdarSa
214069	7-317-d	AdarSAvekzaRa	ādarśāvekṣaṇa	NO-MATCH	C		
214070	7-317-d	AdaSakaRWabanDam	ādaśakaṇṭhabandham	NO-MATCH	B		B:AdAdika
214074	7-317-d	Adikarmika	ādikarmika	nearform0.84		Adikarman	
214075	7-317-d	AdikuRqanIya	ādikuṇḍanīya	NO-MATCH	C		
214076	7-317-d	Adicakrin	ādicakrin	NO-MATCH	A		A:AditA
214085	7-318-a	AdityAramBaRa	ādityārambhaṇa	NO-MATCH	B		B:Adityastotra;B:AditsA
214090	7-318-a	AdimaDyAntaja	ādimadhyāntaja	nearform0.85		anAdimaDyAnta	
214092	7-318-a	AdivimAnajIrRodDAra	ādivimānajīrṇoddhāra	NO-MATCH	A		A:AdivarAha
214093	7-318-a	Adftatva	ādṛtatva	nearform0.80		adattvA	
214095	7-318-a	AdevayAnam	ādevayānam	NO-MATCH	A		A:Adeya;A:AdeSa
214097	7-318-a	AdeSanAprAtihArya	ādeśanāprātihārya	NO-MATCH	A		A:AdeSa;A:AdehadAham
214099	7-318-a	AdyakAraRatA	ādyakāraṇatā	NO-MATCH	A		A:AdehadAham
214100	7-318-a	Adyakola	ādyakola	NO-MATCH	C		
214101	7-318-a	AdyadvAra	ādyadvāra	nearform0.94		AyadvAra	
214103	7-318-a	AdyantasTAyika	ādyantasthāyika	NO-MATCH	B		B:Adyanta
214104	7-318-a	AdyANgaDArin	ādyāṅgadhārin	NO-MATCH	C		
214105	7-318-a	AdyopAdAnatA	ādyopādānatā	NO-MATCH	C		
214106	7-318-a	AdvAdaSavarzaBAvin	ādvādaśavarṣabhāvin	NO-MATCH	B		B:AdvAram
214110	7-318-a	ADAkarman	ādhākarman	nearform0.89		aDikarman	
214111	7-318-a	ADAtar	ādhātar	NO-MATCH	B		B:ADAna
214113	7-318-a	ADAnapaYcaka	ādhānapañcaka	nearform0.80		arDapAYcAlaka	
214115	7-318-a	ADAraRamudra	ādhāraṇamudra	NO-MATCH	A		B:ADAraka;A:ADArin
214122	7-318-b	ADyAtmikI	ādhyātmikī	stem			
214127	7-318-b	AnandagirIya	ānandagirīya	NO-MATCH	B		B:AnandakAvya;B:Anandapura
214130	7-318-b	AnandarAGava	ānandarāghava	nearform0.83		anarGarAGava	
214134	7-318-b	Anartasatkfta	ānartasatkṛta	NO-MATCH	B		B:Anartaka
214135	7-318-b	AnAkzipa	ānākṣipa	nearform0.88		anakzika	
214136	7-318-b	AnApAnasmfti	ānāpānasmṛti	NO-MATCH	A		A:AnABi
214139	7-318-b	Animila	ānimila	nearform0.86		animizA	
214143	7-318-b	AnugrAhika	ānugrāhika	nearform0.90		anugrAhaka	
214146	7-318-b	AnupUrvI	ānupūrvī	stem			
214147	7-318-b	AnuvanDika	ānuvandhika	nearform0.90		AnubanDika	
214148	7-318-b	AnumatI	ānumatī	stem			
214153	7-318-b	Anfhata	ānṛhata	nearform0.86		agfhatA	
214163	7-318-c	ApaReya	āpaṇeya	nearform0.86		Apageya	
214165	7-318-c	Apattisama	āpattisama	NO-MATCH	A		A:Apatanta;A:ApatsahAya
214167	7-318-c	ApadevIya	āpadevīya	NO-MATCH	A		A:ApatsahAya;A:Aparuza
214169	7-318-c	AparvaBaNganipuRa	āparvabhaṅganipuṇa	nearform1.00		aparvaBaNganipuRa	
214170	7-318-c	Apali	āpali	stem			
214173	7-318-c	ApAkasTa	āpākastha	nearform0.88		ApAkesTa	
214174	7-318-c	ApAtajYAna	āpātajñāna	nearform0.84		AtmajYAna	
214182	7-318-c	Apin	āpin	nearform0.86		Api	
214183	7-318-c	ApiSaliSikzA	āpiśaliśikṣā	NO-MATCH	C		
214184	7-318-c	ApIWAntam	āpīṭhāntam	NO-MATCH	B		B:ApIqa
214186	7-318-c	ApIqaka	āpīḍaka	nearform0.86		apIqayA	
214188	7-318-c	ApuNKaSiKam	āpuṅkhaśikham	NO-MATCH	A		A:ApIqin;B:ApfcCya
214191	7-318-c	Apolupa	āpolupa	nearform0.86		alolupa	
214196	7-318-d	AptoryAmahOtra	āptoryāmahautra	NO-MATCH	A		A:Apti
214197	7-318-d	ApyAnavant	āpyānavant	nearform0.95		ApyAnavat	
214204	7-318-d	AbrahmaBuvanAntikam	ābrahmabhuvanāntikam	NO-MATCH	A		A:AbravantI;B:AbrahmasaBam
214206	7-318-d	AbrahmARqa	ābrahmāṇḍa	nearform0.95		abrAhmaRa	
214207	7-318-d	ABAradvAja	ābhāradvāja	NO-MATCH	B		B:ABAsa
214214	7-318-d	ABiSastya	ābhiśastya	nearform0.94		ABiSasya	
214221	7-318-d	ABogya	ābhogya	nearform1.00		aBogya	
214227	7-318-d	AmapiSita	āmapiśita	NO-MATCH	B		B:AmantraRA;B:Amapeza
214234	7-319-a	AmizakiMcitka	āmiṣakiṃcitka	NO-MATCH	A		A:AmitraSocani;B:Amukta
214239	7-319-a	AmfRAlam	āmṛṇālam	nearform0.93		amfRAla	
214244	7-319-a	AmnAyakriyArTatvAdisUtravicAra	āmnāyakriyārthatvādisūtravicāra	NO-MATCH	B		B:Amodin;B:Ambuda
214246	7-319-a	AmratIrTa	āmratīrtha	nearform0.84		AkaratIrTa	
214253	7-319-a	AyattI	āyattī	stem			
214257	7-319-a	Ayacana	āyacana	nearform1.00		AyAcana	
214261	7-319-a	AyAmatA	āyāmatā	stem			
214280	7-319-b	AragvaDamaya	āragvadhamaya	NO-MATCH	B		B:Arakza;B:Arawita
214282	7-319-b	AraRyakaBawwaBAskara	āraṇyakabhaṭṭabhāskara	NO-MATCH	B		B:Arawita;B:Arata
214284	7-319-b	ArambaRaka	ārambaṇaka	nearform0.80		anArambaRa	
214289	7-319-b	ArAgay	ārāgay	stem			
214291	7-319-b	ArADanakrama	ārādhanakrama	NO-MATCH	A		B:ArAgra;A:ArAmADipati
214296	7-319-b	Ari	āri	stem			
214297	7-319-b	Arizwa	āriṣṭa	nearform1.00		arizwa	
214298	7-319-b	AruRaSikzA	āruṇaśikṣā	NO-MATCH	B		B:Aruta
214302	7-319-b	ArUQajAtaka	ārūḍhajātaka	NO-MATCH	A		A:ArUQa
214303	7-319-c	ArUQapatita	ārūḍhapatita	NO-MATCH	A		A:ArUpya
214306	7-319-c	Arogyay	ārogyay	stem			
214307	7-319-c	ArogyApay	ārogyāpay	nearform0.82		Arogyaya	
214309	7-319-c	Aropayitar	āropayitar	NO-MATCH	A		B:AroDana;A:Aroha
214316	7-319-c	ArtayajYa	ārtayajña	NO-MATCH	B		B:ArtanAda
214317	7-319-c	Artarava	ārtarava	nearform0.82		antarBAva	
214320	7-319-c	Artikara	ārtikara	nearform0.88		Artihara	
214322	7-319-c	ArTat	ārthat	stem			
214326	7-319-c	ArdrIBAva	ārdrībhāva	nearform0.89		ArdraBAva	
214328	7-319-c	AryaKaRqa	āryakhaṇḍa	NO-MATCH	B		B:ArDika
214329	7-319-c	AryadAsI	āryadāsī	NO-MATCH	C		
214330	7-319-c	AryaputrIya	āryaputrīya	NO-MATCH	C		
214331	7-319-c	AryabudDi	āryabuddhi	NO-MATCH	C		
214332	7-319-c	AryabrahmaviSezacittaparipfcCA	āryabrahmaviśeṣacittaparipṛcchā	NO-MATCH	C		
214333	7-319-c	Aryamati	āryamati	nearform0.93		aramati	
214335	7-319-c	Aryavant	āryavant	nearform0.82		Aryayuvan	
214337	7-319-c	AryasTavirIyaka	āryasthavirīyaka	NO-MATCH	A		A:AryasTavira
214338	7-319-c	AryAdviSatI	āryādviśatī	nearform0.82		AryAtriSatI	
214348	7-319-d	AlambanapratyayaDyAnaSAstravyAKyA	ālambanapratyayadhyānaśāstravyākhyā	NO-MATCH	A		A:Alaptaka;B:Alambam
214351	7-319-d	AlavandArstotra	ālavandārstotra	NO-MATCH	B		B:AlamBam
214352	7-319-d	Alasyavant	ālasyavant	nearform0.95		Alasyavat	
214354	7-319-d	AlApaka	ālāpaka	nearform0.93		Alaptaka	
214361	7-319-d	Alokavant	ālokavant	nearform0.94		Alokavat	
214363	7-319-d	AlokAcala	ālokācala	NO-MATCH	A		A:AlokasuvegaDvaja;B:Alopa
214366	7-319-d	Avaka	āvaka	nearform1.00		avaka	
214369	7-319-d	AvarItar	āvarītar	nearform0.93		avArita	
214370	7-319-d	Avarjanakara	āvarjanakara	NO-MATCH	C		
214371	7-319-d	AvarRI	āvarṇī	NO-MATCH	A		A:Avartaka
214375	7-319-d	AvaleKana	āvalekhana	nearform1.00		avaleKana	
214377	7-320-a	AvaSyakasUtra	āvaśyakasūtra	NO-MATCH	B		B:AvaSyaka
214378	7-320-a	AvasaTavAsin	āvasathavāsin	NO-MATCH	C		
