form_slp1	flag	heritage_stems	kosha_lemmas	heritage_category	kosha_sources	disagreement_class
jiGAMsitam	disagree	jiGAMsita	jiGAMs	participle	dcs	stem-granularity
jiGAMsite	disagree	jiGAMsita	jiGAMs	participle	dcs	stem-granularity
jiGAMsitum	disagree	han	jiGAMs	verbal-indecl	dcs	genuine-or-ambiguous
jiGAMsu	disagree	jiGAMsu	jiGAMsa	iic-compound|nominal	vidyut	genuine-or-ambiguous
jiGatsantam	disagree	jiGatsat	jiGats	participle	dcs	stem-granularity
jiGatsati	disagree	Gas|jiGatsat	jiGats	finite-verb|participle	dcs	stem-granularity
jiGatset	disagree	Gas	jiGats	finite-verb	dcs	genuine-or-ambiguous
jiGfkzan	disagree	jiGfkzat	jiGfkzay	participle	dcs	genuine-or-ambiguous
jiGfkzantI	disagree	jiGfkzat	jiGfkzay	participle	dcs	genuine-or-ambiguous
jiGfkzantO	disagree	jiGfkzat	jiGfkzay	participle	dcs	genuine-or-ambiguous
jiGfkzanti	disagree	grah|jiGfkzat	jiGfkzay	finite-verb|participle	dcs	genuine-or-ambiguous
jiGfkzat	disagree	jiGfkzat	jiGfkza	participle	vidyut	stem-granularity
jiGfkzatAm	disagree	grah|jiGfkzat	jiGfkzay	finite-verb|participle	dcs	genuine-or-ambiguous
jiGfkzati	disagree	grah|jiGfkzat	jiGfkzay	finite-verb|participle	dcs	genuine-or-ambiguous
jiGfkzu	disagree	jiGfkzu	jiGfkza	iic-compound|nominal	vidyut	genuine-or-ambiguous
jiGran	disagree	jiGrat	GrA	participle	dcs	genuine-or-ambiguous
jiGrantI	disagree	jiGrat	GrA	participle	vidyut	genuine-or-ambiguous
jiGratI	disagree	jiGrat	GrA	participle	dcs	genuine-or-ambiguous
jigAMsan	disagree	jigAMsat	jigAMs	participle	dcs	stem-granularity
jigIzAma	disagree	gA|ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigIza	disagree	gA|ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigIzamARA	disagree	jigIzamARa	jigIz	participle	dcs	stem-granularity
jigIzamARam	disagree	jigIzamARa	jigIz	participle	dcs	stem-granularity
jigIzan	disagree	jigIzat	jigIz	participle	dcs	stem-granularity
jigIzantO	disagree	jigIzat	jigIz	participle	dcs	stem-granularity
jigIzantam	disagree	jigIzat	jigIz	participle	dcs	stem-granularity
jigIzante	disagree	ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigIzanti	disagree	gA|ji|jigIzat	jigIz	finite-verb|participle	dcs	stem-granularity
jigIzantyAm	disagree	jigIzat	jigIz	participle	dcs	stem-granularity
jigIzase	disagree	ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigIzasi	disagree	gA|ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigIzat	disagree	jigIzat	jigIza	participle	vidyut	stem-granularity
jigIzatA	disagree	jigIzat	jigIz	participle	dcs	stem-granularity
jigIzatAm	disagree	gA|ji|jigIzat	jigIz	finite-verb|participle	dcs	stem-granularity
jigIzate	disagree	ji|jigIzat	jigIz	finite-verb|participle	dcs	stem-granularity
jigIzati	disagree	gA|ji|jigIzat	jigIz	finite-verb|participle	dcs	stem-granularity
jigIzet	disagree	gA|ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigIzeta	disagree	gA|ji	jigIz	finite-verb	dcs	genuine-or-ambiguous
jigamizAmi	disagree	gam	jigamiz	finite-verb	dcs	genuine-or-ambiguous
jigamizati	disagree	gam|jigamizat	jigamiz	finite-verb|participle	dcs	stem-granularity
jigamizet	disagree	gam	jigamiz	finite-verb	dcs	genuine-or-ambiguous
jigyuzAm	disagree	jigivas	ji	participle	dcs	genuine-or-ambiguous
jigyuzas	disagree	jigivas	ji	participle	dcs	genuine-or-ambiguous
jigyuze	disagree	jigivas	ji	participle	dcs	genuine-or-ambiguous
jihAsAmi	disagree	hA	jihAs	finite-verb	dcs	genuine-or-ambiguous
jihAsan	disagree	jihAsat	jihAsa	participle	vidyut	stem-granularity
jihAsasi	disagree	hA	jihAs	finite-verb	dcs	genuine-or-ambiguous
jihAsatA	disagree	jihAsat	jihAs	participle	dcs	stem-granularity
jihAsatAm	disagree	hA|jihAsat	jihAs	finite-verb|participle	dcs	stem-granularity
jihAsatI	disagree	jihAsat	jihAs	participle	dcs	stem-granularity
jihAsati	disagree	hA|jihAsat	jihAs	finite-verb|participle	dcs	stem-granularity
jihAsatu	disagree	hA	jihAs	finite-verb	dcs	genuine-or-ambiguous
jihAsitam	disagree	jihAsita	jihAs	participle	dcs	stem-granularity
jihAsitasya	disagree	jihAsita	jihAs	participle	dcs	stem-granularity
jihIrzA	disagree	jihIrzA	jihIrza	iic-compound|nominal	vidyut	genuine-or-ambiguous
jihIrzAma	disagree	hf	jihIrz	finite-verb	dcs	genuine-or-ambiguous
jihIrzAmi	disagree	hf	jihIrz	finite-verb	dcs	genuine-or-ambiguous
jihIrzan	disagree	jihIrzat	jihIrz	participle	dcs	stem-granularity
jihIrzasi	disagree	hf	jihIrz	finite-verb	dcs	genuine-or-ambiguous
jihIrzatA	disagree	jihIrzat	jihIrz	participle	dcs	stem-granularity
jihIrzati	disagree	hf|jihIrzat	jihIrz	finite-verb|participle	dcs	stem-granularity
jihIrzu	disagree	jihIrzu	jihIrza	iic-compound|nominal	vidyut	genuine-or-ambiguous
jihmAyete	disagree	jihma	jihmAy	finite-verb	dcs	genuine-or-ambiguous
jihvikA	disagree	jihvaka	jihvikA	nominal	vidyut	genuine-or-ambiguous
jijIvizAma	disagree	jIv	jijIviza	finite-verb	vidyut	genuine-or-ambiguous
jijIvizAmas	disagree	jIv	jijIviza	finite-verb	vidyut	genuine-or-ambiguous
jijIvizanti	disagree	jIv|jijIvizat	jijIviz	finite-verb|participle	dcs	stem-granularity
jijIvizatA	disagree	jijIvizat	jijIviz	participle	dcs	stem-granularity
jijIvizati	disagree	jIv|jijIvizat	jijIviz	finite-verb|participle	dcs	stem-granularity
jijIvizet	disagree	jIv	jijIviz	finite-verb	dcs	genuine-or-ambiguous
jijYAsamAnA	disagree	jijYAsamAna	jijYAs	participle	dcs	stem-granularity
jijYAsamAnAya	disagree	jijYAsamAna	jijYAs	participle	dcs	stem-granularity
jijYAsamAnO	disagree	jijYAsamAna	jijYAs	participle	dcs	stem-granularity
jijYAsamAnena	disagree	jijYAsamAna	jijYAs	participle	dcs	stem-granularity
jijYAsante	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jijYAsate	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jijYAse	disagree	jYA|jijYAsA	jijYAs	finite-verb|nominal	dcs	stem-granularity
jijYAseta	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jijYAsitA	disagree	jYA|jijYAsita	jijYAs	finite-verb|participle	dcs	stem-granularity
jijYAsitum	disagree	jYA	jijYAs	verbal-indecl	dcs	genuine-or-ambiguous
jijYAsizyAmahe	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jijYAsizye	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jijYAsu	disagree	jijYAsu	jijYAsa	iic-compound|nominal	vidyut	genuine-or-ambiguous
jijYAsyam	disagree	jijYAsya	jijYAs	participle	dcs	stem-granularity
jijYAsyatAm	disagree	jYA	jijYAsi	finite-verb	vidyut	genuine-or-ambiguous
jijYAsyate	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jijYAsyeta	disagree	jYA	jijYAs	finite-verb	dcs	genuine-or-ambiguous
jinAni	disagree	jina|jyA	ji	finite-verb|nominal	dcs	genuine-or-ambiguous
jinIyAt	disagree	jyA	ji	finite-verb	dcs	genuine-or-ambiguous
jinat	disagree	jinat	jyA	participle	vidyut	genuine-or-ambiguous
jinatA	disagree	jinat	jyA	participle	vidyut	genuine-or-ambiguous
jinvan	disagree	jinvat	jinv	participle	dcs	stem-granularity
jinvat	disagree	jinvat	jinv	participle	dcs	stem-granularity
jinvate	disagree	jinvat	jinv	participle	dcs	stem-granularity
jinvitAm	disagree	jinvita	jinv	participle	dcs	stem-granularity
jitAn	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitAnAm	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitAni	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitAs	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitAt	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitAyAm	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitAya	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitas	disagree	jit|jita	ji	nominal|participle	dcs	genuine-or-ambiguous
jitasya	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitavAn	disagree	jitavat	ji	participle	dcs	genuine-or-ambiguous
jitavantO	disagree	jitavat	ji	participle	dcs	genuine-or-ambiguous
jitavantam	disagree	jitavat	ji	participle	vidyut	genuine-or-ambiguous
jitavat	disagree	jitavat	ji	participle	vidyut	genuine-or-ambiguous
jitayA	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitena	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitezu	disagree	jita	ji	participle	dcs	genuine-or-ambiguous
jitvarI	disagree	jitvara	jitvarI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
jityA	disagree	jitya	jiti	nominal|participle	dcs	genuine-or-ambiguous
jityAyE	disagree	jitya	jityA	nominal|participle	dcs	genuine-or-ambiguous
johavImi	disagree	hu	johav	finite-verb	dcs	genuine-or-ambiguous
johavIti	disagree	hu	johav	finite-verb	dcs	genuine-or-ambiguous
johavItu	disagree	hu	johav	finite-verb	dcs	genuine-or-ambiguous
jozA	disagree	javas|joza	juz	nominal	dcs	genuine-or-ambiguous
jozayaDvam	disagree	juz	jozay	finite-verb	dcs	genuine-or-ambiguous
jozayante	disagree	juz	jozay	finite-verb	dcs	genuine-or-ambiguous
jozayate	disagree	jozayat|juz	jozay	finite-verb|participle	dcs	stem-granularity
jozayeran	disagree	juz	jozay	finite-verb	dcs	genuine-or-ambiguous
jozayet	disagree	juz	jozay	finite-verb	dcs	genuine-or-ambiguous
jozayeta	disagree	juz	jozay	finite-verb	dcs	genuine-or-ambiguous
jozayete	disagree	juz	jozay	finite-verb	dcs	genuine-or-ambiguous
jozayitum	disagree	juz	jozay	verbal-indecl	dcs	genuine-or-ambiguous
jozi	disagree	javas	juz	nominal	dcs	genuine-or-ambiguous
jugupsamAnO	disagree	jugupsamAna	jugups	participle	dcs	stem-granularity
jugupsante	disagree	gup	jugups	finite-verb	dcs	genuine-or-ambiguous
jugupsase	disagree	gup	jugups	finite-verb	dcs	genuine-or-ambiguous
jugupsate	disagree	gup	jugups	finite-verb	dcs	genuine-or-ambiguous
jugupseran	disagree	gup	jugups	finite-verb	dcs	genuine-or-ambiguous
jugupseta	disagree	gup	jugups	finite-verb	dcs	genuine-or-ambiguous
jugupseyAtAm	disagree	gup	jugups	finite-verb	dcs	genuine-or-ambiguous
jugupsitA	disagree	gup|jugupsita	jugups	finite-verb|participle	dcs	stem-granularity
jugupsitAm	disagree	jugupsita	jugups	participle	dcs	stem-granularity
jugupsitAn	disagree	jugupsita	jugups	participle	dcs	stem-granularity
jugupsitAt	disagree	jugupsita	jugups	participle	dcs	stem-granularity
jugupsitasya	disagree	jugupsita	jugups	participle	dcs	stem-granularity
jugupsyantAm	disagree	gup	jugupsa	finite-verb	vidyut	genuine-or-ambiguous
juhUzat	disagree	juhUzat	juhUza	participle	vidyut	stem-granularity
juhUzatAm	disagree	hu|juhUzat	juhUz	finite-verb|participle	dcs	stem-granularity
juhvAnA	disagree	juhvAna	hu	participle	dcs	genuine-or-ambiguous
juhvAnAya	disagree	juhvAna	hu	participle	dcs	genuine-or-ambiguous
juhvAnam	disagree	juhvAna	hu	participle	dcs	genuine-or-ambiguous
juhvAnasya	disagree	juhvAna	hu	participle	dcs	genuine-or-ambiguous
juhvAne	disagree	juhvAna	hu	participle	dcs	genuine-or-ambiguous
juhvat	disagree	juhvat	hu	participle	dcs	genuine-or-ambiguous
juhvatI	disagree	juhvat	hu	participle	dcs	genuine-or-ambiguous
juhvatam	disagree	juhvat	hu	participle	dcs	genuine-or-ambiguous
juhvatas	disagree	juhvat	hu	participle	vidyut	genuine-or-ambiguous
juhvatsu	disagree	juhvat	hu	participle	dcs	genuine-or-ambiguous
jujuzARA	disagree	jujuzARa	juz	participle	dcs	genuine-or-ambiguous
jujuzARAya	disagree	jujuzARa	juz	participle	dcs	genuine-or-ambiguous
jujuzARam	disagree	jujuzARa	juz	participle	dcs	genuine-or-ambiguous
juzwA	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAByAm	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAm	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAn	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAnAm	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAni	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAs	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAt	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwAyAm	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwO	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwam	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwasya	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwe	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwena	disagree	juzwa	juz	participle	dcs	stem-granularity
juzwezu	disagree	juzwa	juz	participle	dcs	stem-granularity
jvAlA	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlAm	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlAnAm	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlAni	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlAt	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlAyAm	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlAyE	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlI	disagree	jvAla	jvAlin	iiv-compound	dcs	genuine-or-ambiguous
jvAlayA	disagree	jvAla	jvAlA	nominal	dcs	genuine-or-ambiguous
jvAlaya	disagree	jval	jvAlay	finite-verb	dcs	genuine-or-ambiguous
jvAlayatsu	disagree	jvAlayat	jvAlay	participle	dcs	stem-granularity
jvAlayet	disagree	jval	jvAlay	finite-verb	dcs	genuine-or-ambiguous
jvAlayitvA	disagree	jval	jvAlay	verbal-indecl	dcs	genuine-or-ambiguous
jvAlayizyAmi	disagree	jval	jvAlay	finite-verb	dcs	genuine-or-ambiguous
jvAlyamAnezu	disagree	jvAlyamAna	jvAlay	participle	dcs	genuine-or-ambiguous
jvAlyante	disagree	jval	jvAlay	finite-verb	dcs	genuine-or-ambiguous
jvAlyatAm	disagree	jval	jvAlay	finite-verb	dcs	genuine-or-ambiguous
jvalan	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalanI	disagree	jvalana	jvalanI	iiv-compound	dcs	genuine-or-ambiguous
jvalantI	disagree	jvalat	jval|jvalantI	participle	dcs	stem-granularity
jvalantIm	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalantIs	disagree	jvalat	jval	participle	vidyut	stem-granularity
jvalantO	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalantam	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalantas	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalantyA	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalantyAm	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalat	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalatA	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalate	disagree	jvalat	jval	participle	dcs	stem-granularity
jvalaya	disagree	jval	jvalay	finite-verb	dcs	stem-granularity
jvalayanti	disagree	jval|jvalayat	jvalay	finite-verb|participle	dcs	stem-granularity
jvalayatA	disagree	jvalayat	jvalay	participle	dcs	stem-granularity
jvalayati	disagree	jval|jvalayat	jvalay	finite-verb|participle	dcs	stem-granularity
jvalayet	disagree	jval	jvalay	finite-verb	dcs	stem-granularity
jvale	disagree	jvala	jval	nominal	dcs	stem-granularity
jvalitAm	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitAn	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitAni	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitAt	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitEs	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitO	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitam	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalite	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitena	disagree	jvalita	jval	participle	dcs	stem-granularity
jvalitezu	disagree	jvalita	jval	participle	dcs	stem-granularity
jvarI	disagree	jvara	jvarin	iiv-compound	dcs	genuine-or-ambiguous
jvaritAn	disagree	jvarita	jvaray	participle	dcs	genuine-or-ambiguous
jvaritAnAm	disagree	jvarita	jvaray	participle	dcs	genuine-or-ambiguous
jvaritAya	disagree	jvarita	jvaray	participle	dcs	genuine-or-ambiguous
jvaritam	disagree	jvarita	jvaray	participle	dcs	genuine-or-ambiguous
jvaritasya	disagree	jvarita	jvaray	participle	dcs	genuine-or-ambiguous
jyAya	disagree	jyA	jyAyas	nominal	dcs	stem-granularity
jyEzWI	disagree	jyEzWa	jyEzWI	iiv-compound	dcs	genuine-or-ambiguous
jyOtsnI	disagree	jyOtsna	jyOtsnI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
jyeye	disagree	jyeya	jyA	participle	dcs	genuine-or-ambiguous
jyezWatas	disagree	jyezWa	jyezWatas	indeclinable	dcs	stem-granularity
jyota	disagree	jyut	jyota	finite-verb	dcs	genuine-or-ambiguous
jyotaya	disagree	jyut	jyotay	finite-verb	dcs	genuine-or-ambiguous
jyote	disagree	jyut	jyota	finite-verb	dcs	genuine-or-ambiguous
jyotizmatIByAm	disagree	jyotizmat	jyotizmatI	nominal	dcs	stem-granularity
jyotizwomAt	disagree	jyotiHzwoma	jyotizwoma	nominal	dcs	genuine-or-ambiguous
jyotizwomO	disagree	jyotiHzwoma	jyotizwoma	nominal	dcs	genuine-or-ambiguous
jyotizwoma	disagree	jyotiHzwoma	jyotizwoma	iic-compound|nominal	dcs	genuine-or-ambiguous
jyotizwomasya	disagree	jyotiHzwoma	jyotizwoma	nominal	dcs	genuine-or-ambiguous
jyotizwome	disagree	jyotiHzwoma	jyotizwoma	nominal	dcs	genuine-or-ambiguous
jyotizwomena	disagree	jyotiHzwoma	jyotizwoma	nominal	dcs	genuine-or-ambiguous
jyotsnI	disagree	jyotsnA	jyotsnI	iic-compound|nominal	dcs	genuine-or-ambiguous
kA	disagree	kim	k|kA|ka	nominal	dcs	genuine-or-ambiguous
kAByAm	disagree	kim	ka	nominal	dcs	genuine-or-ambiguous
kAMScana	disagree	kiYcana	kaScana	nominal	dcs	genuine-or-ambiguous
kAMScit	disagree	kiYcit	kaScit	nominal	dcs	genuine-or-ambiguous
kANkzamARA	disagree	kANkzamARa	kANkz	participle	dcs	stem-granularity
kANkzamARAs	disagree	kANkzamARa	kANkz	participle	dcs	stem-granularity
kANkzamAREs	disagree	kANkzamARa	kANkz	participle	dcs	stem-granularity
kANkzamARO	disagree	kANkzamARa	kANkz	participle	dcs	stem-granularity
kANkzamARas	disagree	kANkzamARa	kANkz	participle	dcs	stem-granularity
kANkzamARasya	disagree	kANkzamARa	kANkz	participle	dcs	stem-granularity
kANkzan	disagree	kANkzat	kANkz	participle	dcs	stem-granularity
kANkzantI	disagree	kANkzat	kANkz	participle	dcs	stem-granularity
kANkzatA	disagree	kANkzat	kANkz	participle	dcs	stem-granularity
kANkzin	disagree	kANkzin	kANkz	nominal	vidyut	stem-granularity
kANkzitAm	disagree	kANkzita	kANkz	participle	dcs	stem-granularity
kANkzitAn	disagree	kANkzita	kANkz	participle	dcs	stem-granularity
kANkzitAnAm	disagree	kANkzita	kANkz	participle	dcs	stem-granularity
kANkzitasya	disagree	kANkzita	kANkz	participle	dcs	stem-granularity
kANkzitavye	disagree	kANkzitavya	kANkz	participle	dcs	stem-granularity
kANkzite	disagree	kANkzita	kANkz	participle	dcs	stem-granularity
kARAm	disagree	kARa	ka	nominal	dcs	genuine-or-ambiguous
kARqamayIm	disagree	kARqamaya	kARqamayI	nominal	dcs	genuine-or-ambiguous
kASAm	disagree	kASa	kASA	nominal	dcs	genuine-or-ambiguous
kASayA	disagree	kASa	kASA	nominal	dcs	genuine-or-ambiguous
kASayAmi	disagree	kAS	kASi	finite-verb	vidyut	stem-granularity
kASaya	disagree	kAS	kASi	finite-verb	vidyut	stem-granularity
kAScana	disagree	kiYcana	kaScana	nominal	dcs	genuine-or-ambiguous
kAScit	disagree	kiYcit	kaScit	nominal	dcs	genuine-or-ambiguous
kASinI	disagree	kASi	kASin	nominal	dcs	stem-granularity
kASini	disagree	kASi	kASin	nominal	dcs	stem-granularity
kAYjI	disagree	kAYjika	kAYjI	iic-compound|nominal	dcs	genuine-or-ambiguous
kAcana	disagree	kAcana|kiYcana	kaScana	iic-compound|nominal	dcs	genuine-or-ambiguous
kAcit	disagree	kiYcit	kaScit	nominal	dcs	genuine-or-ambiguous
kAdambI	disagree	kAdamba	kAdambI	iiv-compound	dcs	genuine-or-ambiguous
kAkI	disagree	kAka	kAkI	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
kAkaRi	disagree	kAkaRI	kAkaRi	iic-compound|nominal	dcs	genuine-or-ambiguous
kAkalI	disagree	kAkala	kAkalI	iiv-compound	dcs	genuine-or-ambiguous
kAkinI	disagree	kAkiRI	kAkinI	iic-compound|nominal	dcs	genuine-or-ambiguous
kAkinyO	disagree	kAkiRI	kAkinI	nominal	dcs	genuine-or-ambiguous
kAkolI	disagree	kAkola	kAkolI	iiv-compound	dcs	genuine-or-ambiguous
kAkuda	disagree	kAkud	kAkuda	iic-compound|nominal	vidyut	stem-granularity
kAkudam	disagree	kAkud	kAkuda	nominal	dcs	stem-granularity
kAkudasya	disagree	kAkud	kAkuda	nominal	dcs	stem-granularity
kAlaYjara	disagree	kAlaYjara	kAlaYjarA	iic-compound|nominal	vidyut	genuine-or-ambiguous
kAlakam	disagree	kAlaka	kAli	nominal	vidyut	genuine-or-ambiguous
kAlatas	disagree	kAla	kAlatas	indeclinable	dcs	stem-granularity
kAlayan	disagree	kAlayat	kAlay	participle	dcs	stem-granularity
kAlayanti	disagree	kAlayat|kal	kAlay	finite-verb|participle	dcs	stem-granularity
kAlayate	disagree	kAlayat|kal	kAlay	finite-verb|participle	dcs	stem-granularity
kAlayati	disagree	kAlayat|kal	kAlay	finite-verb|participle	dcs	stem-granularity
kAlayizyati	disagree	kAlayizyat|kal	kAlay	finite-verb|participle	dcs	stem-granularity
kAliNgIm	disagree	kAliNga	kAliNgI	nominal	vidyut	genuine-or-ambiguous
kAliyA	disagree	kAliya	kAliyA	nominal	dcs	genuine-or-ambiguous
kAlyamAnA	disagree	kAlyamAna	kAlay	participle	dcs	genuine-or-ambiguous
kAlyamAnAn	disagree	kAlyamAna	kAlay	participle	dcs	genuine-or-ambiguous
kAlyamAnAni	disagree	kAlyamAna	kAlay	participle	dcs	genuine-or-ambiguous
kAlyamAne	disagree	kAlyamAna	kAlay	participle	dcs	genuine-or-ambiguous
kAlyamAnezu	disagree	kAlyamAna	kAlay	participle	dcs	genuine-or-ambiguous
kAlyante	disagree	kal	kAlay	finite-verb	dcs	genuine-or-ambiguous
kAlyate	disagree	kal	kAlay	finite-verb	dcs	genuine-or-ambiguous
kAm	disagree	kim	ka	nominal	dcs	genuine-or-ambiguous
kAmadA	disagree	kAmada	kAmadA	nominal	vidyut	genuine-or-ambiguous
kAmalA	disagree	kAmala|kamala	kAmalA	nominal	dcs	genuine-or-ambiguous
kAmalAm	disagree	kAmala|kamala	kAmalA	nominal	dcs	genuine-or-ambiguous
kAmalAn	disagree	kAmala	kAmalA	nominal	dcs	genuine-or-ambiguous
kAmalI	disagree	kAmala	kAmalin	iic-compound|iiv-compound|nominal	dcs	genuine-or-ambiguous
kAmalam	disagree	kAmala	kAmalA	nominal	dcs	genuine-or-ambiguous
kAmale	disagree	kAmala|kamala	kAmalA	nominal	dcs	genuine-or-ambiguous
kAmalezu	disagree	kAmala	kAmalA	nominal	dcs	genuine-or-ambiguous
kAmali	disagree	kAmala	kAmalin	iic-compound|nominal	dcs	genuine-or-ambiguous
kAmanA	disagree	kAmana	kAmi	nominal	vidyut	genuine-or-ambiguous
kAmanIyA	disagree	kAmanIya	kam	participle	dcs	genuine-or-ambiguous
kAmanayA	disagree	kAmana	kAmanA	nominal	dcs	genuine-or-ambiguous
kAmandake	disagree	kAmandaka	kAmandaki	nominal	dcs	genuine-or-ambiguous
kAmayAmahe	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayAmi	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmaya	disagree	kam	kAmi	finite-verb	vidyut	genuine-or-ambiguous
kAmayaDve	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayamAnA	disagree	kAmayamAna	kAmay	participle	dcs	stem-granularity
kAmayamAnAnAm	disagree	kAmayamAna	kAmay	participle	dcs	stem-granularity
kAmayamAnasya	disagree	kAmayamAna	kAmay	participle	dcs	stem-granularity
kAmayamAne	disagree	kAmayamAna	kAmay	participle	dcs	stem-granularity
kAmayamAnena	disagree	kAmayamAna	kAmay	participle	dcs	stem-granularity
kAmayan	disagree	kAmayat	kAmay	participle	dcs	stem-granularity
kAmayante	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayanti	disagree	kAmayat|kam	kAmay	finite-verb|participle	dcs	stem-granularity
kAmayase	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayasva	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayat	disagree	kAmayat	kAmay	participle	dcs	stem-granularity
kAmayata	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayate	disagree	kAmayat|kam	kAmay	finite-verb|participle	dcs	stem-granularity
kAmayati	disagree	kAmayat|kam	kAmay	finite-verb|participle	dcs	stem-granularity
kAmaye	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayeTe	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayeran	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayet	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayeta	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayeyam	disagree	kam	kAmi	finite-verb	vidyut	genuine-or-ambiguous
kAmayitum	disagree	kam	kAmay	verbal-indecl	dcs	genuine-or-ambiguous
kAmayitvA	disagree	kam	kAmay	verbal-indecl	dcs	genuine-or-ambiguous
kAmayizyAmi	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmayizye	disagree	kam	kAmay	finite-verb	dcs	genuine-or-ambiguous
kAmbojI	disagree	kAmboja	kAmbojI	iiv-compound	dcs	genuine-or-ambiguous
kAmikA	disagree	kAmika	kAmikA	nominal	dcs	genuine-or-ambiguous
kAmikAyAm	disagree	kAmika	kAmikA	nominal	dcs	genuine-or-ambiguous
kAmitA	disagree	kAmitA|kAmita	kAmay	iic-compound|nominal|participle	dcs	genuine-or-ambiguous
