pwkvn_k1	pc	mw_L	mw_pc	in_mw_sup
gAMdohasaMnejana	2-300-a	64786	353,2	main
gAQavarcas	5-253-b	65040	355,1	main
gAQavarcastva	7-338-a	65041	355,1	main
gARqAlI	7-338-a	64730	353,2	main
gATAnArASaMsI	4-298-b	64575	352,2	main
gAh	4-298-b	65024	354,3	main
gAjara	7-338-a	64700	1326,2	sup
gAmBIra	7-338-a	64849	353,3	main
gAnDarvavidyA	5-253-b	64800	353,3	main
gAnIya	2-300-a	64774	353,2	main
gArdaBa	7-338-a	64945	354,2	main
gArga	7-338-a	64891	354,1	main
gAruqopanizad	2-300-a	64880	354,1	main
gAtrAvara	6-300-c	64535	352,2	main
gAtra	3-261-a	64748	353,2	main
gAtraSayya	7-338-a	64528	1326,2	sup
gAtrayuta	3-261-a	64520	352,2	main
gAtrikAgranTi	5-253-b	64542	352,2	main
gAvaya	3-261-a	65012	354,3	main
gAyatrI	7-338-a	64865	354,1	main
gAyatrIyAman	3-261-a	64642	352,3	main
gErikAKya	3-261-b	66875	363,3	main
gErika	2-300-a	66871	363,3	main
gItA	7-338-b	65294	356,1	main
gOBila	3-261-b	68229	369,3	main
gODUma	4-298-c	68192	369,3	main
gOlmika	7-339-b	68400	370,2	main
gOrI	7-339-b	68329	370,1	main
gOra	7-339-b	68268	370,1	main
gOrijeya	3-261-b	68322	370,1	main
gOrjara	5-253-c	68385	370,2	main
gOtama	5-253-c	68147	369,2	main
gUQAgAra	7-387-c	66371	361,1	main
gUQAgUQatva	7-338-c	66373	361,1	main
gUQamantra	7-338-c	66360	1326,2	sup
gUQavarcas	5-253-c	66367	361,1	main
gUha	2-300-a	66411	361,2	main
gUrd	6-301-a	66402	361,1	main
gUrda	6-301-a	66405	361,1	main
gaMhman	7-336-d	62159	341,2	main
gaNga	5-253-a	62216	1326,1	sup
gaRADipati	7-337-a	62623	343,2	main
gaRaka	7-337-a	62665	343,3	main
gaRakamahAmAtra	7-337-a	62673	1326,1	sup
gaRanApati	7-337-a	62686	343,3	main
gaRanApattrikA	3-260-c	62687	343,3	main
gaRarAtra	5-253-b	62601	343,2	main
gaRatrikA	7-337-a	62677	343,3	main
gaRin	4-298-b	62724	344,1	main
gaRisTarAja	5-253-b	62728	344,1	main
gaRita	7-337-a	62705	343,3	main
gaRitra	7-337-a	62720	1326,1	sup
gaRitrikA	7-337-a	62721	344,1	main
gaRqa	7-337-a	62763	344,1	sup
gaRqaka	7-337-a	62821	344,2	main
gaRqalavaRa	7-337-a	62791	344,1	main
gaRqaleKA	5-253-b	62793	344,1	main
gaRqi	7-337-a	62832	344,2	main
gaRqopala	3-260-c	62811	344,2	main
gaYjAkinI	2-299-c	62476	342,3	main
gad	4-298-b	62868	344,2	main
gadA	2-299-c	62900	344,3	main
gaganANgaRa	5-253-a	62195	1326,1	sup
gaganagaYja	7-336-d	62166	341,2	main
gaganalih	5-253-a	62180	341,2	main
gaganapariDAna	3-260-c	62173	1326,1	sup
gaganavallaBa	2-299-c	62181	341,2	main
gahanezWa	2-300-a	64492	1326,2	sup
gahya	2-300-a	64476	1326,2	sup
gajAhva	7-336-d	62442	342,2	main
gajapUrva	3-260-c	62362	1326,1	sup
gajapati	6-300-c	62355	342,1	main
gajareva	2-299-c	62388	342,2	main
gajasiMha	2-299-c	62410	342,2	main
gajaskanDa	7-336-d	62414	342,2	main
gal	3-261-a	64241	350,3	main
galagranTi	7-337-d	64249	1326,2	sup
galaranDra	5-253-b	64257	1326,2	sup
galdA	7-337-d	64302	351,1	main
galunta	3-261-a	64288	351,1	main
gam	3-261-a	63672	348,1	main
gamBara	3-261-a	63374	346,3	main
gamika	7-337-c	63647	1326,1	sup
gamizRu	5-253-b	63655	348,1	main
ganDahastin	5-253-b	63204	1326,1	sup
ganDakArI	2-299-c	62993	345,1	main
ganDakAraka	4-298-b	62990	345,1	main
ganDaka	3-260-c	63246	345,3	main
ganDamfga	4-298-b	63133	345,2	main
ganDana	5-253-b	63250	345,3	main
ganDapAna	4-298-b	63060	345,1	main
ganDarAja	2-299-c	63153	345,2	main
ganDarva	7-337-b	63295	346,2	main
ganDarvakanyA	7-337-b	63296	346,2	main
ganDarvaloka	2-299-c	63314	346,2	main
ganDika	7-337-c	63257	345,3	main
ganDodaka	3-261-a	63238	345,3	main
gaqa	5-253-b	62483	342,3	main
gaqera	7-337-a	62514	342,3	main
gaqika	7-337-a	62496	342,3	main
gaqquka	7-337-a	62521	342,3	main
gaqula	6-300-c	62510	342,3	main
garBAgAra	7-337-d	64110	350,1	main
garBa	2-300-a	63976	349,3	main
garBamft	7-337-d	64052	1326,1	sup
garBanirharaRa	3-261-a	64033	349,3	main
garBaprAvaraRa	7-337-d	64045	1326,1	sup
garBapuroqASa	5-253-b	64044	350,1	main
garBarUpaka	3-261-a	64064	350,1	main
garBasaMkarita	6-300-c	64091	350,1	main
garBasaMskAra	7-337-d	64089	1326,2	sup
garBasaMsravaRa	6-300-c	64090	350,1	main
garBasrAvin	6-300-c	64105	350,1	main
garBavedinI	3-261-a	64078	350,1	main
garagir	7-337-c	63729	348,2	main
garda	7-337-d	63915	349,2	main
gardaBa	7-337-d	63941	349,2	main
gargatrirAtra	2-300-a	63836	349,1	main
garizWa	7-337-c	63772	348,3	main
garji	7-337-d	63875	349,1	main
garmud	5-253-b	64163	350,2	main
garmut	7-337-d	64162	350,2	main
gartamit	4-298-b	63899	349,2	main
gartezWA	6-300-c	63902	349,2	main
gartya	3-261-a	63913	349,2	main
garuqaketu	5-253-b	63794	348,3	main
garva	7-337-d	64170	350,2	main
garvita	7-337-d	64176	350,2	main
gatADvan	6-300-c	63507	347,2	main
gata	7-337-b	63427	347,1	main
gatalajja	2-299-c	63463	347,2	main
gatalakzmIka	5-253-b	63462	347,2	main
gatamanaska	4-298-b	63455	347,2	main
gatasvArTa	5-253-b	63494	347,2	main
gatatrapa	7-337-b	63439	347,2	main
gati	7-337-b	63553	347,3	main
gatvara	5-253-b	63579	347,3	main
gavAlamBa	7-337-d	64371	1326,2	sup
gavAsTi	7-338-a	64375	1326,2	sup
gavInI	7-338-a	64449	1326,2	sup
gava	3-261-a	64340	351,2	main
gavadika	6-300-c	64429	351,3	main
gehAnupraveSanIya	7-338-d	66833	363,2	main
gehAvaskandam	7-338-d	66834	363,2	main
geha	7-338-d	66825	363,2	sup
gfB	7-338-d	66489	361,3	main
gfDraSIrzan	5-253-c	66481	361,3	main
gfDreSvara	6-301-a	66484	361,3	main
gfYjanaka	7-338-c	66421	361,2	main
gfdDin	7-338-c	66437	361,2	main
gfdDitva	7-338-c	66438	361,2	main
gfhAvagrahaRI	5-253-c	66686	362,3	main
gfhItadikka	3-261-a	66728	362,3	main
gfhItapfzWa	6-301-a	66734	362,3	main
gfhItavasatIvarIka	4-298-c	66737	362,3	main
gfha	7-338-d	66513	361,3	sup
gfhadAha	7-338-d	66561	362,1	main
gfhadevatA	4-298-c	66564	362,1	main
gfhagupta	2-300-a	66538	362,1	main
gfhaka	7-338-d	66704	1326,2	sup
gfhakumArI	6-301-a	66531	361,3	main
gfhanirvAha	3-261-a	66573	1326,2	sup
gfhapAta	3-261-a	66579	362,1	main
gfhapUjA	7-338-d	66582	1326,2	sup
gfhapativadana	7-338-d	66576	1326,2	sup
gfhasTa	3-261-a	66654	362,2	main
gfhya	5-253-c	66780	363,1	main
gfzwikA	7-338-d	66806	363,1	main
gir	2-300-a	65102	355,1	main
giriSaya	3-261-a	65227	355,3	main
giricArin	7-338-b	65144	355,2	main
girika	3-261-a	65267	355,3	main
girinadikA	3-261-a	65179	355,2	main
girirUpa	5-253-b	65218	355,3	main
girisuta	2-300-a	65246	355,3	main
glahana	3-261-b	69154	374,2	main
glunTa	4-298-c	69164	374,3	main
go	4-298-c	66884	363,3	main
goPaRA	7-339-a	67327	365,3	main
goPaRikA	7-339-a	67328	365,3	main
goagra	7-338-d	66885	363,3	main
gocara	2-300-a	66998	364,2	sup
gocarika	7-339-a	67010	364,2	main
godAnavrata	7-339-a	67126	1326,3	sup
goda	2-300-b	67822	368,1	main
gograha	7-338-d	66974	364,1	main
gohara	7-387-c	67769	367,3	main
gokaRwaka	7-387-c	66900	363,3	main
gokuRika	5-253-c	66931	364,1	main
golaka	5-253-c	68029	368,3	main
gomatallikA	5-253-c	67352	366,1	main
gomaya	7-339-a	67380	366,1	main
gomedasaMniBa	3-261-b	67434	366,2	main
gomfgakAkacaryA	4-298-c	67426	366,2	main
gomuRqa	5-253-c	67412	366,1	main
gonihAra	3-261-b	67211	365,2	main
gopAcala	5-253-c	67903	1326,3	sup
gopAla	7-387-c	67241	365,2	main
gopAlagiri	5-253-c	67252	365,2	main
gopAyaka	7-339-a	67945	368,2	main
gopa	5-253-c	67865	368,1	main
gopaticApa	7-339-a	67215	365,2	main
gopiwaka	7-339-a	67285	365,3	main
goprapadanIya	7-339-a	67323	365,3	main
gorAsya	5-253-c	67504	366,2	main
goruta	7-339-a	67505	366,2	main
gotrika	2-300-b	67820	367,3	main
gotrin	3-261-b	67821	367,3	main
gotritva	7-339-a	67104	364,3	main
govarDana	5-253-c	67545	366,3	main
govindapAla	5-253-c	67585	366,3	main
gozWa	3-261-b	68053	369,1	main
gozWaSva	7-339-b	67704	367,2	main
gozWodumbara	7-339-b	67720	1326,3	sup
gozpadapUram	3-261-b	67782	367,3	main
gozpadapram	3-261-b	67782	367,3	main
grAha	3-261-b	69079	374,1	main
grAhakatva	7-387-c	68777	1326,3	sup
grAhayitavya	5-254-a	68780	373,1	main
grAhin	7-339-c	68789	373,1	main
grAhyarUpa	5-254-a	68815	373,1	main
grAma	3-261-b	68828	373,1	main
grAmaGAtaka	3-261-b	68853	373,2	main
grAmaGAtin	5-253-c	68855	373,2	main
grAmaRiBogIna	4-298-c	68870	373,2	main
grAmakUwa	2-300-b	68838	373,2	main
grAmakaRwaka	3-261-b	68829	373,1	main
grAmaleKaka	5-254-a	68923	373,2	main
grAmapAlaka	3-261-b	68902	373,2	main
grAmarajaka	5-253-c	68920	373,2	main
grAmasad	3-261-b	68938	373,3	main
grAmasiMha	7-339-c	68939	373,3	main
grAmeya	7-339-c	69009	373,3	main
grAmeyaka	5-254-a	69011	373,3	main
grAmya	7-339-c	69027	1326,3	sup
grAmyamfga	5-254-a	69051	374,1	main
grAvarohaka	5-254-a	69063	374,1	main
grIvabadDa	7-339-c	69089	1326,3	sup
grIzma	7-339-c	69100	374,2	main
graB	2-300-b	68545	371,2	main
graT	7-339-b	68541	371,2	main
grahAntarukTya	7-339-c	68679	1326,3	sup
grahaRa	7-339-c	68722	372,3	main
grahaRaka	5-253-c	68729	1326,3	sup
grahamarda	2-300-b	68641	372,2	main
grahatva	2-300-b	68614	372,1	main
grahavarza	7-339-c	68659	372,2	main
grahi	3-261-b	68746	372,3	main
granTAvftti	5-253-c	68478	371,1	main
granTi	7-387-c	68543	371,2	sup
granTimocaka	7-339-b	68513	371,1	main
grumuzwi	7-339-c	69113	374,2	main
guMkAra	3-261-a	65963	359,1	main
guNguma	7-338-b	65356	1326,2	sup
guP	7-338-c	65959	359,1	main
guRAQya	7-338-b	65713	358,1	main
guRAgrya	7-338-b	65709	358,1	main
guRAnvita	7-338-b	65738	358,1	main
guRa	7-338-b	65523	357,1	sup
guRaSabda	7-338-b	65670	357,3	main
guRaratnamaya	5-253-b	65618	357,3	main
guRasundara	2-300-a	65691	358,1	main
guRatantra	4-298-c	65560	357,2	main
guRatas	3-261-a	65561	357,2	main
guRavrata	7-338-b	65666	357,3	main
guRq	2-300-a	65827	358,2	main
guRya	7-338-b	65850	358,3	main
guYja	7-338-b	65394	356,2	main
guYjita	7-338-b	65409	356,2	main
gucCArka	5-253-b	65380	356,2	main
guh	7-338-c	66259	360,2	main
guhyapatividyA	5-253-c	66322	360,3	main
guhyaruj	3-261-a	66329	360,3	main
gulPajAha	7-338-c	66219	360,2	main
gulmatarapaRya	7-338-c	66240	360,2	main
gumPanikA	7-338-c	65975	1326,2	sup
gumagumAyita	5-253-c	65965	359,1	main
gup	7-338-c	65901	358,3	main
guptaDana	3-261-a	65925	359,1	main
guqajihvikAnyAya	6-301-a	65440	356,3	main
guqala	3-261-a	65486	356,3	main
gur	7-338-c	65978	359,2	main
guru	7-338-c	66013	359,2	main
guruvAra	3-261-a	66128	359,3	main
guruvartaka	5-253-c	66125	359,3	main
guruvartin	5-253-c	66126	359,3	main
guwikAstra	5-253-b	65420	356,3	main
hA	7-384-d	262507	1296,2	main
hAra	7-384-d	262682	1297,2	main
hAraka	7-326-d	260850	1289,2	main
haMsaka	7-384-b	260197	1286,3	main
haMsatUlikA	7-384-b	260092	1286,2	main
hala	7-384-c	261769	1293,1	main
halaka	7-384-c	261795	1293,1	main
han	7-384-c	260418	1287,3	main
hantakAra	7-384-c	260542	1288,2	main
harinmaRimaya	7-384-c	261511	1291,3	main
harisaKa	7-384-c	261252	1291,1	main
haritahari	7-384-c	261446	1291,3	main
harza	7-384-c	263916	1303,2	main
hasakft	7-384-c	262062	1294,2	main
hasanA	7-384-c	262075	1294,2	main
hasantikA	7-384-c	262081	1294,2	main
hastAvalehakam	7-384-d	262273	1295,2	main
hastasaMDunakam	7-384-d	262238	1295,1	main
hastasaMlagnikA	7-384-c	262234	1295,1	main
hastikakza	7-384-d	262291	1295,2	main
hastikakzya	7-384-d	262294	1295,2	main
hatastrIka	7-384-c	260379	1287,3	main
hatottara	7-384-c	260395	1287,3	main
havizyaBakza	7-384-c	261981	1294,1	main
hemARqaka	7-384-d	264281	1305,1	main
hemacitra	7-384-d	264173	1304,2	main
hemnA	7-384-d	264352	1305,1	main
hemna	7-384-d	264351	1305,1	main
hetuyukta	7-384-d	264027	1304,1	main
hez	7-384-d	264420	1305,2	main
hfdayasTalI	7-384-d	263825	1303,1	main
hi	7-384-d	262729	1297,3	main
hiNkriyA	7-384-d	262804	1298,1	main
hiruka	7-384-d	263379	1300,2	main
hrI	7-384-d	264773	1307,2	main
i	1-298-a	28539	163,3	main
iD	2-294-c	29269	167,3	main
iDmAbarhis	2-294-c	29283	167,3	main
iDman	7-321-a	29283	1320,3	sup
iDmaparivAsana	3-256-b	29276	167,3	main
iDmavraScana	1-298-a	29281	167,3	main
iNgitamaraRa	2-294-c	28651	1320,3	sup
iRqva	7-321-a	28710	164,3	main
icCAsadfSa	3-256-b	29536	1320,3	sup
idaMyugIna	1-298-a	28805	1320,3	sup
idamIya	1-298-a	28803	1320,3	sup
ihArTin	7-386-d	29685	1321,1	sup
ihamanas	2-294-c	29676	1321,1	sup
iheqa	1-298-b	29688	1321,1	sup
ikzukARqa	1-298-a	28570	163,3	main
ikzuyazwi	1-298-a	28602	1320,3	sup
ilAsutA	4-296-b	29413	1321,1	sup
ilAvfta	7-321-c	29412	168,2	main
im	1-298-a	29324	167,3	main
ima	3-256-b	29325	167,3	main
inDana	7-321-c	29288	167,3	main
indIvarAkza	7-321-a	28856	166,1	main
indIvaradfS	4-296-b	28854	1320,3	sup
indindirA	5-249-c	28847	165,3	main
indirA	4-296-b	28849	165,3	main
indrARIgOrIpUjA	7-321-b	29211	1321,1	sup
indrASana	1-298-a	29188	167,1	main
indrAvasikta	6-298-b	29185	1321,1	sup
indra	7-321-b	28941	166,2	main
indragfha	1-298-a	28973	1320,3	sup
indrajAla	3-256-b	28988	166,2	main
indrakIla	7-321-b	28951	166,2	main
indrakarman	5-249-c	28947	1320,3	sup
indraketu	7-321-b	28957	166,2	main
indramaGaSrI	2-294-c	29066	1321,1	sup
indramahakAmuka	6-298-b	29070	166,3	main
indranIlaka	1-298-a	29034	166,3	main
indraprayARa	3-256-b	29053	1321,1	sup
indrarAja	2-294-c	29081	1321,1	sup
indrasava	1-298-a	29129	167,1	main
indrasuta	5-249-c	29136	167,1	main
indravIruD	3-256-b	29112	167,1	main
indravajra	7-321-b	29094	166,3	main
indriyaBAvanA	7-321-c	29237	1321,1	sup
indriyaparimocana	2-294-c	29231	1321,1	sup
indriyasevana	6-298-b	29246	1321,1	sup
indudala	5-249-c	28885	166,1	main
indugOra	1-298-a	28881	1320,3	sup
indukA	1-298-a	28923	1320,3	sup
indukAnta	3-256-b	28876	166,1	main
induka	7-321-b	28923	166,1	main
ir	7-386-d	29342	168,1	main
irA	7-386-d	29356	168,1	main
iraRya	3-256-b	29346	168,1	main
iriRalozwa	3-256-b	29376	1321,1	sup
itAnta	5-249-c	28545	1320,3	sup
itTam	6-298-b	28790	165,2	main
itas	5-249-c	28741	165,1	main
iti	6-298-b	28747	1320,3	sup
itiheti	2-294-c	28773	1320,3	sup
itipraBfti	2-294-c	28769	1320,3	sup
itvara	2-294-c	28560	163,3	main
iva	7-321-c	29435	168,3	main
iyakz	6-298-b	29328	168,1	main
iz	2-294-c	29596	169,2	main
izIkAYji	5-249-c	29461	1321,1	sup
izUguha	7-321-c	29492	1321,1	sup
izuDanva	3-256-b	29472	169,1	main
izuDanvan	3-256-b	29473	169,1	main
izuDanvin	3-256-b	29474	169,1	main
izuDi	4-296-b	29476	169,1	main
izuhasta	3-256-b	29492	169,1	main
izukft	7-386-d	29618	169,3	main
izumuKa	1-298-a	29487	1321,1	sup
izunibanDana	3-256-b	29477	1321,1	sup
izupAta	3-256-b	29479	1321,1	sup
izuvarza	1-298-a	29488	1321,1	sup
izuvikzepa	1-298-a	29488	1321,1	sup
izvastra	7-321-d	29498	169,1	main
izwApUrta	7-321-c	29632	169,3	main
izwakAmaya	1-298-a	29644	169,3	main
izwani	5-249-c	29664	1321,1	sup
izwatas	6-298-c	29569	169,2	main
izwatva	1-298-b	29571	169,2	main
izwimaya	3-256-b	29654	1321,1	sup
izwu	7-321-d	29591	169,2	main
izwvInam	3-256-b	29662	1321,1	sup
jANgulika	7-343-b	78500	417,2	main
jANmAyana	5-254-c	78508	1327,3	sup
jAgaritadeSa	7-387-d	78440	1327,3	sup
jAgratprapaYca	7-343-b	78461	1327,3	sup
jAlAvanadDa	7-343-c	79097	420,1	main
jAla	7-387-d	79064	419,3	main
jAlin	7-343-c	79130	420,1	main
jAmbavatIharaRa	3-262-b	78937	419,2	main
jAmbavatIvijaya	6-301-b	78936	419,2	main
jAmi	7-343-b	78916	419,1	main
jAmivat	3-262-b	78919	419,2	main
jAnvakna	4-299-b	78849	418,3	main
jAnvasTi	2-301-c	78850	418,3	main
jAqAyana	7-343-b	78530	417,2	main
jArUTya	5-254-c	79041	419,3	main
jArajanman	4-299-b	79009	419,3	main
jAtabudDi	4-299-b	78585	417,3	main
jAtaka	7-343-b	78652	418,1	main
jAtakaratna	2-301-b	78655	1327,3	sup
jAtamfta	3-262-b	78592	417,3	main
jAtaputra	3-262-b	78580	417,3	main
jAtavAsaka	7-343-b	78607	417,3	main
jAtavedas	4-299-b	78614	417,3	sup
jAtavidyA	3-262-b	78609	1327,3	sup
jAtyaSva	5-254-c	78747	418,2	main
jAtyantarIyaka	7-343-b	78727	1327,3	sup
jAtyapahArin	3-262-b	78746	418,2	main
jAtyaratnamaya	5-254-c	78759	418,2	main
jAyAnya	7-343-b	78991	419,3	sup
jEvAtfka	4-299-b	80254	425,1	main
jEva	3-262-b	80241	425,1	main
jEzRava	7-343-d	80257	425,1	main
jIrvi	7-343-c	79620	422,2	main
jIv	7-343-c	79622	422,2	main
jIvAtu	3-262-b	79902	423,2	main
jIvI	7-343-d	79961	1327,3	sup
jIva	6-301-b	79647	422,3	sup
jIvaGAtyA	7-343-c	79656	422,3	main
jIvaMjIva	7-343-d	79665	422,3	main
jIvacUrRa	7-343-c	79657	1327,3	sup
jIvadBartfkA	5-254-c	79818	423,1	main
jIvadatta	7-343-d	79675	422,3	main
jIvadvatsA	5-254-c	79819	423,1	main
jIvadviBAga	7-343-d	79819	1327,3	sup
jIvaka	7-343-c	79795	423,1	main
jIvamezaka	5-254-c	79724	423,1	main
jIvanASa	7-343-d	79693	1327,3	sup
jIvanta	3-262-b	79875	423,2	main
jIvantaka	7-387-d	79884	423,2	main
jIvaputra	6-301-b	79705	422,3	main
jIvataRqula	2-301-c	79668	422,3	main
jIvavizARa	7-343-d	79744	423,1	main
jIvin	7-343-d	79960	423,3	sup
jIviteSa	5-254-c	79948	423,3	main
jUra	6-301-b	80100	424,2	main
jYA	2-301-c	80340	425,3	main
jYAnAgni	3-262-b	80471	426,2	main
jYAna	7-344-a	80384	426,1	main
jYAnadarSana	7-344-a	80410	426,1	main
jYAnakOtUhala	7-344-a	80390	1327,3	sup
jYAnaketu	7-344-a	80389	426,1	main
jYAnapUrvakfta	3-262-b	80424	426,1	main
jYAnavfdDa	5-255-a	80457	426,2	main
jYApti	7-344-a	80505	426,2	main
jYAtakulIna	7-344-a	80346	425,3	main
jYAtasarvasva	3-262-b	80351	425,3	main
jYAteya	5-255-a	80377	426,1	main
jYAtiputra	7-344-a	80365	425,3	main
jYapti	7-343-d	80336	425,3	main
jaGanatas	7-342-c	76426	408,3	main
jaNGAvihAra	7-342-c	76494	409,1	main
jaNgala	7-342-c	76472	409,1	main
jaWarajvalana	4-299-b	76633	409,3	main
jagDa	3-262-a	76417	408,3	main
jagadAnanda	2-301-a	76315	408,2	main
jagat	4-299-a	76224	1327,2	sup
jagatImaDya	4-299-b	76290	408,1	main
jagatkAraRakAraRa	3-262-a	76239	408,1	main
jagatparAyaRa	3-262-a	76252	408,1	main
jahA	7-343-b	78373	1327,3	sup
jahAka	7-343-b	78384	416,3	main
jaha	7-343-b	78371	416,3	main
jalAmatra	5-254-c	78176	415,3	main
jalaDenu	3-262-b	77925	415,1	main
jalaDikanyakA	4-299-b	77918	415,1	main
jalaDinandinI	4-299-b	77922	415,1	main
jalaSAyin	6-301-b	78098	415,3	main
jalacandra	5-254-c	77826	414,3	main
jaladakAla	6-301-b	77887	415,1	main
jalakAntASman	5-254-c	77788	414,3	main
jalakAnta	5-254-c	77787	414,3	main
jalakapi	5-254-c	77772	414,2	main
jalakumBikA	6-301-b	77799	414,3	main
jalamAnuza	5-254-c	78015	415,2	main
jalamAtaNga	3-262-b	78012	415,2	main
jalapUrRa	4-299-b	77964	1327,2	sup
jalapaTa	7-343-a	77947	415,1	main
jalapakzacara	3-262-b	77942	415,1	main
jalaprAya	7-343-a	77974	415,2	main
jalareKA	5-254-c	78055	415,2	main
jalaruhekzaRa	4-299-b	78051	415,2	main
jalasaMniveSa	6-301-b	78107	415,3	main
jalavAsa	5-254-c	78073	415,2	main
jalavAyasa	3-262-b	78066	415,2	main
jamBArAti	7-343-a	77215	1327,2	sup
jamBa	7-343-a	77316	412,3	main
jamBaniSumBana	7-387-d	77213	1327,2	sup
jamBasuta	3-262-b	77215	412,1	main
jambU	5-254-c	77284	412,3	main
jambuka	7-387-d	77298	412,3	main
jan	2-301-b	76735	410,1	main
janADipa	6-301-b	76828	410,3	main
janAnta	7-342-d	76831	410,3	main
janAtiga	3-262-a	76825	410,3	main
jana	7-342-d	76741	410,2	main
janacandra	5-254-b	76753	410,2	main
janakAya	7-342-d	76746	1327,2	sup
janaka	7-342-d	76867	410,3	main
jananATa	3-262-a	76762	410,2	main
janapadaGAtaka	3-262-a	76768	410,2	main
janaraYjana	5-254-c	76797	410,2	main
janduraka	7-342-d	77149	411,3	main
janidivasa	3-262-b	76944	411,1	main
janivid	7-342-d	76951	1327,2	sup
janmabanDa	4-299-b	77063	411,2	main
janmacintAmaRi	7-342-d	77041	411,2	main
janmacitraka	7-342-d	77040	411,2	main
janman	4-299-b	77118	411,3	main
janmaparigraha	7-342-d	77057	1327,2	sup
janmapattrikA	3-262-b	77056	411,2	main
jantugfha	7-342-d	77011	411,2	main
janus	7-342-d	76992	411,1	main
janya	5-254-c	77152	411,3	main
janyavftti	7-342-d	77142	1327,2	sup
janyayAtrA	5-254-c	77142	411,3	main
jarAyuja	7-343-a	77695	1327,2	sup
jarizRu	5-254-c	77702	1327,2	sup
jarjara	3-262-b	77744	414,2	main
jartilayavAgU	4-299-b	77751	414,2	main
jasuri	3-262-b	78366	416,3	main
jatuDAman	3-262-a	76710	410,1	main
javita	3-262-b	78358	416,2	main
jawAvallI	2-301-b	76564	409,2	main
jayAvaha	6-301-b	77511	413,2	main
jayabAhu	5-254-c	77431	413,1	main
jayacandra	7-343-a	77385	413,1	main
jayantI	7-343-a	77574	413,3	main
jayanta	6-301-b	77558	413,3	main
jayaraTa	5-254-c	77446	413,1	main
ja|u	7-343-b	78315	416,2	main
jemana	5-254-c	80181	424,3	main
ji	3-262-b	79182	420,2	main
jiGfkzu	5-254-c	79282	421,1	main
jihmakArin	7-343-c	79456	1327,3	sup
jijYAsu	7-343-c	79304	421,1	main
jinADAra	7-343-c	79382	421,2	main
jinANkura	7-343-c	79380	421,2	main
jina	6-301-b	79397	421,2	main
jinakalpika	3-262-b	79323	421,1	main
jinaputra	7-343-c	79340	421,1	main
jomA	7-343-d	80283	425,2	main
jowINga	4-299-b	80278	425,2	main
jowiNga	4-299-b	80276	425,2	main
jowin	4-299-b	80277	425,2	main
juNgita	5-254-c	79992	423,3	main
jugupsanIya	5-254-c	79974	423,3	main
jugupsu	7-343-d	79984	423,3	main
jugupsya	5-254-c	79985	423,3	main
jvAla	7-344-b	80927	1327,3	sup
jvalana	5-255-a	80909	428,2	main
jvalita	3-262-c	80920	428,2	main
jyA	5-255-a	80660	427,1	main
jyAya	4-299-b	80541	426,3	main
jyAyu	5-255-a	80549	1327,3	sup
jyeya	4-299-b	80837	428,1	main
jyezWa	6-301-b	80572	426,3	main
jyezWabanDu	4-299-b	80591	427,1	main
jyezWagfhya	5-255-a	80575	426,3	main
jyezWalakzma	7-344-a	80599	1327,3	sup
jyezWapraTama	3-262-b	80590	427,1	main
jyezWasAman	6-301-c	80612	427,1	main
jyezWavarRin	5-255-a	80606	427,1	main
jyogaparudDa	5-255-a	80844	428,1	main
jyokti	5-255-a	80842	428,1	main
jyotIrasa	6-301-c	80803	427,3	main
jyotayamAmaka	7-344-b	80664	1327,3	sup
jyotirBAga	4-299-b	80703	427,2	main
jyotsnAvApI	5-255-a	80821	428,1	main
jyut	3-262-b	80662	427,1	main
kAMsa	5-251-c	46912	1324,2	sup
kAMsikA	7-331-a	46912	1324,2	sup
kAMsyanIla	2-297-c	46932	266,3	main
kANkz	7-331-a	47271	268,1	main
kARAda	7-331-b	47486	1324,2	sup
kARqIra	3-259-b	47573	269,3	main
kARqa	5-252-a	47500	1324,2	sup
kARqakAra	6-300-a	47507	1324,2	sup
kARqavastra	3-259-b	47541	269,3	main
kARqera	2-298-a	47574	269,3	main
kAS	2-298-b	49812	280,2	main
kASI	7-332-b	49916	280,3	main
kASISvara	7-332-b	49863	280,2	main
kASmalya	3-259-c	49924	280,3	main
kASyapa	7-332-b	49962	281,1	sup
kASyapeya	7-332-b	49980	281,1	main
kAYcanaka	2-297-c	47411	268,3	main
kAYcanapraBa	2-297-c	47376	268,3	main
kAbanDya	3-259-b	47934	271,3	main
kAca	6-300-a	47299	268,2	main
kAciGa	5-252-a	47330	268,2	main
kAdraveya	7-331-b	47689	270,2	main
kAhala	5-252-a	50155	281,3	main
kAja	2-297-c	47342	268,2	main
kAjala	7-331-b	47344	1324,2	sup
kAkamfgagocarita	4-297-c	47060	267,1	main
kAkapeya	2-297-c	47042	267,1	main
kAkatAlIya	7-331-a	46997	266,3	main
kAkatuRqa	6-300-a	47003	266,3	main
kAkud	3-259-b	47219	267,3	main
kAla	7-331-d	49386	278,2	main
kAlaSeya	2-298-a	49639	279,2	main
kAlacakra	2-298-a	49418	278,2	main
kAlajihva	5-252-a	49110	277,2	main
kAlakAcArya	2-298-a	49290	277,3	main
kAlakAlezu	7-331-d	49391	1324,3	sup
kAlakUwa	2-298-a	49620	279,2	main
kAlaka	2-298-a	49598	279,1	main
kAlakarRI	7-331-d	49085	277,1	main
