slp1	iast	n_dicts	dicts	gender	fem_fold
ugratvaM	ugratvaṃ	1	SKD	-	
ugratvam	ugratvam	1	AP	-	
ugratviz	ugratviṣ	1	SCH	-	
ugravIra	ugravīra	4	AP MW PWG PWK	fmn	
ugravega	ugravega	3	MW PWK SCH	fmn	
uhApohaH	uhāpohaḥ	1	AP	-	
uhyagAna	uhyagāna	3	MW PWG PWK	n	
uhyamAna	uhyamāna	4	BUR CAE MW VCP	-	
ujJawita	ujjhaṭita	3	AP CAE MW	fmn	
ujjAgara	ujjāgara	4	AP MD MW PWK	fmn	
ujjAlaka	ujjālaka	1	INM	-	
ujjAluka	ujjāluka	2	MW PWK	m	
ujjAnaka	ujjānaka	5	INM MW PWG PWK VCP	m	
ujjAsana	ujjāsana	5	BUR MW PWG PWK VCP	n	
ujjUwita	ujjūṭita	4	AP MW PWG PWK	fmn	
ujjagAra	ujjagāra	1	BUR	-	
ujjayanI	ujjayanī	4	AP MW SKD VCP	f	
ujjayana	ujjayana	4	INM MW PWG PWK	fm	
ujjayinI	ujjayinī	9	AP CAE CCS MD MW PWG PWK SKD VCP	f	
ujjendra	ujjendra	3	MW PWG PWK	m	
ujjfmBaH	ujjṛmbhaḥ	1	AP	-	
ujjfmBaM	ujjṛmbhaṃ	1	SKD	-	
ujjiGnat	ujjighnat	1	BUR	-	
ujjihAnA	ujjihānā	3	AP MW PWG	f	
ujjihAna	ujjihāna	5	AP MW PWG PWK VCP	fmn	
ujjvalaH	ujjvalaḥ	2	AP SKD	-	
ujjvalaM	ujjvalaṃ	1	SKD	-	
ujjvalam	ujjvalam	1	AP	-	
ukAnahaH	ukānahaḥ	1	AP	-	
ukTAmada	ukthāmada	4	MW PWG PWK VCP	n	
ukTaMvAc	ukthaṃvāc	2	MW PWK	f	
ukTaSasa	ukthaśasa	3	AP MW PWG	-	
ukTaSasu	ukthaśasu	1	PWK	-	
ukTaarka	ukthaarka	1	GRA	-	
ukTadoha	ukthadoha	2	MW PWK	m	
ukTamuKa	ukthamukha	2	MW PWK	n	
ukTavant	ukthavant	2	PWG PWK	-	
ukTaviDa	ukthavidha	2	MW PWK	fmn	
ukanAhaH	ukanāhaḥ	1	SKD	-	
ukkArika	ukkārika	1	BHS	n	
ukkAsana	ukkāsana	1	BHS	n	
ukkAsati	ukkāsati	1	BHS	-	
ukkAsita	ukkāsita	1	BHS	n	
ukkarikA	ukkarikā	1	BHS	-	
ukramati	ukramati	1	BHS	-	
uktaBAva	uktabhāva	3	MW PWK SCH	fmn	
uktavant	uktavant	2	CCS PWK	-	
uktidevI	uktidevī	1	SCH	-	
uktipoza	uktipoṣa	3	MW PWK SCH	m	
ukzasena	ukṣasena	3	MW PWG PWK	m	
ukzatara	ukṣatara	4	MW PWG PWK VCP	m	
ukzavaSa	ukṣavaśa	6	AP MW PWG PWK SCH VCP	m	
ulUKalaH	ulūkhalaḥ	1	AP	-	
ulUKalaM	ulūkhalaṃ	1	SKD	-	
ulUKalam	ulūkhalam	1	AP	-	
ulUKalin	ulūkhalin	1	MW	fmn	
ulUkajit	ulūkajit	3	AP MW PWK	m	
ulandaka	ulandaka	2	MW PWK	m	
ulbaRatA	ulbaṇatā	1	PWG	f	
ulkAmuKI	ulkāmukhī	3	BHS MW SKD	f	
ulkAmuKa	ulkāmukha	6	BHS CAE MW PWG PWK SCH	fmn	
ulkApAta	ulkāpāta	2	MW PWK	m	
ulkapAta	ulkapāta	2	PWK SCH	m	
ullAGatA	ullāghatā	3	AP MW PWG	f	
ullAGava	ullāghava	1	SCH	-	
ullAGaya	ullāghaya	2	MD MW	-	
ullApaka	ullāpaka	3	MW PWG PWK	n	
ullApana	ullāpana	5	BHS MW PWG PWK VCP	fmn	
ullApika	ullāpika	5	AP MW PWG PWK SCH	n	
ullApyam	ullāpyam	1	AP	-	
ullAsaka	ullāsaka	2	MW SCH	n	
ullAsanA	ullāsanā	2	AP MW	f	
ullAsana	ullāsana	5	AP MW PWG PWK SCH	fn	
ullAsita	ullāsita	2	AP MW	fmn	
ullaNGya	ullaṅghya	3	CAE MW PWG	fmn	
ullalana	ullalana	4	MD MW PWK SCH	fmn	
ullalita	ullalita	3	AP BUR VCP	-	
ullambin	ullambin	3	MW PWG PWK	fmn	
ullapati	ullapati	1	BHS	-	
ullasana	ullasana	2	SCH VCP	-	
ullasatA	ullasatā	1	MW	f	
ullasita	ullasita	5	AP CAE MD MW VCP	fmn	
ulleKana	ullekhana	6	CAE CCS MW PWG PWK VCP	fmn	
ulliKAmi	ullikhāmi	1	BUR	-	
ulliKana	ullikhana	2	MW PWK	n	
ulliKita	ullikhita	6	AP MD MW PWK SCH VCP	fmn	
ulliNgay	ulliṅgay	1	PWK	-	
ullocaka	ullocaka	1	BHS	f	
ullopana	ullopana	1	BHS	n	
ullopikA	ullopikā	1	PWK	-	
ullopika	ullopika	2	PWG PWK	fm	
ulokakft	ulokakṛt	2	GRA PWK	-	
umAguruH	umāguruḥ	2	AP SKD	-	
umAkAnta	umākānta	2	MW PWK	m	
umAkawaH	umākaṭaḥ	2	AP SKD	-	
umAkawam	umākaṭam	1	AP	-	
umApatiH	umāpatiḥ	2	AP SKD	-	
umApatya	umāpatya	1	PWK	-	
umAsutaH	umāsutaḥ	2	AP SKD	-	
umAtmaja	umātmaja	1	SCH	-	
umAvanaM	umāvanaṃ	1	SKD	-	
umAvanam	umāvanam	1	AP	-	
umeSvara	umeśvara	3	BHS PWK SCH	m	
undapura	undapura	1	MW	n	
unmAdaka	unmādaka	5	MW PWG PWK SCH VCP	fmn	
unmAdana	unmādana	6	AP INM MW PWG PWK VCP	fmn	
unmAditA	unmāditā	2	MW PWK	f	
unmAduka	unmāduka	4	AP MW PWG PWK	fmn	
unmAlaka	unmālaka	2	PWK SCH	-	
unmArgaH	unmārgaḥ	1	AP	-	
unmArgam	unmārgam	1	AP	-	
unmArgin	unmārgin	4	AP MW PWG PWK	fmn	
unmIlAmi	unmīlāmi	1	BUR	-	
unmIlanA	unmīlanā	1	SCH	-	
unmIlana	unmīlana	5	CAE MW PWG PWK VCP	n	
unmIlita	unmīlita	6	AP CAE MW PWG PWK VCP	fmn	
unmUlana	unmūlana	7	CAE CCS MD MW PWG PWK VCP	fmn	
unmUlita	unmūlita	2	MW VCP	fmn	
unmUrDan	unmūrdhan	3	MD PWK SCH	-	
unmaTana	unmathana	7	AP MD MW PWG PWK SCH VCP	n	
unmaTita	unmathita	2	MW VCP	fmn	
unmadana	unmadana	5	AP MW PWG PWK VCP	fmn	
unmadita	unmadita	1	MW	fmn	
unmakara	unmakara	3	MW PWG PWK	m	
unmalana	unmalana	1	SCH	-	
unmanAya	unmanāya	2	MD MW	-	
unmanIBU	unmanībhū	3	AP MW SCH	-	
unmanIas	unmanīas	2	AP MW	-	
unmanIkf	unmanīkṛ	2	AP MW	-	
unmanTaH	unmanthaḥ	2	AP SKD	-	
unmananA	unmananā	1	BHS	-	
unmanaya	unmanaya	1	MW	-	
unmattaH	unmattaḥ	2	AP SKD	-	
unmayUKa	unmayūkha	5	AP MD MW PWG PWK	fmn	
unmezaRa	unmeṣaṇa	3	MW PWG PWK	n	
unmizAmi	unmiṣāmi	1	BUR	-	
unmizita	unmiṣita	7	AP CAE MD MW PWK SCH VCP	fmn	
unmocana	unmocana	5	MD MW PWG PWK VCP	n	
unmowana	unmoṭana	3	MD PWG PWK	n	
unmuKIna	unmukhīna	1	SCH	-	
unmuKara	unmukhara	4	AP MW PWG PWK	fmn	
unmuKatA	unmukhatā	4	AP MW PWG PWK	f	
unmudita	unmudita	1	MW	fmn	
unmudraH	unmudraḥ	1	SKD	-	
unmuzita	unmuṣita	1	MW	fmn	
unnAmita	unnāmita	1	MW	fmn	
unnAyaka	unnāyaka	1	AP	-	
unnadAmi	unnadāmi	1	BUR	-	
unnahana	unnahana	5	AP BHS MW PWG PWK	-	
unnamAmi	unnamāmi	1	BUR	-	
unnamana	unnamana	6	BHS MD MW PWG PWK VCP	n	
unnamita	unnamita	3	AP MW VCP	fmn	
unnatISa	unnatīśa	3	MW PWK VCP	m	
unnatatA	unnatatā	1	SCH	-	
unnayAmi	unnayāmi	1	BUR	-	
unnayana	unnayana	8	AP CAE CCS MD MW PWG PWK VCP	fmn	
unnayati	unnayati	1	BHS	-	
unnetram	unnetram	1	AP	-	
unnidraH	unnidraḥ	1	SKD	-	
unnidray	unnidray	2	PWG PWK	-	
unnigala	unnigala	1	SCH	-	
unnodana	unnodana	1	BHS	-	
upADiruh	upādhiruh	1	MW	-	
upADitas	upādhitas	1	MW	-	
upADyAyA	upādhyāyā	2	AP SKD	-	
upADyAyI	upādhyāyī	5	AP MW PWK SCH SKD	f	
upADyAya	upādhyāya	8	BUR CAE CCS MD MW PWG PWK VCP	fmn	
upAKyAna	upākhyāna	8	BUR CAE CCS MD MW PWG PWK VCP	n	
upAMSutA	upāṃśutā	2	MW PWK	fn	
upASnAmi	upāśnāmi	1	BUR	-	
upASnave	upāśnave	1	BUR	-	
upASrama	upāśrama	1	VCP	-	
upASraya	upāśraya	5	MD MW PWG PWK VCP	m	
upASrita	upāśrita	4	AP CAE MW VCP	fmn	
upAYjana	upāñjana	6	CAE MD MW PWG PWK VCP	n	
upAcAraH	upācāraḥ	1	AP	-	
upAcIrRa	upācīrṇa	1	MW	fmn	
upAdAnaM	upādānaṃ	1	SKD	-	
upAdAnam	upādānam	1	AP	-	
upAdAtar	upādātar	1	BHS	m	
upAdIpta	upādīpta	1	MW	fmn	
upAdeyaH	upādeyaḥ	1	SKD	-	
upAdikaH	upādikaḥ	1	AP	-	
upAditsA	upāditsā	3	MW PWG PWK	f	
upAgamaH	upāgamaḥ	2	AP SKD	-	
upAgamya	upāgamya	1	MW	-	
upAgatya	upāgatya	1	MW	-	
upAgfhya	upāgṛhya	1	MW	-	
upAgnikA	upāgnikā	2	AP MW	f	
upAgnika	upāgnika	2	PWG PWK	f	
upAhAraH	upāhāraḥ	1	AP	-	
upAhitaH	upāhitaḥ	2	AP SKD	-	
upAhvaye	upāhvaye	1	BUR	-	
upAjinam	upājinam	1	MW	-	
upAkftaH	upākṛtaḥ	2	AP SKD	-	
upAkftaM	upākṛtaṃ	1	SKD	-	
upAkftam	upākṛtam	1	AP	-	
upAkftin	upākṛtin	3	MW PWG PWK	fmn	
upAkzaka	upākṣaka	1	MW	m	
upAlAlya	upālālya	3	MW PWG PWK	fmn	
upAlaBya	upālabhya	3	MW PWG PWK	fmn	
upAlabDa	upālabdha	2	MW VCP	fmn	
upAlamBa	upālambha	6	CAE CCS MW PWG PWK VCP	mn	
upAliNga	upāliṅga	1	SCH	-	
upAlipsu	upālipsu	3	MW PWK SCH	fmn	
upAmantr	upāmantr	1	MW	-	
upAnahin	upānahin	2	MW PWK	fmn	
upAnatka	upānatka	1	PWK	-	
upAntika	upāntika	7	AP CAE CCS MW PWG PWK VCP	fmn	
upAntima	upāntima	4	AP MW PWK VCP	fmn	
upAntyaH	upāntyaḥ	1	AP	-	
upAntyam	upāntyam	1	AP	-	
upArADya	upārādhya	1	MW	-	
upAramBa	upārambha	2	BHS VCP	m	
upAramaH	upāramaḥ	1	AP	-	
upArizwa	upāriṣṭa	1	BHS	-	
upArjAmi	upārjāmi	1	BUR	-	
upArjaka	upārjaka	2	AP MW	fmn	
upArjanA	upārjanā	2	AP PWK	-	
upArjana	upārjana	6	CAE CCS MD MW PWG PWK	fn	
upArjita	upārjita	2	AP MW	fmn	
upAsAdya	upāsādya	1	MW	-	
upAsTita	upāsthita	3	AP CAE MW	fmn	
upAsaNga	upāsaṅga	5	BUR MW PWG PWK VCP	m	
upAsakaH	upāsakaḥ	2	AP SKD	-	
upAsanaM	upāsanaṃ	1	SKD	-	
upAsanam	upāsanam	1	AP	-	
upAsitaH	upāsitaḥ	1	SKD	-	
upAsitar	upāsitar	2	PWG PWK	-	
upAsitin	upāsitin	1	SCH	-	
upAsnAta	upāsnāta	4	AP MW PWG PWK	n	
upAstram	upāstram	1	AP	-	
upAsyand	upāsyand	1	MW	-	
upAsyatA	upāsyatā	1	AP	-	
upAtyaya	upātyaya	5	BUR MW PWG PWK VCP	m	
upAvaSri	upāvaśri	1	MW	-	
upAvanam	upāvanam	1	MW	-	
upAvaram	upāvaram	1	MW	-	
upAvarte	upāvarte	1	BUR	-	
upAvaruh	upāvaruh	1	MW	-	
upAvasfj	upāvasṛj	1	MW	-	
upAvasfp	upāvasṛp	1	MW	-	
upAvftta	upāvṛtta	6	AP CAE MW PWG PWK VCP	fmn	
upAvftti	upāvṛtti	3	CAE MW PWK	f	
upAvftya	upāvṛtya	1	MW	-	
upAvyADa	upāvyādha	3	MW PWG PWK	m	
upAyAtam	upāyātam	1	AP	-	
upAyajYa	upāyajña	2	AP MW	fmn	
upAyanaM	upāyanaṃ	1	SKD	-	
upAyanam	upāyanam	1	AP	-	
upAyatas	upāyatas	1	MW	-	
upAyatva	upāyatva	1	MW	n	
upAyavat	upāyavat	1	MW	fmn	
upAyavid	upāyavid	1	SCH	-	
upaBaNga	upabhaṅga	7	CAE CCS MD MW PWG PWK VCP	m	
upaBedaH	upabhedaḥ	1	AP	-	
upaBogaH	upabhogaḥ	2	AP SKD	-	
upaBogin	upabhogin	5	AP CAE MW PWG PWK	fmn	
upaBogya	upabhogya	7	AP CAE CCS MW PWG PWK VCP	fmn	
upaBojin	upabhojin	4	MW PWG PWK VCP	fmn	
upaBojya	upabhojya	4	AP MW PWG PWK	fmn	
upaBoktf	upabhoktṛ	2	AP MW	fmn	
upaBukta	upabhukta	2	MW VCP	fmn	
upaBukti	upabhukti	4	MW PWG PWK VCP	f	
upaDAnaM	upadhānaṃ	1	SKD	-	
upaDAnam	upadhānam	1	AP	-	
upaDArin	upadhārin	1	SCH	-	
upaDArya	upadhārya	2	MW PWK	fmn	
upaDAtuH	upadhātuḥ	2	AP SKD	-	
upaDAyin	upadhāyin	5	AP MW PWG PWK VCP	fmn	
upaDarma	upadharma	6	BHS CAE MD MW PWG PWK	m	
upaDftiH	upadhṛtiḥ	2	AP SKD	f	
upaDikaH	upadhikaḥ	1	AP	-	
upaDmAna	upadhmāna	3	MW PWG VCP	n	
upaDvaMs	upadhvaṃs	1	MW	-	
upaDyAmi	upadhyāmi	1	BUR	-	
upaDyAta	upadhyāta	1	MW	fmn	
upaGAtaH	upaghātaḥ	2	AP SKD	-	
upaGAtam	upaghātam	2	MW PWK	-	
upaGAtin	upaghātin	6	AP CAE MW PWG PWK VCP	fmn	
upaGrAta	upaghrāta	1	MW	fmn	
upaGuzwa	upaghuṣṭa	3	AP BUR MW	fmn	
upaKAtam	upakhātam	3	MW PWG PWK	-	
upaKilam	upakhilam	1	AP	-	
upaSAKin	upaśākhin	1	SCH	-	
upaSAlam	upaśālam	2	AP MW	-	
upaSAntA	upaśāntā	1	BHS	-	
upaSAnta	upaśānta	5	AP BHS CAE INM MW	fmn	
upaSAnti	upaśānti	8	BUR CAE CCS MD MW PWG PWK VCP	f	
upaSAntv	upaśāntv	1	MW	-	
upaSAyaH	upaśāyaḥ	2	AP SKD	-	
upaSAyin	upaśāyin	6	AP MD MW PWG PWK VCP	fmn	
upaSIvan	upaśīvan	1	MW	-	
upaSUnam	upaśūnam	2	PWG PWK	-	
upaSalya	upaśalya	6	BUR MD MW PWG PWK VCP	mn	
upaSamaH	upaśamaḥ	2	AP SKD	-	
upaSayaH	upaśayaḥ	2	AP SKD	-	
upaScyut	upaścyut	1	MW	-	
upaSikzA	upaśikṣā	7	AP CAE MD MW PWG PWK VCP	f	
upaSiras	upaśiras	2	MW PWK	-	
upaSizwa	upaśiṣṭa	1	BHS	-	
upaSizya	upaśiṣya	4	MW PWG PWK VCP	m	
upaSlAGA	upaślāghā	3	MW PWG PWK	fn	
upaSleza	upaśleṣa	5	MD MW PWG PWK VCP	m	
upaSloka	upaśloka	3	MW PWG PWK	m	
upaSloki	upaśloki	1	VCP	-	
upaSoBin	upaśobhin	4	CAE MW PWG PWK	fmn	
upaSozaH	upaśoṣaḥ	1	AP	-	
upaSrava	upaśrava	1	BHS	mn	
upaSrita	upaśrita	1	MW	fmn	
upaSrotf	upaśrotṛ	3	AP GRA MW	m	
upaSruta	upaśruta	3	AP BUR MW	fmn	
upaSruti	upaśruti	6	GRA INM MW PWG PWK VCP	fm	
upaSunam	upaśunam	3	MW PWG PWK	-	
upaSuzka	upaśuṣka	3	MW PWK SCH	fmn	
upaSvasa	upaśvasa	5	AP MW PWG PWK SCH	m	
upabAhuH	upabāhuḥ	1	AP	-	
upabAhyA	upabāhyā	1	PWK	-	
upabadDa	upabaddha	1	MW	fmn	
upabanDa	upabandha	5	MD MW PWG PWK VCP	mn	
upabarha	upabarha	6	CAE MW PWG PWK SCH VCP	m	
upabilam	upabilam	3	MW PWK SCH	-	
upabindu	upabindu	3	BHS MW PWK	m	
upablaya	upablaya	2	MW PWG	m	
upacArAt	upacārāt	1	MW	-	
upacAraH	upacāraḥ	1	AP	-	
upacArin	upacārin	5	AP MD MW PWG PWK	fmn	
upacAryA	upacāryā	1	MW	f	
upacArya	upacārya	4	AP MW PWG PWK	fmn	
upacAyin	upacāyin	5	AP MW PWG PWK VCP	fmn	
upacAyya	upacāyya	4	MW PWG PWK VCP	m	
upacCand	upacchand	2	AP MW	-	
upacCeda	upaccheda	1	BHS	m	
upacIrRa	upacīrṇa	1	MW	fmn	
upacakra	upacakra	4	MW PWG PWK VCP	m	
upacaraH	upacaraḥ	1	AP	-	
upacarma	upacarma	4	AP MW PWG PWK	-	
upacaryA	upacaryā	3	AP CAE MW	f	
upacarya	upacarya	5	AP CCS MW PWG PWK	fmn	
upacayaH	upacayaḥ	2	AP SKD	-	
upacillI	upacillī	1	AP	-	
upacitaH	upacitaḥ	1	SKD	-	
upacitiH	upacitiḥ	1	AP	f	
upacitrA	upacitrā	5	AP BUR MW SKD VCP	f	
upacitra	upacitra	8	AP BHS INM MW PWG PWK SCH VCP	fmn	
upacyava	upacyava	6	GRA MW PWG PWK SCH VCP	m	
upadAnam	upadānam	1	AP	-	
upadAtar	upadātar	2	PWG PWK	-	
upadIkar	upadīkar	1	PWG	-	
upadaMSa	upadaṃśa	5	BUR MW PWG PWK VCP	m	
upadaSya	upadaśya	1	MW	-	
upadadya	upadadya	1	MW	-	
upadagDa	upadagdha	1	MW	fmn	
upadasta	upadasta	1	MW	-	
upadeSaH	upadeśaḥ	2	AP SKD	-	
upadeSia	upadeśia	1	PWK	-	
upadeSin	upadeśin	7	AP CAE CCS MW PWG PWK VCP	fmn	
upadeSya	upadeśya	4	MW PWG PWK VCP	fmn	
upadehaH	upadehaḥ	1	AP	-	
upadevaH	upadevaḥ	1	AP	-	
upadezwA	upadeṣṭā	1	SKD	-	
upadezwf	upadeṣṭṛ	3	AP MW VCP	m	
upadfzad	upadṛṣad	3	MW PWG VCP	-	
upadfzwi	upadṛṣṭi	1	MW	f	
upadiSam	upadiśam	2	MW PWK	-	
upadiSya	upadiśya	3	AP MW VCP	-	
upadigDa	upadigdha	3	AP CAE MW	fmn	
upadizwa	upadiṣṭa	5	AP MW PWG PWK VCP	fmn	
upadohaH	upadohaḥ	1	AP	-	
upadrava	upadrava	8	BUR CAE CCS MD MW PWG PWK VCP	fm	
upadruta	upadruta	5	AP MW PWG PWK VCP	fmn	
upadvAra	upadvāra	3	MW PWG PWK	n	
upadvIpa	upadvīpa	3	MW PWG PWK	m	
upagAmin	upagāmin	6	AP MD MW PWG PWK VCP	fmn	
upagAnam	upagānam	1	AP	-	
upagAtar	upagātar	2	PWG PWK	-	
upagItiH	upagītiḥ	1	AP	f	
upagUQam	upagūḍham	1	AP	-	
upagUhya	upagūhya	1	MW	-	
upagaRaH	upagaṇaḥ	1	AP	-	
upagamaH	upagamaḥ	2	AP SKD	-	
upagamya	upagamya	4	MW PWG PWK VCP	fmn	
upagantf	upagantṛ	2	AP VCP	-	
upagataH	upagataḥ	1	SKD	-	
upagatam	upagatam	1	AP	-	
upagatiH	upagatiḥ	1	AP	f	
upagatya	upagatya	2	MW VCP	-	
upageyam	upageyam	1	AP	-	
upagfhya	upagṛhya	1	MW	-	
upagiram	upagiram	4	AP MW PWG PWK	-	
upagiriH	upagiriḥ	1	AP	-	
upagohya	upagohya	5	AP MW PWG PWK VCP	fmn	
upagrAha	upagrāha	5	CAE MW PWG PWK VCP	m	
upagraha	upagraha	7	CAE MD MW PWG PWK SCH VCP	m	
upagranT	upagranth	1	MW	-	
upaguhya	upaguhya	1	MW	-	
upagupta	upagupta	6	AP BHS BUR MW PWG PWK	fmn	
upaguruH	upaguruḥ	1	AP	-	
upahAraH	upahāraḥ	2	AP SKD	-	
upahArin	upahārin	3	AP MW SCH	fmn	
upahArya	upahārya	4	CAE MW PWG PWK	fmn	
upahAsaH	upahāsaḥ	2	AP SKD	-	
upahAsin	upahāsin	4	CAE MW PWG PWK	fmn	
upahAsya	upahāsya	6	AP CAE MW PWG PWK VCP	fmn	
upahUtiH	upahūtiḥ	1	AP	f	
upahanmi	upahanmi	1	BUR	-	
upahantf	upahantṛ	3	AP MW VCP	fmn	
upahartf	upahartṛ	3	AP CAE MW	fmn	
upahasta	upahasta	4	MW PWG PWK VCP	m	
upahasti	upahasti	1	VCP	-	
upahataH	upahataḥ	1	SKD	-	
upahatiH	upahatiḥ	1	AP	f	
upahatnu	upahatnu	8	AP CAE CCS GRA MW PWG PWK VCP	fmn	
upahatyA	upahatyā	4	AP MW PWG PWK	f	
upahatya	upahatya	1	BHS	-	
upahavaH	upahavaḥ	1	AP	-	
upahavya	upahavya	4	MW PWG PWK VCP	m	
upahftya	upahṛtya	1	MW	-	
upahitiH	upahitiḥ	1	AP	f	
upahomaH	upahomaḥ	1	AP	-	
upahvAna	upahvāna	4	MW PWG PWK VCP	n	
upahvara	upahvara	10	BUR CAE CCS GRA MD MW PWG PWK VCP VEI	mn	
upahvaye	upahvaye	1	BUR	-	
upajApaH	upajāpaḥ	2	AP SKD	-	
upajAtiH	upajātiḥ	1	AP	f	
upajIkaH	upajīkaḥ	1	AP	-	
upajIvin	upajīvin	7	AP CAE CCS MW PWG PWK VCP	fmn	
upajIvya	upajīvya	6	AP CAE MW PWG PWK VCP	fmn	
upajYAta	upajñāta	3	AP MW VCP	fmn	
upajanaH	upajanaḥ	1	AP	-	
upajanam	upajanam	4	AP MW PWK SCH	-	
upajapta	upajapta	1	MW	fmn	
upajapya	upajapya	6	AP MD MW PWG PWK VCP	fmn	
upajihvA	upajihvā	9	AP BUR CAE MD MW PWG PWK SKD VCP	f	
upajozaH	upajoṣaḥ	1	AP	-	
upajozam	upajoṣam	7	AP BUR MD MW PWG SKD VCP	-	
upajuzwa	upajuṣṭa	1	AP	-	
upakAraH	upakāraḥ	2	AP SKD	-	
upakArin	upakārin	4	AP MW PWG PWK	fmn	
upakAryA	upakāryā	2	AP MW	f	
upakArya	upakārya	5	AP CAE MW PWG PWK	fmn	
upakIrRa	upakīrṇa	2	AP MW	fmn	
upakUlam	upakūlam	4	AP MW PWG PWK	-	
upakUpaH	upakūpaḥ	1	AP	-	
upakUpam	upakūpam	1	AP	-	
upakaRWI	upakaṇṭhī	1	SCH	-	
upakaRWa	upakaṇṭha	9	AP BUR CAE CCS MW PWG PWK SCH VCP	fmn	
upakakza	upakakṣa	8	AP CAE CCS GRA MD MW PWG PWK	fmn	
upakalpa	upakalpa	4	MW PWG PWK VCP	m	
upakalpe	upakalpe	1	BUR	-	
upakanyA	upakanyā	5	AP MW PWG PWK VCP	f	
upakarRa	upakarṇa	1	PWG	-	
upakartf	upakartṛ	4	AP CAE MD MW	fm	
upakaryA	upakaryā	1	AP	-	
upakftam	upakṛtam	1	AP	-	
upakftiH	upakṛtiḥ	1	AP	f	
upakftin	upakṛtin	3	MW PWG PWK	fmn	
upakfzRa	upakṛṣṇa	4	MW PWG PWK VCP	fmn	
upakleSa	upakleśa	5	BHS MW PWG PWK VCP	m	
upakleda	upakleda	1	BHS	m	
upakrIqA	upakrīḍā	5	AP MD MW PWG PWK	f	
upakrIya	upakrīya	1	MW	-	
upakrama	upakrama	10	BHS BUR CAE CCS MD MW PWG PWK SCH VCP	fmn	
upakriyA	upakriyā	8	AP CAE CCS MD MW PWG PWK VCP	f	
upakroSa	upakrośa	6	BUR MD MW PWG PWK VCP	mn	
upakuSaH	upakuśaḥ	1	AP	-	
upakuYci	upakuñci	5	BUR MW PWG PWK VCP	f	
upakulyA	upakulyā	7	AP BUR MW PWG PWK SKD VCP	f	
upakumBA	upakumbhā	1	MW	f	
upakumBa	upakumbha	4	AP BUR MW PWK	fmn	
upakumBe	upakumbhe	1	MW	-	
upakvARa	upakvāṇa	2	MW VCP	-	
upakvaRa	upakvaṇa	5	BUR MW PWG PWK VCP	m	
upakvasa	upakvasa	4	MW PWG PWK VEI	m	
upakxpta	upakḷpta	5	AP BUR CAE MW VCP	fmn	
upakzIRa	upakṣīṇa	3	AP MW VCP	fmn	
upakzaya	upakṣaya	9	AP CAE CCS INM MD MW PWG PWK VCP	m	
upakzepa	upakṣepa	8	CAE CCS MD MW PWG PWK SCH VCP	mn	
upakzetf	upakṣetṛ	3	AP GRA MW	fmn	
upakzita	upakṣita	1	MW	-	
upalaBya	upalabhya	6	AP MD MW PWG PWK VCP	fmn	
upalabDa	upalabdha	4	AP BHS MW VCP	fmn	
upalabDf	upalabdhṛ	3	AP MW VCP	fmn	
upalabDi	upalabdhi	7	CAE CCS MD MW PWG PWK VCP	f	
upalagna	upalagna	1	BHS	-	
upalakaH	upalakaḥ	1	AP	-	
upalakza	upalakṣa	3	MW PWG PWK	m	
upalamBa	upalambha	7	BHS CAE CCS MW PWG PWK VCP	fm	
upalamba	upalamba	1	SCH	-	
upaleKaH	upalekhaḥ	1	AP	-	
upalepaH	upalepaḥ	1	AP	-	
upalepin	upalepin	4	AP MW PWG PWK	fmn	
upaliKya	upalikhya	1	MW	-	
upaliNga	upaliṅga	6	BUR MW PWG PWK SCH VCP	n	
upalipsA	upalipsā	5	AP MD MW PWG PWK	f	
upalipsu	upalipsu	3	MW PWG PWK	fmn	
upalipta	upalipta	1	MW	fmn	
upalipya	upalipya	1	MW	-	
upaloham	upaloham	1	AP	-	
upamAdaH	upamādaḥ	1	AP	-	
upamAnaM	upamānaṃ	1	SKD	-	
upamAnam	upamānam	1	AP	-	
upamAsya	upamāsya	5	AP MW PWG PWK VCP	fmn	
upamAtar	upamātar	3	PWG PWK SCH	f	
upamAtiH	upamātiḥ	1	AP	fm	
upamUlam	upamūlam	3	MW PWG PWK	-	
upamaTya	upamathya	1	MW	-	
upamadgu	upamadgu	4	MW PWG PWK VCP	m	
upamantr	upamantr	2	AP MW	-	
upamanyu	upamanyu	11	AP CAE CCS GRA INM MD MW PWG PWK VCP VEI	fmn	
upamarda	upamarda	7	BHS BUR CAE MD MW PWG PWK	mn	
upametaH	upametaḥ	2	AP SKD	-	
upameyam	upameyam	1	AP	-	
upamitiH	upamitiḥ	2	AP SKD	f	
upamitra	upamitra	3	MW PWG PWK	n	
upamuKam	upamukham	2	MW PWK	-	
upanAhaH	upanāhaḥ	2	AP SKD	-	
upanAhin	upanāhin	1	BHS	-	
upanAman	upanāman	2	AP MW	n	
upanAyaH	upanāyaḥ	2	AP SKD	-	
upanAyin	upanāyin	3	MW PWK SCH	fmn	
upanItaH	upanītaḥ	2	AP SKD	-	
upanItiH	upanītiḥ	1	AP	f	
upanaKam	upanakham	1	AP	-	
upanadDa	upanaddha	2	AP MW	fmn	
upanadaM	upanadaṃ	1	SKD	-	
upanadam	upanadam	3	MW PWG PWK	-	
upanamra	upanamra	3	AP MW PWK	fmn	
upananda	upananda	6	BHS INM MW PWG PWK VCP	m	
upanataH	upanataḥ	1	SKD	-	
upanatiH	upanatiḥ	1	AP	f	
