hint	n_shared_dicts	fem_slp1	fem_iast	fem_gloss_MW	masc_slp1	masc_iast	masc_gloss_MW	ending
likely-distinct	1	SvetakandA	śvetakandā	Aconitum Ferox	Svetakanda	śvetakanda	Allium Cepa or Ascalonicum	ā
likely-distinct	1	SvetavAhI	śvetavāhī	the wife of I˚	SvetavAhin	śvetavāhin	‘borne by white horses’, N. of Arjuna	ī
likely-distinct	1	aDimuktikA	adhimuktikā	(not in MW)	aDimuktika	adhimuktika	N. of Mahā-kāla	ā
likely-distinct	1	aRqikA	aṇḍikā	N. of a weight (= 4 yava	aRqika	aṇḍika	fever in an elephant or lion	ā
likely-distinct	1	aSlezA	aśleṣā	N. of the seventh (in later times the ninth) lunar mansion (containing five stars	aSleza	aśleṣa	(not in MW)	ā
likely-distinct	1	agnidevA	agnidevā	= -nakzatra/, q.v.	agnideva	agnideva	Agni	ā
likely-distinct	1	alpapuzpakA	alpapuṣpakā	the small Banana	alpapuzpaka	alpapuṣpaka	‘small-flowered’, the Tilaka tree	ā
likely-distinct	1	amBaHSyAmAkA	ambhaḥśyāmākā	(not in MW)	amBaHSyAmAka	ambhaḥśyāmāka	water hair-grass	ā
likely-distinct	1	araqA	araḍā	N. of a goddess	araqa	araḍa	a tree	ā
likely-distinct	1	asurendrA	asurendrā	(not in MW)	asurendra	asurendra	lord of the Asuras	ā
likely-distinct	1	avacUqA	avacūḍā	a pendent tuft or garland (an ornament of peacock feathers hanging down	avacUqa	avacūḍa	the pendent crest or streamer of a standard	ā
likely-distinct	1	avantisenA	avantisenā	(not in MW)	avantisena	avantisena	N. of a man	ā
likely-distinct	1	brahmadaRqI	brahmadaṇḍī	a species of plant	brahmadaRqin	brahmadaṇḍin	N. of a sage	ī
likely-distinct	1	candrasamBavA	candrasambhavā	small cardamoms	candrasamBava	candrasambhava	= -ja	ā
likely-distinct	1	carpawI	carpaṭī	a thin biscuit of flour (cf. parp˚	carpawin	carpaṭin	N. of the author of the Rasacandrodaya	ī
