lemma_slp1	root_slp1	how
parivIjay	vIjay	suffix
parivaYc	vaYc	suffix
parivaYcay	vaYcay	suffix
parivac	vac	suffix
parivad	vad	suffix
parivah	vah	suffix
parivand	vand	suffix
parivap	vap	suffix
parivarDay	varDay	suffix
parivarRay	varRay	suffix
parivarjay	varjay	suffix
parivartay	vartay	suffix
parivas	vas	suffix
parive	ve	suffix
pariveSay	veSay	suffix
parivellay	vellay	suffix
pariveviz	veviz	suffix
parivezay	vezay	suffix
parivezw	vezw	suffix
parivezway	vezway	suffix
parivf	vf	suffix
parivfD	vfD	suffix
parivfh	vfh	suffix
parivfj	vfj	suffix
parivft	vft	suffix
parivfz	vfz	suffix
pariviBAvay	BAvay	suffix
pariviDAv	DAv	suffix
pariviS	viS	suffix
pariviSram	Sram	suffix
pariviSvAsay	SvAsay	suffix
pariviSvas	Svas	suffix
parivicar	car	suffix
parivid	vid	suffix
parivijan	jan	suffix
parivikzan	kzan	suffix
parivirAj	parivirAj	self
parivistf	stf	suffix
parivivas	vas	suffix
parivivraj	vivraj	suffix
pariviz	viz	suffix
parivraSc	vraSc	suffix
parivraj	vraj	suffix
parivyAvfj	vfj	suffix
parivyaD	vyaD	suffix
parivyaT	vyaT	suffix
parivye	vye	suffix
pariyA	yA	suffix
pariyaj	yaj	suffix
pariyam	yam	suffix
pariyantray	yantray	suffix
pariyat	yat	suffix
pariyojay	yojay	suffix
parizA	parizA	unresolved
parizIv	parizIv	unresolved
parizU	parizU	unresolved
parizWA	parizWA	unresolved
parizWApay	Apay	suffix
parizaYj	aYj	suffix
parizad	ad	suffix
parizah	ah	suffix
parizecay	parizecay	unresolved
parizev	parizev	unresolved
parizic	parizic	unresolved
parizkand	and	suffix
parizkf	kf	suffix
parizvaj	vaj	suffix
parizwamB	parizwamB	self
parizwoBay	parizwoBay	unresolved
parizwu	parizwu	unresolved
parizwuB	uB	suffix
parizyanday	day	suffix
paruzIBU	BU	suffix
paruzIkf	kf	suffix
paruzay	paruzay	self
parvatIkf	kf	suffix
paryABU	BU	suffix
paryABf	Bf	suffix
paryADA	DA	suffix
paryARAyay	Ayay	suffix
paryARI	paryARI	unresolved
paryARah	ah	suffix
paryASlezay	Slezay	suffix
paryASvAsay	SvAsay	suffix
paryASvas	Svas	suffix
paryAcam	cam	suffix
paryAcar	car	suffix
paryAcikIrz	paryAcikIrz	self
paryAdA	dA	suffix
paryAdru	dru	suffix
paryAgA	gA	suffix
paryAgal	gal	suffix
paryAgam	gam	suffix
paryAhf	hf	suffix
paryAhve	ve	suffix
paryAkf	kf	suffix
paryAkram	kram	suffix
paryAkulIBU	BU	suffix
paryAkulIkf	kf	suffix
paryAkulay	Akulay	suffix
paryAkzip	kzip	suffix
paryAlaB	laB	suffix
paryAlocay	locay	suffix
paryAmfS	mfS	suffix
paryAmuc	muc	suffix
paryAp	Ap	suffix
paryApad	pad	suffix
paryApat	pat	suffix
paryAplAvay	plAvay	suffix
paryAplu	paryAplu	self
paryAruh	ruh	suffix
paryAs	As	suffix
paryAsic	paryAsic	self
paryAtan	tan	suffix
paryAvah	paryAvah	self
paryAvap	vap	suffix
paryAvartay	vartay	suffix
paryAvf	vf	suffix
paryAvft	vft	suffix
paryAvivfts	vivfts	suffix
paryAway	Away	suffix
paryAyA	yA	suffix
paryAyApay	paryAyApay	self
paryAyu	yu	suffix
paryUh	yUh	suffix
paryaNKay	aNKay	suffix
paryaNkIkf	kf	suffix
paryaS	aS	suffix
paryaYc	aYc	suffix
paryaYj	aYj	suffix
paryagnikf	nikf	suffix
paryah	ah	suffix
paryam	yam	suffix
paryantIkf	kf	suffix
paryanunI	nI	suffix
paryanuveday	veday	suffix
paryanuyuj	yuj	suffix
paryanviz	viz	suffix
paryas	yas	suffix
paryavAp	Ap	suffix
paryavaDA	DA	suffix
paryavaSiz	Siz	suffix
paryavacCid	Cid	suffix
paryavado	do	suffix
paryavajYA	jYA	suffix
paryavakf	kf	suffix
paryavalup	paryavalup	self
paryavanah	nah	suffix
paryavanud	nud	suffix
paryavaropay	ropay	suffix
paryavasA	sA	suffix
paryavasTA	sTA	suffix
paryavasTApay	sTApay	suffix
paryavasfp	sfp	suffix
paryavazwamB	paryavazwamB	unresolved
paryave	ve	suffix
paryavekz	paryavekz	unresolved
paryaw	aw	suffix
parye	parye	unresolved
paryezay	ezay	suffix
paryfz	fz	suffix
paryudas	das	suffix
paryudvij	vij	suffix
paryukz	ukz	suffix
paryunnI	paryunnI	self
paryupAs	As	suffix
paryupAvft	vft	suffix
paryupaBuj	Buj	suffix
paryupahvA	hvA	suffix
paryupalip	lip	suffix
paryupasTA	sTA	suffix
paryupasad	sad	suffix
paryupaspfS	spfS	suffix
paryupaviS	viS	suffix
paryupe	paryupe	unresolved
paryutTA	paryutTA	unresolved
paryutpAtay	pAtay	suffix
paryutsfj	sfj	suffix
pat	pat	self
patIy	patIy	self
patay	patay	self
pattIy	pattIy	self
pattIyApay	pattIyApay	self
pattalIBU	BU	suffix
pattalIkf	kf	suffix
pattrIBU	BU	suffix
pattrIkf	kf	suffix
pattray	pattray	self
paty	paty	self
pavay	pavay	self
pavitrIkf	kf	suffix
pavitray	pavitray	self
paw	paw	self
pay	pay	self
peSIkf	kf	suffix
pepIy	pepIy	self
pepiS	pepiS	self
pezay	pezay	self
pf	pf	self
pfR	pfR	self
pfTUkf	kf	suffix
pfTakkf	kf	suffix
pfTulay	pfTulay	self
pfc	pfc	self
pfkz	pfkz	self
pftanAy	pftanAy	self
pftany	pftany	self
piDA	DA	suffix
piDApay	DApay	suffix
piNgIkf	kf	suffix
piRqIBU	BU	suffix
piRqIkf	kf	suffix
piRqay	piRqay	self
piS	piS	self
piSaNgay	piSaNgay	self
piSunay	piSunay	self
piYjarIkf	kf	suffix
piYjaray	piYjaray	self
pibd	pibd	self
picCilay	picCilay	self
pillIBU	BU	suffix
pinI	nI	suffix
pinah	nah	suffix
pinv	pinv	self
pinvay	pinvay	self
pipAdayiz	pipAdayiz	self
pipAs	pipAs	self
pipAyiz	pipAyiz	self
pipIz	pipIz	self
pipatiz	pipatiz	self
piprIz	piprIz	self
pitUy	pitUy	self
piz	piz	self
pizwIBU	BU	suffix
pizwIkf	kf	suffix
plAvay	plAvay	self
plavAy	plavAy	self
plu	plu	self
pluz	pluz	self
poTay	poTay	self
poplUy	poplUy	self
popruT	popruT	self
potay	potay	self
pozay	pozay	self
prA	prA	self
prABU	BU	suffix
prABf	Bf	suffix
prABftIkf	kf	suffix
prABiRI	prABiRI	unresolved
prADI	DI	suffix
prAR	rAR	suffix
prARAy	prARAy	self
prARI	prARI	unresolved
prAS	prAS	unresolved
prASay	ASay	suffix
prASvAsay	SvAsay	suffix
prAYj	prAYj	unresolved
prAYjalIBU	BU	suffix
prAd	prAd	unresolved
prAdA	dA	suffix
prAdru	dru	suffix
prAdurBAvay	BAvay	suffix
prAdurBU	BU	suffix
prAduras	ras	suffix
prAduzkf	kf	suffix
prAh	prAh	unresolved
prAhf	hf	suffix
prAhi	hi	suffix
prAj	rAj	suffix
prAjan	jan	suffix
prAkamp	kamp	suffix
prAkf	kf	suffix
prAkrIq	krIq	suffix
prAkruS	kruS	suffix
prAlaB	laB	suffix
prAp	Ap	suffix
prApay	Apay	suffix
prArTay	prArTay	unresolved
prAraB	raB	suffix
prArc	prArc	unresolved
prArday	day	suffix
prArh	prArh	unresolved
prArjay	prArjay	unresolved
prArpay	pay	suffix
prAruh	ruh	suffix
prAs	As	suffix
prAv	prAv	unresolved
prAvanij	nij	suffix
prAvartay	vartay	suffix
prAvasA	sA	suffix
prAveSay	veSay	suffix
prAvf	vf	suffix
prAvfj	vfj	suffix
prAviS	viS	suffix
prAvizkf	kf	suffix
prAyA	yA	suffix
prAyaScittIy	prAyaScittIy	self
prAyam	yam	suffix
prAyuD	yuD	suffix
prI	prI	self
prIRay	prIRay	self
praBA	BA	suffix
praBAs	BAs	suffix
praBAsay	BAsay	suffix
praBAvay	BAvay	suffix
praBAz	BAz	suffix
praBAzay	BAzay	suffix
praBI	BI	suffix
praBU	BU	suffix
praBUz	BUz	suffix
praBaYj	BaYj	suffix
praBaj	Baj	suffix
praBakz	Bakz	suffix
praBakzay	Bakzay	suffix
praBaz	Baz	suffix
praBeday	Beday	suffix
praBf	Bf	suffix
praBid	Bid	suffix
praBrAj	BrAj	suffix
praBrAmay	BrAmay	suffix
praBraMS	BraMS	suffix
praBraMSay	BraMSay	suffix
praBram	Bram	suffix
praBuj	Buj	suffix
praDA	DA	suffix
praDApay	DApay	suffix
praDAray	DAray	suffix
praDAv	DAv	suffix
praDAvay	DAvay	suffix
praDI	DI	suffix
praDU	DU	suffix
praDUpay	DUpay	suffix
praDam	Dam	suffix
praDanv	Danv	suffix
praDarzay	Darzay	suffix
praDf	Df	suffix
praDfz	Dfz	suffix
praDmApay	DmApay	suffix
praDraj	praDraj	self
praDvaMs	DvaMs	suffix
praDvaMsay	DvaMsay	suffix
praDvan	Dvan	suffix
praDvanay	Dvanay	suffix
praDyA	DyA	suffix
praGAtay	GAtay	suffix
praGAway	GAway	suffix
praGar	Gar	suffix
praGarzay	Garzay	suffix
praGaw	Gaw	suffix
praGf	Gf	suffix
praGfz	Gfz	suffix
praGozay	Gozay	suffix
praGrA	GrA	suffix
praGuz	Guz	suffix
praKAd	KAd	suffix
praKalIkf	kf	suffix
praKan	Kan	suffix
praKid	Kid	suffix
praKud	Kud	suffix
praKyA	KyA	suffix
praKyApay	KyApay	suffix
praQAlay	QAlay	suffix
praRASay	ASay	suffix
praRAmay	Amay	suffix
praRI	praRI	unresolved
praRU	praRU	unresolved
praRaS	aS	suffix
praRad	ad	suffix
praRam	am	suffix
praRamay	may	suffix
praRayIBU	BU	suffix
praRed	praRed	unresolved
praRenij	nij	suffix
praRiDA	DA	suffix
praRiDyA	DyA	suffix
praRidA	dA	suffix
praRigad	gad	suffix
praRihan	han	suffix
praRij	praRij	unresolved
praRijYA	jYA	suffix
praRikz	praRikz	unresolved
praRinad	nad	suffix
praRind	praRind	unresolved
praRipAtay	pAtay	suffix
praRipat	pat	suffix
praRoday	day	suffix
praRu	praRu	unresolved
praRud	praRud	unresolved
praSAmay	SAmay	suffix
praSAs	SAs	suffix
praSAsay	SAsay	suffix
praSAtay	SAtay	suffix
praSI	SI	suffix
praSaMs	SaMs	suffix
praSaMsay	SaMsay	suffix
praSaNk	SaNk	suffix
praSak	Sak	suffix
praSam	Sam	suffix
praSamay	Samay	suffix
praScotay	praScotay	self
praScut	Scut	suffix
praSf	Sf	suffix
praSiz	Siz	suffix
praSnay	praSnay	self
praSoBay	SoBay	suffix
praSoDay	SoDay	suffix
praSozay	Sozay	suffix
praSrAvay	SrAvay	suffix
praSri	Sri	suffix
praSru	Sru	suffix
praSuB	SuB	suffix
praSuc	Suc	suffix
praSuz	Suz	suffix
praSvAsay	SvAsay	suffix
praSvas	Svas	suffix
praSvi	Svi	suffix
praT	praT	self
praTay	praTay	self
prabAD	bAD	suffix
prabadbaD	badbaD	suffix
prabalay	balay	suffix
prabanD	banD	suffix
prabanDay	banDay	suffix
prabiBAvayiz	prabiBAvayiz	self
praboDay	boDay	suffix
prabrU	brU	suffix
prabuD	buD	suffix
pracAkaS	cAkaS	suffix
pracAlay	cAlay	suffix
pracAray	cAray	suffix
pracC	pracC	self
pracCA	CA	suffix
pracCAday	CAday	suffix
pracCad	Cad	suffix
pracCarday	Carday	suffix
pracCeday	Ceday	suffix
pracCid	Cid	suffix
pracUrRay	cUrRay	suffix
pracakz	cakz	suffix
pracal	cal	suffix
pracalay	calay	suffix
pracar	car	suffix
pracetay	cetay	suffix
pracft	cft	suffix
praci	ci	suffix
pracintay	cintay	suffix
pracit	cit	suffix
pracoday	coday	suffix
pracud	cud	suffix
pracurIBU	BU	suffix
pracyAvay	cyAvay	suffix
pracyotay	cyotay	suffix
pracyu	cyu	suffix
pradA	dA	suffix
pradApay	dApay	suffix
pradAray	dAray	suffix
pradIdI	dIdI	suffix
pradIkz	dIkz	suffix
pradIp	dIp	suffix
pradIpay	dIpay	suffix
pradIv	dIv	suffix
pradUzay	dUzay	suffix
pradaG	daG	suffix
pradah	dah	suffix
pradakziRIkf	kf	suffix
pradamay	damay	suffix
pradarSay	darSay	suffix
pradas	das	suffix
pradediS	dediS	suffix
pradehay	dehay	suffix
pradf	df	suffix
pradfS	dfS	suffix
pradfp	dfp	suffix
pradiS	diS	suffix
pradih	dih	suffix
pradits	dits	suffix
pradoDu	doDu	suffix
pradrAvay	drAvay	suffix
pradru	dru	suffix
pradu	du	suffix
praduh	duh	suffix
praduz	duz	suffix
pradviz	dviz	suffix
pradyotay	dyotay	suffix
pradyut	dyut	suffix
pragA	gA	suffix
pragAh	gAh	suffix
pragAlay	gAlay	suffix
pragaRay	gaRay	suffix
pragad	gad	suffix
pragal	gal	suffix
pragalB	galB	suffix
pragam	gam	suffix
pragarj	garj	suffix
pragf	gf	suffix
praglA	glA	suffix
pragopay	gopay	suffix
pragrAhay	grAhay	suffix
pragrah	grah	suffix
pragranT	granT	suffix
pragras	gras	suffix
praguRIBU	BU	suffix
praguh	guh	suffix
pragup	gup	suffix
pragur	gur	suffix
prahA	hA	suffix
prahApay	hApay	suffix
prahAray	hAray	suffix
prahAsay	hAsay	suffix
prahAvay	prahAvay	self
prahan	han	suffix
praharaRIkf	kf	suffix
praharzay	harzay	suffix
prahas	has	suffix
prahf	hf	suffix
prahfz	hfz	suffix
prahi	hi	suffix
prahiMs	hiMs	suffix
prahlAd	hlAd	suffix
prahlAday	hlAday	suffix
prahu	hu	suffix
prahvA	hvA	suffix
prahvIBU	BU	suffix
prahvIkf	kf	suffix
prajAgaray	jAgaray	suffix
prajAgf	jAgf	suffix
prajAray	jAray	suffix
prajIv	jIv	suffix
prajU	jU	suffix
prajYA	jYA	suffix
prajYApay	jYApay	suffix
prajYapay	jYapay	suffix
prajalp	jalp	suffix
prajan	jan	suffix
prajanay	janay	suffix
prajap	jap	suffix
prajfmB	jfmB	suffix
praji	ji	suffix
prajigAMs	jigAMs	suffix
prajihIrz	jihIrz	suffix
prajijYAs	jijYAs	suffix
prajijaniz	jijaniz	suffix
prajinv	jinv	suffix
prajuz	juz	suffix
prajvAlay	jvAlay	suffix
prajval	jval	suffix
prajvalay	jvalay	suffix
praj￞	praj￞	unresolved
prakANkz	kANkz	suffix
prakAS	kAS	suffix
prakASIkf	kf	suffix
prakASay	kASay	suffix
prakAlay	kAlay	suffix
prakAmay	kAmay	suffix
prakAray	kAray	suffix
prakIrtay	kIrtay	suffix
prakSA	kSA	suffix
prakUj	kUj	suffix
prakUrd	kUrd	suffix
prakaTay	kaTay	suffix
prakalpay	kalpay	suffix
prakamp	kamp	suffix
prakampay	kampay	suffix
prakarzay	karzay	suffix
prakawIBU	BU	suffix
prakawIkf	kf	suffix
prakaway	prakaway	self
prakf	kf	suffix
prakft	kft	suffix
prakfz	kfz	suffix
prakleSay	kleSay	suffix
prakleday	kleday	suffix
praklid	klid	suffix
prakopay	kopay	suffix
prakrAmay	krAmay	suffix
prakrIq	krIq	suffix
prakrIqay	krIqay	suffix
prakram	kram	suffix
prakramay	kramay	suffix
prakrand	krand	suffix
prakroSay	kroSay	suffix
prakruD	kruD	suffix
prakruS	kruS	suffix
prakup	kup	suffix
prakuw	kuw	suffix
prakuwway	kuwway	suffix
prakvATay	kvATay	suffix
prakvaR	kvaR	suffix
prakvaT	kvaT	suffix
prakzA	kzA	suffix
prakzAlay	kzAlay	suffix
prakzAray	kzAray	suffix
prakzapay	kzapay	suffix
prakzar	kzar	suffix
prakzepay	kzepay	suffix
prakzi	kzi	suffix
prakzip	kzip	suffix
prakzoBay	kzoBay	suffix
prakzuB	kzuB	suffix
prakzud	kzud	suffix
prakzveqay	kzveqay	suffix
prakzviq	prakzviq	self
prakﾱp	kﾱp	suffix
prak￞	prak￞	unresolved
pralAlay	lAlay	suffix
pralI	lI	suffix
pralU	lU	suffix
pralaB	laB	suffix
pralakzay	lakzay	suffix
pralamBay	lamBay	suffix
pralamb	lamb	suffix
pralambIkf	kf	suffix
pralambay	lambay	suffix
pralap	lap	suffix
pralepay	lepay	suffix
praliK	liK	suffix
pralih	lih	suffix
pralip	lip	suffix
praloBay	loBay	suffix
praluB	luB	suffix
praluW	luW	suffix
praluYc	luYc	suffix
praluj	luj	suffix
pralup	lup	suffix
pramA	mA	suffix
pramARIkf	kf	suffix
pramARay	pramARay	self
pramATay	mATay	suffix
pramAday	mAday	suffix
pramApay	ramApay	suffix
pramAray	mAray	suffix
pramArjay	mArjay	suffix
pramI	mI	suffix
pramIl	mIl	suffix
pramIv	mIv	suffix
pramUrC	mUrC	suffix
pramaT	maT	suffix
pramad	mad	suffix
pramadAy	pramadAy	self
pramajj	majj	suffix
praman	man	suffix
pramanTay	manTay	suffix
pramand	mand	suffix
pramanday	pramanday	self
pramarday	marday	suffix
pramf	mf	suffix
pramfS	mfS	suffix
pramfd	mfd	suffix
pramfj	mfj	suffix
pramfz	mfz	suffix
prami	mi	suffix
pramih	mih	suffix
pramil	mil	suffix
pramlA	mlA	suffix
pramlAnIBU	BU	suffix
pramocay	mocay	suffix
pramoday	moday	suffix
pramohay	mohay	suffix
pramokzay	mokzay	suffix
pramrad	pramrad	self
pramuc	muc	suffix
pramud	mud	suffix
pramuh	muh	suffix
pramumodayiz	pramumodayiz	self
pramumukz	mumukz	suffix
pramuz	muz	suffix
pranaB	naB	suffix
pranakz	nakz	suffix
pranartay	nartay	suffix
pranft	nft	suffix
prapA	pA	suffix
prapAcay	pAcay	suffix
prapAday	pAday	suffix
prapAlay	pAlay	suffix
prapAtay	pAtay	suffix
prapAway	pAway	suffix
prapAyay	pAyay	suffix
prapIqay	pIqay	suffix
prapU	pU	suffix
prapUjay	pUjay	suffix
prapUray	pUray	suffix
prapaS	paS	suffix
prapaW	paW	suffix
prapaYcay	prapaYcay	self
prapac	pac	suffix
prapad	pad	suffix
prapalAy	palAy	suffix
praparIkz	Ikz	suffix
prapat	pat	suffix
prapay	prapay	self
prapezay	pezay	suffix
prapfc	pfc	suffix
prapiDA	DA	suffix
prapinv	pinv	suffix
prapiz	piz	suffix
praplAvay	plAvay	suffix
praplu	plu	suffix
prapoTay	poTay	suffix
praprajan	jan	suffix
prapruT	pruT	suffix
prapuw	puw	suffix
prapuz	puz	suffix
prapyA	pyA	suffix
prap￞	prap￞	unresolved
praqI	qI	suffix
prarAD	rAD	suffix
prarAj	rAj	suffix
prarC	prarC	unresolved
prarUpay	rUpay	suffix
prarad	rad	suffix
prarakz	rakz	suffix
praramay	ramay	suffix
praran	ran	suffix
prarap	rap	suffix
prarecay	recay	suffix
prari	ri	suffix
praric	ric	suffix
praroDay	roDay	suffix
prarocay	rocay	suffix
prarohay	prarohay	self
praropay	ropay	suffix
praru	ru	suffix
praruD	ruD	suffix
praruc	ruc	suffix
prarud	rud	suffix
praruh	ruh	suffix
praruj	ruj	suffix
prasA	prasA	self
prasADay	sADay	suffix
prasAdIkf	kf	suffix
prasAday	sAday	suffix
prasAray	sAray	suffix
prasIv	sIv	suffix
prasKal	sKal	suffix
prasPoway	sPoway	suffix
prasPur	sPur	suffix
prasPuw	sPuw	suffix
prasTA	sTA	suffix
prasTApay	sTApay	suffix
prasU	sU	suffix
prasUcay	sUcay	suffix
prasUday	sUday	suffix
prasaMDA	DA	suffix
prasaMKyA	KyA	suffix
prasaMcakz	cakz	suffix
prasaMpaS	prasaMpaS	self
prasaYj	saYj	suffix
prasaYjay	saYjay	suffix
prasac	sac	suffix
prasad	sad	suffix
prasah	sah	suffix
prasamAp	Ap	suffix
prasamIkz	Ikz	suffix
prasamIq	Iq	suffix
prasamarTay	arTay	suffix
prasan	san	suffix
prasannIBU	BU	suffix
prasannIkf	kf	suffix
prasarpay	sarpay	suffix
prasarsf	sarsf	suffix
prasecay	secay	suffix
prasev	sev	suffix
prasf	sf	suffix
prasfj	sfj	suffix
prasfp	sfp	suffix
prasftIkf	kf	suffix
prasiD	siD	suffix
prasic	sic	suffix
praskand	skand	suffix
praskanday	skanday	suffix
prasmf	smf	suffix
prasmi	smi	suffix
prasnA	snA	suffix
prasnApay	snApay	suffix
prasnapay	snapay	suffix
prasnu	snu	suffix
praspand	spand	suffix
praspfD	spfD	suffix
prasrAvay	srAvay	suffix
prasraMs	sraMs	suffix
prasramB	sramB	suffix
prasru	sru	suffix
prastAray	stAray	suffix
prastAvay	stAvay	suffix
prastamB	stamB	suffix
prastarIkf	prastarIkf	self
prastf	stf	suffix
prastiG	stiG	suffix
prastu	stu	suffix
prastuB	stuB	suffix
prasu	su	suffix
prasvApay	svApay	suffix
prasvan	svan	suffix
prasvap	svap	suffix
prasvar	prasvar	self
prasveday	sveday	suffix
prasvid	svid	suffix
prasyand	syand	suffix
prasyanday	syanday	suffix
pratApay	tApay	suffix
pratAqay	tAqay	suffix
pratAray	tAray	suffix
pratI	pratI	unresolved
pratIkf	kf	suffix
pratIkz	Ikz	suffix
pratIpay	pratIpay	self
pratIq	Iq	suffix
pratIray	Iray	suffix
pratIvApay	vApay	suffix
pratIz	Iz	suffix
pratUrv	tUrv	suffix
pratak	tak	suffix
pratakz	takz	suffix
pratam	tam	suffix
pratan	tan	suffix
pratanUkf	tanUkf	suffix
pratap	tap	suffix
pratarkay	tarkay	suffix
pratarpay	tarpay	suffix
pratarzay	tarzay	suffix
pratf	tf	suffix
pratfd	tfd	suffix
pratiBA	BA	suffix
pratiBAs	BAs	suffix
pratiBAvay	BAvay	suffix
pratiBAz	BAz	suffix
pratiBU	BU	suffix
pratiBUz	BUz	suffix
pratiBaR	BaR	suffix
pratiBaYj	BaYj	suffix
pratiBaj	Baj	suffix
pratiBakzay	Bakzay	suffix
pratiBf	Bf	suffix
pratiBid	Bid	suffix
pratiBojay	Bojay	suffix
pratiBuj	pratiBuj	self
pratiDA	pratiDA	self
pratiDApay	DApay	suffix
pratiDAray	DAray	suffix
pratiDAv	DAv	suffix
pratiDI	DI	suffix
pratiDfz	Dfz	suffix
pratiDvaMs	DvaMs	suffix
pratiGAtay	GAtay	suffix
pratiGrA	GrA	suffix
pratiKyA	KyA	suffix
pratiPal	Pal	suffix
pratiSAmay	SAmay	suffix
pratiSAyay	pratiSAyay	self
pratiSI	SI	suffix
pratiSaMs	SaMs	suffix
pratiSaNk	SaNk	suffix
pratiSak	Sak	suffix
pratiSam	Sam	suffix
pratiSap	Sap	suffix
pratiSf	Sf	suffix
pratiSikz	Sikz	suffix
pratiSrAmay	SrAmay	suffix
pratiSrAvay	SrAvay	suffix
pratiSru	Sru	suffix
pratiSuc	Suc	suffix
pratiSuz	Suz	suffix
pratiSvas	Svas	suffix
pratibAD	bAD	suffix
pratibanD	banD	suffix
pratibimb	pratibimb	self
pratibimbIkf	kf	suffix
pratiboDay	boDay	suffix
pratibrU	brU	suffix
pratibuD	buD	suffix
praticAkaS	cAkaS	suffix
praticCAday	CAday	suffix
praticCad	Cad	suffix
praticCid	Cid	suffix
praticakz	cakz	suffix
pratical	cal	suffix
praticar	car	suffix
praticikIrz	cikIrz	suffix
praticintay	cintay	suffix
praticoday	coday	suffix
praticumb	cumb	suffix
pratidA	dA	suffix
pratidApay	dApay	suffix
pratidIv	dIv	suffix
pratidUzay	dUzay	suffix
pratidaG	daG	suffix
pratidah	dah	suffix
pratidarSay	darSay	suffix
pratideSay	deSay	suffix
pratidfS	dfS	suffix
pratidiS	diS	suffix
pratidru	dru	suffix
pratiduh	duh	suffix
pratiduz	duz	suffix
pratigA	gA	suffix
pratigAh	gAh	suffix
pratigAlay	gAlay	suffix
pratigad	gad	suffix
pratigam	gam	suffix
pratigarj	garj	suffix
pratigf	gf	suffix
pratigfD	gfD	suffix
pratigrAhay	grAhay	suffix
pratigrah	grah	suffix
pratigranT	pratigranT	self
pratiguh	guh	suffix
pratigup	pratigup	self
pratihA	hA	suffix
pratihAray	hAray	suffix
pratihan	han	suffix
pratiharay	pratiharay	self
pratihary	hary	suffix
pratiharzay	harzay	suffix
pratihez	hez	suffix
pratihf	hf	suffix
pratihfz	hfz	suffix
pratihi	hi	suffix
pratihiMkf	pratihiMkf	self
pratihu	hu	suffix
pratihvA	hvA	suffix
pratijAgf	jAgf	suffix
pratijYA	jYA	suffix
pratijYApay	jYApay	suffix
pratijakz	jakz	suffix
pratijalp	jalp	suffix
pratijan	jan	suffix
pratijap	jap	suffix
pratiji	atiji	suffix
pratijiGfkz	pratijiGfkz	unresolved
pratijigIz	jigIz	suffix
pratijugups	jugups	suffix
pratijuz	juz	suffix
pratijval	jval	suffix
pratikANkz	kANkz	suffix
pratikAmay	kAmay	suffix
pratikAray	kAray	suffix
pratikSA	kSA	suffix
pratikUj	kUj	suffix
pratikUlay	kUlay	suffix
pratikampay	kampay	suffix
pratikf	atikf	suffix
pratikfz	kfz	suffix
pratikram	kram	suffix
pratikruD	kruD	suffix
pratikruS	kruS	suffix
pratikzi	kzi	suffix
pratikzip	kzip	suffix
pratikﾱp	kﾱp	suffix
pratilI	lI	suffix
pratilU	lU	suffix
pratilaB	laB	suffix
pratilaNG	laNG	suffix
pratilaNGay	laNGay	suffix
pratilamBay	lamBay	suffix
pratilamb	lamb	suffix
pratilambay	lambay	suffix
pratilehay	lehay	suffix
pratiliK	liK	suffix
pratiloBay	loBay	suffix
pratilokay	lokay	suffix
pratilomay	pratilomay	self
pratilup	lup	suffix
pratimA	mA	suffix
pratimAnay	mAnay	suffix
pratimArg	mArg	suffix
pratimIv	pratimIv	self
pratimaRqay	maRqay	suffix
pratiman	man	suffix
pratimantray	mantray	suffix
pratimfS	mfS	suffix
pratimfj	mfj	suffix
pratimfz	mfz	suffix
pratimih	mih	suffix
pratimocay	mocay	suffix
pratimoday	moday	suffix
pratimohay	mohay	suffix
pratimokz	pratimokz	self
pratimokzay	mokzay	suffix
pratimuc	muc	suffix
pratimud	mud	suffix
pratinAday	nAday	suffix
pratinI	nI	suffix
pratinU	nU	suffix
pratinad	nad	suffix
pratinam	nam	suffix
pratinamaskf	kf	suffix
pratinand	nand	suffix
pratinanday	nanday	suffix
pratinard	nard	suffix
pratinft	nft	suffix
pratiniDA	DA	suffix
pratiniHsfj	sfj	suffix
pratinibuD	buD	suffix
pratinigad	gad	suffix
pratinigrah	grah	suffix
pratinihan	han	suffix
pratinikzip	kzip	suffix
pratininI	pratininI	self
pratinind	nind	suffix
pratiniras	ras	suffix
pratinirdiS	diS	suffix
pratinirgrah	pratinirgrah	self
pratinirji	ji	suffix
pratinirmA	mA	suffix
pratinirvap	vap	suffix
pratiniryA	yA	suffix
pratiniryAtay	yAtay	suffix
pratinisfj	sfj	suffix
pratinistf	stf	suffix
pratinivAray	vAray	suffix
pratinivap	pratinivap	self
pratinivartay	vartay	suffix
pratinivft	vft	suffix
pratiniviS	viS	suffix
pratiniyam	yam	suffix
pratinizkram	kram	suffix
pratinizpU	pU	suffix
pratinud	nud	suffix
pratinyAgam	gam	suffix
pratinyas	yas	suffix
pratipA	pA	suffix
pratipAday	pAday	suffix
pratipAlay	pAlay	suffix
pratipAtay	pAtay	suffix
pratipI	pI	suffix
pratipIqay	pIqay	suffix
pratipUjay	pUjay	suffix
pratipUray	pUray	suffix
pratipaS	paS	suffix
pratipad	pad	suffix
pratiparARI	pratiparARI	unresolved
pratiparAhf	hf	suffix
pratiparAmfS	mfS	suffix
pratiparI	pratiparI	unresolved
pratipare	pratipare	unresolved
pratiparihf	hf	suffix
pratiparyAhf	hf	suffix
pratiparyAvft	vft	suffix
pratipat	pat	suffix
pratipf	pf	suffix
pratipiz	piz	suffix
pratipoTay	poTay	suffix
pratiprAs	As	suffix
pratiprAyA	yA	suffix
pratipraDAv	DAv	suffix
pratipraSramB	SramB	suffix
