slp1	freq_band	poly_band	arm	chrf_mw	chrf_fr	chrf_ru	chrf_multi2	chrf_multi3	token_f1_mw	token_f1_fr	token_f1_ru
bawu	mid	poly2_4	A1_chat_ctx	12.48	10.67	0.00	12.48	12.48	0.2222	0.0000	0.0000
dAqima	mid	poly2_4	A1_chat_ctx	34.77	2.78	0.00	34.77	34.77	0.4211	0.0000	0.0000
rAjarAja	mid	poly2_4	A1_chat_ctx	31.41	15.55	0.00	31.41	31.41	0.5000	0.0588	0.0000
unnidra	mid	poly2_4	A1_chat_ctx	26.15	8.73	0.00	26.15	26.15	0.3077	0.0833	0.0000
praBAta	mid	poly2_4	A1_chat_ctx	21.37	5.07	0.00	21.37	21.37	0.3200	0.0000	0.0000
sodara	mid	poly2_4	A1_chat_ctx	22.26	10.53	0.00	22.26	22.26	0.1702	0.0435	0.0000
buBukzu	mid	poly2_4	A1_chat_ctx	52.87	9.36	0.00	52.87	52.87	0.5556	0.0000	0.0000
akzaka	mid	poly2_4	A1_chat_ctx	14.59	11.19	0.00	14.59	14.59	0.0690	0.0000	0.0000
paratantra	mid	poly2_4	A1_chat_ctx	32.99	20.56	0.00	32.99	32.99	0.2456	0.0000	0.0000
nirmama	mid	poly2_4	A1_chat_ctx	33.17	16.79	0.00	33.17	33.17	0.4186	0.0000	0.0000
cAturmAsya	mid	poly2_4	A1_chat_ctx	43.63	21.27	0.00	43.63	43.63	0.4348	0.0533	0.0000
hAhA	mid	poly2_4	A1_chat_ctx	13.31	7.90	0.00	13.31	13.31	0.1905	0.0000	0.0000
AKaRqala	mid	poly2_4	A1_chat_ctx	21.35	13.82	0.00	21.35	21.35	0.3704	0.1429	0.0000
saMsidDi	mid	poly2_4	A1_chat_ctx	27.11	27.34	0.00	27.34	27.34	0.2500	0.0800	0.0000
dukUla	mid	poly2_4	A1_chat_ctx	35.64	15.99	0.00	35.64	35.64	0.3404	0.0000	0.0000
viruta	mid	poly2_4	A1_chat_ctx	13.55	9.17	0.00	13.55	13.55	0.2632	0.0588	0.0000
zaRQa	mid	poly2_4	A1_chat_ctx	19.56	12.29	0.00	19.56	19.56	0.2449	0.0000	0.0000
aByaNga	mid	poly2_4	A1_chat_ctx	33.31	20.30	0.00	33.31	33.31	0.2105	0.0000	0.0000
Arogya	mid	poly2_4	A1_chat_ctx	37.44	8.23	0.00	37.44	37.44	0.5000	0.0000	0.0000
kataka	mid	poly2_4	A1_chat_ctx	31.43	23.68	0.00	31.43	31.43	0.4151	0.0727	0.0000
rajaka	mid	poly2_4	A1_chat_ctx	10.67	4.84	0.00	10.67	10.67	0.1154	0.0000	0.0000
apanayana	mid	poly2_4	A1_chat_ctx	27.51	13.35	0.00	27.51	27.51	0.2500	0.0000	0.0000
pUrti	mid	poly2_4	A1_chat_ctx	41.39	29.85	0.72	41.39	41.39	0.2143	0.0800	0.0000
viBU	mid	poly2_4	A1_chat_ctx	7.87	14.00	0.00	14.00	14.00	0.2205	0.0000	0.0000
rAsaBa	mid	poly2_4	A1_chat_ctx	23.72	1.74	0.00	23.72	23.72	0.4615	0.0000	0.0000
pUzan	mid	poly2_4	A1_chat_ctx	14.79	7.84	0.00	14.79	14.79	0.2568	0.0000	0.0000
tura	mid	poly2_4	A1_chat_ctx	25.62	11.23	0.00	25.62	25.62	0.2400	0.0000	0.0000
kApuruza	mid	poly2_4	A1_chat_ctx	45.59	9.74	0.00	45.59	45.59	0.5882	0.0000	0.0000
rasanA	mid	poly2_4	A1_chat_ctx	29.18	16.88	0.00	29.18	29.18	0.2941	0.0000	0.0000
rikTa	mid	poly2_4	A1_chat_ctx	37.07	16.83	0.00	37.07	37.07	0.2000	0.0000	0.0000
paryaNka	mid	poly2_4	A1_chat_ctx	21.35	16.59	0.00	21.35	21.35	0.2892	0.0339	0.0000
niravadya	mid	poly2_4	A1_chat_ctx	17.71	15.77	0.00	17.71	17.71	0.0000	0.0000	0.0000
draviqa	mid	poly5p	A1_chat_ctx	13.61	16.29	0.00	16.29	16.29	0.1500	0.0000	0.0000
virUpAkza	mid	poly5p	A1_chat_ctx	13.13	4.84	0.00	13.13	13.13	0.2449	0.0530	0.0000
viSudDi	mid	poly5p	A1_chat_ctx	25.91	27.75	0.00	27.75	27.75	0.2791	0.0625	0.0000
kuntala	mid	poly5p	A1_chat_ctx	30.29	19.89	0.00	30.29	30.29	0.5882	0.0351	0.0000
parA	mid	poly5p	A1_chat_ctx	21.06	6.57	0.40	21.06	21.06	0.2250	0.0000	0.0000
mfgendra	mid	poly5p	A1_chat_ctx	18.59	13.76	0.00	18.59	18.59	0.4082	0.0667	0.0000
prasTAna	mid	poly5p	A1_chat_ctx	19.15	20.45	0.00	20.45	20.45	0.2973	0.0000	0.0000
mecaka	mid	poly5p	A1_chat_ctx	9.55	6.88	0.00	9.55	9.55	0.2979	0.0741	0.0000
reRu	mid	poly5p	A1_chat_ctx	7.91	11.34	0.00	11.34	11.34	0.1250	0.0541	0.0000
paYjara	mid	poly5p	A1_chat_ctx	27.16	21.58	0.00	27.16	27.16	0.3810	0.1364	0.0000
sImanta	mid	poly5p	A1_chat_ctx	41.58	23.57	0.00	41.58	41.58	0.5349	0.0000	0.0000
mahApadma	mid	poly5p	A1_chat_ctx	12.91	12.31	0.00	12.91	12.91	0.2839	0.1176	0.0000
sammati	mid	poly5p	A1_chat_ctx	25.25	21.39	0.00	25.25	25.25	0.2727	0.1212	0.0000
asu	mid	poly5p	A1_chat_ctx	13.96	18.84	0.00	18.84	18.84	0.2692	0.2400	0.0000
kfSAnu	mid	poly5p	A1_chat_ctx	7.57	7.17	0.00	7.57	7.57	0.2143	0.0270	0.0000
kaMsa	mid	poly5p	A1_chat_ctx	12.80	7.56	0.00	12.80	12.80	0.2632	0.0385	0.0000
itTA	mid	poly5p	A1_chat_ctx	5.39	8.92	0.00	8.92	8.92	0.0920	0.0000	0.0000
Urmi	mid	poly5p	A1_chat_ctx	11.65	12.23	0.00	12.23	12.23	0.1818	0.0000	0.0000
lopa	mid	poly5p	A1_chat_ctx	13.51	28.62	0.00	28.62	28.62	0.1493	0.1667	0.0000
Sibira	mid	poly5p	A1_chat_ctx	15.75	9.99	0.00	15.75	15.75	0.3077	0.1875	0.0000
mandira	mid	poly5p	A1_chat_ctx	25.22	15.24	0.00	25.22	25.22	0.4000	0.1111	0.0000
nakta	mid	poly5p	A1_chat_ctx	15.91	15.51	0.00	15.91	15.91	0.2500	0.0870	0.0000
mUrKa	mid	poly5p	A1_chat_ctx	33.93	6.29	0.00	33.93	33.93	0.4000	0.0364	0.0000
pippala	mid	poly5p	A1_chat_ctx	28.30	20.19	0.00	28.30	28.30	0.3659	0.0580	0.0000
DAraka	mid	poly5p	A1_chat_ctx	24.78	9.84	0.00	24.78	24.78	0.1538	0.1053	0.0000
Bawa	mid	poly5p	A1_chat_ctx	33.27	16.12	0.00	33.27	33.27	0.4138	0.0000	0.0000
padmanABa	mid	poly5p	A1_chat_ctx	22.18	16.80	0.00	22.18	22.18	0.3947	0.0952	0.0000
dyumat	mid	poly5p	A1_chat_ctx	12.91	23.98	0.00	23.98	23.98	0.1000	0.0000	0.0000
mandAra	mid	poly5p	A1_chat_ctx	25.46	14.77	0.00	25.46	25.46	0.4078	0.0522	0.0000
kukkura	mid	poly5p	A1_chat_ctx	2.77	0.00	0.00	2.77	2.77	0.1290	0.0000	0.0000
vasati	mid	poly5p	A1_chat_ctx	17.00	8.98	0.00	17.00	17.00	0.1967	0.0312	0.0000
jImUta	mid	poly5p	A1_chat_ctx	15.87	7.10	0.00	15.87	15.87	0.4231	0.0000	0.0000
vizARa	mid	poly5p	A1_chat_ctx	11.35	13.78	0.00	13.78	13.78	0.1982	0.0000	0.0000
malayaja	mid	poly5p	A1_chat_ctx	17.95	5.80	0.00	17.95	17.95	0.1250	0.0000	0.0000
Danika	mid	poly5p	A1_chat_ctx	13.67	4.05	0.00	13.67	13.67	0.2609	0.0571	0.0000
aBijana	mid	poly5p	A1_chat_ctx	33.81	25.64	0.00	33.81	33.81	0.3902	0.1026	0.0000
tiras	mid	poly5p	A1_chat_ctx	26.22	10.81	0.00	26.22	26.22	0.2333	0.0000	0.0000
BIru	mid	poly5p	A1_chat_ctx	7.15	4.55	0.00	7.15	7.15	0.1091	0.0000	0.0000
hala	mid	poly5p	A1_chat_ctx	19.65	13.79	0.00	19.65	19.65	0.3871	0.0000	0.0000
iriRa	mid	poly5p	A1_chat_ctx	21.03	15.84	0.00	21.03	21.03	0.3333	0.0000	0.0000
gozWa	mid	poly5p	A1_chat_ctx	28.86	20.56	0.00	28.86	28.86	0.3288	0.0000	0.0000
svarAj	mid	poly5p	A1_chat_ctx	17.51	9.36	0.00	17.51	17.51	0.2353	0.1000	0.0000
jambuka	mid	poly5p	A1_chat_ctx	14.01	10.50	0.00	14.01	14.01	0.2857	0.0000	0.0000
AyA	high	mono	A2_chat_noctx	18.91	12.77	0.00	18.91	18.91	0.3478	0.0000	0.0000
catur	high	mono	A2_chat_noctx	6.67	5.73	0.00	6.67	6.67	0.0000	0.0000	0.0000
prada	high	mono	A2_chat_noctx	45.97	9.50	0.44	45.97	45.97	0.5000	0.0000	0.0000
aTa	high	mono	A2_chat_noctx	42.11	13.48	0.00	42.11	42.11	0.4651	0.0000	0.0000
spfS	high	mono	A2_chat_noctx	9.17	3.31	0.00	9.17	9.17	0.1781	0.0120	0.0000
paW	high	mono	A2_chat_noctx	5.81	2.38	0.00	5.81	5.81	0.1720	0.0000	0.0000
nagara	high	mono	A2_chat_noctx	25.47	24.82	0.00	25.47	25.47	0.3704	0.0000	0.0000
lip	high	mono	A2_chat_noctx	13.74	5.60	0.00	13.74	13.74	0.3235	0.0000	0.0000
SuB	high	mono	A2_chat_noctx	9.81	9.69	0.00	9.81	9.81	0.1985	0.0000	0.0000
tyaj	high	mono	A2_chat_noctx	13.05	6.74	0.00	13.05	13.05	0.2041	0.0000	0.0000
azwan	high	mono	A2_chat_noctx	10.31	6.01	0.00	10.31	10.31	0.2000	0.1333	0.0000
udAhf	high	mono	A2_chat_noctx	39.39	14.19	0.00	39.39	39.39	0.4737	0.0000	0.0000
pratigrah	high	mono	A2_chat_noctx	12.55	3.55	0.00	12.55	12.55	0.0593	0.0000	0.0000
sadA	high	mono	A2_chat_noctx	42.66	14.81	0.00	42.66	42.66	0.3750	0.0000	0.0000
tvar	high	mono	A2_chat_noctx	20.75	5.74	0.00	20.75	20.75	0.3415	0.0000	0.0000
aYj	high	mono	A2_chat_noctx	20.96	6.68	0.00	20.96	20.96	0.3200	0.0000	0.0000
vraj	high	mono	A2_chat_noctx	16.57	7.68	0.00	16.57	16.57	0.2824	0.0000	0.0000
soma	high	mono	A2_chat_noctx	11.23	12.37	0.00	12.37	12.37	0.0457	0.0092	0.0000
sma	high	mono	A2_chat_noctx	16.94	14.19	0.00	16.94	16.94	0.2020	0.0000	0.0000
saMyuj	high	mono	A2_chat_noctx	11.27	10.93	0.00	11.27	11.27	0.2014	0.0000	0.0000
prapad	high	mono	A2_chat_noctx	2.19	1.61	0.00	2.19	2.19	0.1061	0.0000	0.0000
KAd	high	mono	A2_chat_noctx	14.79	3.41	0.00	14.79	14.79	0.3243	0.0000	0.0000
sItA	high	mono	A2_chat_noctx	24.03	8.63	0.00	24.03	24.03	0.4121	0.0114	0.0000
prakzip	high	mono	A2_chat_noctx	14.96	4.58	0.00	14.96	14.96	0.4444	0.0000	0.0000
avasTA	high	mono	A2_chat_noctx	13.12	10.66	0.00	13.12	13.12	0.3106	0.0294	0.0000
vIkz	high	mono	A2_chat_noctx	17.94	15.98	0.00	17.94	17.94	0.3214	0.0000	0.0000
prasad	high	mono	A2_chat_noctx	11.72	5.86	0.00	11.72	11.72	0.2692	0.0000	0.0000
Agam	high	mono	A2_chat_noctx	12.63	7.88	0.00	12.63	12.63	0.2500	0.0000	0.0000
dviviDa	high	mono	A2_chat_noctx	46.26	3.31	0.00	46.26	46.26	0.6000	0.0000	0.0000
vyAp	high	mono	A2_chat_noctx	32.01	9.85	0.00	32.01	32.01	0.5263	0.0000	0.0000
mil	high	mono	A2_chat_noctx	32.73	9.50	0.00	32.73	32.73	0.4516	0.0000	0.0000
ASin	high	mono	A2_chat_noctx	31.17	6.47	0.00	31.17	31.17	0.3333	0.0000	0.0000
sampad	high	mono	A2_chat_noctx	6.67	4.54	0.00	6.67	6.67	0.1481	0.0000	0.0000
prahfz	high	mono	A2_chat_noctx	17.75	4.93	0.00	17.75	17.75	0.3636	0.0000	0.0000
nipat	high	mono	A2_chat_noctx	13.31	11.80	0.00	13.31	13.31	0.2517	0.0000	0.0000
car	high	mono	A2_chat_noctx	6.51	1.80	0.00	6.51	6.51	0.1481	0.0000	0.0000
pre	high	mono	A2_chat_noctx	8.63	3.57	0.00	8.63	8.63	0.2545	0.0000	0.0000
BrU	high	mono	A2_chat_noctx	33.00	2.72	0.00	33.00	33.00	0.5714	0.0526	0.0000
visfj	high	mono	A2_chat_noctx	11.48	9.98	0.00	11.48	11.48	0.2059	0.0000	0.0000
roza	high	mono	A2_chat_noctx	33.49	23.05	0.00	33.49	33.49	0.3158	0.1333	0.0000
aDunA	high	mono	A2_chat_noctx	63.27	6.20	0.00	63.27	63.27	0.8000	0.0000	0.0000
prajan	high	mono	A2_chat_noctx	8.96	6.94	0.00	8.96	8.96	0.1905	0.0000	0.0000
han	high	mono	A2_chat_noctx	7.00	3.43	0.00	7.00	7.00	0.1159	0.0000	0.0000
mf	high	mono	A2_chat_noctx	6.65	3.02	0.00	6.65	6.65	0.2791	0.0000	0.0000
Ayam	high	mono	A2_chat_noctx	6.55	8.48	0.00	8.48	8.48	0.0250	0.0000	0.0000
Acar	high	mono	A2_chat_noctx	19.70	11.83	0.00	19.70	19.70	0.3478	0.0000	0.0000
upAdA	high	mono	A2_chat_noctx	8.58	12.02	0.00	12.02	12.02	0.2105	0.0000	0.0000
upapad	high	mono	A2_chat_noctx	7.30	5.49	0.00	7.30	7.30	0.1471	0.0000	0.0000
vyaT	high	mono	A2_chat_noctx	11.27	8.67	0.00	11.27	11.27	0.1856	0.0000	0.0000
yAc	high	mono	A2_chat_noctx	10.30	7.55	0.00	10.30	10.30	0.1731	0.0000	0.0000
Df	high	mono	A2_chat_noctx	11.26	5.39	0.00	11.26	11.26	0.1765	0.0000	0.0000
rakz	high	poly2_4	A2_chat_noctx	8.58	5.29	0.00	8.58	8.58	0.1887	0.0235	0.0000
janapada	high	poly2_4	A2_chat_noctx	39.77	14.64	0.00	39.77	39.77	0.4000	0.0000	0.0000
dviguRa	high	poly2_4	A2_chat_noctx	25.90	10.29	0.00	25.90	25.90	0.2000	0.0533	0.0000
dAnava	high	poly2_4	A2_chat_noctx	7.24	7.24	0.00	7.24	7.24	0.1455	0.0000	0.0000
fzi	high	poly2_4	A2_chat_noctx	9.46	3.18	0.00	9.46	9.46	0.1818	0.0290	0.0000
upadiS	high	poly2_4	A2_chat_noctx	17.95	9.79	0.00	17.95	17.95	0.2812	0.0000	0.0000
rAjya	high	poly2_4	A2_chat_noctx	26.76	6.01	0.00	26.76	26.76	0.3333	0.0202	0.0000
idam	high	poly2_4	A2_chat_noctx	2.60	2.08	0.00	2.60	2.60	0.0448	0.0000	0.0000
Ap	high	poly2_4	A2_chat_noctx	11.67	4.58	0.00	11.67	11.67	0.1765	0.0000	0.0000
yadA	high	poly2_4	A2_chat_noctx	3.10	2.21	0.00	3.10	3.10	0.0851	0.0000	0.0000
samiD	high	poly2_4	A2_chat_noctx	13.46	10.39	0.00	13.46	13.46	0.1905	0.0000	0.0000
vidyA	high	poly2_4	A2_chat_noctx	4.66	6.42	0.00	6.42	6.42	0.0513	0.0455	0.0000
aBiBU	high	poly2_4	A2_chat_noctx	24.84	10.98	0.00	24.84	24.84	0.4118	0.0000	0.0000
prasTA	high	poly2_4	A2_chat_noctx	11.77	9.73	0.00	11.77	11.77	0.2000	0.0000	0.0000
Slezman	high	poly2_4	A2_chat_noctx	18.71	14.01	0.00	18.71	18.71	0.2424	0.0870	0.0000
Uru	high	poly2_4	A2_chat_noctx	15.18	4.30	0.00	15.18	15.18	0.2353	0.0000	0.0000
saMyuga	high	poly2_4	A2_chat_noctx	52.37	22.41	0.00	52.37	52.37	0.5714	0.1250	0.0000
ftu	high	poly2_4	A2_chat_noctx	24.99	16.77	0.00	24.99	24.99	0.3509	0.0121	0.0000
yaTAvat	high	poly2_4	A2_chat_noctx	29.83	17.38	0.00	29.83	29.83	0.2727	0.0000	0.0000
stu	high	poly2_4	A2_chat_noctx	13.20	4.35	0.00	13.20	13.20	0.2286	0.0000	0.0000
kzuD	high	poly2_4	A2_chat_noctx	12.91	7.07	0.00	12.91	12.91	0.1333	0.0000	0.0000
an	high	poly2_4	A2_chat_noctx	15.40	10.58	0.00	15.40	15.40	0.0769	0.0500	0.0000
apriya	high	poly2_4	A2_chat_noctx	40.68	12.27	0.00	40.68	40.68	0.2222	0.0000	0.0000
dehin	high	poly2_4	A2_chat_noctx	41.79	9.72	0.00	41.79	41.79	0.6154	0.0606	0.0000
loBa	high	poly2_4	A2_chat_noctx	46.60	15.83	0.00	46.60	46.60	0.5000	0.0938	0.0000
dvipa	high	poly2_4	A2_chat_noctx	13.40	13.66	0.00	13.66	13.66	0.0714	0.0000	0.0000
nakzatra	high	poly2_4	A2_chat_noctx	13.37	4.07	0.00	13.37	13.37	0.2720	0.0169	0.0000
jAnu	high	poly2_4	A2_chat_noctx	11.14	7.99	0.00	11.14	11.14	0.2143	0.0833	0.0000
kAsa	high	poly2_4	A2_chat_noctx	3.23	3.56	0.00	3.56	3.56	0.0000	0.0000	0.0000
rAkzasa	high	poly2_4	A2_chat_noctx	3.14	1.97	0.00	3.14	3.14	0.1085	0.0476	0.0000
druma	high	poly2_4	A2_chat_noctx	9.11	6.47	0.00	9.11	9.11	0.2051	0.0000	0.0000
pitf	high	poly2_4	A2_chat_noctx	7.54	7.54	0.00	7.54	7.54	0.0938	0.0702	0.0000
yuD	high	poly2_4	A2_chat_noctx	4.13	3.93	0.00	4.13	4.13	0.0619	0.0000	0.0000
havis	high	poly2_4	A2_chat_noctx	22.82	19.89	0.00	22.82	22.82	0.2439	0.0800	0.0000
tfp	high	poly2_4	A2_chat_noctx	10.18	7.52	0.00	10.18	10.18	0.1918	0.0000	0.0000
vaRij	high	poly2_4	A2_chat_noctx	22.72	12.62	0.00	22.72	22.72	0.3000	0.0000	0.0000
nizad	high	poly2_4	A2_chat_noctx	10.80	7.20	0.00	10.80	10.80	0.3077	0.0000	0.0000
mahABAga	high	poly2_4	A2_chat_noctx	25.08	19.03	0.00	25.08	25.08	0.2041	0.0769	0.0000
dveza	high	poly2_4	A2_chat_noctx	31.17	19.37	0.00	31.17	31.17	0.1765	0.0816	0.0000
Avaha	high	poly2_4	A2_chat_noctx	14.97	5.49	0.00	14.97	14.97	0.0889	0.0000	0.0000
Apat	high	poly2_4	A2_chat_noctx	8.86	7.16	0.00	8.86	8.86	0.1818	0.0000	0.0000
niBa	high	poly2_4	A2_chat_noctx	20.56	17.93	0.00	20.56	20.56	0.2000	0.0000	0.0000
uB	high	poly2_4	A2_chat_noctx	1.89	6.94	0.00	6.94	6.94	0.0000	0.0000	0.0000
lih	high	poly2_4	A2_chat_noctx	3.12	2.01	0.00	3.12	3.12	0.1000	0.0385	0.0000
kAnana	high	poly2_4	A2_chat_noctx	19.27	11.63	0.00	19.27	19.27	0.3478	0.0000	0.0000
tulya	high	poly2_4	A2_chat_noctx	40.73	23.40	0.00	40.73	40.73	0.4800	0.0417	0.0000
antar	high	poly2_4	A2_chat_noctx	21.65	8.92	0.00	21.65	21.65	0.2388	0.0000	0.0000
manuzya	high	poly5p	A2_chat_noctx	17.40	13.32	0.00	17.40	17.40	0.2917	0.0625	0.0000
giri	high	poly5p	A2_chat_noctx	11.09	14.87	0.00	14.87	14.87	0.2476	0.0000	0.0000
brAhmaRa	high	poly5p	A2_chat_noctx	27.34	16.52	0.00	27.34	27.34	0.1564	0.0122	0.0000
Adya	high	poly5p	A2_chat_noctx	10.83	9.32	0.00	10.83	10.83	0.1364	0.0000	0.0000
Agneya	high	poly5p	A2_chat_noctx	13.56	7.44	0.00	13.56	13.56	0.2807	0.0556	0.0000
SarkarA	high	poly5p	A2_chat_noctx	32.40	14.84	0.00	32.40	32.40	0.5385	0.0455	0.0000
gamBIra	high	poly5p	A2_chat_noctx	9.84	15.00	0.00	15.00	15.00	0.0238	0.0851	0.0000
mahAdeva	high	poly5p	A2_chat_noctx	15.87	6.17	0.00	15.87	15.87	0.2642	0.0294	0.0000
SAsana	high	poly5p	A2_chat_noctx	21.12	15.49	0.00	21.12	21.12	0.3393	0.0714	0.0000
vipra	high	poly5p	A2_chat_noctx	6.78	3.03	0.00	6.78	6.78	0.1429	0.0440	0.0000
udyAna	high	poly5p	A2_chat_noctx	11.24	2.92	0.00	11.24	11.24	0.2143	0.0000	0.0000
miSra	high	poly5p	A2_chat_noctx	17.78	10.65	0.00	17.78	17.78	0.2435	0.0213	0.0000
prakfti	high	poly5p	A2_chat_noctx	41.57	20.94	0.00	41.57	41.57	0.4134	0.0687	0.0000
aSva	high	poly5p	A2_chat_noctx	2.34	2.81	0.00	2.81	2.81	0.0625	0.0000	0.0000
retas	high	poly5p	A2_chat_noctx	21.42	10.98	0.00	21.42	21.42	0.3019	0.0000	0.0000
ekAnta	high	poly5p	A2_chat_noctx	25.80	24.89	0.00	25.80	25.80	0.2817	0.0870	0.0000
SoDana	high	poly5p	A2_chat_noctx	18.39	29.20	0.00	29.20	29.20	0.2000	0.0800	0.0000
Akula	high	poly5p	A2_chat_noctx	26.02	13.34	0.00	26.02	26.02	0.3429	0.0000	0.0000
karza	high	poly5p	A2_chat_noctx	21.15	9.58	0.00	21.15	21.15	0.3488	0.1053	0.0000
raTa	high	poly5p	A2_chat_noctx	22.93	11.75	0.00	22.93	22.93	0.3333	0.0522	0.0000
anIka	high	poly5p	A2_chat_noctx	35.31	13.22	0.00	35.31	35.31	0.5000	0.1212	0.0000
duHKa	high	poly5p	A2_chat_noctx	24.48	11.83	0.00	24.48	24.48	0.2169	0.0215	0.0000
raTin	high	poly5p	A2_chat_noctx	19.54	12.88	0.00	19.54	19.54	0.3158	0.1000	0.0000
vastu	high	poly5p	A2_chat_noctx	17.45	15.74	0.00	17.45	17.45	0.2603	0.0282	0.0000
gocara	high	poly5p	A2_chat_noctx	12.22	4.96	0.00	12.22	12.22	0.1667	0.0140	0.0000
Brama	high	poly5p	A2_chat_noctx	23.25	21.24	0.00	23.25	23.25	0.3288	0.0571	0.0000
maya	high	poly5p	A2_chat_noctx	8.53	7.68	0.00	8.53	8.53	0.1852	0.0000	0.0000
prayatna	high	poly5p	A2_chat_noctx	11.52	14.40	0.00	14.40	14.40	0.1609	0.1200	0.0000
sAkzAt	high	poly5p	A2_chat_noctx	41.60	14.25	0.00	41.60	41.60	0.4643	0.0000	0.0000
BArgava	high	poly5p	A2_chat_noctx	21.90	14.55	0.00	21.90	21.90	0.3286	0.1188	0.0000
paScAt	high	poly5p	A2_chat_noctx	28.42	10.07	0.00	28.42	28.42	0.3396	0.0000	0.0000
BUmi	high	poly5p	A2_chat_noctx	23.27	17.62	0.00	23.27	23.27	0.3022	0.0635	0.0000
parvata	high	poly5p	A2_chat_noctx	19.63	18.28	0.00	19.63	19.63	0.4000	0.0270	0.0000
cit	high	poly5p	A2_chat_noctx	3.70	4.84	0.00	4.84	4.84	0.0144	0.0000	0.0000
muhur	high	poly5p	A2_chat_noctx	18.87	9.02	0.00	18.87	18.87	0.3103	0.0526	0.0000
namas	high	poly5p	A2_chat_noctx	27.59	5.39	0.00	27.59	27.59	0.2979	0.0169	0.0000
droRa	high	poly5p	A2_chat_noctx	18.43	5.31	0.00	18.43	18.43	0.3368	0.0215	0.0000
Sreyas	high	poly5p	A2_chat_noctx	11.34	12.69	0.00	12.69	12.69	0.1667	0.0702	0.0000
jana	high	poly5p	A2_chat_noctx	14.57	16.51	0.00	16.51	16.51	0.2018	0.0299	0.0000
pUrva	high	poly5p	A2_chat_noctx	12.93	10.69	0.00	12.93	12.93	0.1905	0.0000	0.0000
kara	high	poly5p	A2_chat_noctx	17.19	10.70	0.00	17.19	17.19	0.3366	0.0286	0.0000
kArmuka	high	poly5p	A2_chat_noctx	9.39	8.60	0.00	9.39	9.39	0.3273	0.1290	0.0000
aMSa	high	poly5p	A2_chat_noctx	22.03	7.68	0.00	22.03	22.03	0.4127	0.0659	0.0000
amBas	high	poly5p	A2_chat_noctx	24.17	10.65	0.00	24.17	24.17	0.3279	0.0339	0.0000
Pala	high	poly5p	A2_chat_noctx	11.10	15.53	0.00	15.53	15.53	0.1322	0.0556	0.0000
laGu	high	poly5p	A2_chat_noctx	17.99	12.20	0.00	17.99	17.99	0.2734	0.0417	0.0000
Suc	high	poly5p	A2_chat_noctx	8.52	5.21	0.00	8.52	8.52	0.1818	0.0000	0.0000
yA	high	poly5p	A2_chat_noctx	10.10	13.05	0.00	13.05	13.05	0.2207	0.0000	0.0000
nirvinDyA	low	mono	A2_chat_noctx	7.31	8.71	0.00	8.71	8.71	0.2353	0.0000	0.0000
anAdeya	low	mono	A2_chat_noctx	32.24	12.27	0.00	32.24	32.24	0.3636	0.0000	0.0000
milana	low	mono	A2_chat_noctx	56.65	19.51	0.00	56.65	56.65	0.5263	0.1053	0.0000
Asannatara	low	mono	A2_chat_noctx	54.34	8.32	0.00	54.34	54.34	0.5000	0.0000	0.0000
maRqalita	low	mono	A2_chat_noctx	39.77	6.97	0.00	39.77	39.77	0.3333	0.0800	0.0000
nivah	low	mono	A2_chat_noctx	24.10	10.47	0.00	24.10	24.10	0.4516	0.0000	0.0000
vratati	low	poly2_4	A2_chat_noctx	29.94	8.54	0.00	29.94	29.94	0.5000	0.0000	0.0000
saMvAhaka	low	poly2_4	A2_chat_noctx	51.15	6.99	0.00	51.15	51.15	0.5714	0.0833	0.0000
aviBinna	low	poly2_4	A2_chat_noctx	34.73	7.76	0.00	34.73	34.73	0.4000	0.0000	0.0000
pariBUti	low	poly2_4	A2_chat_noctx	53.35	28.79	0.00	53.35	53.35	0.4615	0.1429	0.0000
sUtraDAra	low	poly2_4	A2_chat_noctx	16.38	11.21	0.00	16.38	16.38	0.2373	0.0000	0.0000
rukmANgada	low	poly2_4	A2_chat_noctx	40.41	7.31	0.00	40.41	40.41	0.3200	0.0526	0.0000
vipariRAma	low	poly2_4	A2_chat_noctx	39.50	38.07	0.00	39.50	39.50	0.2667	0.1176	0.0000
BUmigfha	low	poly2_4	A2_chat_noctx	33.56	11.17	0.00	33.56	33.56	0.4000	0.0800	0.0000
kawAgni	low	poly2_4	A2_chat_noctx	15.12	10.70	0.00	15.12	15.12	0.1951	0.0000	0.0000
rAjanyaka	low	poly2_4	A2_chat_noctx	18.05	16.41	0.00	18.05	18.05	0.2500	0.0571	0.0000
alika	low	poly2_4	A2_chat_noctx	44.92	9.62	0.00	44.92	44.92	0.5000	0.0000	0.0000
SataBizaj	low	poly2_4	A2_chat_noctx	16.81	16.01	0.00	16.81	16.81	0.2258	0.0800	0.0000
buButsA	low	poly2_4	A2_chat_noctx	29.49	21.06	0.00	29.49	29.49	0.3810	0.0000	0.0000
sAratA	low	poly5p	A2_chat_noctx	21.90	4.90	0.00	21.90	21.90	0.2667	0.0000	0.0000
qimBa	low	poly5p	A2_chat_noctx	30.93	4.24	0.00	30.93	30.93	0.5185	0.0000	0.0000
atyAhita	low	poly5p	A2_chat_noctx	21.83	30.26	0.00	30.26	30.26	0.3158	0.2000	0.0000
GfRi	low	poly5p	A2_chat_noctx	8.34	9.95	0.00	9.95	9.95	0.0588	0.0000	0.0000
