folder	basename	text_formats	media_formats	topic_tags	text_bytes_total
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-берестяных-грамотах-из-раскопок-сезона-2016-года.-Лекция-2	json,srt,tsv,txt,vtt	(none-in-same-folder)	birchbark_novgorod	2674710
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-О-происхождении-слов	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	1216157
текст-канал-Алексей-Головастиков	А.А.-Зализняк.-Эпизод-из-истории-русского-ударения	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	762526
текст-канал-Алексей-Головастиков	А.А.Зализняк-Или-и-Уже-2017-ч.1	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	429402
текст-канал-Алексей-Головастиков	А.А.Зализняк-Или-и-Уже-2017-ч.2	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	349430
текст-канал-Алексей-Головастиков	А.А.Зализняк-беседует-с-В.А.Успенским.-Часть-1,-28.06.2010	json,srt,tsv,txt,vtt	(none-in-same-folder)	interview_conversation	3553697
текст-канал-Алексей-Головастиков	А.А.Зализняк-в-1964-67-годах,-2-минуты-любительской-киносъёмки	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	27320
текст-канал-Алексей-Головастиков	А.А.Зализняк-в-1995-году,-60-летие-Е.В.Падучевой,-застолье	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	21739
текст-канал-Алексей-Головастиков	А.А.Зализняк-и-А.А.Гиппиус-о-находках-Новгородской-экспедиции,-август-2017	json,srt,tsv,txt,vtt	(none-in-same-folder)	birchbark_novgorod	1732484
текст-канал-Алексей-Головастиков	А.А.Зализняк-и-другие-участники-новгородской-экспедиции,-21.07.2010	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	5620
текст-канал-Алексей-Головастиков	А.А.Зализняк-о-находках-Новгородской-экспедиции,-август-2014	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	659416
текст-канал-Алексей-Головастиков	А.А.Зализняк-отвечает-на-вопросы-В.А.Успенского.-Часть-II,-02.07.2010	json,srt,tsv,txt,vtt	(none-in-same-folder)	other_unclassified	4219899
текст-канал-Алексей-Головастиков	А.А.Зализняк-получает-Госпремию,-12.06.2008	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	28998
текст-канал-Алексей-Головастиков	А.А.Зализняк-читает-берестяную-грамоту.-Новгород,-2016	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	26690
текст-канал-Алексей-Головастиков	А.А.Зализняк-читает-лекцию-о-берестяных-грамотах-студентам-историкам,-08.08.2017	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	1595774
текст-канал-Алексей-Головастиков	Андрей-Зализняк-o1cqhfWRwaI-480pp-1713273849	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	18207
текст-канал-Алексей-Головастиков	Андрей-Зализняк-Интереснейшая-история-русского-языка	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	756492
текст-канал-Алексей-Головастиков	Андрей-Зализняк-Истина-сушествует-Солженицынская-речь-qMatYmttb3c-1080pp-1713274237	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	134978
текст-канал-Алексей-Головастиков	Андрей-Зализняк-О-любительской-лингвистике-rP3UyDow5i4-480pp-1713274102	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	649102
текст-канал-Алексей-Головастиков	Андрей-Зализняк-ЧТО-ТАКОЕ-РУСЬ--jaaRAyPlpQ0-480pp-1713274163	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	81774
текст-канал-Алексей-Головастиков	Андрей-Зализняк-и-Александр-Ужанков_-Слово-о-полку-Игореве	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	618255
текст-канал-Алексей-Головастиков	Андрей-Зализняк-лингвист-с-абсолютной-репутацией-VJ6Yv7d8IDE-480pp-1713274291	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	49529
текст-канал-Алексей-Головастиков	Андрей-Зализняк.-История-русского-языка-uzzjnpPmEDQ-480pp-1713274930	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	757574
текст-канал-Алексей-Головастиков	Андрей-Зализняк.-Новгородская-Русь-по-берестяным-грамотам-взгляд-из-2012-года	ans,html,json,srt,txt	(none-in-same-folder)	birchbark_novgorod	702792
текст-канал-Алексей-Головастиков	Андрей-Зализняк.-Прогулки-по-Европе	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	142833
текст-канал-Алексей-Головастиков	Андрей-Зализняк_-Между-прошлым-и-будущим	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	72361
текст-канал-Алексей-Головастиков	Андрей_Зализняк__Русский__Украинский__Белорусский-lcPSaAEANSQ-480pp-1713273801	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	68919
текст-канал-Алексей-Головастиков	Венгрия-60-х-годов-глазами-А.-А.-Зализняка	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	249533
текст-канал-Алексей-Головастиков	Вы-занимались-раньше-санскритом...,-фрагменты-занятия-А.А.-Зализняка-Строем-санскрита-3-из-3	ans,html,json,srt,txt	(none-in-same-folder)	sanskrit_vedic	7959
текст-канал-Алексей-Головастиков	Грамматический-строй-санскрита.-2014-2015-гг.-Лекция-6.-18-октября-2014-г.	json,srt,tsv,txt,vtt	(none-in-same-folder)	sanskrit_vedic	865168
текст-канал-Алексей-Головастиков	День-рождения-А.-А.-Зализняка.-Видеоконференция,-слайд-шоу.-29.04.2023	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	1183008
текст-канал-Алексей-Головастиков	Доклад-А.А.-Зализняка,-26-октября-2012-года--Andrei-Zaliznyak-report	ans,html,json,srt,txt	(none-in-same-folder)	other_unclassified	265860
текст-канал-Алексей-Головастиков	Зализняк-о-древнейшей-грамоте-и-о-Новгородском-кодексе-цере.-04.08.2000	json,srt,tsv,txt,vtt	(none-in-same-folder)	birchbark_novgorod	1246628
текст-канал-Алексей-Головастиков	Зализняк. О Велесовой книге. 2008_v2	srt	(none-in-same-folder)	velesova_book	196703
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения-16-10-29-семинар-08	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	760044
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения-16-11-05-семинар-09	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	1181101
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения-16-11-12-семинар-10	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	831017
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения-16-12-03-семинар-13	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	1147482
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения-16-12-10-семинар-14	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	1093464
текст-канал-Алексей-Головастиков	Зализняк.-История-русского-ударения.-04.03.2017-Семинар-19	ans,html,json,srt,txt	(none-in-same-folder)	russian_diachrony	758432
