fem_slp1	fem_iast	masc_slp1	masc_iast
mahABadrA	mahābhadrā	mahABadra	mahābhadra
mahABogA	mahābhogā	mahABoga	mahābhoga
mahAGozA	mahāghoṣā	mahAGoza	mahāghoṣa
mahAPalA	mahāphalā	mahAPala	mahāphala
mahASAKA	mahāśākhā	mahASAKa	mahāśākha
mahASUdrA	mahāśūdrā	mahASUdra	mahāśūdra
mahASalkA	mahāśalkā	mahASalka	mahāśalka
mahASvetA	mahāśvetā	mahASveta	mahāśveta
mahAbalA	mahābalā	mahAbala	mahābala
mahAcaRqA	mahācaṇḍā	mahAcaRqa	mahācaṇḍa
mahAcittA	mahācittā	mahAcitta	mahācitta
mahAdevA	mahādevā	mahAdeva	mahādeva
mahAdvArA	mahādvārā	mahAdvAra	mahādvāra
mahAganDA	mahāgandhā	mahAganDa	mahāgandha
mahAguhA	mahāguhā	mahAguha	mahāguha
mahAhrasvA	mahāhrasvā	mahAhrasva	mahāhrasva
mahAjavA	mahājavā	mahAjava	mahājava
mahAjawA	mahājaṭā	mahAjawa	mahājaṭa
mahAjayA	mahājayā	mahAjaya	mahājaya
mahAjvAlA	mahājvālā	mahAjvAla	mahājvāla
mahAkAntA	mahākāntā	mahAkAnta	mahākānta
mahAkAyA	mahākāyā	mahAkAya	mahākāya
mahAkaruRA	mahākaruṇā	mahAkaruRa	mahākaruṇa
mahAkzIrA	mahākṣīrā	mahAkzIra	mahākṣīra
mahAlayA	mahālayā	mahAlaya	mahālaya
mahAmAyA	mahāmāyā	mahAmAya	mahāmāya
mahAmahA	mahāmahā	mahAmaha	mahāmaha
mahAmeDA	mahāmedhā	mahAmeDa	mahāmedha
mahAmohA	mahāmohā	mahAmoha	mahāmoha
mahAnIlA	mahānīlā	mahAnIla	mahānīla
mahAnagnA	mahānagnā	mahAnagna	mahānagna
mahAnandA	mahānandā	mahAnanda	mahānanda
mahAnidrA	mahānidrā	mahAnidra	mahānidra
mahApakzI	mahāpakṣī	mahApakzin	mahāpakṣin
mahApattrA	mahāpattrā	mahApattra	mahāpattra
mahApraBA	mahāprabhā	mahApraBa	mahāprabha
mahApuRyA	mahāpuṇyā	mahApuRya	mahāpuṇya
mahApuzpA	mahāpuṣpā	mahApuzpa	mahāpuṣpa
mahArUpA	mahārūpā	mahArUpa	mahārūpa
mahArasA	mahārasā	mahArasa	mahārasa
mahArudrA	mahārudrā	mahArudra	mahārudra
mahAsUkzmA	mahāsūkṣmā	mahAsUkzma	mahāsūkṣma
mahAsahA	mahāsahā	mahAsaha	mahāsaha
mahAsenA	mahāsenā	mahAsena	mahāsena
mahAskanDA	mahāskandhā	mahAskanDa	mahāskandha
mahAsuganDA	mahāsugandhā	mahAsuganDa	mahāsugandha
mahAtIkzRA	mahātīkṣṇā	mahAtIkzRa	mahātīkṣṇa
mahAtattvA	mahātattvā	mahAtattva	mahātattva
mahAtiktA	mahātiktā	mahAtikta	mahātikta
mahAvIrA	mahāvīrā	mahAvIra	mahāvīra
mahAvIryA	mahāvīryā	mahAvIrya	mahāvīrya
mahAvegA	mahāvegā	mahAvega	mahāvega
mahAvidehA	mahāvidehā	mahAvideha	mahāvideha
mahI	mahī	mahin	mahin
mahIjA	mahījā	mahIja	mahīja
mahIsutA	mahīsutā	mahIsuta	mahīsuta
mahIyA	mahīyā	mahIya	mahīya
mahallikA	mahallikā	mahallika	mahallika
mahattarA	mahattarā	mahattara	mahattara
mahendrA	mahendrā	mahendra	mahendra
mahimA	mahimā	mahima	mahima
mahimnA	mahimnā	mahimna	mahimna
mahinA	mahinā	mahina	mahina
mahitA	mahitā	mahita	mahita
mahitvanA	mahitvanā	mahitvana	mahitvana
mahodayA	mahodayā	mahodaya	mahodaya
mahyA	mahyā	mahya	mahya
majjA	majjā	majja	majja
majmanA	majmanā	majmana	majmana
makarI	makarī	makarin	makarin
makzA	makṣā	makza	makṣa
malA	malā	mala	mala
maladA	maladā	malada	malada
malanA	malanā	malana	malana
malayA	malayā	malaya	malaya
malizWA	maliṣṭhā	malizWa	maliṣṭha
mallA	mallā	malla	malla
mallikA	mallikā	mallika	mallika
manA	manā	mana	mana
manIzitA	manīṣitā	manIzita	manīṣita
manTA	manthā	manTa	mantha
manTarA	mantharā	manTara	manthara
manTinI	manthinī	manTin	manthin
mananA	mananā	manana	manana
manasA	manasā	manasa	manasa
manasvinI	manasvinī	manasvin	manasvin
mandA	mandā	manda	manda
mandAkrAntA	mandākrāntā	mandAkrAnta	mandākrānta
mandI	mandī	mandin	mandin
mandagA	mandagā	mandaga	mandaga
mandagamanA	mandagamanā	mandagamana	mandagamana
mandurA	mandurā	mandura	mandura
manmaTA	manmathā	manmaTa	manmatha
manodattA	manodattā	manodatta	manodatta
manoguptA	manoguptā	manogupta	manogupta
manohArI	manohārī	manohArin	manohārin
manoharA	manoharā	manohara	manohara
manojYA	manojñā	manojYa	manojña
manojavA	manojavā	manojava	manojava
manoraTA	manorathā	manoraTa	manoratha
manoramA	manoramā	manorama	manorama
manotA	manotā	manota	manota
mantrikA	mantrikā	mantrika	mantrika
mantritA	mantritā	mantrita	mantrita
manujA	manujā	manuja	manuja
manujAtmajA	manujātmajā	manujAtmaja	manujātmaja
manuzyaviSA	manuṣyaviśā	manuzyaviSa	manuṣyaviśa
manvantarA	manvantarā	manvantara	manvantara
manyA	manyā	manya	manya
marIcI	marīcī	marIcin	marīcin
marIcikA	marīcikā	marIcika	marīcika
marUdBavA	marūdbhavā	marUdBava	marūdbhava
mardinI	mardinī	mardin	mardin
markarA	markarā	markara	markara
marmarA	marmarā	marmara	marmara
martyA	martyā	martya	martya
maruRqA	maruṇḍā	maruRqa	maruṇḍa
marudvfDA	marudvṛdhā	marudvfDa	marudvṛdha
marujA	marujā	maruja	maruja
marusamBavA	marusambhavā	marusamBava	marusambhava
maryA	maryā	marya	marya
maryAdA	maryādā	maryAda	maryāda
masUrA	masūrā	masUra	masūra
masUravidalA	masūravidalā	masUravidala	masūravidala
masikA	masikā	masika	masika
masurA	masurā	masura	masura
mataMgajA	mataṃgajā	mataMgaja	mataṃgaja
matkuRA	matkuṇā	matkuRa	matkuṇa
matsarI	matsarī	matsarin	matsarin
matsyA	matsyā	matsya	matsya
matsyAkzakA	matsyākṣakā	matsyAkzaka	matsyākṣaka
matsyabanDinI	matsyabandhinī	matsyabanDin	matsyabandhin
matsyaganDA	matsyagandhā	matsyaganDa	matsyagandha
matsyodarI	matsyodarī	matsyodarin	matsyodarin
mattA	mattā	matta	matta
matyA	matyā	matya	matya
mayA	mayā	maya	maya
mayUracUqA	mayūracūḍā	mayUracUqa	mayūracūḍa
meDA	medhā	meDa	medha
meDAvinI	medhāvinī	meDAvin	medhāvin
meDI	medhī	meDin	medhin
meDyA	medhyā	meDya	medhya
meGagarjanA	meghagarjanā	meGagarjana	meghagarjana
meGamAlA	meghamālā	meGamAla	meghamāla
meGanAdA	meghanādā	meGanAda	meghanāda
meGaravA	megharavā	meGarava	megharava
meGavAhinI	meghavāhinī	meGavAhin	meghavāhin
meGavarRA	meghavarṇā	meGavarRa	meghavarṇa
meGavisPUrjitA	meghavisphūrjitā	meGavisPUrjita	meghavisphūrjita
meKalA	mekhalā	meKala	mekhala
meTikA	methikā	meTika	methika
medA	medā	meda	meda
medI	medī	medin	medin
medaHsArA	medaḥsārā	medaHsAra	medaḥsāra
medinI	medinī	medin	medin
medoBavA	medobhavā	medoBava	medobhava
medurA	medurā	medura	medura
mehanA	mehanā	mehana	mehana
mekalA	mekalā	mekala	mekala
melA	melā	mela	mela
menA	menā	mena	mena
mezA	meṣā	meza	meṣa
mfDA	mṛdhā	mfDa	mṛdha
mfdugAminI	mṛdugāminī	mfdugAmin	mṛdugāmin
mfdukA	mṛdukā	mfduka	mṛduka
mfgA	mṛgā	mfga	mṛga
mfgANkaleKA	mṛgāṅkalekhā	mfgANkaleKa	mṛgāṅkalekha
mfgaSirA	mṛgaśirā	mfgaSira	mṛgaśira
mfgalocanA	mṛgalocanā	mfgalocana	mṛgalocana
mfgamAtfkA	mṛgamātṛkā	mfgamAtfka	mṛgamātṛka
mfgamandA	mṛgamandā	mfgamanda	mṛgamanda
mfganABijA	mṛganābhijā	mfganABija	mṛganābhija
mfganetrA	mṛganetrā	mfganetra	mṛganetra
mfgayA	mṛgayā	mfgaya	mṛgaya
mfgekzaRA	mṛgekṣaṇā	mfgekzaRa	mṛgekṣaṇa
mfjA	mṛjā	mfja	mṛja
mftARqA	mṛtāṇḍā	mftARqa	mṛtāṇḍa
mftapA	mṛtapā	mftapa	mṛtapa
mftasaMjIvinI	mṛtasaṃjīvinī	mftasaMjIvin	mṛtasaṃjīvin
mftsnA	mṛtsnā	mftsna	mṛtsna
mftyuPalA	mṛtyuphalā	mftyuPala	mṛtyuphala
mftyusutA	mṛtyusutā	mftyusuta	mṛtyusuta
miSrI	miśrī	miSrin	miśrin
miTilA	mithilā	miTila	mithila
miTunI	mithunī	miTunin	mithunin
mitAkzarA	mitākṣarā	mitAkzara	mitākṣara
mitrA	mitrā	mitra	mitra
mitrI	mitrī	mitrin	mitrin
mitraGnA	mitraghnā	mitraGna	mitraghna
mitravindA	mitravindā	mitravinda	mitravinda
moGA	moghā	moGa	mogha
mocA	mocā	moca	moca
mocI	mocī	mocin	mocin
mocikA	mocikā	mocika	mocika
modA	modā	moda	moda
modinI	modinī	modin	modin
mohanA	mohanā	mohana	mohana
mohinI	mohinī	mohin	mohin
morawA	moraṭā	morawa	moraṭa
mowA	moṭā	mowa	moṭa
muKacapalA	mukhacapalā	muKacapala	mukhacapala
muKarA	mukharā	muKara	mukhara
muKyA	mukhyā	muKya	mukhya
muRqA	muṇḍā	muRqa	muṇḍa
muRqI	muṇḍī	muRqin	muṇḍin
muRqitA	muṇḍitā	muRqita	muṇḍita
muYjA	muñjā	muYja	muñja
mucilindA	mucilindā	mucilinda	mucilinda
mudA	mudā	muda	muda
muditA	muditā	mudita	mudita
mudrA	mudrā	mudra	mudra
muhUrtA	muhūrtā	muhUrta	muhūrta
mukA	mukā	muka	muka
muktA	muktā	mukta	mukta
muktAsPowA	muktāsphoṭā	muktAsPowa	muktāsphoṭa
muktabanDanA	muktabandhanā	muktabanDana	muktabandhana
mukulI	mukulī	mukulin	mukulin
mukuwA	mukuṭā	mukuwa	mukuṭa
mukuwI	mukuṭī	mukuwin	mukuṭin
mulAlI	mulālī	mulAlin	mulālin
munIndrA	munīndrā	munIndra	munīndra
murA	murā	mura	mura
murajA	murajā	muraja	muraja
muralA	muralā	murala	murala
murmurA	murmurā	murmura	murmura
musalI	musalī	musalin	musalin
muzwikA	muṣṭikā	muzwika	muṣṭika
nA	nā	na	na
nABA	nābhā	nABa	nābha
nABikA	nābhikā	nABika	nābhika
nABinAlA	nābhinālā	nABinAla	nābhināla
nASI	nāśī	nASin	nāśin
nAgAhvA	nāgāhvā	nAgAhva	nāgāhva
nAgI	nāgī	nAgin	nāgin
nAgaPalA	nāgaphalā	nAgaPala	nāgaphala
nAgabalA	nāgabalā	nAgabala	nāgabala
nAgadantA	nāgadantā	nAgadanta	nāgadanta
nAgamudrA	nāgamudrā	nAgamudra	nāgamudra
nAgarikA	nāgarikā	nAgarika	nāgarika
nAgilA	nāgilā	nAgila	nāgila
nAginI	nāginī	nAgin	nāgin
nAlA	nālā	nAla	nāla
nAlikA	nālikā	nAlika	nālika
nAmaDA	nāmadhā	nAmaDa	nāmadha
nAnA	nānā	nAna	nāna
nAndI	nāndī	nAndin	nāndin
nAqA	nāḍā	nAqa	nāḍa
nAqIkA	nāḍīkā	nAqIka	nāḍīka
nAqikA	nāḍikā	nAqika	nāḍika
nAradA	nāradā	nArada	nārada
nAsatyA	nāsatyā	nAsatya	nāsatya
nAsikA	nāsikā	nAsika	nāsika
nAtivilambitA	nātivilambitā	nAtivilambita	nātivilambita
nAvA	nāvā	nAva	nāva
nAvyA	nāvyā	nAvya	nāvya
nAwI	nāṭī	nAwin	nāṭin
nAwakIyA	nāṭakīyā	nAwakIya	nāṭakīya
nEvAsikA	naivāsikā	nEvAsika	naivāsika
nITA	nīthā	nITa	nītha
nIcA	nīcā	nIca	nīca
nIcagA	nīcagā	nIcaga	nīcaga
nIkA	nīkā	nIka	nīka
nIlA	nīlā	nIla	nīla
nIlAYjanA	nīlāñjanā	nIlAYjana	nīlāñjana
nIlacCavI	nīlacchavī	nIlacCavin	nīlacchavin
nIlajA	nīlajā	nIlaja	nīlaja
nIlalohitA	nīlalohitā	nIlalohita	nīlalohita
nIlapattrA	nīlapattrā	nIlapattra	nīlapattra
nIlapuzpA	nīlapuṣpā	nIlapuzpa	nīlapuṣpa
nIlavarRA	nīlavarṇā	nIlavarRa	nīlavarṇa
nIlavastrA	nīlavastrā	nIlavastra	nīlavastra
nIlavfzA	nīlavṛṣā	nIlavfza	nīlavṛṣa
nIlotpalinI	nīlotpalinī	nIlotpalin	nīlotpalin
nIpA	nīpā	nIpa	nīpa
nIvArA	nīvārā	nIvAra	nīvāra
nOkA	naukā	nOka	nauka
naBA	nabhā	naBa	nabha
nadIjA	nadījā	nadIja	nadīja
nadIkAntA	nadīkāntā	nadIkAnta	nadīkānta
nagajA	nagajā	nagaja	nagaja
nagarI	nagarī	nagarin	nagarin
nagnA	nagnā	nagna	nagna
nakrA	nakrā	nakra	nakra
naktA	naktā	nakta	nakta
nakulA	nakulā	nakula	nakula
nakzatrayoginI	nakṣatrayoginī	nakzatrayogin	nakṣatrayogin
naladA	naladā	nalada	nalada
nalinIkA	nalinīkā	nalinIka	nalinīka
nalvavartmagA	nalvavartmagā	nalvavartmaga	nalvavartmaga
namasyA	namasyā	namasya	namasya
namrA	namrā	namra	namra
namyA	namyā	namya	namya
nandA	nandā	nanda	nanda
nandAtmajA	nandātmajā	nandAtmaja	nandātmaja
nandI	nandī	nandin	nandin
nandanA	nandanā	nandana	nandana
nandikA	nandikā	nandika	nandika
nandinI	nandinī	nandin	nandin
naqvalA	naḍvalā	naqvala	naḍvala
narADArA	narādhārā	narADAra	narādhāra
naradattA	naradattā	naradatta	naradatta
narakasTA	narakasthā	narakasTa	narakastha
narmadA	narmadā	narmada	narmada
nasA	nasā	nasa	nasa
nastA	nastā	nasta	nasta
nasyA	nasyā	nasya	nasya
navA	navā	nava	nava
navI	navī	navin	navin
navajA	navajā	navaja	navaja
navatA	navatā	navata	navata
navyA	navyā	navya	navya
nawA	naṭā	nawa	naṭa
nayanA	nayanā	nayana	nayana
nazwarUpA	naṣṭarūpā	nazwarUpa	naṣṭarūpa
nemaDitA	nemadhitā	nemaDita	nemadhita
nfgA	nṛgā	nfga	nṛga
nfmRA	nṛmṇā	nfmRa	nṛmṇa
nfpANganA	nṛpāṅganā	nfpANgana	nṛpāṅgana
nfpAtmajA	nṛpātmajā	nfpAtmaja	nṛpātmaja
nfpapriyA	nṛpapriyā	nfpapriya	nṛpapriya
nfpasutA	nṛpasutā	nfpasuta	nṛpasuta
nfpavallaBA	nṛpavallabhā	nfpavallaBa	nṛpavallabha
nfsenA	nṛsenā	nfsena	nṛsena
nftyapriyA	nṛtyapriyā	nftyapriya	nṛtyapriya
niBftA	nibhṛtā	niBfta	nibhṛta
niDanA	nidhanā	niDana	nidhana
niDipA	nidhipā	niDipa	nidhipa
niHSaNkA	niḥśaṅkā	niHSaNka	niḥśaṅka
niHsArA	niḥsārā	niHsAra	niḥsāra
niHsnehA	niḥsnehā	niHsneha	niḥsneha
niHspfhA	niḥspṛhā	niHspfha	niḥspṛha
niSA	niśā	niSa	niśa
niSAnDA	niśāndhā	niSAnDa	niśāndha
niScalA	niścalā	niScala	niścala
niScezwA	niśceṣṭā	niScezwa	niśceṣṭa
niScirA	niścirā	niScira	niścira
niScitA	niścitā	niScita	niścita
niSitA	niśitā	niSita	niśita
nicitA	nicitā	nicita	nicita
nidA	nidā	nida	nida
nidarSanA	nidarśanā	nidarSana	nidarśana
nideSinI	nideśinī	nideSin	nideśin
nidigDA	nidigdhā	nidigDa	nidigdha
nigA	nigā	niga	niga
nikazA	nikaṣā	nikaza	nikaṣa
nikzA	nikṣā	nikza	nikṣa
nilimpA	nilimpā	nilimpa	nilimpa
nimA	nimā	nima	nima
nimittI	nimittī	nimittin	nimittin
nimlocA	nimlocā	nimloca	nimloca
nindA	nindā	ninda	ninda
nipA	nipā	nipa	nipa
nipIqanA	nipīḍanā	nipIqana	nipīḍana
nipatyA	nipatyā	nipatya	nipatya
nirASA	nirāśā	nirASa	nirāśa
nirAlambA	nirālambā	nirAlamba	nirālamba
nirAtapA	nirātapā	nirAtapa	nirātapa
nirGfRA	nirghṛṇā	nirGfRa	nirghṛṇa
nirIhA	nirīhā	nirIha	nirīha
nirJarI	nirjharī	nirJarin	nirjharin
nirUpaRA	nirūpaṇā	nirUpaRa	nirūpaṇa
niraYjanA	nirañjanā	niraYjana	nirañjana
nirahaMkriyA	nirahaṃkriyā	nirahaMkriya	nirahaṃkriya
nirapekzA	nirapekṣā	nirapekza	nirapekṣa
nirbIjA	nirbījā	nirbIja	nirbīja
nirdahanA	nirdahanā	nirdahana	nirdahana
nirdigDA	nirdigdhā	nirdigDa	nirdigdha
nirgA	nirgā	nirga	nirga
nirjarA	nirjarā	nirjara	nirjara
nirmAlyA	nirmālyā	nirmAlya	nirmālya
nirmaDyA	nirmadhyā	nirmaDya	nirmadhya
nirmaTyA	nirmathyā	nirmaTya	nirmathya
nirupamA	nirupamā	nirupama	nirupama
nirvARI	nirvāṇī	nirvARin	nirvāṇin
nirvIrA	nirvīrā	nirvIra	nirvīra
nisftA	nisṛtā	nisfta	nisṛta
nitambA	nitambā	nitamba	nitamba
nitambinI	nitambinī	nitambin	nitambin
nityA	nityā	nitya	nitya
nityAnubadDA	nityānubaddhā	nityAnubadDa	nityānubaddha
nityavatsA	nityavatsā	nityavatsa	nityavatsa
nityavyayA	nityavyayā	nityavyaya	nityavyaya
nityayOvanA	nityayauvanā	nityayOvana	nityayauvana
nivArA	nivārā	nivAra	nivāra
nivarA	nivarā	nivara	nivara
niyantraRA	niyantraṇā	niyantraRa	niyantraṇa
nizAdI	niṣādī	nizAdin	niṣādin
nizPalA	niṣphalā	nizPala	niṣphala
nizRA	niṣṇā	nizRa	niṣṇa
nizWA	niṣṭhā	nizWa	niṣṭha
nizaDA	niṣadhā	nizaDa	niṣadha
nizevA	niṣevā	nizeva	niṣeva
nizkA	niṣkā	nizka	niṣka
nizkAsinI	niṣkāsinī	nizkAsin	niṣkāsin
nizkumBA	niṣkumbhā	nizkumBa	niṣkumbha
nizwyA	niṣṭyā	nizwya	niṣṭya
nonA	nonā	nona	nona
nyagroDA	nyagrodhā	nyagroDa	nyagrodha
nyagroDI	nyagrodhī	nyagroDin	nyagrodhin
nyagroDaparimaRqalA	nyagrodhaparimaṇḍalā	nyagroDaparimaRqala	nyagrodhaparimaṇḍala
oMkArA	oṃkārā	oMkAra	oṃkāra
odanikA	odanikā	odanika	odanika
pA	pā	pa	pa
pAMsukA	pāṃsukā	pAMsuka	pāṃsuka
pAMsulA	pāṃsulā	pAMsula	pāṃsula
pARI	pāṇī	pARin	pāṇin
pARigrahaRIyA	pāṇigrahaṇīyā	pARigrahaRIya	pāṇigrahaṇīya
pARikA	pāṇikā	pARika	pāṇika
pARipraRayinI	pāṇipraṇayinī	pARipraRayin	pāṇipraṇayin
pARqarA	pāṇḍarā	pARqara	pāṇḍara
pARqaravAsinI	pāṇḍaravāsinī	pARqaravAsin	pāṇḍaravāsin
pARquPalA	pāṇḍuphalā	pARquPala	pāṇḍuphala
pARqumfttikA	pāṇḍumṛttikā	pARqumfttika	pāṇḍumṛttika
pARqurA	pāṇḍurā	pARqura	pāṇḍura
pARquraNgA	pāṇḍuraṅgā	pARquraNga	pāṇḍuraṅga
pASI	pāśī	pASin	pāśin
pASikA	pāśikā	pASika	pāśika
pAWA	pāṭhā	pAWa	pāṭha
pAWikA	pāṭhikā	pAWika	pāṭhika
pAYcAlikA	pāñcālikā	pAYcAlika	pāñcālika
pAYcajanyA	pāñcajanyā	pAYcajanya	pāñcajanya
pAdapA	pādapā	pAdapa	pādapa
pAdikA	pādikā	pAdika	pādika
pAdukA	pādukā	pAduka	pāduka
pAkalA	pākalā	pAkala	pākala
pAkyA	pākyā	pAkya	pākya
pAlI	pālī	pAlin	pālin
pAlinI	pālinī	pAlin	pālin
pAlitA	pālitā	pAlita	pālita
pAmA	pāmā	pAma	pāma
pApA	pāpā	pApa	pāpa
pApaharA	pāpaharā	pApahara	pāpahara
pApakftyA	pāpakṛtyā	pApakftya	pāpakṛtya
pApayA	pāpayā	pApaya	pāpaya
pArA	pārā	pAra	pāra
pArASarI	pārāśarī	pArASarin	pārāśarin
pAramitA	pāramitā	pAramita	pāramita
pArdA	pārdā	pArda	pārda
pAripArSvikA	pāripārśvikā	pAripArSvika	pāripārśvika
pAriplavA	pāriplavā	pAriplava	pāriplava
pAtrI	pātrī	pAtrin	pātrin
pAtrikA	pātrikā	pAtrika	pātrika
pAvA	pāvā	pAva	pāva
pAwA	pāṭā	pAwa	pāṭa
pAwI	pāṭī	pAwin	pāṭin
pAwalA	pāṭalā	pAwala	pāṭala
pAwalI	pāṭalī	pAwalin	pāṭalin
pAwalyA	pāṭalyā	pAwalya	pāṭalya
pAwanA	pāṭanā	pAwana	pāṭana
pAyanA	pāyanā	pAyana	pāyana
pAyinI	pāyinī	pAyin	pāyin
pENgI	paiṅgī	pENgin	paiṅgin
pEzwikA	paiṣṭikā	pEzwika	paiṣṭika
pITI	pīthī	pITin	pīthin
pInasanASanA	pīnasanāśanā	pInasanASana	pīnasanāśana
pIqA	pīḍā	pIqa	pīḍa
pItA	pītā	pIta	pīta
pItapuzpA	pītapuṣpā	pItapuzpa	pītapuṣpa
pItatElA	pītatailā	pItatEla	pītataila
pItataRqulA	pītataṇḍulā	pItataRqula	pītataṇḍula
pIvA	pīvā	pIva	pīva
pIvarA	pīvarā	pIvara	pīvara
pOrRimA	paurṇimā	pOrRima	paurṇima
pOtimAzyA	pautimāṣyā	pOtimAzya	pautimāṣya
pOtrI	pautrī	pOtrin	pautrin
pUjanIyA	pūjanīyā	pUjanIya	pūjanīya
pUpAlikA	pūpālikā	pUpAlika	pūpālika
pUrI	pūrī	pUrin	pūrin
pUrRA	pūrṇā	pUrRa	pūrṇa
pUrRAmftA	pūrṇāmṛtā	pUrRAmfta	pūrṇāmṛta
pUrRagarBA	pūrṇagarbhā	pUrRagarBa	pūrṇagarbha
pUrvA	pūrvā	pUrva	pūrva
pUrvI	pūrvī	pUrvin	pūrvin
pUrvajA	pūrvajā	pUrvaja	pūrvaja
pUtA	pūtā	pUta	pūta
pUtanA	pūtanā	pUtana	pūtana
pUtiganDA	pūtigandhā	pUtiganDa	pūtigandha
pUtiganDikA	pūtigandhikā	pUtiganDika	pūtigandhika
pUtikA	pūtikā	pUtika	pūtika
pUzA	pūṣā	pUza	pūṣa
pUzaRA	pūṣaṇā	pUzaRa	pūṣaṇa
paNkajinI	paṅkajinī	paNkajin	paṅkajin
paRAyA	paṇāyā	paRAya	paṇāya
paRqA	paṇḍā	paRqa	paṇḍa
paRyA	paṇyā	paRya	paṇya
paScA	paścā	paSca	paśca
paSudA	paśudā	paSuda	paśuda
paSudevatA	paśudevatā	paSudevata	paśudevata
paSukA	paśukā	paSuka	paśuka
paSupA	paśupā	paSupa	paśupa
paSuzA	paśuṣā	paSuza	paśuṣa
paTI	pathī	paTin	pathin
paTikA	pathikā	paTika	pathika
paTyA	pathyā	paTya	pathya
paYcASA	pañcāśā	paYcASa	pañcāśa
paYcI	pañcī	paYcin	pañcin
paYcabalA	pañcabalā	paYcabala	pañcabala
paYcacUqA	pañcacūḍā	paYcacUqa	pañcacūḍa
paYcadaSI	pañcadaśī	paYcadaSin	pañcadaśin
paYcagaNgA	pañcagaṅgā	paYcagaNga	pañcagaṅga
paYcamI	pañcamī	paYcamin	pañcamin
paYcapakzI	pañcapakṣī	paYcapakzin	pañcapakṣin
paYcavaktrA	pañcavaktrā	paYcavaktra	pañcavaktra
paYcaviMSatikA	pañcaviṃśatikā	paYcaviMSatika	pañcaviṃśatika
paYcikA	pañcikā	paYcika	pañcika
pacanA	pacanā	pacana	pacana
padAyatA	padāyatā	padAyata	padāyata
padayojanA	padayojanā	padayojana	padayojana
padikA	padikā	padika	padika
padmA	padmā	padma	padma
padmAlayA	padmālayā	padmAlaya	padmālaya
padmAsanA	padmāsanā	padmAsana	padmāsana
padmakarA	padmakarā	padmakara	padmakara
padmakarRikA	padmakarṇikā	padmakarRika	padmakarṇika
padmalAYCanA	padmalāñchanā	padmalAYCana	padmalāñchana
padmamAlinI	padmamālinī	padmamAlin	padmamālin
padmapraBA	padmaprabhā	padmapraBa	padmaprabha
padmarUpA	padmarūpā	padmarUpa	padmarūpa
padmasenA	padmasenā	padmasena	padmasena
padminI	padminī	padmin	padmin
padmodBavA	padmodbhavā	padmodBava	padmodbhava
padyA	padyā	padya	padya
pajrA	pajrā	pajra	pajra
pakvezwakA	pakveṣṭakā	pakvezwaka	pakveṣṭaka
palASI	palāśī	palASin	palāśin
palASinI	palāśinī	palASin	palāśin
palAlA	palālā	palAla	palāla
palaMkazA	palaṃkaṣā	palaMkaza	palaṃkaṣa
pallavakA	pallavakā	pallavaka	pallavaka
pallavikA	pallavikā	pallavika	pallavika
parA	parā	para	para
parASrayA	parāśrayā	parASraya	parāśraya
parAgA	parāgā	parAga	parāga
parAhA	parāhā	parAha	parāha
parIRasA	parīṇasā	parIRasa	parīṇasa
parRASA	parṇāśā	parRASa	parṇāśa
parRI	parṇī	parRin	parṇin
parRikA	parṇikā	parRika	parṇika
parRinI	parṇinī	parRin	parṇin
paraBftA	parabhṛtā	paraBfta	parabhṛta
parakIyA	parakīyā	parakIya	parakīya
paramatA	paramatā	paramata	paramata
paramezWA	parameṣṭhā	paramezWa	parameṣṭha
paramezWinI	parameṣṭhinī	paramezWin	parameṣṭhin
paramparA	paramparā	parampara	parampara
parapuzwA	parapuṣṭā	parapuzwa	parapuṣṭa
parasmEBAzA	parasmaibhāṣā	parasmEBAza	parasmaibhāṣa
paraspA	paraspā	paraspa	paraspa
pariBAvanA	paribhāvanā	pariBAvana	paribhāvana
pariDAnIyA	paridhānīyā	pariDAnIya	paridhānīya
pariDAraRA	paridhāraṇā	pariDAraRa	paridhāraṇa
pariGawwanA	parighaṭṭanā	pariGawwana	parighaṭṭana
pariRamanA	pariṇamanā	pariRamana	pariṇamana
pariReyA	pariṇeyā	pariReya	pariṇeya
paribADA	paribādhā	paribADa	paribādha
paribarhaRA	paribarhaṇā	paribarhaRa	paribarhaṇa
paricArikA	paricārikā	paricArika	paricārika
paricAritA	paricāritā	paricArita	paricārita
paricakrA	paricakrā	paricakra	paricakra
paricarA	paricarā	paricara	paricara
paricaryA	paricaryā	paricarya	paricarya
paridevanA	paridevanā	paridevana	paridevana
parigA	parigā	pariga	pariga
parigaRanA	parigaṇanā	parigaRana	parigaṇana
parigfhyA	parigṛhyā	parigfhya	parigṛhya
parikalpanA	parikalpanā	parikalpana	parikalpana
paripAkinI	paripākinī	paripAkin	paripākin
paripAlanA	paripālanā	paripAlana	paripālana
pariplavA	pariplavā	pariplava	pariplava
pariplutA	pariplutā	paripluta	paripluta
pariraTyA	parirathyā	pariraTya	parirathya
parisrutA	parisrutā	parisruta	parisruta
paritakmyA	paritakmyā	paritakmya	paritakmya
parivApI	parivāpī	parivApin	parivāpin
parivaYcanA	parivañcanā	parivaYcana	parivañcana
parivedanA	parivedanā	parivedana	parivedana
parivedinI	parivedinī	parivedin	parivedin
parivezwanA	pariveṣṭanā	parivezwana	pariveṣṭana
parivfktA	parivṛktā	parivfkta	parivṛkta
parivrajyA	parivrajyā	parivrajya	parivrajya
