slp1	iast
GozaRA	ghoṣaṇā
GozavatI	ghoṣavatī
GrA	ghrā
GrARaduHKadA	ghrāṇaduḥkhadā
GuRavallaBA	ghuṇavallabhā
GurGurI	ghurghurī
GuwI	ghuṭī
GuwikA	ghuṭikā
I	ī
ISAnI	īśānī
ISitA	īśitā
ISvarA	īśvarā
ISvarI	īśvarī
IkzaRikA	īkṣaṇikā
IlI	īlī
IlikA	īlikā
IrikA	īrikā
IryyA	īryyā
IrzA	īrṣā
IzIkA	īṣīkā
IzikA	īṣikā
JAwA	jhāṭā
JAwikA	jhāṭikā
JIrukA	jhīrukā
JaYJA	jhañjhā
JalA	jhalā
JalajJalA	jhalajjhalā
JalarI	jhalarī
JallI	jhallī
JallarI	jhallarī
JallikA	jhallikā
JampASI	jhampāśī
JampI	jhampī
JarA	jharā
JarI	jharī
JarJarA	jharjharā
JarJarI	jharjharī
JazodarI	jhaṣodarī
JiNgI	jhiṅgī
JiNginI	jhiṅginī
JiRwI	jhiṇṭī
JiYJI	jhiñjhī
JiYJirizwA	jhiñjhiriṣṭā
JillI	jhillī
JillIkA	jhillīkā
JillikA	jhillikā
JirI	jhirī
JirikA	jhirikā
KARqavI	khāṇḍavī
KAnI	khānī
KApagA	khāpagā
KArI	khārī
KAwikA	khāṭikā
KaRqI	khaṇḍī
KaRqaDArA	khaṇḍadhārā
KaRqaSAKA	khaṇḍaśākhā
KaRqakaTA	khaṇḍakathā
KaRqinI	khaṇḍinī
KaRqitA	khaṇḍitā
KaSA	khaśā
KaYjanA	khañjanā
KaYjanikA	khañjanikā
KadUravAsinI	khadūravāsinī
KadikA	khadikā
KadirA	khadirā
KadirI	khadirī
KadirapatrI	khadirapatrī
KadirapatrikA	khadirapatrikā
KadirikA	khadirikā
KagavatI	khagavatī
KajAkA	khajākā
KalADArA	khalādhārā
KalUrikA	khalūrikā
KaleDAnI	khaledhānī
KalevAlI	khalevālī
KalinI	khalinī
KallI	khallī
KallikA	khallikā
KalyA	khalyā
KamUlikA	khamūlikā
KanI	khanī
KanayitrI	khanayitrī
KaqI	khaḍī
KaqakkikA	khaḍakkikā
KaqgI	khaḍgī
KaqikA	khaḍikā
KarA	kharā
KarASvA	kharāśvā
KarAgarI	kharāgarī
KarAhvA	kharāhvā
KaraDvaMsI	kharadhvaṃsī
KaradalA	kharadalā
KaraganDA	kharagandhā
KaraganDaniBA	kharagandhanibhā
KarakAzWikA	kharakāṣṭhikā
KarakuwI	kharakuṭī
KaramaYjarI	kharamañjarī
KaranAdinI	kharanādinī
KarapatrI	kharapatrī
KarapuzpA	kharapuṣpā
KararomA	khararomā
KaraskanDA	kharaskandhā
KarasvarA	kharasvarā
KaravallikA	kharavallikā
KarikA	kharikā
KarjjUrI	kharjjūrī
KarjjUrikA	kharjjūrikā
KarjjikA	kharjjikā
KarparI	kharparī
KarvvurA	kharvvurā
KasamBavA	khasambhavā
KastanI	khastanī
KavallI	khavallī
KawI	khaṭī
KawikA	khaṭikā
KawinI	khaṭinī
KawvA	khaṭvā
KawvANgI	khaṭvāṅgī
KawvikA	khaṭvikā
KawwikA	khaṭṭikā
KedinI	khedinī
KelanI	khelanī
KewI	kheṭī
KirahiwwI	khirahiṭṭī
KowI	khoṭī
KuralI	khuralī
KyA	khyā
OcitI	aucitī
PAlgunI	phālgunī
PAwakI	phāṭakī
PaRI	phaṇī
PaRihantrI	phaṇihantrī
PaRijihvA	phaṇijihvā
PaRivallI	phaṇivallī
PaYjI	phañjī
PaYjikA	phañjikā
PaYjipatrikA	phañjipatrikā
PakkikA	phakkikā
PalAQyA	phalāḍhyā
PalArTI	phalārthī
PalI	phalī
PalaSAlI	phalaśālī
PalagrAhI	phalagrāhī
PalahArI	phalahārī
PalakI	phalakī
PalakarkaSA	phalakarkaśā
PalalakzaRA	phalalakṣaṇā
PalamuKyA	phalamukhyā
PalamudgarikA	phalamudgarikā
PalapAkAntA	phalapākāntā
PalapAkI	phalapākī
PalapriyA	phalapriyā
PalapuzpA	phalapuṣpā
PalavikrayiRI	phalavikrayiṇī
PalepuzpA	phalepuṣpā
PaleruhA	phaleruhā
PalgudA	phalgudā
PalgunI	phalgunī
PalguvAwikA	phalguvāṭikā
PalikA	phalikā
PalinI	phalinī
PallakI	phallakī
PalottamA	phalottamā
PaqiNgA	phaḍiṅgā
ParParIkA	pharpharīkā
PatkArI	phatkārī
PawA	phaṭā
PeRI	pheṇī
PelI	phelī
PelikA	phelikā
PenA	phenā
PenI	phenī
PenadugDA	phenadugdhā
PenakA	phenakā
PenavAhI	phenavāhī
PenikA	phenikā
PetkAriRI	phetkāriṇī
PiraNgI	phiraṅgī
PiraNgarowI	phiraṅgaroṭī
PiraNgiRI	phiraṅgiṇī
QAlI	ḍhālī
QAmarA	ḍhāmarā
QaRwI	ḍhaṇṭī
QakkA	ḍhakkā
QakkArI	ḍhakkārī
RI	ṇī
SAKASiPA	śākhāśiphā
SAKAmlA	śākhāmlā
SAKAraTyA	śākhārathyā
SAKI	śākhī
SANguzWA	śāṅguṣṭhā
SANkucI	śāṅkucī
SARI	śāṇī
SAkA	śākā
SAkAzwakA	śākāṣṭakā
SAkaSrezWA	śākaśreṣṭhā
SAkacukrikA	śākacukrikā
SAkamBarI	śākambharī
SAkinI	śākinī
SAkrI	śākrī
SAlANkI	śālāṅkī
SAlAkI	śālākī
SAlAnI	śālānī
SAlI	śālī
SAlInA	śālīnā
SAlaBaYjI	śālabhañjī
SAlaBaYjikA	śālabhañjikā
SAlaparRI	śālaparṇī
SAleyA	śāleyā
SAliYcI	śāliñcī
SAlikA	śālikā
SAliparRI	śāliparṇī
SAlmalI	śālmalī
SAlmalinI	śālmalinī
SAmBavI	śāmbhavī
SAmIlI	śāmīlī
SAmanI	śāmanī
SAmbarI	śāmbarī
SAnI	śānī
SAntA	śāntā
SArI	śārī
SArNgI	śārṅgī
SArNgazwA	śārṅgaṣṭā
SAraNgI	śāraṅgī
SAradA	śāradā
SAradI	śāradī
SAradIyamahApUjA	śāradīyamahāpūjā
SAriSfNKalA	śāriśṛṅkhalā
SArikA	śārikā
SArivA	śārivā
SArvvarI	śārvvarī
SAsitA	śāsitā
SAstA	śāstā
SAstrI	śāstrī
SAstraSilpI	śāstraśilpī
SAstradarSI	śāstradarśī
SAtalA	śātalā
SAvarI	śāvarī
SAwI	śāṭī
SAwikA	śāṭikā
SElAlI	śailālī
SElI	śailī
SElUzikI	śailūṣikī
SElaDanvA	śailadhanvā
SElagarBAhvA	śailagarbhāhvā
SElajA	śailajā
SElarAjasutA	śailarājasutā
SElasutA	śailasutā
SElavalkalA	śailavalkalā
SEleyI	śaileyī
SElodBavA	śailodbhavā
SEvalinI	śaivalinī
SEzyopADyAyikA	śaiṣyopādhyāyikā
SI	śī
SIGrA	śīghrā
SIGragAmI	śīghragāmī
SIGrajanmA	śīghrajanmā
SIGraveDI	śīghravedhī
SIPAlikA	śīphālikā
SIrI	śīrī
SIrRamAlA	śīrṇamālā
SIrRapuzpikA	śīrṇapuṣpikā
SIrzaGAtI	śīrṣaghātī
SItA	śītā
SItANgI	śītāṅgī
SItASmA	śītāśmā
SItAbalA	śītābalā
SItaSivA	śītaśivā
SItabalA	śītabalā
SItakumBI	śītakumbhī
SItalA	śītalā
SItalAzazWI	śītalāṣaṣṭhī
SItalI	śītalī
SItalatA	śītalatā
SItamaYjarI	śītamañjarī
SItapAkI	śītapākī
SItapAkinI	śītapākinī
SItapallavA	śītapallavā
SItaparRI	śītaparṇī
SItasahA	śītasahā
SIvA	śīvā
SODikA	śaudhikā
SORqI	śauṇḍī
SUdrA	śūdrā
SUdrArttA	śūdrārttā
SUdrAvedI	śūdrāvedī
SUdrI	śūdrī
SUkA	śūkā
SUkaSimbA	śūkaśimbā
SUkaSimbI	śūkaśimbī
SUkaSimbikA	śūkaśimbikā
SUkapiRqI	śūkapiṇḍī
SUkaqI	śūkaḍī
SUkarAkrAntA	śūkarākrāntā
SUkarI	śūkarī
SUkarapAdikA	śūkarapādikā
SUkavatI	śūkavatī
SUlI	śūlī
SUlaDAriRI	śūladhāriṇī
SUlaDanvA	śūladhanvā
SUlaDarA	śūladharā
SUlahantrI	śūlahantrī
SUlapatrI	śūlapatrī
SUlinI	śūlinī
SUlotKA	śūlotkhā
SUnA	śūnā
SUnyA	śūnyā
SUnyavAdI	śūnyavādī
SUrmmI	śūrmmī
SUrpI	śūrpī
SUrpaRaKA	śūrpaṇakhā
SUrpaRaKI	śūrpaṇakhī
