k1	hom	lemma_iast	total_occ	cooccur	collocates
agnika		agnika	44	51	pāṭhā:3|devadāru:3|lokapāla:2|mūla:2|ativiṣā:2|darśapūrṇamāsa:1|aruṣkara:1|kathay:1|cirabilva:1|yavaciñcā:1|koṣātakī:1|dantī:1
agnikaRa		agnikaṇa	2	2	sphuliṅga:1|tapasvat:1
agnikarman		agnikarman	29	31	kṣāra:3|dhātu:1|saṁtāpa:1|paribhāṣ:1|jalaukā:1|ṣaṣ:1|nāsā:1|ātyayika:1|ṛtu:1|dvividha:1|vyādhi:1|atipravṛtti:1
agnikArya		agnikārya	10	10	vīṇā:1|śrāddha:1|vimatsara:1|vāc:1|dāna:1|kanyā:1|adhaḥśayyā:1|dhyāna:1|vāgyata:1|arcana:1
agnikAzWa		agnikāṣṭha	2	2	śarīra:1|saṁdhyā:1
agnikuRqa		agnikuṇḍa	19	20	madhya:2|vidhi:1|aguru:1|āśrama:1|divasa:1|aṅgula:1|patnī:1|gṛhastha:1|deva:1|praharaṇa:1|nibha:1|āyudha:1
agniketu		agniketu	2	4	durdharṣa:3|ākhyā:1
agnikoRa		agnikoṇa	2	2	mahāgaurī:1|durdharṣa:1
agnigarBa		agnigarbha	10	14	agniniryāsa:2|dīptopala:2|agnija:2|jvalanāśman:2|nairṛtya:1|tutthaka:1|āśaya:1|udbhava:1|maṇi:1|dāruṇa:1
agnigfha		agnigṛha	6	6	kevala:1|śailasutā:1|agni:1|upakrama:1|bala:1|sveda:1
agnicityA		agnicityā	2	2	cityā:1|puroḍāśa:1
agnija		agnija	6	8	agnigarbha:2|smṛ:2|sahaja:1|pravac:1|deva:1|tāraka:1
agnijAra		agnijāra	19	26	smṛ:4|tāpa:3|agniniryāsa:2|tridoṣa:2|dvaya:1|saṁnibha:1|rāsnā:1|apaha:1|uṣṇa:1|nava:1|niṣka:1|śakti:1
agnijihvA		agnijihvā	2	2	vidyujjvālā:1|arṇava:1
agnijvAlA		agnijvālā	4	5	subhikṣā:2|mahājvāla:1|citrapattrī:1|dhātakī:1
agnitap		agnitap	1	1	āgneyī:1
agnitejas		agnitejas	3	3	viṣṇu:1|niścara:1|ṛṣi:1
agnitraya		agnitraya	5	5	samīpa:1|vapuṣmant:1|vahni:1|ekaika:1|agni:1
agnitretA		agnitretā	2	2	āhavanīya:1|anusārin:1
agnida		agnida	9	11	garada:3|garīyas:1|bhakta:1|taskara:1|sarvādi:1|unmad:1|hasta:1|loka:1|śastra:1
agnidagDa		agnidagdha	2	3	anagnidagdha:2|kīnāśa:1
agnidagDa		agnidagdha	2	3	anagnidagdha:2|kīnāśa:1
agnidatta		agnidatta	7	7	khyātimat:1|anagnidagdha:1|ākhyā:1|devī:1|suta:1|bhartṛ:1|dvija:1
agnidamanI		agnidamanī	12	14	bṛhatī:3|dāva:1|abhidhā:1|dvaya:1|mātṛ:1|vākucī:1|uṣṇa:1|vahnidamanī:1|rūkṣa:1|lāṅgalī:1|karavīra:1|duḥsparśā:1
agnidIpti		agnidīpti	6	7	ruci:2|amla:1|kṛt:1|aroga:1|utsāha:1|lāghava:1
agniD		agnidh	4	5	neṣṭra:2|suhastya:1|brāhmī:1|dhṛtadakṣa:1
agniDAna		agnidhāna	4	6	pada:2|dabh:2|ṛtāy:1|putra:1
agniniryAsa		agniniryāsa	3	5	agnijāra:2|agnigarbha:2|jantukā:1
