slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
hArda		3	3	27	29	0	0	0.0000	0	0	0	R2_no_wordsem_tag
hArtra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hAsyakft		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hIhIkAra		1	1	2	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
haMsakAkIya		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
haMsaprapatana		1	1	1	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
harAdri		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
haramuja		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hariBakta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
hariRahfdaya		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
haridrika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
haryaSva	2	3	3	33	75	3	6	0.0800	0	0	0	R0_grounding_not_computed
haryavana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hastasidDi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hastikarRapalASa		1	1	1	5	1	1	0.2000	0	0	0	R0_grounding_not_computed
hastipada	1	1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
heli		3	3	13	3	2	3	1.0000	0	0	0	R0_grounding_not_computed
hetuvAdin		1	1	1	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
hfdisTa		1	1	8	36	0	0	0.0000	0	0	0	R2_no_wordsem_tag
hiRqika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
himaja		3	3	6		0	0		0	0	0	R1_lemma_absent_from_dcs
himakUwa	2	1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
himatviz		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
hiraRyakftacUqa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hiraRyatejas		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hlIku		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
hradavya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
hruqu		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
huraScit		1	1	3	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
iNg		2	2	15	11	1	1	0.0909	0	0	0	R0_grounding_not_computed
ihasTAna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
ikzuganDa		6	6	16	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
illala		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
inDanavant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
indrABa		1	1	3	4	0	0	0.0000	0	0	0	R2_no_wordsem_tag
indraBaginI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
indramAdana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
indratva		2	2	4		0	0		0	0	0	R1_lemma_absent_from_dcs
indriya		6	6	166	2664	16	233	0.0875	0	0	0	R0_grounding_not_computed
induBavA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
induvrata		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
itimAtram		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
itvara		6	6	12	4	1	1	0.2500	0	0	0	R0_grounding_not_computed
ityarTa		1	1	1	12	0	0	0.0000	0	0	0	R2_no_wordsem_tag
iz	2	2	2	18	4534	21	385	0.0849	0	0	0	R0_grounding_not_computed
izupuNKA		1	1	1	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
izvAsa		2	2	14	539	2	56	0.1039	0	0	0	R0_grounding_not_computed
jANgulika		1	1	5	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
jAlakzIrya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jAmbUnada	1	2	2	20	168	5	69	0.4107	0	0	0	R0_grounding_not_computed
jAna	2	1	1	1	6	1	2	0.3333	0	0	0	R0_grounding_not_computed
jAtarUpaSila		1	1	1	0	1	1		0	0	0	R0_grounding_not_computed
jAwilika		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
jEgIzavya		1	1	11	49	0	0	0.0000	0	0	0	R2_no_wordsem_tag
jEmanta		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
jIrRaPaYjI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
jIvitavya		3	3	9		0	0		0	0	0	R1_lemma_absent_from_dcs
jUtimant		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jYAtaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jaNGa		2	2	40		0	0		0	0	0	R1_lemma_absent_from_dcs
jagadISvara		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
jagatya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jagmi		1	1	12	8	0	0	0.0000	0	0	0	R2_no_wordsem_tag
jalAluka		2	2	4		0	0		0	0	0	R1_lemma_absent_from_dcs
jaladAna		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jana	1	4	3	151	3519	18	351	0.0997	0	0	0	R0_grounding_not_computed
janayizRu		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
janman		12	12	86	1556	18	102	0.0656	0	0	0	R0_grounding_not_computed
jaqASaya		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
jaqa		9	9	95	231	4	14	0.0606	0	0	0	R0_grounding_not_computed
jartika		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
javana	1	8	7	37	71	3	7	0.0986	0	0	0	R0_grounding_not_computed
jayAkara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jayApIqa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
jayin		3	3	20	34	1	1	0.0294	0	0	0	R0_grounding_not_computed
jozas		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
jyotizkaraRqaka		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
kASya	1	1	1	26	34	1	2	0.0588	0	0	0	R0_grounding_not_computed
kASyapIBuj		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kAYcanavega		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kAkiRi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kAlakandaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kAlakuYca		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kAmIna		1	1	3	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kAmapAla		1	1	4	17	1	2	0.1176	0	0	0	R0_grounding_not_computed
kAnanAri		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kAntotpIqA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kApAlin		3	3	5	5	1	1	0.2000	0	0	0	R0_grounding_not_computed
kApotaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kApyakAra		2	2	3		0	0		0	0	0	R1_lemma_absent_from_dcs
kAryakAraRatva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kArzman		1	1	3	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kAsa	3	1	1	5	903	2	174	0.1927	0	0	0	R0_grounding_not_computed
kEriSi		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kEtavaka		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kIlaka		1	1	21	40	2	3	0.0750	0	0	0	R0_grounding_not_computed
kORapa		2	2	6	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kOSikapriya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kOYjara		2	2	6	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kOla		4	4	10	16	1	3	0.1875	0	0	0	R0_grounding_not_computed
kOravya		1	1	23	339	7	14	0.0413	0	0	0	R0_grounding_not_computed
kOzArava		1	1	8	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kUq		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kaMja		4	4	17		0	0		0	0	0	R1_lemma_absent_from_dcs
kaNkata		2	2	12	8	1	1	0.1250	0	0	0	R0_grounding_not_computed
kaRIyaMs		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kaRWatas		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kaRaBuj		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
kaRw		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
kaWaSAWa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kaYjARa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kacCeSvara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kaceSvara		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kadaka		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
kakzIkaraRa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kalama		3	2	15	34	1	12	0.3529	0	0	0	R0_grounding_not_computed
kalki		1	1	20	16	1	1	0.0625	0	0	0	R0_grounding_not_computed
kalpaDenu		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kalukka		3	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kamalAyuDa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kamalaBidA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kambalaka		1	1	1	2	2	2	1.0000	0	0	0	R0_grounding_not_computed
kamparAja		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kanTA		4	4	27	18	2	5	0.2778	0	0	0	R0_grounding_not_computed
kanakarasa		2	2	3	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
kandaguqUcI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kandarodBavA		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
kanizWa		6	6	52	79	3	15	0.1899	0	0	0	R0_grounding_not_computed
kapAlaSiras		1	1	3	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kapAlasPowa		1	1	2	7	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kapiketana		1	1	1	7	1	6	0.8571	0	0	0	R0_grounding_not_computed
kapilapaYcarAtra		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kapola		3	3	18	135	1	2	0.0148	0	0	0	R0_grounding_not_computed
karIzaka		1	1	1	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karRapattraBaNga		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karRasaMsrAva		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
karRaveDanI		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karRaviz		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
karaBUzaRa		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karapuwa		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
kardaminI		1	1	1	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karkaweSa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
karmin		1	1	22	53	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karparAla		1	1	3	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
karta		1	1	15	10	1	1	0.1000	0	0	0	R0_grounding_not_computed
kawaGoza		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
keSa	2	1	1	2	841	4	92	0.1094	0	0	0	R0_grounding_not_computed
keSapiNgala		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kedAranATa		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kekara		1	1	7	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kela		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kfcCrin		1	1	3	5	1	1	0.2000	0	0	0	R0_grounding_not_computed
kfmilASva		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kfsara		1	1	39	39	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kftaparva		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kftikara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kftin		4	4	41	162	3	4	0.0247	0	0	0	R0_grounding_not_computed
kftyakalpataru		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kfzRaSfNga		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kfzRasundara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kfzRatila		1	1	3	6	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kiMrAjan		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kiNkaRI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kizkuparvan		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kloman		1	1	32	35	1	5	0.1429	0	0	0	R0_grounding_not_computed
koReya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
koSakAraka		1	1	2	2	1	2	1.0000	0	0	0	R0_grounding_not_computed
kokilekzu		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kolvagireya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kopakrama	1	1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kozaDAvana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
krImARa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
krOYcabanDa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
krOqi		1	1	1	0	1	1		0	0	0	R0_grounding_not_computed
kramAgata		1	1	12		0	0		0	0	0	R1_lemma_absent_from_dcs
kramitar		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
krap		1	1	12		0	0		0	0	0	R1_lemma_absent_from_dcs
kravya		1	1	9	24	3	4	0.1667	0	0	0	R0_grounding_not_computed
krozwuPala		1	1	2	0	0	0		0	0	0	R2_no_wordsem_tag
kuRi		4	4	17	24	2	2	0.0833	0	0	0	R0_grounding_not_computed
kuRqagolaka		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kuRqalanA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kuhakka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kuhvAna		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kuj		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
kujanman		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kulahaRqaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kuliSalepa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kumArADyApaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kumAridatta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kumBalA		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kupARi		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kuruRwaka		1	1	7	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kurukandaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kutApasa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kuvIRA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kuvastra		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kuwicara		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kzEta		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
kzIRAzwakarman		1	1	1	0	0	0		0	0	0	R2_no_wordsem_tag
kzIrapa		1	1	4	12	1	2	0.1667	0	0	0	R0_grounding_not_computed
kzIrazazwika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kzOra		2	2	15	7	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kzaRadAcara		1	1	8	5	1	4	0.8000	0	0	0	R0_grounding_not_computed
kzamApati		1	1	1	0	1	1		0	0	0	R0_grounding_not_computed
kzapA		2	2	22	116	3	17	0.1466	0	0	0	R0_grounding_not_computed
kzarya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kzatradeva		1	1	1	13	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kzetrADipa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kzetrapada		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kzetrarakza		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kzoRI		1	1	24	29	1	1	0.0345	0	0	0	R0_grounding_not_computed
kzuDAmAra		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kzudranAsika		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kzudrapAzARaBedA		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
kzudravArtAkI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
kzullatAta		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
kzumA		4	4	13	4	1	1	0.2500	0	0	0	R0_grounding_not_computed
lAWy		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lAvAkza		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
lIlAcala		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lOhaSaNku		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
lOhakAri		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
laGucCadA		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
laGupattraka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
laNGatI		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
laNgaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
laka		2	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
lakzmaRAcArya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
lakzmaRadeva		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
lakzmaRakavaca		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lalAmagu		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lalana		6	6	53	6	1	1	0.1667	0	0	0	R0_grounding_not_computed
lavaNga		1	1	15		0	0		0	0	0	R1_lemma_absent_from_dcs
lavaRIkar		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lohitakzaya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lokaBAvin		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lokasTiti		1	1	4	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
lomaharzaRaka		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
lubDatA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mADavacarita		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mADvIka		1	1	19	17	1	1	0.0588	0	0	0	R0_grounding_not_computed
mANguzya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mAhA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mAkuli		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mAkzikaPala		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mAlIya		1	1	1	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mAluka		1	0	0	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mAlyapuzpa		1	1	2	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
mAnavarjita		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
mAqArya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mArqAkava		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mArqIka		1	1	5	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mArtARqa		2	2	8	9	4	4	0.4444	0	0	0	R0_grounding_not_computed
mArza		2	2	8	52	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mAsakAlika		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mAsaka		1	1	2	4	1	1	0.2500	0	0	0	R0_grounding_not_computed
mAtaNga		8	8	56		0	0		0	0	0	R1_lemma_absent_from_dcs
mAtar	1	10	10	123		0	0		0	0	0	R1_lemma_absent_from_dcs
mAtfzvasar		1	1	13		0	0		0	0	0	R1_lemma_absent_from_dcs
mETunikA		1	1	1	1	1	1	1.0000	0	0	0	R0_grounding_not_computed
mEreya		1	1	27	35	2	7	0.2000	0	0	0	R0_grounding_not_computed
mOYjavata		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
mOlin		3	3	6	10	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mOryadatta		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mUQamati		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mUlakArikA		1	1	1	2	1	2	1.0000	0	0	0	R0_grounding_not_computed
mUlapraRihita		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
mUrRa		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
mUtrAGAta		1	1	9	33	1	2	0.0606	0	0	0	R0_grounding_not_computed
mUzala		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
maDUla		6	4	8	2	1	1	0.5000	0	0	0	R0_grounding_not_computed
maDUtsava		1	1	4	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
maDuDArA		2	2	3		0	0		0	0	0	R1_lemma_absent_from_dcs
maDurodaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
maDuvilA		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
maDyamaSI		1	1	4	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
maDyamakAlaMkAra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
maDyamakeya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
maDyatA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
maGadeya		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
maNgalacCAya		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
maNgapuzpa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
maRqalADipa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
maSaharI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
maYjusOraBa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
madAvasTA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
madanAgraka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
madanecCAPala		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
madgurasI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
madrAjanI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
madvan		1	1	4	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mahABizeka		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
mahADana	1	4	4	14	107	2	19	0.1776	0	0	0	R0_grounding_not_computed
mahAPala	1	2	2	2	6	1	1	0.1667	0	0	0	R0_grounding_not_computed
mahASItavatI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
mahASUdra		1	1	6	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mahAbIjya		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAbalasUtra		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahApArevata		1	1	2	2	0	0	0.0000	0	0	0	R2_no_wordsem_tag
mahApAtra		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
mahApEWInasi		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
mahApadmasaras		1	1	5		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAromaSa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAsAmanta		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAsattva	3	1	1	1	464	4	12	0.0259	0	0	0	R0_grounding_not_computed
mahAsmfti		1	1	3		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAstoma		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAtyAga	2	2	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahAvana	2	1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahIsUnu		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahakka		3	2	4		0	0		0	0	0	R1_lemma_absent_from_dcs
mahanta		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mahendra		7	7	109	111	3	45	0.4054	0	0	0	R0_grounding_not_computed
mahendranagarI		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
maheraRA		1	1	4	3	0	0	0.0000	0	0	0	R2_no_wordsem_tag
majjArasa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
makarakawI		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
malinIBU		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mallavAstu		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
manAnak		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
manTin		5	5	25	4	1	1	0.2500	0	0	0	R0_grounding_not_computed
manTodaka		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
manasAdattA		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
manasAjYAyin		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mandaprajYa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
manday		1	1	1	5	0	0	0.0000	0	0	0	R2_no_wordsem_tag
manmaTAnanda		1	1	2	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
manojU		1	1	7		0	0		0	0	0	R1_lemma_absent_from_dcs
manomuh		1	1	1	1	0	0	0.0000	0	0	0	R2_no_wordsem_tag
manovedaSiras		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
manoyuj		2	2	10		0	0		0	0	0	R1_lemma_absent_from_dcs
mantraRa		1	1	15	7	1	2	0.2857	0	0	0	R0_grounding_not_computed
marS		3	3	297		0	0		0	0	0	R1_lemma_absent_from_dcs
mark		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
marudvipa		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
marzaRIya		1	1	6		0	0		0	0	0	R1_lemma_absent_from_dcs
masivarDana		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mask		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
mastuluNga		1	1	11	13	1	5	0.3846	0	0	0	R0_grounding_not_computed
mat		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
matsyAd		1	1	1		0	0		0	0	0	R1_lemma_absent_from_dcs
mattAkrIqA		1	1	4		0	0		0	0	0	R1_lemma_absent_from_dcs
medasvin		1	1	2	9	0	0	0.0000	0	0	0	R2_no_wordsem_tag
medini		1	0	0		0	0		0	0	0	R1_lemma_absent_from_dcs
mfdBARqa		1	1	2		0	0		0	0	0	R1_lemma_absent_from_dcs
