pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
COLEBR. MISC. ESS	361	0.0488	DCS-LACKS					? [Cologne Addition]
HIOUEN-THSANG	353	0.0477	DCS-LACKS					Histoire de la vie de HIOUEN-THSANG et de ses voya- ges dans l'Inde, traduite du Chinois par STANISLAS YULIEN. Paris 185
ṢAḌV. BR	351	0.0475	DCS-HAS-UNMAPPED	Ṣaḍviṃśabrāhmaṇa	7540	yes		ṢAḌVIṂŚABRĀHMAṆA.
MED. L	349	0.0472	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
MAHĪDH	340	0.0460	DCS-LACKS					MAHĪDHARA, Scholiast der VS.
SCHIEFNER, LEBENSB	333	0.0450	DCS-LACKS					
INDR	329	0.0445	DCS-LACKS					INDRALOKĀGAMANA in BOPP'S Ardschuna's Reise zu Indra's Him- mel u. s. w.
MALLIN	327	0.0442	DCS-LACKS					MALLINĀTHA.
HEM	325	0.0439	DCS-LACKS					HEMACANDRA ? [Cologne Addition]
SĀV	323	0.0437	DCS-LACKS					SĀVITRYUPĀKHYĀNA, ed. BOPP (GILD. Bibl. 106).
VĀSAVAD	319	0.0431	DCS-LACKS					? [Cologne Addition]
MADHUS	319	0.0431	DCS-LACKS					MADHUSŪDANASARASVATĪ'S PRASTHĀNABHEDA in den Indischen Studien, I, S. 13--24.
SAṂSK. K	318	0.0430	DCS-LACKS					SAṂSKĀRAKAUSTUBHA von ANANTADEVA. Lith. Ausg. in folio ohne Angabe des Ortes und des Yahres.
TATTVAS	313	0.0423	DCS-LACKS					A Lecture on the Sánkhya Philosophy, embracing the text of the Tattwa Samása. Mirzapore 1850.
