pwg_abbrev	citations	share_pct	status	dcs_text	dcs_tokens	tuple_comparable	scheme_verified	pwgbib_source_name
P. I, S	1	0.0001	DCS-LACKS					PĀṆINI'S acht Bücher grammatischer Regeln (GILD. Bibl. 244).
TROY	1	0.0001	DCS-LACKS					TROYER ? [Cologne Addition]
WILSON, THEATRE OF THE HINDUS II,	1	0.0001	DCS-LACKS					
N II,	1	0.0001	DCS-LACKS					NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathie (GILD. Bibl. 49). Die BOPP'sche Ausgabe (GILD. Bibl. 99) ist durch N. (BOPP) b
NACHSCHR. ZU M	1	0.0001	DCS-LACKS					
ŚABDAKAUSTUBHA	1	0.0001	DCS-LACKS					ŚABDAKAUSTUBHA ? [Cologne Addition]
HARṢACAR	1	0.0001	DCS-LACKS					? [Cologne Addition]
VERZ. DER B. H. NO	1	0.0001	DCS-LACKS					
EBEND. (S	1	0.0001	DCS-LACKS					
VEDĀNTAŚIKH	1	0.0001	DCS-LACKS					? [Cologne Addition]
HIT. ED. JOHNS. III,	1	0.0001	DCS-HAS-UNMAPPED	Hitopadeśa	25040	yes		HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine darauf folgende römische Zahl bezeichnet das Buch, eine arab
JĪVANMUKTIVIV	1	0.0001	DCS-LACKS					= ? [Cologne Addition]
HARṢACARITA	1	0.0001	DCS-LACKS					? [Cologne Addition]
STENZLERʼSCHE AUSG	1	0.0001	DCS-LACKS					
ŚĀK. XI. FGG	1	0.0001	DCS-LACKS					ŚĀKUNTALA, das Drama in der Ausgabe von BÖHTLINGK (GILD. Bibl. 191). Eine einfache Zahl bezeichnet den Śloka, eine doppe
OR. U. OCC	1	0.0001	DCS-LACKS					
LITHOGRAPHIRTE AUSGABE IN BOMBAY	1	0.0001	DCS-LACKS					
ŚAṂKARAVIJ	1	0.0001	DCS-LACKS					? [Cologne Addition]
VIŚVAN	1	0.0001	DCS-LACKS					
KĀVYAKAUMUDĪ	1	0.0001	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. V, N VI. XIII. II,	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
HEMAC	1	0.0001	DCS-LACKS					HEMACANDRA ? [Cologne Addition]
CĀTAK	1	0.0001	DCS-LACKS					? [Cologne Addition]
AŚVINORUTPATTIḤ	1	0.0001	DCS-LACKS					? [Cologne Addition]
BENFEYʼS UEBERSETZUNG BD. II, NOTE	1	0.0001	DCS-LACKS					
DĀYAKRAM	1	0.0001	DCS-LACKS					? [Cologne Addition]
ORIENT UND OCCIDENT II,	1	0.0001	DCS-LACKS					
JOURN. AS. IVE SÉRIE	1	0.0001	DCS-LACKS					
VRATARĀJA EBEND	1	0.0001	DCS-LACKS					? [Cologne Addition]
LITHOGR. BOMBAY, ŚAKA	1	0.0001	DCS-LACKS					
HÖFER, LESEB	1	0.0001	DCS-LACKS					
KOṢṬHĪPRAD	1	0.0001	DCS-LACKS					? [Cologne Addition]
RATNAMATI	1	0.0001	DCS-LACKS					? [Cologne Addition]
GARUḌAP	1	0.0001	DCS-LACKS					GARUḌA-PURĀṆA? [Cologne Addition]
DHARMADĪPIKĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
DVĀVIṂŚATYAVAD	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚĀK. ED. PREM	1	0.0001	DCS-LACKS					ŚĀKUNTALA, das Drama in der Ausgabe von BÖHTLINGK (GILD. Bibl. 191). Eine einfache Zahl bezeichnet den Śloka, eine doppe
ṚV. I, XXVII	1	0.0001	DCS-HAS-UNMAPPED	Ṛgveda	169972	yes		ṚGVEDA. Es wird nach Maṇḍala, Sūkta und Ṛc citirt. ROSEN zu ṚV. verweist auf die Anmerkungen in: Rigveda-Sanhita, liber 
BĀLAKĀSYA	1	0.0001	DCS-LACKS					? [Cologne Addition]
CANDRAGOMIN	1	0.0001	DCS-LACKS					? [Cologne Addition]
ARIEL	1	0.0001	DCS-LACKS					
JOURN. ASIAT. IV SÉR. XI,	1	0.0001	DCS-LACKS					
YĀDAVA A. A. O	1	0.0001	DCS-LACKS					? [Cologne Addition]
DOLĀYĀTRĀPADDHATI	1	0.0001	DCS-LACKS					? [Cologne Addition]
UḌĀDIK	1	0.0001	DCS-LACKS					? [Cologne Addition]
IBN HAUQAL	1	0.0001	DCS-LACKS					
DE REBUS INDICIS ETC	1	0.0001	DCS-LACKS					
Z	1	0.0001	DCS-LACKS					? [Cologne Addition]
AVIC. EBEND	1	0.0001	DCS-LACKS					
KULACANDRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
DURGAṬĪKĀṬIPPANI	1	0.0001	DCS-LACKS					? [Cologne Addition]
JIRṆAMAÑJARI	1	0.0001	DCS-LACKS					? [Cologne Addition]
MÉL. ASIAT. IV	1	0.0001	DCS-LACKS					
MED Ḍ	1	0.0001	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
PAÑCAV. BR.,	1	0.0001	DCS-HAS-UNMAPPED	Pañcaviṃśabrāhmaṇa	29329	yes		PAÑCAVIṂŚABRĀHMAṆA ? [Cologne addition]
STENZL	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚĀŚV	1	0.0001	DCS-LACKS					? [Cologne Addition]
GROHMANN	1	0.0001	DCS-LACKS					? [Cologne Addition]
Z. D. D. M. G. IX, LXVIII	1	0.0001	DCS-LACKS					? [Cologne Addition]
PARIBH	1	0.0001	DCS-LACKS					? [Cologne Addition]
BĀPŪDEVA	1	0.0001	DCS-LACKS					? [Cologne Addition]
AIŚĀNASAṂH	1	0.0001	DCS-LACKS					? [Cologne Addition]
HAUG, AIT. BR. S	1	0.0001	DCS-LACKS					
HAUG, AIT. BR S	1	0.0001	DCS-LACKS					
YOGASĀRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
NYĀYASŪTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XXXI. FG	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
MAHANĀṬ	1	0.0001	DCS-LACKS					? [Cologne Addition]
WILSON, TH. OF THE H. II	1	0.0001	DCS-LACKS					
B	1	0.0001	DCS-LACKS					BÖHTLINGK ? [Cologne Addition] usu. preceded by 'z.'
IND. ZUM HALĀY	1	0.0001	DCS-LACKS					
LIA. I, ANH. XXXIII. II,	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
JOURN	1	0.0001	DCS-LACKS					
BHĀG. P. I, EINL. LXX, N	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BODHICĀRYĀV	1	0.0001	DCS-LACKS					? [Cologne Addition]
KRAMASAṂD	1	0.0001	DCS-LACKS					? [Cologne Addition]
PREFACE, XIX	1	0.0001	DCS-LACKS					
DR. H. KERN	1	0.0001	DCS-LACKS					
VERZ. D. OXF. H S	1	0.0001	DCS-LACKS					
NAX. II,	1	0.0001	DCS-LACKS					? [Cologne Addition]
RAGH. III	1	0.0001	DCS-LACKS					RAGHUVAṂŚA, ed. STENZLER (GILD. Bibl. 134).
AṢṬĀVAKRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
DHANVANTARIʼS NIGHAṆṬU	1	0.0001	DCS-LACKS					
ŚAṂKARĀNANDADĪPAKĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
GĀYATRĪVYĀKHYĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
ERKLÄRERN ZU AK	1	0.0001	DCS-LACKS					
TBR II, S	1	0.0001	DCS-HAS-UNMAPPED	Taittirīyasaṃhitā	47989	yes		TAITTIRĪYABRĀHMAṆA.
AJĀTAŚATRU	1	0.0001	DCS-LACKS					? [Cologne Addition]
PUṢPA	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHĀG. P. I, LXV	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
ATHARVAŚIR. UP	1	0.0001	DCS-LACKS					? [Cologne Addition]
ANEKĀRTHADHVANIMAÑJARĪ	1	0.0001	DCS-LACKS					? [Cologne Addition]
VP. (S	1	0.0001	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
ALBYR	1	0.0001	DCS-LACKS					? [Cologne Addition]
VṚDDHA-MANU	1	0.0001	DCS-LACKS					? [Cologne Addition]
JOURN. OF THE AS. S. OF B. IV,	1	0.0001	DCS-LACKS					
BHĀG. P. I, LXXX	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BHĀG. P. I, LXV. N	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
AN	1	0.0001	DCS-LACKS					
ĀDYAVAHNIPURĀṆA	1	0.0001	DCS-LACKS					? [Cologne Addition]
HIOUEN-THSANG I	1	0.0001	DCS-LACKS					Mémoires sur les contrées occidentales, traduits du sanscrit en chinois, en l'an 648, par Hiouen-thsang, et du chinois e
SĀṂKṢIPTAS. EBEND	1	0.0001	DCS-LACKS					? [Cologne Addition]
MON. WILL	1	0.0001	DCS-LACKS					? [Cologne Addition]
KĀŚ. A. A. O	1	0.0001	DCS-HAS-UNMAPPED	Kāśikāvṛtti	2875	no		KĀŚIKĀVṚTTI; s. die Einleitung zu BÖHTLINGK'S Ausgabe des PĀṆINI, S. LIII.
VP EINL. XXXIX	1	0.0001	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
VP. EINL. XL. FG	1	0.0001	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
LIA. I. ANH. XLI	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
LIA. II	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
VAṂŚA-BR	1	0.0001	DCS-LACKS					VAṂŚABRĀHMAṆA ? [Cologne Addition]
VERZ. D. H	1	0.0001	DCS-LACKS					
B. NO	1	0.0001	DCS-LACKS					BÖHTLINGK ? [Cologne Addition] usu. preceded by 'z.'
VERZ. D. OXF. H. T, A	1	0.0001	DCS-LACKS					
VASĀVAD	1	0.0001	DCS-LACKS					
BHĀG. P. I, LXXVII	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
GAṆEŚOPAP	1	0.0001	DCS-LACKS					? [Cologne Addition]
JĀTARATNA	1	0.0001	DCS-LACKS					? [Cologne Addition]
CAITANYACANDROD	1	0.0001	DCS-LACKS					? [Cologne Addition]
WILSON IN DER	1	0.0001	DCS-LACKS					? [Cologne Addition]
BENF. SV	1	0.0001	DCS-LACKS					? [Cologne Addition]
JOURN. ASIAT. IVE S. T. XI,	1	0.0001	DCS-LACKS					
COMPENDIUMS DES VAIŚEṢIKA-SYSTEMS, HERAUSG	1	0.0001	DCS-LACKS					
MĀDHAVĪ	1	0.0001	DCS-LACKS					? [Cologne Addition]
SARASVATĪKAṆṬHĀBH. EBEND	1	0.0001	DCS-LACKS					? [Cologne Addition]
SAṂSARGAPRAŚAṂSĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
KÖPPEN II	1	0.0001	DCS-LACKS					? [Cologne Addition]
LIA. T	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
GAYĀMĀH	1	0.0001	DCS-LACKS					? [Cologne Addition]
GĪT. XIII	1	0.0001	DCS-HAS-UNMAPPED	Gītagovinda	6020	yes		GĪTAGOVINDA, ed. LASSEN (GILD. Bibl. 168).
MARĪDH	1	0.0001	DCS-LACKS					? [Cologne Addition]
MÜLLERʼS AUSG. S	1	0.0001	DCS-LACKS					
KAPĪŚĀVAD	1	0.0001	DCS-LACKS					? [Cologne Addition]
WEBER, JYOT NAX. II,	1	0.0001	DCS-LACKS					WEBER, Ueber den Vedakalender, Namens Jyoti- ṣam. Berlin, 1862.
Z. D. D. M. G. IX, LXXI	1	0.0001	DCS-LACKS					? [Cologne Addition]
VEDĀNTASĀRATĪKĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
SŪRYAS. T	1	0.0001	DCS-HAS-UNMAPPED	Sūryasiddhānta	2142	yes		SŪRYASIDDHĀNTA, nach Anführungen in HAUGHTON, A Dict. Beng. and S.
ST. S	1	0.0001	DCS-LACKS					STENZLER.
ŚUK. PET. HDSCHR	1	0.0001	DCS-HAS-UNMAPPED	Śukasaptati	9678	yes		ŚUKASAPTATI in LASSEN'S Anthologie (GILD. Bibl. 48).
MADANAPĀLA	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚAṂKARAJAYA EBEND	1	0.0001	DCS-LACKS					? [Cologne Addition]
PROGR. DER UNIV. BRESLAU	1	0.0001	DCS-LACKS					
HARAVILĀSA	1	0.0001	DCS-LACKS					? [Cologne Addition]
KUHN, HERABKUNFT DER FEUERS, S	1	0.0001	DCS-LACKS					
HĀSYĀRṆAVAN	1	0.0001	DCS-LACKS					? [Cologne Addition]
SĀRASVATĪ PRAKRIYĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚAṂKARAVIJAYA	1	0.0001	DCS-LACKS					? [Cologne Addition]
GĪT. EINL. VIII	1	0.0001	DCS-HAS-UNMAPPED	Gītagovinda	6020	yes		GĪTAGOVINDA, ed. LASSEN (GILD. Bibl. 168).
UTTARARĀMAC. (ED. COW.)	1	0.0001	DCS-LACKS					= ? [Cologne Addition]
ANM. S	1	0.0001	DCS-LACKS					
ĀTMAB	1	0.0001	DCS-LACKS					? [Cologne Addition]
IND. ST. A. A. O	1	0.0001	DCS-LACKS					
BALL. S	1	0.0001	DCS-LACKS					BALLANTYNE ? [Cologne Addition]
GORRESIO I, CXXXI	1	0.0001	DCS-LACKS					? [Cologne Addition]
DRAVYARATNĀKARA	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚYĀMĀR	1	0.0001	DCS-LACKS					? [Cologne Addition]
WEBER, INDISCHE SKIZZEN	1	0.0001	DCS-LACKS					
SPR. (II),	1	0.0001	DCS-LACKS					
MAGHUS	1	0.0001	DCS-LACKS					? [Cologne Addition]
VP. S	1	0.0001	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
ANANDAL	1	0.0001	DCS-LACKS					? [Cologne Addition]
VET. IN LA. (II) AD	1	0.0001	DCS-HAS-UNMAPPED	Vetālapañcaviṃśatikā	814	no		VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).
VP. EINL. LI. FGG	1	0.0001	DCS-HAS-UNMAPPED	Viṣṇupurāṇa	87622	yes		VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung (GILD. Bibl. 133) citirt.
NIGH. PR. EINL	1	0.0001	DCS-HAS-UNMAPPED	Nighaṇṭuśeṣa	2003	yes		NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA. Bombay 1839. 4º.
SIDDHAM	1	0.0001	DCS-LACKS					? [Cologne Addition]
HOMERʼS ILIAD	1	0.0001	DCS-LACKS					
KṚKALĀSADĪPIKĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
BENF. UEBERS. S	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHĀG. P. EINL. I, LXIV	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BHĀG. P. I, LXII, N	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BENFEYʼS DICT	1	0.0001	DCS-LACKS					
CANḌRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
ṚV. COMM. I, S	1	0.0001	DCS-HAS-UNMAPPED	Ṛgveda	169972	yes		ṚGVEDA. Es wird nach Maṇḍala, Sūkta und Ṛc citirt. ROSEN zu ṚV. verweist auf die Anmerkungen in: Rigveda-Sanhita, liber 
LA. (II.)	1	0.0001	DCS-LACKS					LASSEN'S Anthologie (GILD. Bibl. 48).
LIA. I, ANH. L	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
Z. F. D. W. D. S	1	0.0001	DCS-LACKS					? [Cologne Addition]
LIA. I, ANH. XLVII	1	0.0001	DCS-LACKS					LASSEN'S Indische Alterthumskunde.
VAJRASŪCI S	1	0.0001	DCS-LACKS					? [Cologne Addition]
LIT	1	0.0001	DCS-LACKS					? [Cologne Addition]
CHĀND. BR	1	0.0001	DCS-LACKS					? [Cologne Addition]
MAR	1	0.0001	DCS-LACKS					? [Cologne Addition]
KAVIRĀJA EBEND	1	0.0001	DCS-LACKS					? [Cologne Addition]
VYĀḌI A. A. O	1	0.0001	DCS-LACKS					? [Cologne Addition]
ROTH, ZUR L. U. G. DES W	1	0.0001	DCS-LACKS					
KṚIKALĀSADĪPIKĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
DHŪRTAS. IN LA. (II)	1	0.0001	DCS-LACKS					DHŪRTASAMĀGAMA in LASSEN'S Anthologie (GILD. Bibl. 48).
UPARIBHĀGA	1	0.0001	DCS-LACKS					? [Cologne Addition]
GRAHAYAJÑAT	1	0.0001	DCS-LACKS					? [Cologne Addition]
STENZLER, DE LEXICOGR. SANSCR. PRINCIPIIS	1	0.0001	DCS-LACKS					
JOURN. ASIAT. IVE S	1	0.0001	DCS-LACKS					
IND. ZUM TRIK	1	0.0001	DCS-LACKS					
SIDDHĀNTALAKṢAṆA	1	0.0001	DCS-LACKS					? [Cologne Addition]
PTOLEMAIOS	1	0.0001	DCS-LACKS					? [Cologne Addition]
SUMANTUSŪTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
PURUṢOTTAMATATTVA EBEND	1	0.0001	DCS-LACKS					? [Cologne Addition]
LĀṬY. VON	1	0.0001	DCS-LACKS					LĀṬYĀYANA'S SŪTRA zum SV. Hdschr.
SV. PŪRVĀRCIKA, PRAP	1	0.0001	DCS-LACKS					SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt und mit Glossar versehen von THEODOR BENFEY. Leipzig 1848. 
VERZ. D. T. HDSCHRR. S	1	0.0001	DCS-LACKS					
SV. S	1	0.0001	DCS-LACKS					SĀMAVEDA. Die Hymnen des SĀMA-VEDA, herausgegeben, übersetzt und mit Glossar versehen von THEODOR BENFEY. Leipzig 1848. 
VORREDE S. VII, ANM	1	0.0001	DCS-LACKS					
GUPTASĀDHANATATTVA	1	0.0001	DCS-LACKS					? [Cologne Addition]
GUPTASĀDHANATANTRA	1	0.0001	DCS-LACKS					
UNVĀHAT	1	0.0001	DCS-LACKS					? [Cologne Addition]
GAṆAPATIKH	1	0.0001	DCS-LACKS					? [Cologne Addition]
KAULĀRCANADĪPIKĀ	1	0.0001	DCS-LACKS					? [Cologne Addition]
MED. N Y	1	0.0001	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
WILSON A. A. O	1	0.0001	DCS-LACKS					? [Cologne Addition]
NĀGOJĪBHAṬṬA	1	0.0001	DCS-LACKS					? [Cologne Addition]
CAṆḌI	1	0.0001	DCS-LACKS					? [Cologne Addition]
PRAKṚTIKH	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚAKTISAṂGAMATANTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
MED. GH. Y	1	0.0001	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
ŚABDĀR	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHAVADEVABH	1	0.0001	DCS-LACKS					BHAVADEVA BHAṬṬA ? [Cologne Addition]
FOUCAUX (S	1	0.0001	DCS-LACKS					? [Cologne Addition]
YOGINĪTANTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
DAMAYANTĪK	1	0.0001	DCS-LACKS					? [Cologne Addition]
SARVADARŚANASAṂGR	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHARTṚ. (LITH. AUSG.)	1	0.0001	DCS-LACKS					BHARTṚHARI, Ausg. von BOHLEN (GILD. Bibl. 156), mit Berück- sichtigung des Werkchens; Variae lectiones ad Bohlenii editi
RĀJAMĀRTAṆDA	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHĪMAPARĀKRAMA	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHUVANEŚVARĪSTOTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
BAHVṚCAGṚHYAPADDHATI	1	0.0001	DCS-LACKS					? [Cologne Addition]
DURGĀSTAVA	1	0.0001	DCS-LACKS					
ŚIVARAH	1	0.0001	DCS-LACKS					
JOURN. OF THE AS. SOC. OF BENG	1	0.0001	DCS-LACKS					
BHĀG. P. I, LXVI	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
FRITZE	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHĀG. P. I, LXII	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
BHĀNUDĪKṢ	1	0.0001	DCS-LACKS					? [Cologne Addition]
CAITANYAC	1	0.0001	DCS-LACKS					? [Cologne Addition]
LASSEN, DE PENT	1	0.0001	DCS-LACKS					
ŚĪTALĀSTOTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
UGJVAL	1	0.0001	DCS-LACKS					? [Cologne Addition]
GOPĀLATĀP	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHAG. ED. SCHL. S	1	0.0001	DCS-LACKS					BHAGAVADGĪTĀ, Ausg. von SCHLEGEL (GILD. Bibl. 116).
UTPALINĪKOŚA	1	0.0001	DCS-LACKS					
UTPALINĪK. A. A. O	1	0.0001	DCS-LACKS					? [Cologne Addition]
VṚDDHA-CĀṆ. EINL	1	0.0001	DCS-LACKS					VṚDDHACĀṆAKYA ? [Cologne Addition]
SĀRASAṂGRAHA	1	0.0001	DCS-LACKS					? [Cologne Addition]
YĀJÑ. V. FG	1	0.0001	DCS-HAS-UNMAPPED	Yājñavalkyasmṛti	14280	yes		YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und Deutsch herausge- geben von Dr. ADOLPH FRIEDRICH STENZLER. Berlin und London 1849
J. MUIR, J. A. S. N. S. I,	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHĀG. P. I, XXXIX	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
SAṂVATSARAKAUMUDĪ	1	0.0001	DCS-LACKS					? [Cologne Addition]
NIR. EINL. XIX	1	0.0001	DCS-LACKS					YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S herausgegeben und erklärt von RUDOLPH ROTH. Göttingen 1852.
BRAHMAVAIV. P., PRAKṚITIKH	1	0.0001	DCS-LACKS					? [Cologne Addition]
R. IN LA. (II)	1	0.0001	DCS-HAS-UNMAPPED	Rāmāyaṇa	261568	no		RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten Büchern die Ausgabe von SCHLEGEL (GILD. Bibl. 84), bei den vie
RATIR	1	0.0001	DCS-LACKS					? [Cologne Addition]
BHĀG. P. I, LXVII	1	0.0001	DCS-HAS-UNMAPPED	Bhāgavatapurāṇa	77801	yes		BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR. Von an sind die 9 von BURNOUF edirten Skandha (Gild. Bibl. 125) ausge
LIṄGĀRCANATANTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
ŚKDR SUPPL	1	0.0001	DCS-LACKS					ŚABDAKALPADRUMA (GILD. Bibl. 371).
NIGH. PR. S	1	0.0001	DCS-HAS-UNMAPPED	Nighaṇṭuśeṣa	2003	yes		NIGHAṆṬA PRAKĀŚA von BĀPŪ GAṄGĀDHARA. Bombay 1839. 4º.
KHAḌGAMĀLĀTANTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
BULL. DE LʼACAD. IMP. DES SC. DE ST. P	1	0.0001	DCS-LACKS					
ŚĀRṄG. PADDH. PET. HDSCHR	1	0.0001	DCS-HAS-UNMAPPED	Śārṅgadharasaṃhitādīpikā	14766	no		ŚĀRṄGADHARA'S PADDHATI; vgl. Bulletin historico-philo- logique de l'Académie Impériale des sciences de St.-Pétersbourg. 
BRAHMASIDDH	1	0.0001	DCS-LACKS					
PTOLEM	1	0.0001	DCS-LACKS					? [Cologne Addition]
LITHOGR. BOMBAY	1	0.0001	DCS-LACKS					
GILD. BIBL. NO	1	0.0001	DCS-LACKS					Scriptorum Arabum de Rebus Indi- cis loci et opuscula inedita. Ad codicum Pariss. etc. fidem recensuit et illustravit Y.
MIT II,	1	0.0001	DCS-LACKS					MITĀKṢARĀ, ed. Calc. 1829 (GILD. Bibl. 314).
VET. IN LA. [II]	1	0.0001	DCS-HAS-UNMAPPED	Vetālapañcaviṃśatikā	814	no		VETĀLAPAÑCAVIṂŚATI in LASSEN'S Anthologie (LA).
MED. R. Ṣ	1	0.0001	DCS-LACKS					MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu- nächst nach dem letzten Consonanten im Worte angeordnet: al
JAGADDH	1	0.0001	DCS-LACKS					? [Cologne Addition]
ACYUTA	1	0.0001	DCS-LACKS					? [Cologne Addition]
DHĀTUP. A. A. O	1	0.0001	DCS-LACKS					DHĀTUPĀṬHA in WESTERGAARD'S Radices (GILD. Bibl. 42).
UPAL. S	1	0.0001	DCS-LACKS					UPALEKHA de KRAMAPĀṬHA libellus. Ed. G. PERTSCH. Berolini 1854. 8º.
SĀH. D. P	1	0.0001	DCS-LACKS					SĀHITYADARPAṆA, auf den 10 ersten Bogen nach der Ausgabe von 1828 (GILD. Bibl. 264), auf den folgenden Bogen, wenn nicht
UTPATTITANTRA	1	0.0001	DCS-LACKS					? [Cologne Addition]
SAṂPUṬODBHAVA	1	0.0001	DCS-LACKS					? [Cologne Addition]
