root_slp1	hw_dev	in_verbs01	hindi_gloss
ah	अह्	Y	जाना, समीप जाना, प्रयाण करना, आरम्भ करना
aj	अज्	Y	जाना
ak	अक्	N	जाना, सांप की तरह टेढ़ा-मेढ़ा चलना
akz	अक्ष्	Y	पहुँचना
al	अल्	Y	सजाना
alpIkf	अल्पीकृ	N	छोटा बनाना, घटाना, संख्या में कमी करना  
am	अम्	Y	जाना,की ओर जाना
amB	अम्भ्	Y	शब्द करना, आवाज करना।
amb	अम्ब्	Y	जाना
an	अन्	Y	सांस लेना,प्रेर० आनयति,सन्नन्त०अनिनिषति।(दिवा० आ०) जीना,’प्र’ उपसर्ग के साथ-जीवि
anD	अन्ध्	N	अंधा बनाना, अंधा करना 
anUpay	अनूपय्	N	बाढ़ ला देना, भर देना
antarBu	अन्तर्भु	N	लीन होना, सम्मिलित होना
antarayati	अन्तरयति	N	बीच में डालना, हटाना, स्थगित करना,विरोध करना,
anuBU	अनुभू	N	अनुकूल आचरण करना
anuGaww	अनुघट्ट्	N	लम्बाई की ओर से सहलाना, रगड़ना
anukUlayati	अनुकूलयति	N	अनुकूल या मुआफिक होना,प्रसन्न होना
anusaMsTA	अनुसंस्था	N	अनुगमन करना, अनुसरण करना
anuyuj	अनुयुज्	N	प्रार्थना करना, याचना करना करना
anvAraB	अन्वारभ्	N	अनुरंजन करना. अनुकूल करना, प्रसन्न करना
anyATaBU	अन्याथभू	N	और तरह होना, बदलना
anyaTA man	अन्यथा मन्	N	और तरह सोचना, संदेह करना
anyaTAkf	अन्यथाकृ	N	दूसरी तरह करना, परिवर्तन करना, बदलना, बिगाड़ना, मिथ्या करना
apasavyam kf	अपसव्यम् कृ	N	दाहिनी ओर रखते हुए किसी की परिक्रमा करना, जनेऊ को दायें कंधे से लटकाना
apehi	अपेहि	N	इस शब्द का अर्थ होता है ""के  बिना"" ""निकाल कर"" सम्मिलत न करके"" 
arG	अर्घ्	Y	मूल्यवान होना,मूल्य रखना,मूल्य लगना
arT	अर्थ्	N	प्रार्थना करना,याचना करना, गिड़गिड़ाना,मांगना,अनुरोध करना,दीन भाव से मांगना
arb	अर्ब्	Y	की ओर जाना
arc	अर्च्	Y	(क) पूजा करना,अभिवादन करना,सत्कार करना, (ख) सम्मान करना अर्थात् अलंकृत करना, सजा
ard	अर्द्	Y	दुःख देना,व्यथित करना,प्रहार करना,चोट पहुँचाना,मारना
argalaM dA	अर्गलं दा	N	कुंडी लगाना,  चटखनी लगाना
arh	अर्ह्	Y	अधिकारी होना, योग्य होना
arj	अर्ज्	Y	उपार्जन करना,उपलब्ध करना,प्राप्त करना,कमाना
ark	अर्क्	N	गर्म करना
as	अस्	Y	होना,रहना,विद्यमान होना
asADu man	असाधु मन्	N	नापसंद करना
asUyati	असूयति	N	डाह करना,ईर्ष्यालु होना मान घटाना,अप्रसन्न होना,घृणा करना,असन्तुष्त होना,क्रुद्ध
astaM yA	अस्तं या	N	छिपना, अस्त होना क्षीण होना
astrARi kf	अस्त्राणि कृ	N	शस्त्रास्त्रों के प्रयोग का अभ्यास करना
at	अत्	Y	जाना, चलना, घूमना, लगातार चलते रहना
av	अव्	Y	रक्षा करना, बचाना
avACid	अवाछिद्	N	फाड़ देना, छिन्न-भिन्न कर देना
avaDIr	अवधीर्	N	अवहेलना करना, अनादर करना, नीचा दिखाना, घृणा करना, तिरस्कार करना
avaDyE	अवध्यै	N	तिरस्कार करना
avaSf	अवशृ	N	टूटना
avaci	अवचि	N	परखना, चुनना, छाँटना
avagal	अवगल्	N	नीचे गिर जाना, फिसल जाना
avahve	अवह्वे	N	पुकारना, बुलाना
avakASaM dA	अवकाशं दा	N	स्थान देना, जगह देना
avakASaM ruD	अवकाशं रुध्	N	रोकना, बाधा डालना
avanizWIv	अवनिष्ठीव्	N	किसी पर थूकना
avaplu	अवप्लु	N	नीचे छलाँग लगानी
