headword	L	root_key	immediate_base	upasarga	derivation_type	source	depth	is_leading_word_compound	chain
praBraMSa	49456	BraMS	pra+BraMS	pra	prefix_root	pwg	2	False	praBraMSa>pra+BraMS>BraMS
praBraMSaTu	49457	BraMS	pra+BraMS	pra	prefix_root	pwg	2	False	praBraMSaTu>pra+BraMS>BraMS
praBraMSin	49458	BraMS	pra+BraMS	pra	prefix_root	pwg	2	False	praBraMSin>pra+BraMS>BraMS
praBraMSuka	49459	BraMS	pra+BraMS	pra	prefix_root	pwg	2	False	praBraMSuka>pra+BraMS>BraMS
praBrazwa	49460	BraMS	pra+BraMS	pra	prefix_root	pwg	2	False	praBrazwa>pra+BraMS>BraMS
pramaNgana	49464	maNg	pra+maNg	pra	prefix_root	pwg	2	False	pramaNgana>pra+maNg>maNg
pramaRas	49465	par	pra		compound	pwg	2	True	pramaRas>pra>par
pramaRqala	49466	par	pra		compound	pwg	2	True	pramaRqala>pra>par
pramataka	49467	pramata	pra+pramata	pra	prefix_root	pwg	2	False	pramataka>pra+pramata>pramata
pramati	49468	man	pra+man	pra	prefix_root	pwg	2	False	pramati>pra+man>man
pramatta	49469	mad	pra+mad	pra	prefix_root	pwg	2	False	pramatta>pra+mad>mad
pramattagIta	49470	par	pra		compound	pwg	2	True	pramattagIta>pra>par
pramaTa	49472	maT	pra+maT	pra	prefix_root	pwg	2	False	pramaTa>pra+maT>maT
pramaTana	49473	maT	pra+maT	pra	prefix_root	pwg	2	False	pramaTana>pra+maT>maT
pramaTAlaya	49474	par	pra		compound	pwg	2	True	pramaTAlaya>pra>par
pramad	49475	mad	pra+mad	pra	prefix_root	pwg	2	False	pramad>pra+mad>mad
pramada	49476	mad	pra+mad	pra	prefix_root	pwg	2	False	pramada>pra+mad>mad
pramada	49477	mad	pra+mad	pra	prefix_root	pwg	2	False	pramada>pra+mad>mad
pramadaka	49478	mad	pra+mad	pra	prefix_root	pwg	2	False	pramadaka>pra+mad>mad
pramadakaRWa	49479	par	pra		compound	pwg	2	True	pramadakaRWa>pra>par
pramadakAnana	49480	par	pra		compound	pwg	2	True	pramadakAnana>pra>par
pramadana	49481	mad	pra+mad	pra	prefix_root	pwg	2	False	pramadana>pra+mad>mad
pramadavana	49483	par	pra		compound	pwg	2	True	pramadavana>pra>par
pramadAkAnana	49484	par	pra		compound	pwg	2	True	pramadAkAnana>pra>par
pramadAvana	49487	par	pra		compound	pwg	2	True	pramadAvana>pra>par
pramaditavya	49488	mad	pra+mad	pra	prefix_root	pwg	2	False	pramaditavya>pra+mad>mad
pramadvara	49489	mad	pra+mad	pra	prefix_root	pwg	2	False	pramadvara>pra+mad>mad
pramanas	49490	par	pra		compound	pwg	2	True	pramanas>pra>par
pramantra	49491	par	pra		compound	pwg	2	True	pramantra>pra>par
pramanTa	49492	manT	pra+manT	pra	prefix_root	pwg	2	False	pramanTa>pra+manT>manT
pramanda	49494	mand	pra+mand	pra	prefix_root	pwg	2	False	pramanda>pra+mand>mand
pramandanI	49495	mand	pra+mand	pra	prefix_root	pwg	2	False	pramandanI>pra+mand>mand
pramanyu	49496	par	pra		compound	pwg	2	True	pramanyu>pra>par
pramaya	49497	mI	pra+mI	pra	prefix_root	pwg	2	False	pramaya>pra+mI>mI
pramayu	49498	mI	pra+mI	pra	prefix_root	pwg	2	False	pramayu>pra+mI>mI
pramara	49499	mar	pra+mar	pra	prefix_root	pwg	2	False	pramara>pra+mar>mar
pramaraRa	49500	mar	pra+mar	pra	prefix_root	pwg	2	False	pramaraRa>pra+mar>mar
pramardaka	49501	mard	pra+mard	pra	prefix_root	pwg	2	False	pramardaka>pra+mard>mard
pramardana	49502	mard	pra+mard	pra	prefix_root	pwg	2	False	pramardana>pra+mard>mard
pramarditar	49503	mard	pra+mard	pra	prefix_root	pwg	2	False	pramarditar>pra+mard>mard
pramardin	49504	mard	pra+mard	pra	prefix_root	pwg	2	False	pramardin>pra+mard>mard
pramahas	49505	par	pra		compound	pwg	2	True	pramahas>pra>par
pramA	49506	mA	pra+mA	pra	prefix_root	pwg	2	False	pramA>pra+mA>mA
pramARa	49507	mA	pra+mA	pra	prefix_root	pwg	2	False	pramARa>pra+mA>mA
pramARaka	49508	mA	pramARa	pra	derived	pwg	3	False	pramARaka>pramARa>pra+mA>mA
pramARapramoda	49511	par	pra		compound	pwg	2	True	pramARapramoda>pra>par
pramARamAlA	49512	par	pra		compound	pwg	2	True	pramARamAlA>pra>par
pramARalakzaRa	49515	par	pra		compound	pwg	2	True	pramARalakzaRa>pra>par
pramARavant	49516	mA	pramARa	pra	derived	pwg	3	False	pramARavant>pramARa>pra+mA>mA
pramARavAkya	49517	par	pra		compound	pwg	2	True	pramARavAkya>pra>par
pramARavArttika	49518	par	pra		compound	pwg	2	True	pramARavArttika>pra>par
pramARaviniScaya	49519	par	pra		compound	pwg	2	True	pramARaviniScaya>pra>par
pramARasamuccaya	49520	par	pra		compound	pwg	2	True	pramARasamuccaya>pra>par
pramARasUtra	49521	par	pra		compound	pwg	2	True	pramARasUtra>pra>par
pramARika	49523	mA	pramARa	pra	derived	pwg	3	False	pramARika>pramARa>pra+mA>mA
pramAtar	49525	mA	pra+mA	pra	prefix_root	pwg	2	False	pramAtar>pra+mA>mA
pramAtavya	49526	mI	pra+mI	pra	prefix_root	pwg	2	False	pramAtavya>pra+mI>mI
pramAtAmaha	49527	par	pra		compound	pwg	2	True	pramAtAmaha>pra>par
pramAtra	49528	par	pra		compound	pwg	2	True	pramAtra>pra>par
pramATa	49530	maT	pra+maT	pra	prefix_root	pwg	2	False	pramATa>pra+maT>maT
pramATin	49531	maT	pra+maT	pra	prefix_root	pwg	2	False	pramATin>pra+maT>maT
pramAda	49532	mad	pra+mad	pra	prefix_root	pwg	2	False	pramAda>pra+mad>mad
pramAdavant	49533	mad	pramAda	pra	derived	pwg	3	False	pramAdavant>pramAda>pra+mad>mad
pramAdikA	49534	mad	pra+mad	pra	prefix_root	pwg	2	False	pramAdikA>pra+mad>mad
pramAdin	49535	mad	pra+mad	pra	prefix_root	pwg	2	False	pramAdin>pra+mad>mad
pramApaRa	49536	mI	pra+mI	pra	prefix_root	pwg	2	False	pramApaRa>pra+mI>mI
pramApayitar	49537	mI	pra+mI	pra	prefix_root	pwg	2	False	pramApayitar>pra+mI>mI
pramAyu	49538	mI	pra+mI	pra	prefix_root	pwg	2	False	pramAyu>pra+mI>mI
pramAyuka	49539	mI	pra+mI	pra	prefix_root	pwg	2	False	pramAyuka>pra+mI>mI
pramAra	49540	mar	pra+mar	pra	prefix_root	pwg	2	False	pramAra>pra+mar>mar
pramArjaka	49541	marj	pra+marj	pra	prefix_root	pwg	2	False	pramArjaka>pra+marj>marj
pramArjana	49542	marj	pra+marj	pra	prefix_root	pwg	2	False	pramArjana>pra+marj>marj
pramita	49543	mA	pra+mA	pra	prefix_root	pwg	2	False	pramita>pra+mA>mA
pramitAkzarA	49544	par	pra		compound	pwg	2	True	pramitAkzarA>pra>par
pramiti	49545	mA	pra+mA	pra	prefix_root	pwg	2	False	pramiti>pra+mA>mA
pramI	49546	mI	pra+mI	pra	prefix_root	pwg	2	False	pramI>pra+mI>mI
pramIti	49547	mI	pra+mI	pra	prefix_root	pwg	2	False	pramIti>pra+mI>mI
pramIya	49548	mI	pra+mI	pra	prefix_root	pwg	2	False	pramIya>pra+mI>mI
pramIlA	49549	mIl	pra+mIl	pra	prefix_root	pwg	2	False	pramIlA>pra+mIl>mIl
pramIlin	49550	mIl	pra+mIl	pra	prefix_root	pwg	2	False	pramIlin>pra+mIl>mIl
pramukti	49551	muc	pra+muc	pra	prefix_root	pwg	2	False	pramukti>pra+muc>muc
pramuKa	49552	par	pra		compound	pwg	2	True	pramuKa>pra>par
pramuKatas	49553	par	pramuKa		derived	pwg	3	True	pramuKatas>pramuKa>pra>par
pramuca	49554	muc	pra+muc	pra	prefix_root	pwg	2	False	pramuca>pra+muc>muc
pramucu	49555	muc	pra+muc	pra	prefix_root	pwg	2	False	pramucu>pra+muc>muc
pramud	49556	par	pra		compound	pwg	2	True	pramud>pra>par
pramuditavadanA	49559	par	pra		compound	pwg	2	True	pramuditavadanA>pra>par
pramuzita	49560	muz	pra+muz	pra	prefix_root	pwg	2	False	pramuzita>pra+muz>muz
pramfgam	49562	par	pra		compound	pwg	2	True	pramfgam>pra>par
pramfgya	49563	marg	pra+marg	pra	prefix_root	pwg	2	False	pramfgya>pra+marg>marg
pramfRa	49564	marRmfR	pra+marRmfR	pra	prefix_root	pwg	2	False	pramfRa>pra+marRmfR>marRmfR
pramfta	49565	mar	pra+mar	pra	prefix_root	pwg	2	False	pramfta>pra+mar>mar
pramftaka	49566	mar	pramfta	pra	derived	pwg	3	False	pramftaka>pramfta>pra+mar>mar
pramfSa	49567	marS	pra+marS	pra	prefix_root	pwg	2	False	pramfSa>pra+marS>marS
pramfzya	49568	marz	pra+marz	pra	prefix_root	pwg	2	False	pramfzya>pra+marz>marz
prameya	49569	mA	pra+mA	pra	prefix_root	pwg	2	False	prameya>pra+mA>mA
prameha	49572	mih	pra+mih	pra	prefix_root	pwg	2	False	prameha>pra+mih>mih
pramehin	49573	mih	prameha	pra	derived	pwg	3	False	pramehin>prameha>pra+mih>mih
pramoktavya	49574	muc	pra+muc	pra	prefix_root	pwg	2	False	pramoktavya>pra+muc>muc
pramokza	49575	mokz	pra+mokz	pra	prefix_root	pwg	2	False	pramokza>pra+mokz>mokz
pramokzaRa	49576	mokz	pra+mokz	pra	prefix_root	pwg	2	False	pramokzaRa>pra+mokz>mokz
pramocana	49577	muc	pra+muc	pra	prefix_root	pwg	2	False	pramocana>pra+muc>muc
pramoda	49579	mud	pra+mud	pra	prefix_root	pwg	2	False	pramoda>pra+mud>mud
pramodaka	49580	mud	pra+mud	pra	prefix_root	pwg	2	False	pramodaka>pra+mud>mud
pramodana	49581	mud	pra+mud	pra	prefix_root	pwg	2	False	pramodana>pra+mud>mud
pramodamAna	49582	mud	pra+mud	pra	prefix_root	pwg	2	False	pramodamAna>pra+mud>mud
pramodita	49583	mud	pra+mud	pra	prefix_root	pwg	2	False	pramodita>pra+mud>mud
pramodin	49584	mud	pramoda	pra	derived	pwg	3	False	pramodin>pramoda>pra+mud>mud
pramoha	49585	muh	pra+muh	pra	prefix_root	pwg	2	False	pramoha>pra+muh>muh
pramohana	49586	muh	pra+muh	pra	prefix_root	pwg	2	False	pramohana>pra+muh>muh
pramohin	49587	muh	pramoha	pra	derived	pwg	3	False	pramohin>pramoha>pra+muh>muh
pramlocantI	49588	mluc	pra+mluc	pra	prefix_root	pwg	2	False	pramlocantI>pra+mluc>mluc
pramlocA	49589	mluc	pra+mluc	pra	prefix_root	pwg	2	False	pramlocA>pra+mluc>mluc
prayakza	49590	yakz	pra+yakz	pra	prefix_root	pwg	2	False	prayakza>pra+yakz>yakz
prayaj	49591	yaj	pra+yaj	pra	prefix_root	pwg	2	False	prayaj>pra+yaj>yaj
prayajyu	49592	yaj	pra+yaj	pra	prefix_root	pwg	2	False	prayajyu>pra+yaj>yaj
prayata	49593	yam	pra+yam	pra	prefix_root	pwg	2	False	prayata>pra+yam>yam
prayatadakziRa	49594	par	pra		compound	pwg	2	True	prayatadakziRa>pra>par
prayati	49595	yam	pra+yam	pra	prefix_root	pwg	2	False	prayati>pra+yam>yam
prayatitavya	49596	yat	pra+yat	pra	prefix_root	pwg	2	False	prayatitavya>pra+yat>yat
prayattavya	49597	yat	pra+yat	pra	prefix_root	pwg	2	False	prayattavya>pra+yat>yat
prayatna	49598	yat	pra+yat	pra	prefix_root	pwg	2	False	prayatna>pra+yat>yat
prayatnavant	49599	yat	prayatna	pra	derived	pwg	3	False	prayatnavant>prayatna>pra+yat>yat
prayantar	49600	yam	pra+yam	pra	prefix_root	pwg	2	False	prayantar>pra+yam>yam
prayas	49601	prI	prI		derived	pwg	1	False	prayas>prI
prayasvant	49603	prI	prayas		derived	pwg	2	False	prayasvant>prayas>prI
prayA	49604	yA	pra+yA	pra	prefix_root	pwg	2	False	prayA>pra+yA>yA
prayAga	49605	yaj	pra+yaj	pra	prefix_root	pwg	2	False	prayAga>pra+yaj>yaj
prayAgaBaya	49606	par	pra		compound	pwg	2	True	prayAgaBaya>pra>par
prayAgasetu	49607	par	pra		compound	pwg	2	True	prayAgasetu>pra>par
prayAcaka	49608	yAc	pra+yAc	pra	prefix_root	pwg	2	False	prayAcaka>pra+yAc>yAc
prayAcana	49609	yAc	pra+yAc	pra	prefix_root	pwg	2	False	prayAcana>pra+yAc>yAc
prayAja	49610	yaj	pra+yaj	pra	prefix_root	pwg	2	False	prayAja>pra+yaj>yaj
prayARa	49612	yA	pra+yA	pra	prefix_root	pwg	2	False	prayARa>pra+yA>yA
prayARaka	49613	yA	prayARa	pra	derived	pwg	3	False	prayARaka>prayARa>pra+yA>yA
prayARapurI	49614	par	pra		compound	pwg	2	True	prayARapurI>pra>par
prayARi	49615	yA	pra+yA	pra	prefix_root	pwg	2	False	prayARi>pra+yA>yA
prayARIya	49616	yA	pra+yA	pra	prefix_root	pwg	2	False	prayARIya>pra+yA>yA
prayAtar	49618	yA	pra+yA	pra	prefix_root	pwg	2	False	prayAtar>pra+yA>yA
prayAtavya	49619	yA	pra+yA	pra	prefix_root	pwg	2	False	prayAtavya>pra+yA>yA
prayApaRa	49620	yA	pra+yA	pra	prefix_root	pwg	2	False	prayApaRa>pra+yA>yA
prayApaRi	49621	yA	pra+yA	pra	prefix_root	pwg	2	False	prayApaRi>pra+yA>yA
prayApaRIya	49622	yA	pra+yA	pra	prefix_root	pwg	2	False	prayApaRIya>pra+yA>yA
prayApin	49623	yA	pra+yA	pra	prefix_root	pwg	2	False	prayApin>pra+yA>yA
prayApya	49624	yA	pra+yA	pra	prefix_root	pwg	2	False	prayApya>pra+yA>yA
prayAma	49625	yam	pra+yam	pra	prefix_root	pwg	2	False	prayAma>pra+yam>yam
prayAman	49626	yA	pra+yA	pra	prefix_root	pwg	2	False	prayAman>pra+yA>yA
prayAyin	49627	yA	pra+yA	pra	prefix_root	pwg	2	False	prayAyin>pra+yA>yA
prayAvan	49628	yA	pra+yA	pra	prefix_root	pwg	2	False	prayAvan>pra+yA>yA
prayAvam	49629	yu	pra+yu	pra	prefix_root	pwg	2	False	prayAvam>pra+yu>yu
prayAsa	49630	yas	pra+yas	pra	prefix_root	pwg	2	False	prayAsa>pra+yas>yas
prayiyu	49631	yA	pra+yA	pra	prefix_root	pwg	2	False	prayiyu>pra+yA>yA
prayukti	49632	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayukti>pra+yuj>yuj
prayuj	49634	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayuj>pra+yuj>yuj
prayuti	49636	yu	pra+yu	pra	prefix_root	pwg	2	False	prayuti>pra+yu>yu
prayuteSvaratIrTa	49637	IS	ISvara		compound	pwg	2	True	prayuteSvaratIrTa>ISvara>IS
prayutvan	49638	IS	ISvara		compound	pwg	2	True	prayutvan>ISvara>IS
prayudDa	49640	yuD	pra+yuD	pra	prefix_root	pwg	2	False	prayudDa>pra+yuD>yuD
prayuD	49641	yuD	pra+yuD	pra	prefix_root	pwg	2	False	prayuD>pra+yuD>yuD
prayE	49642	yA	pra+yA	pra	prefix_root	pwg	2	False	prayE>pra+yA>yA
prayoktar	49643	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayoktar>pra+yuj>yuj
prayoktavya	49644	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayoktavya>pra+yuj>yuj
prayoga	49645	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayoga>pra+yuj>yuj
prayoga	49646	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayoga>pra+yuj>yuj
prayogadIpa	49647	par	pra		compound	pwg	2	True	prayogadIpa>pra>par
prayogapadDati	49648	par	pra		compound	pwg	2	True	prayogapadDati>pra>par
prayogapArijAta	49649	par	pra		compound	pwg	2	True	prayogapArijAta>pra>par
prayogamuktAvalI	49650	par	pra		compound	pwg	2	True	prayogamuktAvalI>pra>par
prayogavftti	49651	par	pra		compound	pwg	2	True	prayogavftti>pra>par
prayogavEjayantI	49652	par	pra		compound	pwg	2	True	prayogavEjayantI>pra>par
prayogasAra	49653	par	pra		compound	pwg	2	True	prayogasAra>pra>par
prayogAtiSaya	49654	yuj	prayoga	pra	compound	pwg	3	True	prayogAtiSaya>prayoga>pra+yuj>yuj
prayogin	49656	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayogin>pra+yuj>yuj
prayogIya	49657	yuj	prayoga	pra	derived	pwg	3	False	prayogIya>prayoga>pra+yuj>yuj
prayogya	49658	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayogya>pra+yuj>yuj
prayojaka	49659	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayojaka>pra+yuj>yuj
prayojana	49660	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayojana>pra+yuj>yuj
prayojanavant	49661	yuj	prayojana	pra	derived	pwg	3	False	prayojanavant>prayojana>pra+yuj>yuj
prayojya	49662	yuj	pra+yuj	pra	prefix_root	pwg	2	False	prayojya>pra+yuj>yuj
prayotar	49663	yu	pra+yu	pra	prefix_root	pwg	2	False	prayotar>pra+yu>yu
prarakza	49665	rakz	pra+rakz	pra	prefix_root	pwg	2	False	prarakza>pra+rakz>rakz
prarakzaRa	49666	rakz	pra+rakz	pra	prefix_root	pwg	2	False	prarakzaRa>pra+rakz>rakz
praraTam	49667	par	pra		compound	pwg	2	True	praraTam>pra>par
prarADas	49668	rAD	pra+rAD	pra	prefix_root	pwg	2	False	prarADas>pra+rAD>rAD
prarADya	49669	rAD	pra+rAD	pra	prefix_root	pwg	2	False	prarADya>pra+rAD>rAD
prarikvan	49670	ric	pra+ric	pra	prefix_root	pwg	2	False	prarikvan>pra+ric>ric
praruja	49671	ruj	pra+ruj	pra	prefix_root	pwg	2	False	praruja>pra+ruj>ruj
praruh	49672	ruh	pra+ruh	pra	prefix_root	pwg	2	False	praruh>pra+ruh>ruh
prarUQa	49673	ruh	pra+ruh	pra	prefix_root	pwg	2	False	prarUQa>pra+ruh>ruh
prarUQi	49674	ruh	pra+ruh	pra	prefix_root	pwg	2	False	prarUQi>pra+ruh>ruh
prareka	49675	ric	pra+ric	pra	prefix_root	pwg	2	False	prareka>pra+ric>ric
prarecana	49676	ric	pra+ric	pra	prefix_root	pwg	2	False	prarecana>pra+ric>ric
prarocana	49677	ruc	pra+ruc	pra	prefix_root	pwg	2	False	prarocana>pra+ruc>ruc
praroDana	49678	ruDruh	pra+ruDruh	pra	prefix_root	pwg	2	False	praroDana>pra+ruDruh>ruDruh
praroha	49679	ruh	pra+ruh	pra	prefix_root	pwg	2	False	praroha>pra+ruh>ruh
prarohaRa	49680	ruh	pra+ruh	pra	prefix_root	pwg	2	False	prarohaRa>pra+ruh>ruh
prarohavant	49681	ruh	praroha	pra	derived	pwg	3	False	prarohavant>praroha>pra+ruh>ruh
prarohin	49682	ruh	pra+ruh	pra	prefix_root	pwg	2	False	prarohin>pra+ruh>ruh
pralapana	49685	lap	pra+lap	pra	prefix_root	pwg	2	False	pralapana>pra+lap>lap
pralapita	49686	lap	pra+lap	pra	prefix_root	pwg	2	False	pralapita>pra+lap>lap
pralabDavya	49687	laB	pra+laB	pra	prefix_root	pwg	2	False	pralabDavya>pra+laB>laB
pralamba	49688	lamb	pra+lamb	pra	prefix_root	pwg	2	False	pralamba>pra+lamb>lamb
pralambaka	49689	lamb	pra+lamb	pra	prefix_root	pwg	2	False	pralambaka>pra+lamb>lamb
pralambana	49690	lamb	pra+lamb	pra	prefix_root	pwg	2	False	pralambana>pra+lamb>lamb
pralambin	49691	lamb	pra+lamb	pra	prefix_root	pwg	2	False	pralambin>pra+lamb>lamb
pralamBa	49693	laB	pra+laB	pra	prefix_root	pwg	2	False	pralamBa>pra+laB>laB
pralamBana	49694	laB	pra+laB	pra	prefix_root	pwg	2	False	pralamBana>pra+laB>laB
pralaya	49695	lI	pra+lI	pra	prefix_root	pwg	2	False	pralaya>pra+lI>lI
pralayatA	49696	lI	pralaya	pra	derived	pwg	3	False	pralayatA>pralaya>pra+lI>lI
pralayatva	49697	lI	pralaya	pra	derived	pwg	3	False	pralayatva>pralaya>pra+lI>lI
pralayana	49698	lI	pra+lI	pra	prefix_root	pwg	2	False	pralayana>pra+lI>lI
pralalAwa	49699	par	pra		compound	pwg	2	True	pralalAwa>pra>par
pralava	49700	lU	pra+lU	pra	prefix_root	pwg	2	False	pralava>pra+lU>lU
pralavana	49701	lU	pra+lU	pra	prefix_root	pwg	2	False	pralavana>pra+lU>lU
pralavitar	49702	lU	pra+lU	pra	prefix_root	pwg	2	False	pralavitar>pra+lU>lU
pralavitra	49703	lU	pra+lU	pra	prefix_root	pwg	2	False	pralavitra>pra+lU>lU
pralApa	49704	lap	pra+lap	pra	prefix_root	pwg	2	False	pralApa>pra+lap>lap
pralApana	49705	lap	pra+lap	pra	prefix_root	pwg	2	False	pralApana>pra+lap>lap
pralApavant	49706	lap	pralApa	pra	derived	pwg	3	False	pralApavant>pralApa>pra+lap>lap
pralApahan	49707	par	pra		compound	pwg	2	True	pralApahan>pra>par
pralApitA	49708	lap	pralApin	pra	derived	pwg	3	False	pralApitA>pralApin>pra+lap>lap
pralApin	49709	lap	pra+lap	pra	prefix_root	pwg	2	False	pralApin>pra+lap>lap
pralAyam	49710	lI	pra+lI	pra	prefix_root	pwg	2	False	pralAyam>pra+lI>lI
pralIna	49711	lI	pra+lI	pra	prefix_root	pwg	2	False	pralIna>pra+lI>lI
pralepa	49713	lip	pra+lip	pra	prefix_root	pwg	2	False	pralepa>pra+lip>lip
pralepaka	49714	lip	pra+lip	pra	prefix_root	pwg	2	False	pralepaka>pra+lip>lip
pralepya	49715	lip	pra+lip	pra	prefix_root	pwg	2	False	pralepya>pra+lip>lip
praleha	49716	lih	pra+lih	pra	prefix_root	pwg	2	False	praleha>pra+lih>lih
pralehana	49717	lih	pra+lih	pra	prefix_root	pwg	2	False	pralehana>pra+lih>lih
pralopa	49718	lup	pra+lup	pra	prefix_root	pwg	2	False	pralopa>pra+lup>lup
praloBa	49719	luB	pra+luB	pra	prefix_root	pwg	2	False	praloBa>pra+luB>luB
praloBaka	49720	luB	pra+luB	pra	prefix_root	pwg	2	False	praloBaka>pra+luB>luB
praloBana	49721	luB	pra+luB	pra	prefix_root	pwg	2	False	praloBana>pra+luB>luB
praloBin	49722	luB	pra+luB	pra	prefix_root	pwg	2	False	praloBin>pra+luB>luB
praloBya	49723	luB	pra+luB	pra	prefix_root	pwg	2	False	praloBya>pra+luB>luB
pralola	49724	par	pra		compound	pwg	2	True	pralola>pra>par
pralolupa	49725	par	pra		compound	pwg	2	True	pralolupa>pra>par
prava	49727	pru	pru		derived	pwg	1	False	prava>pru
pravaka	49728	pru	pru		derived	pwg	1	False	pravaka>pru
pravaktar	49729	vac	pra+vac	pra	prefix_root	pwg	2	False	pravaktar>pra+vac>vac
pravaktavya	49730	vac	pra+vac	pra	prefix_root	pwg	2	False	pravaktavya>pra+vac>vac
pravaktftva	49731	vac	pravaktar	pra	derived	pwg	3	False	pravaktftva>pravaktar>pra+vac>vac
pravaNga	49734	par	pra		compound	pwg	2	True	pravaNga>pra>par
pravacana	49736	vac	pra+vac	pra	prefix_root	pwg	2	False	pravacana>pra+vac>vac
pravacanIya	49737	vac	pra+vac	pra	prefix_root	pwg	2	False	pravacanIya>pra+vac>vac
pravat	49744	par	pra		derived	pwg	2	False	pravat>pra>par
pravatvant	49745	par	pravat		derived	pwg	3	False	pravatvant>pravat>pra>par
pravatsyatpatikA	49746	vas	prapati+vas	prapati	prefix_root	pwg	2	False	pravatsyatpatikA>prapati+vas>vas
pravada	49747	vad	pra+vad	pra	prefix_root	pwg	2	False	pravada>pra+vad>vad
pravadana	49748	vad	pra+vad	pra	prefix_root	pwg	2	False	pravadana>pra+vad>vad
pravaditar	49749	vad	pra+vad	pra	prefix_root	pwg	2	False	pravaditar>pra+vad>vad
pravadizu	49750	vad	pra+vad	pra	prefix_root	pwg	2	False	pravadizu>pra+vad>vad
pravadyAman	49751	par	pravat		compound	pwg	3	True	pravadyAman>pravat>pra>par
pravant	49752	par	pra		derived	pwg	2	False	pravant>pra>par
pravapa	49753	par	pra		compound	pwg	2	True	pravapa>pra>par
pravapaRa	49754	vap	pra+vap	pra	prefix_root	pwg	2	False	pravapaRa>pra+vap>vap
pravayaRa	49755	vAvayati	pra+vAvayati	pra	prefix_root	pwg	2	False	pravayaRa>pra+vAvayati>vAvayati
pravayaRa	49756	vAvayati	pra+vAvayati	pra	prefix_root	pwg	2	False	pravayaRa>pra+vAvayati>vAvayati
pravayaRIya	49757	vIaj	pra+vIaj	pra	prefix_root	pwg	2	False	pravayaRIya>pra+vIaj>vIaj
pravayas	49758	par	pra		compound	pwg	2	True	pravayas>pra>par
pravayyA	49759	vI	pra+vI	pra	prefix_root	pwg	2	False	pravayyA>pra+vI>vI
pravara	49760	var	pra+var	pra	prefix_root	pwg	2	False	pravara>pra+var>var
pravara	49761	var	pra+var	pra	prefix_root	pwg	2	False	pravara>pra+var>var
pravara	49762	var	pra+var	pra	prefix_root	pwg	2	False	pravara>pra+var>var
pravaraRa	49763	var	pra+var	pra	prefix_root	pwg	2	False	pravaraRa>pra+var>var
pravaraRa	49764	var	pra+var	pra	prefix_root	pwg	2	False	pravaraRa>pra+var>var
pravaradIpikA	49765	par	pra		compound	pwg	2	True	pravaradIpikA>pra>par
pravaraDAtu	49766	par	pra		compound	pwg	2	True	pravaraDAtu>pra>par
pravaraBUpati	49767	par	pra		compound	pwg	2	True	pravaraBUpati>pra>par
pravaramaYjarI	49768	par	pra		compound	pwg	2	True	pravaramaYjarI>pra>par
pravaralalita	49769	par	pra		compound	pwg	2	True	pravaralalita>pra>par
pravaravAhana	49770	par	pra		compound	pwg	2	True	pravaravAhana>pra>par
pravarasena	49771	par	pra		compound	pwg	2	True	pravarasena>pra>par
pravarADyAya	49772	par	pra		compound	pwg	2	True	pravarADyAya>pra>par
pravareSa	49773	par	pra		compound	pwg	2	True	pravareSa>pra>par
pravareSvara	49774	par	pra		compound	pwg	2	True	pravareSvara>pra>par
pravargya	49776	varj	pra+varj	pra	prefix_root	pwg	2	False	pravargya>pra+varj>varj
pravarjana	49778	varj	pra+varj	pra	prefix_root	pwg	2	False	pravarjana>pra+varj>varj
pravarta	49779	vart	pra+vart	pra	prefix_root	pwg	2	False	pravarta>pra+vart>vart
pravartaka	49780	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartaka>pra+vart>vart
pravartana	49781	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartana>pra+vart>vart
pravartanIya	49782	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartanIya>pra+vart>vart
pravartamAnaka	49783	pravartamAna	pra+pravartamAna	pra	prefix_root	pwg	2	False	pravartamAnaka>pra+pravartamAna>pravartamAna
pravartayitar	49784	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartayitar>pra+vart>vart
pravartitar	49785	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartitar>pra+vart>vart
pravartitavya	49786	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartitavya>pra+vart>vart
pravartin	49787	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartin>pra+vart>vart
pravartya	49788	vart	pra+vart	pra	prefix_root	pwg	2	False	pravartya>pra+vart>vart
pravarDaka	49789	varD	pra+varD	pra	prefix_root	pwg	2	False	pravarDaka>pra+varD>varD
pravarDana	49790	varD	pra+varD	pra	prefix_root	pwg	2	False	pravarDana>pra+varD>varD
pravarza	49791	varz	pra+varz	pra	prefix_root	pwg	2	False	pravarza>pra+varz>varz
