n	tag	word	slp1	form_key	norm	in_union16	in_union15	u16_n_dicts	u16_dicts
191	G	putrīkara--ṇamīmāṃsāṃ	putrIkaraRamImAMsAM	putrīkaranamīmānsām	hyph	0	0		
192	N	sthaviṣṭha--ḥsthavīyasāṃ	sTavizWaHsTavIyasAM	sthaviṣṭhaḥsthavīyasām	hyph	1	1	1	INM
193	N	śreṣṭha--śreyasāṃ	srezWasreyasAM	sreṣṭhasreyasām	hyph|acc	0	0		
194	M	kiṃ	kiM	kim		1	1	11	AP BUR CAE CCS GRA MD MW PWG PWK SKD VCP
195	A	nāḍiṃ	nAqiM	nāḍim		0	0		
196	H	āyatiṃ	AyatiM	āyatim		1	1	1	BHS
197	A	dhṛtiṃ	DftiM	dhṛtim		0	0		
198	B	prasīdāmiṃ	prasIdAmiM	prasīdāmim		0	0		
199	M	khariṃ	KariM	kharim		1	1	1	MW
200	M	khāriṃ	KAriM	khārim		1	1	1	MW
201	H	diviṃ	diviM	divim		1	1	1	BHS
202	H	tadāhiṃ	tadAhiM	tadāhim		1	1	1	BHS
203	H	etarhiṃ	etarhiM	etarhim		1	1	1	BHS
204	M	tūṣṇīṃ	tUzRIM	tūṣnīm		1	1	11	AP BHS CAE CCS GRA MD MW PWG PWK SCH VCP
205	M	tadānīṃ	tadAnIM	tadānīm		1	1	9	AP CAE CCS GRA MD MW PWG PWK VCP
206	M	guṃ	guM	gum		1	1	1	MW
207	M	puṃ	puM	pum		1	1	1	MW
208	H	huhuṃ	huhuM	huhum		1	1	1	BHS
209	M	huṃ	huM	hum		1	1	10	AP BUR CAE CCS MD MW PWG PWK SKD VCP
210	M	ūṃ	UM	ūm		1	1	7	AP BUR MW PWG PWK SKD VCP
211	A	paribṛṃ	paribfM	paribṛm		0	0		
212	B	oṃ	oM	om		1	1	9	AP CAE CCS MD MW PWG PWK SKD VCP
213	B	khuḍṃ	KuqM	khuḍm		0	0		
214	H	jānikaḥ	jAnikaH	jānika		1	1	1	BHS
215	M	vacaḥ	vacaH	vaca		1	1	6	BUR MW PWG PWK SKD VCP
216	M	rajaḥ	rajaH	raja		1	1	9	BHS BUR CAE INM MD MW PWG PWK VCP
217	I	oṣadhijaḥ	ozaDijaH	oṣadhija		1	1	5	AP MW PWG PWK VCP
218	M	tejaḥ	tejaH	teja		1	1	7	CAE MD MW PWG PWK SCH VCP
219	H	śaṭaḥ	sawaH	saṭa	acc	1	1	6	BUR MD MW PWG PWK VCP
220	H	saṭhaḥ	saWaH	saṭha		1	1	2	SKD VCP
221	N	brahmavatā--ṃvariṣṭhaḥ	brahmavatAMvarizWaH	brahmavatānvariṣṭha	hyph	1	1	1	INM
222	N	śilpi--nāṃśreṣṭhaḥ	silpinAMsrezWaH	silpinānsreṣṭha	hyph|acc	0	0		
223	G	ṣaḍiḍaḥ	zaqiqaH	ṣaḍiḍa		1	1	2	MW PWK
224	N	lokānāṃkī--rtivardhaṇaḥ	lokAnAMkIrtivarDaRaH	lokānānkīrtivardhana	hyph	1	1	1	INM
225	V	atharvāṇaḥ	aTarvARaH	atharvāna		1	1	5	INM MW PD PWG PWK
226	N	arcayantyar--kamarkiṇaḥ	arcayantyarkamarkiRaH	arcayantyarkamarkina	hyph	1	1	1	INM
227	N	gāyantitvā--ṃgāyatriṇaḥ	gAyantitvAMgAyatriRaH	gāyantitvāngāyatrina	hyph	1	1	1	INM
228	H	styayāntataḥ	styayAntataH	styayāntata		1	1	1	BHS
229	H	purastataḥ	purastataH	purastata		1	1	1	BHS
230	M	ubhayataḥ	uBayataH	ubhayata		1	1	3	AP MW SKD
231	I	anyāyataḥ	anyAyataH	anyāyata		1	0	1	PD
232	H	agrataḥ	agrataH	agrata		1	1	2	AP SKD
233	M	sarvataḥ	sarvataH	sarvata		1	1	4	CAE CCS MW PWK
234	N	sanātanānā--mapiśāśvataḥ	sanAtanAnAmapisAsvataH	sanātanānāmapisāsvata	hyph|acc	0	0		
235	M	sataḥ	sataH	sata		1	1	6	CAE CCS MW PWG PWK VEI
236	M	prātaḥ	prAtaH	prāta		1	1	2	MW SKD
237	N	saritaḥ	saritaH	sarita		1	1	2	BHS MW
238	M	cetaḥ	cetaH	ceta		1	1	2	MW SKD
