key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
virUQi	viru1d2hi	virūḍhi	virūḍhi	fiction	24064	332-2	SCH-fiction-3147_cases.xml	1
vireya	vireya	vireya	vireya	fiction	24069	332-2	SCH-fiction-3147_cases.xml	0
virocana	virocana	virocana	virocana	fiction	24071	332-2	SCH-fiction-3147_cases.xml	1
virolita	virolita	virolita	virolita	fiction	24072	332-2	SCH-fiction-3147_cases.xml	1
vilAsin	vila1sin	vilāsin	vilāsin	fiction	24090	332-3	SCH-fiction-3147_cases.xml	1
vileKin	vilekhin	vilekhin	vilekhin	fiction	24094	332-3	SCH-fiction-3147_cases.xml	1
vilepikA	vilepika1	vilepikā	vilepikā	fiction	24096	332-3	SCH-fiction-3147_cases.xml	1
vilohitaka	vilohitaka	vilohitaka	vilohitaka	fiction	24106	333-1	SCH-fiction-3147_cases.xml	1
vivartakalpa	vivartakalpa	vivartakalpa	vivartakalpa	fiction	24116	333-1	SCH-fiction-3147_cases.xml	1
viSAta	vis4a1ta	viśāta	viśāta	fiction	24140	333-2	SCH-fiction-3147_cases.xml	0
viSudDasvaranirGozA	vis4uddhasvaranirghos2a1	viśuddhasvaranirghoṣā	viśuddhasvaranirghoṣā	fiction	24150	333-2	SCH-fiction-3147_cases.xml	0
viSvakadru	vis4vakadru	viśvakadru	viśvakadru	fiction	24171	333-3	SCH-fiction-3147_cases.xml	0
vizapuzpa	vis2apus2pa	viṣapuṣpa	viṣapuṣpa	fiction	24206	334-1	SCH-fiction-3147_cases.xml	1
vizamacCada	vis2amacchada	viṣamacchada	viṣamacchada	fiction	24210	334-1	SCH-fiction-3147_cases.xml	1
vizamanayana	vis2amanayana	viṣamanayana	viṣamanayana	fiction	24213	334-1	SCH-fiction-3147_cases.xml	1
vizamanetra	vis2amanetra	viṣamanetra	viṣamanetra	fiction	24214	334-2	SCH-fiction-3147_cases.xml	1
vizamaviSiKa	vis2amavis4ikha	viṣamaviśikha	viṣamaviśikha	fiction	24218	334-2	SCH-fiction-3147_cases.xml	0
vizkamBaRa	vis2kambhan2a	viṣkambhaṇa	viṣkambhana	fiction	24230	334-2	SCH-fiction-3147_cases.xml	1
vizkila	vis2kila	viṣkila	viṣkila	fiction	24232	334-2	SCH-fiction-3147_cases.xml	1
vizya	vis2ya	viṣya	viṣya	fiction	24240	334-3	SCH-fiction-3147_cases.xml	1
vizvARa	vis2va1n2a	viṣvāṇa	viṣvāna	fiction	24243	334-3	SCH-fiction-3147_cases.xml	1
visaMyoga	visam2yoga	visaṃyoga	visanyoga	fiction	24244	334-3	SCH-fiction-3147_cases.xml	1
visara	visara	visara	visara	fiction	24251	334-3	SCH-fiction-3147_cases.xml	1
visarjana	visarjana	visarjana	visarjana	fiction	24254	334-3	SCH-fiction-3147_cases.xml	1
visAra	visa1ra	visāra	visāra	fiction	24257	334-3	SCH-fiction-3147_cases.xml	1
visArana	visa1rana	visārana	visārana	fiction	24258	334-3	SCH-fiction-3147_cases.xml	0
visfzwi	visr2s2t2i	visṛṣṭi	visṛṣṭi	fiction	24263	334-3	SCH-fiction-3147_cases.xml	1
vismfta	vismr2ta	vismṛta	vismṛta	fiction	24285	335-1	SCH-fiction-3147_cases.xml	1
vihaMgikA	viham2gika1	vihaṃgikā	vihangikā	fiction	24295	335-2	SCH-fiction-3147_cases.xml	1
vihasita	vihasita	vihasita	vihasita	fiction	24297	335-2	SCH-fiction-3147_cases.xml	1
vihAyasAgAmin	viha1yasa1ga1min	vihāyasāgāmin	vihāyasāgāmin	fiction	24304	335-2	SCH-fiction-3147_cases.xml	1
vI	vi1	vī	vī	fiction	24321	335-2	SCH-fiction-3147_cases.xml	1
vIRAvAdana	vi1n2a1va1dana	vīṇāvādana	vīnāvādana	fiction	24330	335-3	SCH-fiction-3147_cases.xml	1
vItatfzRa	vi1tatr2s2n2a	vītatṛṣṇa	vītatṛṣna	fiction	24333	335-3	SCH-fiction-3147_cases.xml	1
vItarAgaBUmi	vi1tara1gabhu1mi	vītarāgabhūmi	vītarāgabhūmi	fiction	24334	335-3	SCH-fiction-3147_cases.xml	1
vIti	vi1ti	vīti	vīti	fiction	24336	335-3	SCH-fiction-3147_cases.xml	1
vIDra	vi1dhra	vīdhra	vīdhra	fiction	24339	335-3	SCH-fiction-3147_cases.xml	1
vIratara	vi1ratara	vīratara	vīratara	fiction	24345	335-3	SCH-fiction-3147_cases.xml	1
vIrapARa	vi1rapa1n2a	vīrapāṇa	vīrapāna	fiction	24347	335-3	SCH-fiction-3147_cases.xml	1
vfkadaMSa	vr2kadam2s4a	vṛkadaṃśa	vṛkadanśa	fiction	24362	336-1	SCH-fiction-3147_cases.xml	0
vfkzotpala	vr2ks2otpala	vṛkṣotpala	vṛkṣotpala	fiction	24368	336-1	SCH-fiction-3147_cases.xml	1
vfjina	vr2jina	vṛjina	vṛjina	fiction	24369	336-1	SCH-fiction-3147_cases.xml	1
vftra	vr2tra	vṛtra	vṛtra	fiction	24376	336-2	SCH-fiction-3147_cases.xml	1
vfza	vr2s2a	vṛṣa	vṛṣa	fiction	24389	336-2	SCH-fiction-3147_cases.xml	1
vfzaBa	vr2s2abha	vṛṣabha	vṛṣabha	fiction	24393	336-2	SCH-fiction-3147_cases.xml	1
vfzaBagati	vr2s2abhagati	vṛṣabhagati	vṛṣabhagati	fiction	24394	336-2	SCH-fiction-3147_cases.xml	1
vfzya	vr2s2ya	vṛṣya	vṛṣya	fiction	24404	336-3	SCH-fiction-3147_cases.xml	1
