key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml	in_master
kaRiSakiMSAru	kan2is4akim2s4a1ru	kaṇiśakiṃśāru	kaniśakinśāru	fiction	9586	132-1	SCH-fiction-3147_cases.xml	0
kadAcitkatva	kada1citkatva	kadācitkatva	kadācitkatva	fiction	9655	133-1	SCH-fiction-3147_cases.xml	0
kanIyasI	kani1yasi1	kanīyasī	kanīyasī	fiction	9682	133-2	SCH-fiction-3147_cases.xml	0
kanyadarSam	kanyadars4am	kanyadarśam	kanyadarśam	fiction	9720	134-1	SCH-fiction-3147_cases.xml	0
kapikacCU	kapikacchu1	kapikacchū	kapikacchū	fiction	9738	134-1	SCH-fiction-3147_cases.xml	0
kapiSa	kapis4a	kapiśa	kapiśa	fiction	9750	134-2	SCH-fiction-3147_cases.xml	0
kapInfpa	kapi1nr2pa	kapīnṛpa	kapīnṛpa	fiction	9755	134-2	SCH-fiction-3147_cases.xml	0
kambaladAya	kambalada1ya	kambaladāya	kambaladāya	fiction	9798	135-1	SCH-fiction-3147_cases.xml	0
karaReSvara	karan2es4vara	karaṇeśvara	karaneśvara	fiction	9836	135-3	SCH-fiction-3147_cases.xml	0
karaSAKA	karas4a1kha1	karaśākhā	karaśākhā	fiction	9878	136-1	SCH-fiction-3147_cases.xml	0
karowikA	karot2ika1	karoṭikā	karoṭikā	fiction	9922	136-3	SCH-fiction-3147_cases.xml	0
karkaru	karkaru	karkaru	karkaru	fiction	9930	136-3	SCH-fiction-3147_cases.xml	0
karRapASI	karn2apa1s4i1	karṇapāśī	karnapāśī	fiction	9947	137-1	SCH-fiction-3147_cases.xml	0
karRalAlikA	karn2ala1lika1	karṇalālikā	karnalālikā	fiction	9957	137-2	SCH-fiction-3147_cases.xml	0
karRasuvarRa	Karn2asuvarn2a	karṇasuvarṇa	karnasuvarna	fiction	9961	137-2	SCH-fiction-3147_cases.xml	0
karmakaRwaka	karmakan2t2aka	karmakaṇṭaka	karmakanṭaka	fiction	9997	137-3	SCH-fiction-3147_cases.xml	0
karmadAna	karmada1na	karmadāna	karmadāna	fiction	10005	137-3	SCH-fiction-3147_cases.xml	0
kalaSI	kalas4i1	kalaśī	kalaśī	fiction	10077	139-1	SCH-fiction-3147_cases.xml	0
kalAma	kala1ma	kalāma	kalāma	fiction	10105	139-2	SCH-fiction-3147_cases.xml	0
kavaqiMkArAhAra	kavad2im2ka1ra1ha1ra	kavaḍiṃkārāhāra	kavaḍinkārāhāra	fiction	10197	140-2	SCH-fiction-3147_cases.xml	0
kaSambakajAta	kas4ambakaja1ta	kaśambakajāta	kaśambakajāta	fiction	10227	141-1	SCH-fiction-3147_cases.xml	0
kaSmIrajanman	kas4mi1rajanman	kaśmīrajanman	kaśmīrajanman	fiction	10229	141-1	SCH-fiction-3147_cases.xml	0
kAkanIla	ka1kani1la	kākanīla	kākanīla	fiction	10257	141-3	SCH-fiction-3147_cases.xml	0
kANguzWa	ka1n3gus2t2ha	kāṅguṣṭha	kānguṣṭha	fiction	10277	141-3	SCH-fiction-3147_cases.xml	0
kAtyayanikA	ka1tyayanika1	kātyayanikā	kātyayanikā	fiction	10316	142-2	SCH-fiction-3147_cases.xml	0
kAtreyaka	ka1treyaka	kātreyaka	kātreyaka	fiction	10320	142-2	SCH-fiction-3147_cases.xml	0
kAmamiTyAcAra	ka1mamithya1ca1ra	kāmamithyācāra	kāmamithyācāra	fiction	10371	143-1	SCH-fiction-3147_cases.xml	0
kAmANkuSa	ka1ma1n3kus4a	kāmāṅkuśa	kāmānkuśa	fiction	10386	143-2	SCH-fiction-3147_cases.xml	0
kAraRyakAraka	ka1ran2yaka1raka	kāraṇyakāraka	kāranyakāraka	fiction	10423	143-3	SCH-fiction-3147_cases.xml	0
kArIzaganDyA	Ka1ri1s2agandhya1	kārīṣagandhyā	kārīṣagandhyā	fiction	10443	144-1	SCH-fiction-3147_cases.xml	0
kArttikAtyayika	ka1rttika1tyayika	kārttikātyayika	kārttikātyayika	fiction	10452	144-1	SCH-fiction-3147_cases.xml	0
